REGION,TECHNOLOGY,YEAR,VALUE
REGION1,AOBACKSTOP,2021,1.0
REGION1,AOSOU1PH1,2021,0.0
REGION1,AONGGCPH1,2021,1.0
REGION1,AOLFRCPH1,2021,1.0
REGION1,AOHFGCPH1,2021,1.0
REGION1,AOBMCHPH1,2021,1.0
REGION1,AOHYDMSH1,2021,1.0
REGION1,AOSOU1PN1,2021,0.0
REGION1,AONGGCPN1,2021,1.0
REGION1,AOLFRCPN1,2021,1.0
REGION1,AOHFGCPN1,2021,1.0
REGION1,AOBMCHPN1,2021,1.0
REGION1,AOHYDMSN1,2021,1.0
REGION1,AOWINDPN1,2021,0.05
REGION1,AONGCCSPN1,2021,1.0
REGION1,AOBMCCSPN1,2021,1.0
REGION1,AOBATTN1,2021,1.0
REGION1,AOBACKSTOP,2022,1.0
REGION1,AOSOU1PH1,2022,0.0
REGION1,AONGGCPH1,2022,1.0
REGION1,AOLFRCPH1,2022,1.0
REGION1,AOHFGCPH1,2022,1.0
REGION1,AOBMCHPH1,2022,1.0
REGION1,AOHYDMSH1,2022,1.0
REGION1,AOSOU1PN1,2022,0.0
REGION1,AONGGCPN1,2022,1.0
REGION1,AOLFRCPN1,2022,1.0
REGION1,AOHFGCPN1,2022,1.0
REGION1,AOBMCHPN1,2022,1.0
REGION1,AOHYDMSN1,2022,1.0
REGION1,AOWINDPN1,2022,0.05
REGION1,AONGCCSPN1,2022,1.0
REGION1,AOBMCCSPN1,2022,1.0
REGION1,AOBATTN1,2022,1.0
REGION1,AOBACKSTOP,2023,1.0
REGION1,AOSOU1PH1,2023,0.0
REGION1,AONGGCPH1,2023,1.0
REGION1,AOLFRCPH1,2023,1.0
REGION1,AOHFGCPH1,2023,1.0
REGION1,AOBMCHPH1,2023,1.0
REGION1,AOHYDMSH1,2023,1.0
REGION1,AOSOU1PN1,2023,0.0
REGION1,AONGGCPN1,2023,1.0
REGION1,AOLFRCPN1,2023,1.0
REGION1,AOHFGCPN1,2023,1.0
REGION1,AOBMCHPN1,2023,1.0
REGION1,AOHYDMSN1,2023,1.0
REGION1,AOWINDPN1,2023,0.05
REGION1,AONGCCSPN1,2023,1.0
REGION1,AOBMCCSPN1,2023,1.0
REGION1,AOBATTN1,2023,1.0
REGION1,AOBACKSTOP,2024,1.0
REGION1,AOSOU1PH1,2024,0.0
REGION1,AONGGCPH1,2024,1.0
REGION1,AOLFRCPH1,2024,1.0
REGION1,AOHFGCPH1,2024,1.0
REGION1,AOBMCHPH1,2024,1.0
REGION1,AOHYDMSH1,2024,1.0
REGION1,AOSOU1PN1,2024,0.0
REGION1,AONGGCPN1,2024,1.0
REGION1,AOLFRCPN1,2024,1.0
REGION1,AOHFGCPN1,2024,1.0
REGION1,AOBMCHPN1,2024,1.0
REGION1,AOHYDMSN1,2024,1.0
REGION1,AOWINDPN1,2024,0.05
REGION1,AONGCCSPN1,2024,1.0
REGION1,AOBMCCSPN1,2024,1.0
REGION1,AOBATTN1,2024,1.0
REGION1,AOBACKSTOP,2025,1.0
REGION1,AOSOU1PH1,2025,0.0
REGION1,AONGGCPH1,2025,1.0
REGION1,AOLFRCPH1,2025,1.0
REGION1,AOHFGCPH1,2025,1.0
REGION1,AOBMCHPH1,2025,1.0
REGION1,AOHYDMSH1,2025,1.0
REGION1,AOSOU1PN1,2025,0.0
REGION1,AONGGCPN1,2025,1.0
REGION1,AOLFRCPN1,2025,1.0
REGION1,AOHFGCPN1,2025,1.0
REGION1,AOBMCHPN1,2025,1.0
REGION1,AOHYDMSN1,2025,1.0
REGION1,AOWINDPN1,2025,0.05
REGION1,AONGCCSPN1,2025,1.0
REGION1,AOBMCCSPN1,2025,1.0
REGION1,AOBATTN1,2025,1.0
REGION1,AOBACKSTOP,2026,1.0
REGION1,AOSOU1PH1,2026,0.0
REGION1,AONGGCPH1,2026,1.0
REGION1,AOLFRCPH1,2026,1.0
REGION1,AOHFGCPH1,2026,1.0
REGION1,AOBMCHPH1,2026,1.0
REGION1,AOHYDMSH1,2026,1.0
REGION1,AOSOU1PN1,2026,0.0
REGION1,AONGGCPN1,2026,1.0
REGION1,AOLFRCPN1,2026,1.0
REGION1,AOHFGCPN1,2026,1.0
REGION1,AOBMCHPN1,2026,1.0
REGION1,AOHYDMSN1,2026,1.0
REGION1,AOWINDPN1,2026,0.05
REGION1,AONGCCSPN1,2026,1.0
REGION1,AOBMCCSPN1,2026,1.0
REGION1,AOBATTN1,2026,1.0
REGION1,AOBACKSTOP,2027,1.0
REGION1,AOSOU1PH1,2027,0.0
REGION1,AONGGCPH1,2027,1.0
REGION1,AOLFRCPH1,2027,1.0
REGION1,AOHFGCPH1,2027,1.0
REGION1,AOBMCHPH1,2027,1.0
REGION1,AOHYDMSH1,2027,1.0
REGION1,AOSOU1PN1,2027,0.0
REGION1,AONGGCPN1,2027,1.0
REGION1,AOLFRCPN1,2027,1.0
REGION1,AOHFGCPN1,2027,1.0
REGION1,AOBMCHPN1,2027,1.0
REGION1,AOHYDMSN1,2027,1.0
REGION1,AOWINDPN1,2027,0.05
REGION1,AONGCCSPN1,2027,1.0
REGION1,AOBMCCSPN1,2027,1.0
REGION1,AOBATTN1,2027,1.0
REGION1,AOBACKSTOP,2028,1.0
REGION1,AOSOU1PH1,2028,0.0
REGION1,AONGGCPH1,2028,1.0
REGION1,AOLFRCPH1,2028,1.0
REGION1,AOHFGCPH1,2028,1.0
REGION1,AOBMCHPH1,2028,1.0
REGION1,AOHYDMSH1,2028,1.0
REGION1,AOSOU1PN1,2028,0.0
REGION1,AONGGCPN1,2028,1.0
REGION1,AOLFRCPN1,2028,1.0
REGION1,AOHFGCPN1,2028,1.0
REGION1,AOBMCHPN1,2028,1.0
REGION1,AOHYDMSN1,2028,1.0
REGION1,AOWINDPN1,2028,0.05
REGION1,AONGCCSPN1,2028,1.0
REGION1,AOBMCCSPN1,2028,1.0
REGION1,AOBATTN1,2028,1.0
REGION1,AOBACKSTOP,2029,1.0
REGION1,AOSOU1PH1,2029,0.0
REGION1,AONGGCPH1,2029,1.0
REGION1,AOLFRCPH1,2029,1.0
REGION1,AOHFGCPH1,2029,1.0
REGION1,AOBMCHPH1,2029,1.0
REGION1,AOHYDMSH1,2029,1.0
REGION1,AOSOU1PN1,2029,0.0
REGION1,AONGGCPN1,2029,1.0
REGION1,AOLFRCPN1,2029,1.0
REGION1,AOHFGCPN1,2029,1.0
REGION1,AOBMCHPN1,2029,1.0
REGION1,AOHYDMSN1,2029,1.0
REGION1,AOWINDPN1,2029,0.05
REGION1,AONGCCSPN1,2029,1.0
REGION1,AOBMCCSPN1,2029,1.0
REGION1,AOBATTN1,2029,1.0
REGION1,AOBACKSTOP,2030,1.0
REGION1,AOSOU1PH1,2030,0.0
REGION1,AONGGCPH1,2030,1.0
REGION1,AOLFRCPH1,2030,1.0
REGION1,AOHFGCPH1,2030,1.0
REGION1,AOBMCHPH1,2030,1.0
REGION1,AOHYDMSH1,2030,1.0
REGION1,AOSOU1PN1,2030,0.0
REGION1,AONGGCPN1,2030,1.0
REGION1,AOLFRCPN1,2030,1.0
REGION1,AOHFGCPN1,2030,1.0
REGION1,AOBMCHPN1,2030,1.0
REGION1,AOHYDMSN1,2030,1.0
REGION1,AOWINDPN1,2030,0.05
REGION1,AONGCCSPN1,2030,1.0
REGION1,AOBMCCSPN1,2030,1.0
REGION1,AOBATTN1,2030,1.0
REGION1,AOBACKSTOP,2031,1.0
REGION1,AOSOU1PH1,2031,0.0
