REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBACKSTOP,2021,1.0
REGION1,ATCOCHPH1,2021,1.0
REGION1,ATNGCCPH1,2021,1.0
REGION1,ATNGCHPH1,2021,1.0
REGION1,ATNGGCPH1,2021,1.0
REGION1,ATNGHPFH1,2021,1.0
REGION1,ATNGSTPH1,2021,1.0
REGION1,ATBFCHPH1,2021,1.0
REGION1,ATBFHPFH1,2021,1.0
REGION1,ATDGCHPH1,2021,1.0
REGION1,ATDGELH1,2021,1.0
REGION1,ATRGCHPH1,2021,1.0
REGION1,ATDSCHPH1,2021,1.0
REGION1,ATDSELH1,2021,1.0
REGION1,ATHFCHPH1,2021,1.0
REGION1,ATHFSTPH1,2021,1.0
REGION1,ATBMSTPH1,2021,1.0
REGION1,ATBMCHPH1,2021,1.0
REGION1,ATWSCHPH1,2021,1.0
REGION1,ATWSSTPH1,2021,1.0
REGION1,ATWIONPH1,2021,1.0
REGION1,ATSOUTPH1,2021,0.0
REGION1,ATGOCVPH1,2021,1.0
REGION1,ATHYDMPH1,2021,1.0
REGION1,ATHYDSPH1,2021,1.0
REGION1,ATHYDRPH1,2021,1.0
REGION1,ATCOCHPN1,2021,1.0
REGION1,ATNGCCPN1,2021,1.0
REGION1,ATNGCHPN1,2021,1.0
REGION1,ATNGGCPN1,2021,1.0
REGION1,ATNGHPFN1,2021,1.0
REGION1,ATNGSTPN1,2021,1.0
REGION1,ATBFCHPN1,2021,1.0
REGION1,ATBFHPFN1,2021,1.0
REGION1,ATDGCHPN1,2021,1.0
REGION1,ATDGELN1,2021,1.0
REGION1,ATRGCHPN1,2021,1.0
REGION1,ATDSCHPN1,2021,1.0
REGION1,ATDSELN1,2021,1.0
REGION1,ATHFCHPN1,2021,1.0
REGION1,ATHFSTPN1,2021,1.0
REGION1,ATBMSTPN1,2021,1.0
REGION1,ATBMCHPN1,2021,1.0
REGION1,ATWSCHPN1,2021,1.0
REGION1,ATWSSTPN1,2021,1.0
REGION1,ATWIONPN1,2021,1.0
REGION1,ATSOUTPN1,2021,0.0
REGION1,ATGOCVPN1,2021,1.0
REGION1,ATHYDMPN1,2021,1.0
REGION1,ATHYDSPN1,2021,1.0
REGION1,ATHYDRPN1,2021,1.0
REGION1,ATNGCCSN1,2021,1.0
REGION1,ATBMCCSN1,2021,1.0
REGION1,ATBATTH1,2021,1.0
REGION1,ATELCZPH1,2021,1.0
REGION1,ATELDEPH1,2021,1.0
REGION1,ATELHUPH1,2021,1.0
REGION1,ATELITPH1,2021,1.0
REGION1,ATELSIPH1,2021,1.0
REGION1,ATELCHPH1,2021,1.0
REGION1,ATNGDEPI0,2021,1.0
REGION1,ATNGHUPI0,2021,1.0
REGION1,ATNGITPI0,2021,1.0
REGION1,ATNGSIPI0,2021,1.0
REGION1,ATNGSKPI0,2021,1.0
REGION1,ATBACKSTOP,2022,1.0
REGION1,ATCOCHPH1,2022,1.0
REGION1,ATNGCCPH1,2022,1.0
REGION1,ATNGCHPH1,2022,1.0
REGION1,ATNGGCPH1,2022,1.0
REGION1,ATNGHPFH1,2022,1.0
REGION1,ATNGSTPH1,2022,1.0
REGION1,ATBFCHPH1,2022,1.0
REGION1,ATBFHPFH1,2022,1.0
REGION1,ATDGCHPH1,2022,1.0
REGION1,ATDGELH1,2022,1.0
