REGION,FUEL,YEAR,VALUE
REGION1,ATNG,2021,220.774
REGION1,BENG,2021,468.982
REGION1,BGNG,2021,61.871
REGION1,HRNG,2021,59.759
REGION1,CYNG,2021,0.0
REGION1,CZNG,2021,233.81
REGION1,DKNG,2021,68.361
REGION1,EENG,2021,11.088
REGION1,FING,2021,34.258
REGION1,FRNG,2021,1247.675
REGION1,DENG,2021,2513.5
REGION1,GRNG,2021,62.038
REGION1,HUNG,2021,277.146
REGION1,IENG,2021,81.154
REGION1,ITNG,2021,1559.539
REGION1,LVNG,2021,14.716
REGION1,LTNG,2021,60.187
REGION1,LUNG,2021,25.436
REGION1,MTNG,2021,0.0
REGION1,NLNG,2021,829.047
REGION1,NONG,2021,34.951
REGION1,PLNG,2021,531.875
REGION1,PTNG,2021,80.711
REGION1,RONG,2021,290.995
REGION1,SKNG,2021,130.095
REGION1,SING,2021,26.061
REGION1,ESNG,2021,674.666
REGION1,SENG,2021,34.189
REGION1,CHNG,2021,124.556
REGION1,UKNG,2021,1675.236
REGION1,DZNG,2021,836.603
REGION1,AONG,2021,14.802
REGION1,BJNG,2021,0.0
REGION1,BWNG,2021,0.0
REGION1,BFNG,2021,0.0
REGION1,BING,2021,0.0
REGION1,CMNG,2021,0.0
REGION1,CFNG,2021,0.0
REGION1,TDNG,2021,0.0
REGION1,CDNG,2021,0.0
REGION1,CING,2021,8.503
REGION1,DJNG,2021,0.0
REGION1,EGNG,2021,597.308
REGION1,GQNG,2021,90.409
REGION1,ERNG,2021,0.0
REGION1,ETNG,2021,0.0
REGION1,GANG,2021,0.107
REGION1,GMNG,2021,0.0
REGION1,GHNG,2021,5.773
REGION1,GNNG,2021,0.0
REGION1,GWNG,2021,0.0
REGION1,KENG,2021,0.0
REGION1,LSNG,2021,0.0
REGION1,LRNG,2021,0.0
REGION1,LYNG,2021,31.918
REGION1,MWNG,2021,0.0
REGION1,MLNG,2021,0.0
REGION1,MRNG,2021,0.0
REGION1,MANG,2021,3.45
REGION1,MZNG,2021,3.858
REGION1,NANG,2021,0.0
REGION1,NENG,2021,0.0
REGION1,NGNG,2021,185.282
REGION1,CGNG,2021,0.0
REGION1,RWNG,2021,0.0
REGION1,SNNG,2021,0.0
REGION1,SLNG,2021,0.0
REGION1,SONG,2021,0.0
REGION1,ZANG,2021,63.965
REGION1,SSNG,2021,0.0
REGION1,SDNG,2021,0.0
REGION1,SZNG,2021,0.0
REGION1,TZNG,2021,14.836
REGION1,TGNG,2021,0.0
REGION1,TNNG,2021,63.252
REGION1,UGNG,2021,0.0
REGION1,ZMNG,2021,0.0
REGION1,ZWNG,2021,0.0
REGION1,ATNG,2022,195.037
REGION1,BENG,2022,383.317
REGION1,BGNG,2022,51.88
REGION1,HRNG,2022,46.056
REGION1,CYNG,2022,0.0
REGION1,CZNG,2022,200.054
REGION1,DKNG,2022,55.336
REGION1,EENG,2022,7.466
REGION1,FING,2022,27.967
REGION1,FRNG,2022,1069.354
REGION1,DENG,2022,2156.139
REGION1,GRNG,2022,50.386
REGION1,HUNG,2022,231.071
REGION1,IENG,2022,75.372
REGION1,ITNG,2022,1344.893
REGION1,LVNG,2022,12.457
REGION1,LTNG,2022,44.538
REGION1,LUNG,2022,20.033
REGION1,MTNG,2022,0.0
REGION1,NLNG,2022,648.779
REGION1,NONG,2022,30.218
REGION1,PLNG,2022,474.571
REGION1,PTNG,2022,73.085
REGION1,RONG,2022,226.451
REGION1,SKNG,2022,116.142
REGION1,SING,2022,23.458
REGION1,ESNG,2022,571.521
REGION1,SENG,2022,23.125
REGION1,CHNG,2022,102.945
REGION1,UKNG,2022,1447.61
REGION1,DZNG,2022,895.125
REGION1,AONG,2022,8.97
REGION1,BJNG,2022,0.0
REGION1,BWNG,2022,0.0
REGION1,BFNG,2022,0.0
REGION1,BING,2022,0.0
REGION1,CMNG,2022,0.0
REGION1,CFNG,2022,0.0
REGION1,TDNG,2022,0.0
REGION1,CDNG,2022,0.0
REGION1,CING,2022,13.871000000000052
