REGION,EMISSION,YEAR,VALUE
REGION1,ATCO2,2021,-12.385
REGION1,BECO2,2021,-26.31
REGION1,BGCO2,2021,-3.471
REGION1,HRCO2,2021,-3.352
REGION1,CYCO2,2021,0.0
REGION1,CZCO2,2021,-13.117
REGION1,DKCO2,2021,-3.835
REGION1,EECO2,2021,-0.622
REGION1,FICO2,2021,-1.922
REGION1,FRCO2,2021,-69.995
REGION1,DECO2,2021,-141.007
REGION1,GRCO2,2021,-3.48
REGION1,HUCO2,2021,-15.548
REGION1,IECO2,2021,-4.553
REGION1,ITCO2,2021,-87.49
REGION1,LVCO2,2021,-0.826
REGION1,LTCO2,2021,-3.376
REGION1,LUCO2,2021,-1.427
REGION1,MTCO2,2021,0.0
REGION1,NLCO2,2021,-46.51
REGION1,NOCO2,2021,-1.961
REGION1,PLCO2,2021,-29.838
REGION1,PTCO2,2021,-4.528
REGION1,ROCO2,2021,-16.325
REGION1,SKCO2,2021,-7.298
REGION1,SICO2,2021,-1.462
REGION1,ESCO2,2021,-37.849
REGION1,SECO2,2021,-1.918
REGION1,CHCO2,2021,-6.988
REGION1,UKCO2,2021,-93.981
REGION1,DZCO2,2021,-46.933
REGION1,AOCO2,2021,-0.83
REGION1,BJCO2,2021,0.0
REGION1,BWCO2,2021,0.0
REGION1,BFCO2,2021,0.0
REGION1,BICO2,2021,0.0
REGION1,CMCO2,2021,0.0
REGION1,CFCO2,2021,0.0
REGION1,TDCO2,2021,0.0
REGION1,CDCO2,2021,0.0
REGION1,CICO2,2021,-0.477
REGION1,DJCO2,2021,0.0
REGION1,EGCO2,2021,-33.509
REGION1,GQCO2,2021,-5.072
REGION1,ERCO2,2021,0.0
REGION1,ETCO2,2021,0.0
REGION1,GACO2,2021,-0.006
REGION1,GMCO2,2021,0.0
REGION1,GHCO2,2021,-0.324
REGION1,GNCO2,2021,0.0
REGION1,GWCO2,2021,0.0
REGION1,KECO2,2021,0.0
REGION1,LSCO2,2021,0.0
REGION1,LRCO2,2021,0.0
REGION1,LYCO2,2021,-1.791
REGION1,MWCO2,2021,0.0
REGION1,MLCO2,2021,0.0
REGION1,MRCO2,2021,0.0
REGION1,MACO2,2021,-0.194
REGION1,MZCO2,2021,-0.216
REGION1,NACO2,2021,0.0
REGION1,NECO2,2021,0.0
REGION1,NGCO2,2021,-10.394
REGION1,CGCO2,2021,0.0
REGION1,RWCO2,2021,0.0
REGION1,SNCO2,2021,0.0
REGION1,SLCO2,2021,0.0
REGION1,SOCO2,2021,0.0
REGION1,ZACO2,2021,-3.588
REGION1,SSCO2,2021,0.0
REGION1,SDCO2,2021,0.0
REGION1,SZCO2,2021,0.0
REGION1,TZCO2,2021,-0.832
REGION1,TGCO2,2021,0.0
REGION1,TNCO2,2021,-3.548
REGION1,UGCO2,2021,0.0
REGION1,ZMCO2,2021,0.0
REGION1,ZWCO2,2021,0.0
REGION1,ATCO2,2022,-10.942
REGION1,BECO2,2022,-21.504
REGION1,BGCO2,2022,-2.91
REGION1,HRCO2,2022,-2.584
REGION1,CYCO2,2022,0.0
REGION1,CZCO2,2022,-11.223
REGION1,DKCO2,2022,-3.104
REGION1,EECO2,2022,-0.419
REGION1,FICO2,2022,-1.569
REGION1,FRCO2,2022,-59.991
REGION1,DECO2,2022,-120.959
REGION1,GRCO2,2022,-2.827
REGION1,HUCO2,2022,-12.963
REGION1,IECO2,2022,-4.228
REGION1,ITCO2,2022,-75.448
REGION1,LVCO2,2022,-0.699
REGION1,LTCO2,2022,-2.499
REGION1,LUCO2,2022,-1.124
REGION1,MTCO2,2022,0.0
REGION1,NLCO2,2022,-36.397
REGION1,NOCO2,2022,-1.695
REGION1,PLCO2,2022,-26.623
REGION1,PTCO2,2022,-4.1
REGION1,ROCO2,2022,-12.704
REGION1,SKCO2,2022,-6.516
REGION1,SICO2,2022,-1.316
REGION1,ESCO2,2022,-32.062
REGION1,SECO2,2022,-1.297
REGION1,CHCO2,2022,-5.775
REGION1,UKCO2,2022,-81.211
REGION1,DZCO2,2022,-50.217
REGION1,AOCO2,2022,-0.503
REGION1,BJCO2,2022,0.0
REGION1,BWCO2,2022,0.0
REGION1,BFCO2,2022,0.0
REGION1,BICO2,2022,0.0
REGION1,CMCO2,2022,0.0
REGION1,CFCO2,2022,0.0
REGION1,TDCO2,2022,0.0
REGION1,CDCO2,2022,0.0
REGION1,CICO2,2022,-0.778
