REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATCOCHPH1,2021,0.9
REGION1,ATNGCCPH1,2021,0.9
REGION1,ATNGCHPH1,2021,0.9
REGION1,ATNGGCPH1,2021,0.9
REGION1,ATNGHPFH1,2021,0.9
REGION1,ATNGSTPH1,2021,0.9
REGION1,ATBFCHPH1,2021,0.7
REGION1,ATBFHPFH1,2021,0.7
REGION1,ATDGCHPH1,2021,0.9
REGION1,ATDGELH1,2021,0.9
REGION1,ATRGCHPH1,2021,0.9
REGION1,ATDSCHPH1,2021,0.9
REGION1,ATDSELH1,2021,0.9
REGION1,ATHFCHPH1,2021,0.9
REGION1,ATHFSTPH1,2021,0.9
REGION1,ATBMSTPH1,2021,0.7
REGION1,ATBMCHPH1,2021,0.7
REGION1,ATWSCHPH1,2021,0.9
REGION1,ATWSSTPH1,2021,0.9
REGION1,ATGOCVPH1,2021,0.95
REGION1,BENUG2PH1,2021,0.84
REGION1,BECOCHPH1,2021,0.9
REGION1,BECOSTPH1,2021,0.9
REGION1,BENGCCPH1,2021,0.9
REGION1,BENGCHPH1,2021,0.9
REGION1,BEBFHPFH1,2021,0.7
REGION1,BEBFCHPH1,2021,0.7
REGION1,BEDGELH1,2021,0.9
REGION1,BERGCHPH1,2021,0.9
REGION1,BEDSCHPH1,2021,0.9
REGION1,BEDSELH1,2021,0.9
REGION1,BEHFCHPH1,2021,0.9
REGION1,BEHFSTPH1,2021,0.9
REGION1,BEWSCHPH1,2021,0.9
REGION1,BEWSSTPH1,2021,0.9
REGION1,BEBMCHPH1,2021,0.7
REGION1,BEBMSTPH1,2021,0.7
REGION1,BGBFHPFH1,2021,0.7
REGION1,BGCOCHPH1,2021,0.9
REGION1,BGCOSTPH1,2021,0.9
REGION1,BGHFCHPH1,2021,0.9
REGION1,BGNGCHPH1,2021,0.9
REGION1,BGNGSTPH1,2021,0.9
REGION1,BGNUG2PH1,2021,0.94
REGION1,BGLICHPH1,2021,0.9
REGION1,BGLIELH1,2021,0.9
REGION1,BGBFCHPH1,2021,0.7
REGION1,BGRGCHPH1,2021,0.9
REGION1,BGRGELH1,2021,0.9
REGION1,BGDSCHPH1,2021,0.9
REGION1,BGDSELH1,2021,0.9
REGION1,BGHFSTPH1,2021,0.9
REGION1,BGBMCHPH1,2021,0.7
REGION1,BGBMSTPH1,2021,0.7
REGION1,BGWSCHPH1,2021,0.9
REGION1,CYBFCHPH1,2021,0.7
REGION1,CYHFSTPH1,2021,0.9
REGION1,CYDSCCPH1,2021,0.9
REGION1,CYDSGCPH1,2021,0.9
REGION1,CYDSSTPH1,2021,0.9
REGION1,CYDSHPFH1,2021,0.9
REGION1,CYHFCHPH1,2021,0.9
REGION1,CZNUG2PH1,2021,0.84
REGION1,CZCOCHPH1,2021,0.9
REGION1,CZCOSTPH1,2021,0.9
REGION1,CZLICHPH1,2021,0.9
REGION1,CZLIELH1,2021,0.9
REGION1,CZNGCCPH1,2021,0.9
REGION1,CZNGCHPH1,2021,0.9
REGION1,CZBFHPFH1,2021,0.7
REGION1,CZBFCHPH1,2021,0.7
REGION1,CZDGCHPH1,2021,0.9
REGION1,CZRGCHPH1,2021,0.9
REGION1,CZDSCHPH1,2021,0.9
REGION1,CZDSGCPH1,2021,0.9
REGION1,CZHFCHPH1,2021,0.9
REGION1,CZHFSTPH1,2021,0.9
REGION1,CZBMSTPH1,2021,0.7
REGION1,CZBMCHPH1,2021,0.7
REGION1,CZWSCHPH1,2021,0.9
REGION1,DENUG2PH1,2021,0.94
