REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BEBACKSTOP,2021,1.0
REGION1,BENUG2PH1,2021,1.0
REGION1,BECOCHPH1,2021,1.0
REGION1,BECOSTPH1,2021,1.0
REGION1,BENGCCPH1,2021,1.0
REGION1,BENGCHPH1,2021,1.0
REGION1,BEBFHPFH1,2021,1.0
REGION1,BEBFCHPH1,2021,1.0
REGION1,BEDGELH1,2021,1.0
REGION1,BERGCHPH1,2021,1.0
REGION1,BEDSCHPH1,2021,1.0
REGION1,BEDSELH1,2021,1.0
REGION1,BEHFCHPH1,2021,1.0
REGION1,BEHFSTPH1,2021,1.0
REGION1,BEWSCHPH1,2021,1.0
REGION1,BEWSSTPH1,2021,1.0
REGION1,BEWIOFPH1,2021,1.0
REGION1,BEWIONPH1,2021,1.0
REGION1,BESOUTPH1,2021,0.0
REGION1,BEHYDMPH1,2021,1.0
REGION1,BEHYDSPH1,2021,1.0
REGION1,BEHYDRPH1,2021,1.0
REGION1,BEBMCHPH1,2021,1.0
REGION1,BEBMSTPH1,2021,1.0
REGION1,BENUG2PN1,2021,1.0
REGION1,BECOCHPN1,2021,1.0
REGION1,BECOSTPN1,2021,1.0
REGION1,BENGCCPN1,2021,1.0
REGION1,BENGCHPN1,2021,1.0
REGION1,BEBFHPFN1,2021,1.0
REGION1,BEBFCHPN1,2021,1.0
REGION1,BEDGELN1,2021,1.0
REGION1,BERGCHPN1,2021,1.0
REGION1,BEDSCHPN1,2021,1.0
REGION1,BEDSELN1,2021,1.0
REGION1,BEHFCHPN1,2021,1.0
REGION1,BEHFSTPN1,2021,1.0
REGION1,BEWSCHPN1,2021,1.0
REGION1,BEWSSTPN1,2021,1.0
REGION1,BEWIOFPN1,2021,1.0
REGION1,BEWIONPN1,2021,1.0
REGION1,BESOUTPN1,2021,0.0
REGION1,BEHYDMPN1,2021,1.0
REGION1,BEHYDSPN1,2021,1.0
REGION1,BEHYDRPN1,2021,1.0
REGION1,BEBMCHPN1,2021,1.0
REGION1,BEBMSTPN1,2021,1.0
REGION1,BENGCCSN1,2021,1.0
REGION1,BEBMCCSN1,2021,1.0
REGION1,BEBATTH1,2021,1.0
REGION1,BEELFRPH1,2021,1.0
REGION1,BEELDEPH1,2021,1.0
REGION1,BEELLUPH1,2021,1.0
REGION1,BEELNLPH1,2021,1.0
REGION1,BEELUKPH1,2021,1.0
REGION1,BENGDEPI0,2021,1.0
REGION1,BENGFRPI0,2021,1.0
REGION1,BENGUKPI0,2021,1.0
REGION1,BENGNLPI0,2021,1.0
REGION1,BEBACKSTOP,2022,1.0
REGION1,BENUG2PH1,2022,1.0
REGION1,BECOCHPH1,2022,1.0
REGION1,BECOSTPH1,2022,1.0
REGION1,BENGCCPH1,2022,1.0
REGION1,BENGCHPH1,2022,1.0
REGION1,BEBFHPFH1,2022,1.0
REGION1,BEBFCHPH1,2022,1.0
REGION1,BEDGELH1,2022,1.0
REGION1,BERGCHPH1,2022,1.0
REGION1,BEDSCHPH1,2022,1.0
REGION1,BEDSELH1,2022,1.0
REGION1,BEHFCHPH1,2022,1.0
REGION1,BEHFSTPH1,2022,1.0
REGION1,BEWSCHPH1,2022,1.0
REGION1,BEWSSTPH1,2022,1.0
REGION1,BEWIOFPH1,2022,1.0
REGION1,BEWIONPH1,2022,1.0
REGION1,BESOUTPH1,2022,0.0
REGION1,BEHYDMPH1,2022,1.0
REGION1,BEHYDSPH1,2022,1.0
REGION1,BEHYDRPH1,2022,1.0
REGION1,BEBMCHPH1,2022,1.0
REGION1,BEBMSTPH1,2022,1.0
REGION1,BENUG2PN1,2022,1.0
REGION1,BECOCHPN1,2022,1.0
REGION1,BECOSTPN1,2022,1.0
REGION1,BENGCCPN1,2022,1.0
REGION1,BENGCHPN1,2022,1.0
REGION1,BEBFHPFN1,2022,1.0
REGION1,BEBFCHPN1,2022,1.0
REGION1,BEDGELN1,2022,1.0
REGION1,BERGCHPN1,2022,1.0
REGION1,BEDSCHPN1,2022,1.0
REGION1,BEDSELN1,2022,1.0
REGION1,BEHFCHPN1,2022,1.0
REGION1,BEHFSTPN1,2022,1.0
REGION1,BEWSCHPN1,2022,1.0
REGION1,BEWSSTPN1,2022,1.0
REGION1,BEWIOFPN1,2022,1.0
REGION1,BEWIONPN1,2022,1.0
REGION1,BESOUTPN1,2022,0.0
REGION1,BEHYDMPN1,2022,1.0
REGION1,BEHYDSPN1,2022,1.0
REGION1,BEHYDRPN1,2022,1.0
REGION1,BEBMCHPN1,2022,1.0
REGION1,BEBMSTPN1,2022,1.0
REGION1,BENGCCSN1,2022,1.0
REGION1,BEBMCCSN1,2022,1.0
REGION1,BEBATTH1,2022,1.0
REGION1,BEELFRPH1,2022,1.0
REGION1,BEELDEPH1,2022,1.0
REGION1,BEELLUPH1,2022,1.0
REGION1,BEELNLPH1,2022,1.0
REGION1,BEELUKPH1,2022,1.0
REGION1,BENGDEPI0,2022,1.0
REGION1,BENGFRPI0,2022,1.0
REGION1,BENGUKPI0,2022,1.0
REGION1,BENGNLPI0,2022,1.0
REGION1,BEBACKSTOP,2023,1.0
REGION1,BENUG2PH1,2023,1.0
REGION1,BECOCHPH1,2023,1.0
REGION1,BECOSTPH1,2023,1.0
REGION1,BENGCCPH1,2023,1.0
REGION1,BENGCHPH1,2023,1.0
REGION1,BEBFHPFH1,2023,1.0
REGION1,BEBFCHPH1,2023,1.0
REGION1,BEDGELH1,2023,1.0
REGION1,BERGCHPH1,2023,1.0
REGION1,BEDSCHPH1,2023,1.0
REGION1,BEDSELH1,2023,1.0
REGION1,BEHFCHPH1,2023,1.0
REGION1,BEHFSTPH1,2023,1.0
REGION1,BEWSCHPH1,2023,1.0
REGION1,BEWSSTPH1,2023,1.0
REGION1,BEWIOFPH1,2023,1.0
REGION1,BEWIONPH1,2023,1.0
REGION1,BESOUTPH1,2023,0.0
REGION1,BEHYDMPH1,2023,1.0
REGION1,BEHYDSPH1,2023,1.0
REGION1,BEHYDRPH1,2023,1.0
REGION1,BEBMCHPH1,2023,1.0
REGION1,BEBMSTPH1,2023,1.0
REGION1,BENUG2PN1,2023,1.0
REGION1,BECOCHPN1,2023,1.0
REGION1,BECOSTPN1,2023,1.0
REGION1,BENGCCPN1,2023,1.0
REGION1,BENGCHPN1,2023,1.0
REGION1,BEBFHPFN1,2023,1.0
REGION1,BEBFCHPN1,2023,1.0
REGION1,BEDGELN1,2023,1.0
