REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BFBACKSTOP,2021,1.0
REGION1,BFLFRCPH1,2021,1.0
REGION1,BFHFGCPH1,2021,1.0
REGION1,BFHYDMSH1,2021,1.0
REGION1,BFSOU1PH1,2021,0.0
REGION1,BFBMCHPH1,2021,1.0
REGION1,BFLFRCPN1,2021,1.0
REGION1,BFHFGCPN1,2021,1.0
REGION1,BFHYDMSN1,2021,1.0
REGION1,BFSOU1PN1,2021,0.0
REGION1,BFBMCHPN1,2021,1.0
REGION1,BFNGCCPN1,2021,1.0
REGION1,BFWINDPN1,2021,0.05
REGION1,BFNGCCSPN1,2021,1.0
REGION1,BFBMCCSPN1,2021,1.0
REGION1,BFBATTN1,2021,1.0
REGION1,CIELBFPH1,2021,1.0
REGION1,BFBACKSTOP,2022,1.0
REGION1,BFLFRCPH1,2022,1.0
REGION1,BFHFGCPH1,2022,1.0
REGION1,BFHYDMSH1,2022,1.0
REGION1,BFSOU1PH1,2022,0.0
REGION1,BFBMCHPH1,2022,1.0
REGION1,BFLFRCPN1,2022,1.0
REGION1,BFHFGCPN1,2022,1.0
REGION1,BFHYDMSN1,2022,1.0
REGION1,BFSOU1PN1,2022,0.0
REGION1,BFBMCHPN1,2022,1.0
REGION1,BFNGCCPN1,2022,1.0
REGION1,BFWINDPN1,2022,0.05
REGION1,BFNGCCSPN1,2022,1.0
REGION1,BFBMCCSPN1,2022,1.0
REGION1,BFBATTN1,2022,1.0
REGION1,CIELBFPH1,2022,1.0
REGION1,BFBACKSTOP,2023,1.0
REGION1,BFLFRCPH1,2023,1.0
REGION1,BFHFGCPH1,2023,1.0
REGION1,BFHYDMSH1,2023,1.0
REGION1,BFSOU1PH1,2023,0.0
REGION1,BFBMCHPH1,2023,1.0
REGION1,BFLFRCPN1,2023,1.0
REGION1,BFHFGCPN1,2023,1.0
REGION1,BFHYDMSN1,2023,1.0
REGION1,BFSOU1PN1,2023,0.0
REGION1,BFBMCHPN1,2023,1.0
REGION1,BFNGCCPN1,2023,1.0
REGION1,BFWINDPN1,2023,0.05
REGION1,BFNGCCSPN1,2023,1.0
REGION1,BFBMCCSPN1,2023,1.0
REGION1,BFBATTN1,2023,1.0
REGION1,CIELBFPH1,2023,1.0
REGION1,BFBACKSTOP,2024,1.0
REGION1,BFLFRCPH1,2024,1.0
REGION1,BFHFGCPH1,2024,1.0
REGION1,BFHYDMSH1,2024,1.0
REGION1,BFSOU1PH1,2024,0.0
REGION1,BFBMCHPH1,2024,1.0
REGION1,BFLFRCPN1,2024,1.0
REGION1,BFHFGCPN1,2024,1.0
REGION1,BFHYDMSN1,2024,1.0
REGION1,BFSOU1PN1,2024,0.0
REGION1,BFBMCHPN1,2024,1.0
REGION1,BFNGCCPN1,2024,1.0
REGION1,BFWINDPN1,2024,0.05
REGION1,BFNGCCSPN1,2024,1.0
REGION1,BFBMCCSPN1,2024,1.0
REGION1,BFBATTN1,2024,1.0
REGION1,CIELBFPH1,2024,1.0
REGION1,BFBACKSTOP,2025,1.0
REGION1,BFLFRCPH1,2025,1.0
REGION1,BFHFGCPH1,2025,1.0
REGION1,BFHYDMSH1,2025,1.0
REGION1,BFSOU1PH1,2025,0.0
REGION1,BFBMCHPH1,2025,1.0
REGION1,BFLFRCPN1,2025,1.0
REGION1,BFHFGCPN1,2025,1.0
REGION1,BFHYDMSN1,2025,1.0
REGION1,BFSOU1PN1,2025,0.0
REGION1,BFBMCHPN1,2025,1.0
REGION1,BFNGCCPN1,2025,1.0
REGION1,BFWINDPN1,2025,0.05
REGION1,BFNGCCSPN1,2025,1.0
REGION1,BFBMCCSPN1,2025,1.0
REGION1,BFBATTN1,2025,1.0
REGION1,CIELBFPH1,2025,1.0
REGION1,BFBACKSTOP,2026,1.0
REGION1,BFLFRCPH1,2026,1.0
REGION1,BFHFGCPH1,2026,1.0
REGION1,BFHYDMSH1,2026,1.0
REGION1,BFSOU1PH1,2026,0.0
REGION1,BFBMCHPH1,2026,1.0
REGION1,BFLFRCPN1,2026,1.0
REGION1,BFHFGCPN1,2026,1.0
REGION1,BFHYDMSN1,2026,1.0
REGION1,BFSOU1PN1,2026,0.0
REGION1,BFBMCHPN1,2026,1.0
REGION1,BFNGCCPN1,2026,1.0
REGION1,BFWINDPN1,2026,0.05
REGION1,BFNGCCSPN1,2026,1.0
REGION1,BFBMCCSPN1,2026,1.0
REGION1,BFBATTN1,2026,1.0
REGION1,CIELBFPH1,2026,1.0
REGION1,BFBACKSTOP,2027,1.0
REGION1,BFLFRCPH1,2027,1.0
REGION1,BFHFGCPH1,2027,1.0
REGION1,BFHYDMSH1,2027,1.0
REGION1,BFSOU1PH1,2027,0.0
REGION1,BFBMCHPH1,2027,1.0
REGION1,BFLFRCPN1,2027,1.0
REGION1,BFHFGCPN1,2027,1.0
REGION1,BFHYDMSN1,2027,1.0
REGION1,BFSOU1PN1,2027,0.0
REGION1,BFBMCHPN1,2027,1.0
REGION1,BFNGCCPN1,2027,1.0
REGION1,BFWINDPN1,2027,0.05
REGION1,BFNGCCSPN1,2027,1.0
REGION1,BFBMCCSPN1,2027,1.0
REGION1,BFBATTN1,2027,1.0
REGION1,CIELBFPH1,2027,1.0
REGION1,BFBACKSTOP,2028,1.0
REGION1,BFLFRCPH1,2028,1.0
REGION1,BFHFGCPH1,2028,1.0
REGION1,BFHYDMSH1,2028,1.0
REGION1,BFSOU1PH1,2028,0.0
REGION1,BFBMCHPH1,2028,1.0
REGION1,BFLFRCPN1,2028,1.0
REGION1,BFHFGCPN1,2028,1.0
REGION1,BFHYDMSN1,2028,1.0
REGION1,BFSOU1PN1,2028,0.0
REGION1,BFBMCHPN1,2028,1.0
REGION1,BFNGCCPN1,2028,1.0
REGION1,BFWINDPN1,2028,0.05
REGION1,BFNGCCSPN1,2028,1.0
REGION1,BFBMCCSPN1,2028,1.0
REGION1,BFBATTN1,2028,1.0
REGION1,CIELBFPH1,2028,1.0
REGION1,BFBACKSTOP,2029,1.0
REGION1,BFLFRCPH1,2029,1.0
REGION1,BFHFGCPH1,2029,1.0
REGION1,BFHYDMSH1,2029,1.0
REGION1,BFSOU1PH1,2029,0.0
REGION1,BFBMCHPH1,2029,1.0
REGION1,BFLFRCPN1,2029,1.0
REGION1,BFHFGCPN1,2029,1.0
REGION1,BFHYDMSN1,2029,1.0
REGION1,BFSOU1PN1,2029,0.0
REGION1,BFBMCHPN1,2029,1.0
REGION1,BFNGCCPN1,2029,1.0
REGION1,BFWINDPN1,2029,0.05
REGION1,BFNGCCSPN1,2029,1.0
REGION1,BFBMCCSPN1,2029,1.0
REGION1,BFBATTN1,2029,1.0
