REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BGBACKSTOP,2021,1.0
REGION1,BGBFHPFH1,2021,1.0
REGION1,BGCOCHPH1,2021,1.0
REGION1,BGCOSTPH1,2021,1.0
REGION1,BGHFCHPH1,2021,1.0
REGION1,BGHYDMPH1,2021,1.0
REGION1,BGHYDSPH1,2021,1.0
REGION1,BGNGCHPH1,2021,1.0
REGION1,BGNGSTPH1,2021,1.0
REGION1,BGNUG2PH1,2021,1.0
REGION1,BGSOUTPH1,2021,0.0
REGION1,BGWIONPH1,2021,1.0
REGION1,BGLICHPH1,2021,1.0
REGION1,BGLIELH1,2021,1.0
REGION1,BGBFCHPH1,2021,1.0
REGION1,BGRGCHPH1,2021,1.0
REGION1,BGRGELH1,2021,1.0
REGION1,BGDSCHPH1,2021,1.0
REGION1,BGDSELH1,2021,1.0
REGION1,BGHFSTPH1,2021,1.0
REGION1,BGBMCHPH1,2021,1.0
REGION1,BGBMSTPH1,2021,1.0
REGION1,BGWSCHPH1,2021,1.0
REGION1,BGHYDRPH1,2021,1.0
REGION1,BGBFHPFN1,2021,1.0
REGION1,BGCOCHPN1,2021,1.0
REGION1,BGCOSTPN1,2021,1.0
REGION1,BGHFCHPN1,2021,1.0
REGION1,BGHYDMPN1,2021,1.0
REGION1,BGHYDSPN1,2021,1.0
REGION1,BGNGCHPN1,2021,1.0
REGION1,BGNGSTPN1,2021,1.0
REGION1,BGNUG2PN1,2021,1.0
REGION1,BGSOUTPN1,2021,0.0
REGION1,BGWIONPN1,2021,1.0
REGION1,BGLICHPN1,2021,1.0
REGION1,BGLIELN1,2021,1.0
REGION1,BGBFCHPN1,2021,1.0
REGION1,BGRGCHPN1,2021,1.0
REGION1,BGRGELN1,2021,1.0
REGION1,BGDSCHPN1,2021,1.0
REGION1,BGDSELN1,2021,1.0
REGION1,BGHFSTPN1,2021,1.0
REGION1,BGBMCHPN1,2021,1.0
REGION1,BGBMSTPN1,2021,1.0
REGION1,BGWSCHPN1,2021,1.0
REGION1,BGHYDRPN1,2021,1.0
REGION1,BGNGCCSN1,2021,1.0
REGION1,BGBMCCSN1,2021,1.0
REGION1,BGBATTH1,2021,1.0
REGION1,BGELGRPH1,2021,1.0
REGION1,BGELROPH1,2021,1.0
REGION1,BGELMKPH1,2021,1.0
REGION1,BGELRSPH1,2021,1.0
REGION1,BGELTRPH1,2021,1.0
REGION1,BGNGGRPI0,2021,1.0
REGION1,BGNGROPI0,2021,1.0
REGION1,BGBACKSTOP,2022,1.0
REGION1,BGBFHPFH1,2022,1.0
REGION1,BGCOCHPH1,2022,1.0
REGION1,BGCOSTPH1,2022,1.0
REGION1,BGHFCHPH1,2022,1.0
REGION1,BGHYDMPH1,2022,1.0
REGION1,BGHYDSPH1,2022,1.0
REGION1,BGNGCHPH1,2022,1.0
REGION1,BGNGSTPH1,2022,1.0
REGION1,BGNUG2PH1,2022,1.0
REGION1,BGSOUTPH1,2022,0.0
REGION1,BGWIONPH1,2022,1.0
REGION1,BGLICHPH1,2022,1.0
REGION1,BGLIELH1,2022,1.0
REGION1,BGBFCHPH1,2022,1.0
REGION1,BGRGCHPH1,2022,1.0
REGION1,BGRGELH1,2022,1.0
REGION1,BGDSCHPH1,2022,1.0
REGION1,BGDSELH1,2022,1.0
REGION1,BGHFSTPH1,2022,1.0
REGION1,BGBMCHPH1,2022,1.0
REGION1,BGBMSTPH1,2022,1.0
REGION1,BGWSCHPH1,2022,1.0
REGION1,BGHYDRPH1,2022,1.0
REGION1,BGBFHPFN1,2022,1.0
REGION1,BGCOCHPN1,2022,1.0
REGION1,BGCOSTPN1,2022,1.0
REGION1,BGHFCHPN1,2022,1.0
REGION1,BGHYDMPN1,2022,1.0
REGION1,BGHYDSPN1,2022,1.0
REGION1,BGNGCHPN1,2022,1.0
REGION1,BGNGSTPN1,2022,1.0
REGION1,BGNUG2PN1,2022,1.0
REGION1,BGSOUTPN1,2022,0.0
REGION1,BGWIONPN1,2022,1.0
REGION1,BGLICHPN1,2022,1.0
REGION1,BGLIELN1,2022,1.0
REGION1,BGBFCHPN1,2022,1.0
REGION1,BGRGCHPN1,2022,1.0
REGION1,BGRGELN1,2022,1.0
REGION1,BGDSCHPN1,2022,1.0
REGION1,BGDSELN1,2022,1.0
REGION1,BGHFSTPN1,2022,1.0
REGION1,BGBMCHPN1,2022,1.0
REGION1,BGBMSTPN1,2022,1.0
REGION1,BGWSCHPN1,2022,1.0
REGION1,BGHYDRPN1,2022,1.0
REGION1,BGNGCCSN1,2022,1.0
REGION1,BGBMCCSN1,2022,1.0
REGION1,BGBATTH1,2022,1.0
REGION1,BGELGRPH1,2022,1.0
REGION1,BGELROPH1,2022,1.0
REGION1,BGELMKPH1,2022,1.0
REGION1,BGELRSPH1,2022,1.0
REGION1,BGELTRPH1,2022,1.0
REGION1,BGNGGRPI0,2022,1.0
REGION1,BGNGROPI0,2022,1.0
REGION1,BGBACKSTOP,2023,1.0
REGION1,BGBFHPFH1,2023,1.0
REGION1,BGCOCHPH1,2023,1.0
REGION1,BGCOSTPH1,2023,1.0
REGION1,BGHFCHPH1,2023,1.0
REGION1,BGHYDMPH1,2023,1.0
REGION1,BGHYDSPH1,2023,1.0
REGION1,BGNGCHPH1,2023,1.0
REGION1,BGNGSTPH1,2023,1.0
REGION1,BGNUG2PH1,2023,1.0
REGION1,BGSOUTPH1,2023,0.0
REGION1,BGWIONPH1,2023,1.0
REGION1,BGLICHPH1,2023,1.0
REGION1,BGLIELH1,2023,1.0
REGION1,BGBFCHPH1,2023,1.0
REGION1,BGRGCHPH1,2023,1.0
REGION1,BGRGELH1,2023,1.0
REGION1,BGDSCHPH1,2023,1.0
REGION1,BGDSELH1,2023,1.0
REGION1,BGHFSTPH1,2023,1.0
REGION1,BGBMCHPH1,2023,1.0
REGION1,BGBMSTPH1,2023,1.0
REGION1,BGWSCHPH1,2023,1.0
REGION1,BGHYDRPH1,2023,1.0
REGION1,BGBFHPFN1,2023,1.0
REGION1,BGCOCHPN1,2023,1.0
REGION1,BGCOSTPN1,2023,1.0
REGION1,BGHFCHPN1,2023,1.0
REGION1,BGHYDMPN1,2023,1.0
REGION1,BGHYDSPN1,2023,1.0
REGION1,BGNGCHPN1,2023,1.0
REGION1,BGNGSTPN1,2023,1.0
REGION1,BGNUG2PN1,2023,1.0
REGION1,BGSOUTPN1,2023,0.0
REGION1,BGWIONPN1,2023,1.0
REGION1,BGLICHPN1,2023,1.0
REGION1,BGLIELN1,2023,1.0
REGION1,BGBFCHPN1,2023,1.0
REGION1,BGRGCHPN1,2023,1.0
REGION1,BGRGELN1,2023,1.0
REGION1,BGDSCHPN1,2023,1.0
REGION1,BGDSELN1,2023,1.0
REGION1,BGHFSTPN1,2023,1.0
REGION1,BGBMCHPN1,2023,1.0
REGION1,BGBMSTPN1,2023,1.0
REGION1,BGWSCHPN1,2023,1.0
REGION1,BGHYDRPN1,2023,1.0
REGION1,BGNGCCSN1,2023,1.0
REGION1,BGBMCCSN1,2023,1.0
REGION1,BGBATTH1,2023,1.0
REGION1,BGELGRPH1,2023,1.0
