REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BIBACKSTOP,2021,1.0
REGION1,BIHYDMSH1,2021,1.0
REGION1,BILFRCPH1,2021,1.0
REGION1,BISOU1PH1,2021,0.0
REGION1,BIHYDMSN1,2021,1.0
REGION1,BILFRCPN1,2021,1.0
REGION1,BISOU1PN1,2021,0.0
REGION1,BINGCCPN1,2021,1.0
REGION1,BIWINDPN1,2021,0.05
REGION1,BINGCCSPN1,2021,1.0
REGION1,BIBATTN1,2021,1.0
REGION1,BIELRWPH1,2021,1.0
REGION1,CDELBIPH1,2021,1.0
REGION1,RWELBIPH1,2021,1.0
REGION1,BIBACKSTOP,2022,1.0
REGION1,BIHYDMSH1,2022,1.0
REGION1,BILFRCPH1,2022,1.0
REGION1,BISOU1PH1,2022,0.0
REGION1,BIHYDMSN1,2022,1.0
REGION1,BILFRCPN1,2022,1.0
REGION1,BISOU1PN1,2022,0.0
REGION1,BINGCCPN1,2022,1.0
REGION1,BIWINDPN1,2022,0.05
REGION1,BINGCCSPN1,2022,1.0
REGION1,BIBATTN1,2022,1.0
REGION1,BIELRWPH1,2022,1.0
REGION1,CDELBIPH1,2022,1.0
REGION1,RWELBIPH1,2022,1.0
REGION1,BIBACKSTOP,2023,1.0
REGION1,BIHYDMSH1,2023,1.0
REGION1,BILFRCPH1,2023,1.0
REGION1,BISOU1PH1,2023,0.0
REGION1,BIHYDMSN1,2023,1.0
REGION1,BILFRCPN1,2023,1.0
REGION1,BISOU1PN1,2023,0.0
REGION1,BINGCCPN1,2023,1.0
REGION1,BIWINDPN1,2023,0.05
REGION1,BINGCCSPN1,2023,1.0
REGION1,BIBATTN1,2023,1.0
REGION1,BIELRWPH1,2023,1.0
REGION1,CDELBIPH1,2023,1.0
REGION1,RWELBIPH1,2023,1.0
REGION1,BIBACKSTOP,2024,1.0
REGION1,BIHYDMSH1,2024,1.0
REGION1,BILFRCPH1,2024,1.0
REGION1,BISOU1PH1,2024,0.0
REGION1,BIHYDMSN1,2024,1.0
REGION1,BILFRCPN1,2024,1.0
REGION1,BISOU1PN1,2024,0.0
REGION1,BINGCCPN1,2024,1.0
REGION1,BIWINDPN1,2024,0.05
REGION1,BINGCCSPN1,2024,1.0
REGION1,BIBATTN1,2024,1.0
REGION1,BIELRWPH1,2024,1.0
REGION1,CDELBIPH1,2024,1.0
REGION1,RWELBIPH1,2024,1.0
REGION1,BIBACKSTOP,2025,1.0
REGION1,BIHYDMSH1,2025,1.0
REGION1,BILFRCPH1,2025,1.0
REGION1,BISOU1PH1,2025,0.0
REGION1,BIHYDMSN1,2025,1.0
REGION1,BILFRCPN1,2025,1.0
REGION1,BISOU1PN1,2025,0.0
REGION1,BINGCCPN1,2025,1.0
REGION1,BIWINDPN1,2025,0.05
REGION1,BINGCCSPN1,2025,1.0
REGION1,BIBATTN1,2025,1.0
REGION1,BIELRWPH1,2025,1.0
REGION1,CDELBIPH1,2025,1.0
REGION1,RWELBIPH1,2025,1.0
REGION1,BIBACKSTOP,2026,1.0
REGION1,BIHYDMSH1,2026,1.0
REGION1,BILFRCPH1,2026,1.0
REGION1,BISOU1PH1,2026,0.0
REGION1,BIHYDMSN1,2026,1.0
REGION1,BILFRCPN1,2026,1.0
REGION1,BISOU1PN1,2026,0.0
REGION1,BINGCCPN1,2026,1.0
REGION1,BIWINDPN1,2026,0.05
REGION1,BINGCCSPN1,2026,1.0
REGION1,BIBATTN1,2026,1.0
REGION1,BIELRWPH1,2026,1.0
REGION1,CDELBIPH1,2026,1.0
REGION1,RWELBIPH1,2026,1.0
REGION1,BIBACKSTOP,2027,1.0
REGION1,BIHYDMSH1,2027,1.0
REGION1,BILFRCPH1,2027,1.0
