REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BJBACKSTOP,2021,1.0
REGION1,BJSOU1PH1,2021,0.0
REGION1,BJNGGCPH1,2021,1.0
REGION1,BJLFRCPH1,2021,1.0
REGION1,BJHFGCPH1,2021,1.0
REGION1,BJHYDMSH1,2021,1.0
REGION1,BJSOU1PN1,2021,0.0
REGION1,BJNGGCPN1,2021,1.0
REGION1,BJLFRCPN1,2021,1.0
REGION1,BJHFGCPN1,2021,1.0
REGION1,BJHYDMSN1,2021,1.0
REGION1,BJWINDPN1,2021,0.05
REGION1,BJNGCCSPN1,2021,1.0
REGION1,BJBATTN1,2021,1.0
REGION1,NGELBJPH1,2021,1.0
REGION1,TGELBJPH1,2021,1.0
REGION1,BJBACKSTOP,2022,1.0
REGION1,BJSOU1PH1,2022,0.0
REGION1,BJNGGCPH1,2022,1.0
REGION1,BJLFRCPH1,2022,1.0
REGION1,BJHFGCPH1,2022,1.0
REGION1,BJHYDMSH1,2022,1.0
REGION1,BJSOU1PN1,2022,0.0
REGION1,BJNGGCPN1,2022,1.0
REGION1,BJLFRCPN1,2022,1.0
REGION1,BJHFGCPN1,2022,1.0
REGION1,BJHYDMSN1,2022,1.0
REGION1,BJWINDPN1,2022,0.05
REGION1,BJNGCCSPN1,2022,1.0
REGION1,BJBATTN1,2022,1.0
REGION1,NGELBJPH1,2022,1.0
REGION1,TGELBJPH1,2022,1.0
REGION1,BJBACKSTOP,2023,1.0
REGION1,BJSOU1PH1,2023,0.0
REGION1,BJNGGCPH1,2023,1.0
REGION1,BJLFRCPH1,2023,1.0
REGION1,BJHFGCPH1,2023,1.0
REGION1,BJHYDMSH1,2023,1.0
REGION1,BJSOU1PN1,2023,0.0
REGION1,BJNGGCPN1,2023,1.0
REGION1,BJLFRCPN1,2023,1.0
REGION1,BJHFGCPN1,2023,1.0
REGION1,BJHYDMSN1,2023,1.0
REGION1,BJWINDPN1,2023,0.05
REGION1,BJNGCCSPN1,2023,1.0
REGION1,BJBATTN1,2023,1.0
REGION1,NGELBJPH1,2023,1.0
REGION1,TGELBJPH1,2023,1.0
REGION1,BJBACKSTOP,2024,1.0
REGION1,BJSOU1PH1,2024,0.0
REGION1,BJNGGCPH1,2024,1.0
REGION1,BJLFRCPH1,2024,1.0
REGION1,BJHFGCPH1,2024,1.0
REGION1,BJHYDMSH1,2024,1.0
REGION1,BJSOU1PN1,2024,0.0
REGION1,BJNGGCPN1,2024,1.0
REGION1,BJLFRCPN1,2024,1.0
REGION1,BJHFGCPN1,2024,1.0
REGION1,BJHYDMSN1,2024,1.0
REGION1,BJWINDPN1,2024,0.05
REGION1,BJNGCCSPN1,2024,1.0
REGION1,BJBATTN1,2024,1.0
REGION1,NGELBJPH1,2024,1.0
REGION1,TGELBJPH1,2024,1.0
REGION1,BJBACKSTOP,2025,1.0
REGION1,BJSOU1PH1,2025,0.0
REGION1,BJNGGCPH1,2025,1.0
REGION1,BJLFRCPH1,2025,1.0
REGION1,BJHFGCPH1,2025,1.0
REGION1,BJHYDMSH1,2025,1.0
REGION1,BJSOU1PN1,2025,0.0
REGION1,BJNGGCPN1,2025,1.0
REGION1,BJLFRCPN1,2025,1.0
REGION1,BJHFGCPN1,2025,1.0
REGION1,BJHYDMSN1,2025,1.0
REGION1,BJWINDPN1,2025,0.05
REGION1,BJNGCCSPN1,2025,1.0
REGION1,BJBATTN1,2025,1.0
REGION1,NGELBJPH1,2025,1.0
REGION1,TGELBJPH1,2025,1.0
REGION1,BJBACKSTOP,2026,1.0
REGION1,BJSOU1PH1,2026,0.0
REGION1,BJNGGCPH1,2026,1.0
REGION1,BJLFRCPH1,2026,1.0
REGION1,BJHFGCPH1,2026,1.0
REGION1,BJHYDMSH1,2026,1.0
REGION1,BJSOU1PN1,2026,0.0
REGION1,BJNGGCPN1,2026,1.0
REGION1,BJLFRCPN1,2026,1.0
REGION1,BJHFGCPN1,2026,1.0
REGION1,BJHYDMSN1,2026,1.0
REGION1,BJWINDPN1,2026,0.05
REGION1,BJNGCCSPN1,2026,1.0
REGION1,BJBATTN1,2026,1.0
REGION1,NGELBJPH1,2026,1.0
REGION1,TGELBJPH1,2026,1.0
REGION1,BJBACKSTOP,2027,1.0
REGION1,BJSOU1PH1,2027,0.0
REGION1,BJNGGCPH1,2027,1.0
REGION1,BJLFRCPH1,2027,1.0
REGION1,BJHFGCPH1,2027,1.0
REGION1,BJHYDMSH1,2027,1.0
REGION1,BJSOU1PN1,2027,0.0
REGION1,BJNGGCPN1,2027,1.0
REGION1,BJLFRCPN1,2027,1.0
REGION1,BJHFGCPN1,2027,1.0
REGION1,BJHYDMSN1,2027,1.0
REGION1,BJWINDPN1,2027,0.05
REGION1,BJNGCCSPN1,2027,1.0
REGION1,BJBATTN1,2027,1.0
REGION1,NGELBJPH1,2027,1.0
REGION1,TGELBJPH1,2027,1.0
REGION1,BJBACKSTOP,2028,1.0
