REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CDBACKSTOP,2021,1.0
REGION1,CDLFRCPH1,2021,1.0
REGION1,CDHFGCPH1,2021,1.0
REGION1,CDHYDMSH1,2021,1.0
REGION1,CDSOU1PH1,2021,0.0
REGION1,CDLFRCPN1,2021,1.0
REGION1,CDHFGCPN1,2021,1.0
REGION1,CDHYDMSN1,2021,1.0
REGION1,CDSOU1PN1,2021,0.0
REGION1,CDNGCCPN1,2021,1.0
REGION1,CDWINDPN1,2021,0.05
REGION1,CDNGCCSPN1,2021,1.0
REGION1,CDBATTN1,2021,1.0
REGION1,CDELBIPH1,2021,1.0
REGION1,CDELCGPH1,2021,1.0
REGION1,CDELRWPH1,2021,1.0
REGION1,CDELZMPH1,2021,1.0
REGION1,CDBACKSTOP,2022,1.0
REGION1,CDLFRCPH1,2022,1.0
REGION1,CDHFGCPH1,2022,1.0
REGION1,CDHYDMSH1,2022,1.0
REGION1,CDSOU1PH1,2022,0.0
REGION1,CDLFRCPN1,2022,1.0
REGION1,CDHFGCPN1,2022,1.0
REGION1,CDHYDMSN1,2022,1.0
REGION1,CDSOU1PN1,2022,0.0
REGION1,CDNGCCPN1,2022,1.0
REGION1,CDWINDPN1,2022,0.05
REGION1,CDNGCCSPN1,2022,1.0
REGION1,CDBATTN1,2022,1.0
REGION1,CDELBIPH1,2022,1.0
REGION1,CDELCGPH1,2022,1.0
REGION1,CDELRWPH1,2022,1.0
REGION1,CDELZMPH1,2022,1.0
REGION1,CDBACKSTOP,2023,1.0
REGION1,CDLFRCPH1,2023,1.0
REGION1,CDHFGCPH1,2023,1.0
REGION1,CDHYDMSH1,2023,1.0
REGION1,CDSOU1PH1,2023,0.0
REGION1,CDLFRCPN1,2023,1.0
REGION1,CDHFGCPN1,2023,1.0
REGION1,CDHYDMSN1,2023,1.0
REGION1,CDSOU1PN1,2023,0.0
REGION1,CDNGCCPN1,2023,1.0
REGION1,CDWINDPN1,2023,0.05
REGION1,CDNGCCSPN1,2023,1.0
REGION1,CDBATTN1,2023,1.0
REGION1,CDELBIPH1,2023,1.0
REGION1,CDELCGPH1,2023,1.0
REGION1,CDELRWPH1,2023,1.0
REGION1,CDELZMPH1,2023,1.0
REGION1,CDBACKSTOP,2024,1.0
REGION1,CDLFRCPH1,2024,1.0
REGION1,CDHFGCPH1,2024,1.0
REGION1,CDHYDMSH1,2024,1.0
REGION1,CDSOU1PH1,2024,0.0
REGION1,CDLFRCPN1,2024,1.0
REGION1,CDHFGCPN1,2024,1.0
REGION1,CDHYDMSN1,2024,1.0
REGION1,CDSOU1PN1,2024,0.0
REGION1,CDNGCCPN1,2024,1.0
REGION1,CDWINDPN1,2024,0.05
REGION1,CDNGCCSPN1,2024,1.0
REGION1,CDBATTN1,2024,1.0
REGION1,CDELBIPH1,2024,1.0
REGION1,CDELCGPH1,2024,1.0
REGION1,CDELRWPH1,2024,1.0
REGION1,CDELZMPH1,2024,1.0
REGION1,CDBACKSTOP,2025,1.0
REGION1,CDLFRCPH1,2025,1.0
REGION1,CDHFGCPH1,2025,1.0
REGION1,CDHYDMSH1,2025,1.0
REGION1,CDSOU1PH1,2025,0.0
REGION1,CDLFRCPN1,2025,1.0
REGION1,CDHFGCPN1,2025,1.0
REGION1,CDHYDMSN1,2025,1.0
REGION1,CDSOU1PN1,2025,0.0
REGION1,CDNGCCPN1,2025,1.0
REGION1,CDWINDPN1,2025,0.05
REGION1,CDNGCCSPN1,2025,1.0
REGION1,CDBATTN1,2025,1.0
REGION1,CDELBIPH1,2025,1.0
REGION1,CDELCGPH1,2025,1.0
REGION1,CDELRWPH1,2025,1.0
REGION1,CDELZMPH1,2025,1.0
REGION1,CDBACKSTOP,2026,1.0
REGION1,CDLFRCPH1,2026,1.0
REGION1,CDHFGCPH1,2026,1.0
REGION1,CDHYDMSH1,2026,1.0
REGION1,CDSOU1PH1,2026,0.0
REGION1,CDLFRCPN1,2026,1.0
REGION1,CDHFGCPN1,2026,1.0
REGION1,CDHYDMSN1,2026,1.0
REGION1,CDSOU1PN1,2026,0.0
REGION1,CDNGCCPN1,2026,1.0
REGION1,CDWINDPN1,2026,0.05
REGION1,CDNGCCSPN1,2026,1.0
REGION1,CDBATTN1,2026,1.0
REGION1,CDELBIPH1,2026,1.0
REGION1,CDELCGPH1,2026,1.0
REGION1,CDELRWPH1,2026,1.0
REGION1,CDELZMPH1,2026,1.0
REGION1,CDBACKSTOP,2027,1.0
REGION1,CDLFRCPH1,2027,1.0
REGION1,CDHFGCPH1,2027,1.0
REGION1,CDHYDMSH1,2027,1.0
REGION1,CDSOU1PH1,2027,0.0
REGION1,CDLFRCPN1,2027,1.0
REGION1,CDHFGCPN1,2027,1.0
REGION1,CDHYDMSN1,2027,1.0
REGION1,CDSOU1PN1,2027,0.0
REGION1,CDNGCCPN1,2027,1.0
REGION1,CDWINDPN1,2027,0.05
REGION1,CDNGCCSPN1,2027,1.0
REGION1,CDBATTN1,2027,1.0
REGION1,CDELBIPH1,2027,1.0
REGION1,CDELCGPH1,2027,1.0
REGION1,CDELRWPH1,2027,1.0
