REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CFBACKSTOP,2021,1.0
REGION1,CFSOU1PH1,2021,0.0
REGION1,CFLFRCPH1,2021,1.0
REGION1,CFHYDMSH1,2021,1.0
REGION1,CFSOU1PN1,2021,0.0
REGION1,CFLFRCPN1,2021,1.0
REGION1,CFHYDMSN1,2021,1.0
REGION1,CFNGCCPN1,2021,1.0
REGION1,CFWINDPN1,2021,0.05
REGION1,CFNGCCSPN1,2021,1.0
REGION1,CFBATTN1,2021,1.0
REGION1,CFBACKSTOP,2022,1.0
REGION1,CFSOU1PH1,2022,0.0
REGION1,CFLFRCPH1,2022,1.0
REGION1,CFHYDMSH1,2022,1.0
REGION1,CFSOU1PN1,2022,0.0
REGION1,CFLFRCPN1,2022,1.0
REGION1,CFHYDMSN1,2022,1.0
REGION1,CFNGCCPN1,2022,1.0
REGION1,CFWINDPN1,2022,0.05
REGION1,CFNGCCSPN1,2022,1.0
REGION1,CFBATTN1,2022,1.0
REGION1,CFBACKSTOP,2023,1.0
REGION1,CFSOU1PH1,2023,0.0
REGION1,CFLFRCPH1,2023,1.0
REGION1,CFHYDMSH1,2023,1.0
REGION1,CFSOU1PN1,2023,0.0
REGION1,CFLFRCPN1,2023,1.0
REGION1,CFHYDMSN1,2023,1.0
REGION1,CFNGCCPN1,2023,1.0
REGION1,CFWINDPN1,2023,0.05
REGION1,CFNGCCSPN1,2023,1.0
REGION1,CFBATTN1,2023,1.0
REGION1,CFBACKSTOP,2024,1.0
REGION1,CFSOU1PH1,2024,0.0
REGION1,CFLFRCPH1,2024,1.0
REGION1,CFHYDMSH1,2024,1.0
REGION1,CFSOU1PN1,2024,0.0
REGION1,CFLFRCPN1,2024,1.0
REGION1,CFHYDMSN1,2024,1.0
REGION1,CFNGCCPN1,2024,1.0
REGION1,CFWINDPN1,2024,0.05
REGION1,CFNGCCSPN1,2024,1.0
REGION1,CFBATTN1,2024,1.0
REGION1,CFBACKSTOP,2025,1.0
REGION1,CFSOU1PH1,2025,0.0
REGION1,CFLFRCPH1,2025,1.0
REGION1,CFHYDMSH1,2025,1.0
REGION1,CFSOU1PN1,2025,0.0
REGION1,CFLFRCPN1,2025,1.0
REGION1,CFHYDMSN1,2025,1.0
REGION1,CFNGCCPN1,2025,1.0
REGION1,CFWINDPN1,2025,0.05
REGION1,CFNGCCSPN1,2025,1.0
REGION1,CFBATTN1,2025,1.0
REGION1,CFBACKSTOP,2026,1.0
REGION1,CFSOU1PH1,2026,0.0
REGION1,CFLFRCPH1,2026,1.0
REGION1,CFHYDMSH1,2026,1.0
REGION1,CFSOU1PN1,2026,0.0
REGION1,CFLFRCPN1,2026,1.0
REGION1,CFHYDMSN1,2026,1.0
REGION1,CFNGCCPN1,2026,1.0
REGION1,CFWINDPN1,2026,0.05
REGION1,CFNGCCSPN1,2026,1.0
REGION1,CFBATTN1,2026,1.0
REGION1,CFBACKSTOP,2027,1.0
REGION1,CFSOU1PH1,2027,0.0
REGION1,CFLFRCPH1,2027,1.0
REGION1,CFHYDMSH1,2027,1.0
REGION1,CFSOU1PN1,2027,0.0
REGION1,CFLFRCPN1,2027,1.0
REGION1,CFHYDMSN1,2027,1.0
REGION1,CFNGCCPN1,2027,1.0
REGION1,CFWINDPN1,2027,0.05
REGION1,CFNGCCSPN1,2027,1.0
REGION1,CFBATTN1,2027,1.0
REGION1,CFBACKSTOP,2028,1.0
REGION1,CFSOU1PH1,2028,0.0
REGION1,CFLFRCPH1,2028,1.0
REGION1,CFHYDMSH1,2028,1.0
REGION1,CFSOU1PN1,2028,0.0
REGION1,CFLFRCPN1,2028,1.0
REGION1,CFHYDMSN1,2028,1.0
REGION1,CFNGCCPN1,2028,1.0
REGION1,CFWINDPN1,2028,0.05
REGION1,CFNGCCSPN1,2028,1.0
REGION1,CFBATTN1,2028,1.0
REGION1,CFBACKSTOP,2029,1.0
REGION1,CFSOU1PH1,2029,0.0
REGION1,CFLFRCPH1,2029,1.0
REGION1,CFHYDMSH1,2029,1.0
REGION1,CFSOU1PN1,2029,0.0
REGION1,CFLFRCPN1,2029,1.0
REGION1,CFHYDMSN1,2029,1.0
REGION1,CFNGCCPN1,2029,1.0
REGION1,CFWINDPN1,2029,0.05
REGION1,CFNGCCSPN1,2029,1.0
REGION1,CFBATTN1,2029,1.0
REGION1,CFBACKSTOP,2030,1.0
REGION1,CFSOU1PH1,2030,0.0
REGION1,CFLFRCPH1,2030,1.0
REGION1,CFHYDMSH1,2030,1.0
REGION1,CFSOU1PN1,2030,0.0
REGION1,CFLFRCPN1,2030,1.0
REGION1,CFHYDMSN1,2030,1.0
REGION1,CFNGCCPN1,2030,1.0
REGION1,CFWINDPN1,2030,0.05
REGION1,CFNGCCSPN1,2030,1.0
REGION1,CFBATTN1,2030,1.0
REGION1,CFBACKSTOP,2031,1.0
REGION1,CFSOU1PH1,2031,0.0
REGION1,CFLFRCPH1,2031,1.0
REGION1,CFHYDMSH1,2031,1.0
REGION1,CFSOU1PN1,2031,0.0
REGION1,CFLFRCPN1,2031,1.0
REGION1,CFHYDMSN1,2031,1.0
REGION1,CFNGCCPN1,2031,1.0
REGION1,CFWINDPN1,2031,0.05
REGION1,CFNGCCSPN1,2031,1.0
REGION1,CFBATTN1,2031,1.0
REGION1,CFBACKSTOP,2032,1.0
REGION1,CFSOU1PH1,2032,0.0
REGION1,CFLFRCPH1,2032,1.0
REGION1,CFHYDMSH1,2032,1.0
REGION1,CFSOU1PN1,2032,0.0
REGION1,CFLFRCPN1,2032,1.0
REGION1,CFHYDMSN1,2032,1.0
REGION1,CFNGCCPN1,2032,1.0
REGION1,CFWINDPN1,2032,0.05
REGION1,CFNGCCSPN1,2032,1.0
REGION1,CFBATTN1,2032,1.0
REGION1,CFBACKSTOP,2033,1.0
REGION1,CFSOU1PH1,2033,0.0
REGION1,CFLFRCPH1,2033,1.0
REGION1,CFHYDMSH1,2033,1.0
REGION1,CFSOU1PN1,2033,0.0
REGION1,CFLFRCPN1,2033,1.0
REGION1,CFHYDMSN1,2033,1.0
REGION1,CFNGCCPN1,2033,1.0
REGION1,CFWINDPN1,2033,0.05
REGION1,CFNGCCSPN1,2033,1.0
REGION1,CFBATTN1,2033,1.0
REGION1,CFBACKSTOP,2034,1.0
REGION1,CFSOU1PH1,2034,0.0
REGION1,CFLFRCPH1,2034,1.0
REGION1,CFHYDMSH1,2034,1.0
REGION1,CFSOU1PN1,2034,0.0
REGION1,CFLFRCPN1,2034,1.0
REGION1,CFHYDMSN1,2034,1.0
REGION1,CFNGCCPN1,2034,1.0
REGION1,CFWINDPN1,2034,0.05
REGION1,CFNGCCSPN1,2034,1.0
REGION1,CFBATTN1,2034,1.0
REGION1,CFBACKSTOP,2035,1.0
REGION1,CFSOU1PH1,2035,0.0
REGION1,CFLFRCPH1,2035,1.0
REGION1,CFHYDMSH1,2035,1.0
REGION1,CFSOU1PN1,2035,0.0
REGION1,CFLFRCPN1,2035,1.0
REGION1,CFHYDMSN1,2035,1.0
REGION1,CFNGCCPN1,2035,1.0
REGION1,CFWINDPN1,2035,0.05
REGION1,CFNGCCSPN1,2035,1.0
REGION1,CFBATTN1,2035,1.0
REGION1,CFBACKSTOP,2036,1.0
REGION1,CFSOU1PH1,2036,0.0
REGION1,CFLFRCPH1,2036,1.0
REGION1,CFHYDMSH1,2036,1.0
REGION1,CFSOU1PN1,2036,0.0
REGION1,CFLFRCPN1,2036,1.0
REGION1,CFHYDMSN1,2036,1.0
REGION1,CFNGCCPN1,2036,1.0
REGION1,CFWINDPN1,2036,0.05
REGION1,CFNGCCSPN1,2036,1.0
REGION1,CFBATTN1,2036,1.0
REGION1,CFBACKSTOP,2037,1.0
REGION1,CFSOU1PH1,2037,0.0
REGION1,CFLFRCPH1,2037,1.0
REGION1,CFHYDMSH1,2037,1.0
REGION1,CFSOU1PN1,2037,0.0
REGION1,CFLFRCPN1,2037,1.0
REGION1,CFHYDMSN1,2037,1.0
REGION1,CFNGCCPN1,2037,1.0
REGION1,CFWINDPN1,2037,0.05
REGION1,CFNGCCSPN1,2037,1.0
REGION1,CFBATTN1,2037,1.0
REGION1,CFBACKSTOP,2038,1.0
REGION1,CFSOU1PH1,2038,0.0
REGION1,CFLFRCPH1,2038,1.0
REGION1,CFHYDMSH1,2038,1.0
REGION1,CFSOU1PN1,2038,0.0
REGION1,CFLFRCPN1,2038,1.0
REGION1,CFHYDMSN1,2038,1.0
REGION1,CFNGCCPN1,2038,1.0
REGION1,CFWINDPN1,2038,0.05
REGION1,CFNGCCSPN1,2038,1.0
REGION1,CFBATTN1,2038,1.0
REGION1,CFBACKSTOP,2039,1.0
REGION1,CFSOU1PH1,2039,0.0
REGION1,CFLFRCPH1,2039,1.0
REGION1,CFHYDMSH1,2039,1.0
REGION1,CFSOU1PN1,2039,0.0
REGION1,CFLFRCPN1,2039,1.0
REGION1,CFHYDMSN1,2039,1.0
REGION1,CFNGCCPN1,2039,1.0
REGION1,CFWINDPN1,2039,0.05
REGION1,CFNGCCSPN1,2039,1.0
REGION1,CFBATTN1,2039,1.0
REGION1,CFBACKSTOP,2040,1.0
REGION1,CFSOU1PH1,2040,0.0
REGION1,CFLFRCPH1,2040,1.0
REGION1,CFHYDMSH1,2040,1.0
REGION1,CFSOU1PN1,2040,0.0
REGION1,CFLFRCPN1,2040,1.0
REGION1,CFHYDMSN1,2040,1.0
REGION1,CFNGCCPN1,2040,1.0
REGION1,CFWINDPN1,2040,0.05
REGION1,CFNGCCSPN1,2040,1.0
REGION1,CFBATTN1,2040,1.0
REGION1,CFBACKSTOP,2041,1.0
REGION1,CFSOU1PH1,2041,0.0
REGION1,CFLFRCPH1,2041,1.0
REGION1,CFHYDMSH1,2041,1.0
REGION1,CFSOU1PN1,2041,0.0
REGION1,CFLFRCPN1,2041,1.0
REGION1,CFHYDMSN1,2041,1.0
REGION1,CFNGCCPN1,2041,1.0
REGION1,CFWINDPN1,2041,0.05
REGION1,CFNGCCSPN1,2041,1.0
REGION1,CFBATTN1,2041,1.0
REGION1,CFBACKSTOP,2042,1.0
REGION1,CFSOU1PH1,2042,0.0
REGION1,CFLFRCPH1,2042,1.0
REGION1,CFHYDMSH1,2042,1.0
REGION1,CFSOU1PN1,2042,0.0
REGION1,CFLFRCPN1,2042,1.0
REGION1,CFHYDMSN1,2042,1.0
REGION1,CFNGCCPN1,2042,1.0
REGION1,CFWINDPN1,2042,0.05
REGION1,CFNGCCSPN1,2042,1.0
REGION1,CFBATTN1,2042,1.0
REGION1,CFBACKSTOP,2043,1.0
REGION1,CFSOU1PH1,2043,0.0
REGION1,CFLFRCPH1,2043,1.0
REGION1,CFHYDMSH1,2043,1.0
REGION1,CFSOU1PN1,2043,0.0
REGION1,CFLFRCPN1,2043,1.0
REGION1,CFHYDMSN1,2043,1.0
REGION1,CFNGCCPN1,2043,1.0
REGION1,CFWINDPN1,2043,0.05
REGION1,CFNGCCSPN1,2043,1.0
REGION1,CFBATTN1,2043,1.0
REGION1,CFBACKSTOP,2044,1.0
REGION1,CFSOU1PH1,2044,0.0
REGION1,CFLFRCPH1,2044,1.0
REGION1,CFHYDMSH1,2044,1.0
REGION1,CFSOU1PN1,2044,0.0
REGION1,CFLFRCPN1,2044,1.0
REGION1,CFHYDMSN1,2044,1.0
REGION1,CFNGCCPN1,2044,1.0
REGION1,CFWINDPN1,2044,0.05
REGION1,CFNGCCSPN1,2044,1.0
