REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CGBACKSTOP,2021,1.0
REGION1,CGNGGCPH1,2021,1.0
REGION1,CGLFRCPH1,2021,1.0
REGION1,CGHFGCPH1,2021,1.0
REGION1,CGBMCHPH1,2021,1.0
REGION1,CGHYDMSH1,2021,1.0
REGION1,CGNGGCPN1,2021,1.0
REGION1,CGLFRCPN1,2021,1.0
REGION1,CGHFGCPN1,2021,1.0
REGION1,CGBMCHPN1,2021,1.0
REGION1,CGHYDMSN1,2021,1.0
REGION1,CGSOU1PN1,2021,0.0
REGION1,CGWINDPN1,2021,0.05
REGION1,CGNGCCSPN1,2021,1.0
REGION1,CGBMCCSPN1,2021,1.0
REGION1,CGBATTN1,2021,1.0
REGION1,CDELCGPH1,2021,1.0
REGION1,CGBACKSTOP,2022,1.0
REGION1,CGNGGCPH1,2022,1.0
REGION1,CGLFRCPH1,2022,1.0
REGION1,CGHFGCPH1,2022,1.0
REGION1,CGBMCHPH1,2022,1.0
REGION1,CGHYDMSH1,2022,1.0
REGION1,CGNGGCPN1,2022,1.0
REGION1,CGLFRCPN1,2022,1.0
REGION1,CGHFGCPN1,2022,1.0
REGION1,CGBMCHPN1,2022,1.0
REGION1,CGHYDMSN1,2022,1.0
REGION1,CGSOU1PN1,2022,0.0
REGION1,CGWINDPN1,2022,0.05
REGION1,CGNGCCSPN1,2022,1.0
REGION1,CGBMCCSPN1,2022,1.0
REGION1,CGBATTN1,2022,1.0
REGION1,CDELCGPH1,2022,1.0
REGION1,CGBACKSTOP,2023,1.0
REGION1,CGNGGCPH1,2023,1.0
REGION1,CGLFRCPH1,2023,1.0
REGION1,CGHFGCPH1,2023,1.0
REGION1,CGBMCHPH1,2023,1.0
REGION1,CGHYDMSH1,2023,1.0
REGION1,CGNGGCPN1,2023,1.0
REGION1,CGLFRCPN1,2023,1.0
REGION1,CGHFGCPN1,2023,1.0
REGION1,CGBMCHPN1,2023,1.0
REGION1,CGHYDMSN1,2023,1.0
REGION1,CGSOU1PN1,2023,0.0
REGION1,CGWINDPN1,2023,0.05
REGION1,CGNGCCSPN1,2023,1.0
REGION1,CGBMCCSPN1,2023,1.0
REGION1,CGBATTN1,2023,1.0
REGION1,CDELCGPH1,2023,1.0
REGION1,CGBACKSTOP,2024,1.0
REGION1,CGNGGCPH1,2024,1.0
REGION1,CGLFRCPH1,2024,1.0
REGION1,CGHFGCPH1,2024,1.0
REGION1,CGBMCHPH1,2024,1.0
REGION1,CGHYDMSH1,2024,1.0
REGION1,CGNGGCPN1,2024,1.0
REGION1,CGLFRCPN1,2024,1.0
REGION1,CGHFGCPN1,2024,1.0
REGION1,CGBMCHPN1,2024,1.0
REGION1,CGHYDMSN1,2024,1.0
REGION1,CGSOU1PN1,2024,0.0
REGION1,CGWINDPN1,2024,0.05
REGION1,CGNGCCSPN1,2024,1.0
REGION1,CGBMCCSPN1,2024,1.0
REGION1,CGBATTN1,2024,1.0
REGION1,CDELCGPH1,2024,1.0
REGION1,CGBACKSTOP,2025,1.0
REGION1,CGNGGCPH1,2025,1.0
REGION1,CGLFRCPH1,2025,1.0
REGION1,CGHFGCPH1,2025,1.0
REGION1,CGBMCHPH1,2025,1.0
REGION1,CGHYDMSH1,2025,1.0
REGION1,CGNGGCPN1,2025,1.0
REGION1,CGLFRCPN1,2025,1.0
REGION1,CGHFGCPN1,2025,1.0
REGION1,CGBMCHPN1,2025,1.0
REGION1,CGHYDMSN1,2025,1.0
REGION1,CGSOU1PN1,2025,0.0
REGION1,CGWINDPN1,2025,0.05
REGION1,CGNGCCSPN1,2025,1.0
REGION1,CGBMCCSPN1,2025,1.0
REGION1,CGBATTN1,2025,1.0
REGION1,CDELCGPH1,2025,1.0
REGION1,CGBACKSTOP,2026,1.0
REGION1,CGNGGCPH1,2026,1.0
REGION1,CGLFRCPH1,2026,1.0
REGION1,CGHFGCPH1,2026,1.0
REGION1,CGBMCHPH1,2026,1.0
REGION1,CGHYDMSH1,2026,1.0
REGION1,CGNGGCPN1,2026,1.0
REGION1,CGLFRCPN1,2026,1.0
REGION1,CGHFGCPN1,2026,1.0
REGION1,CGBMCHPN1,2026,1.0
REGION1,CGHYDMSN1,2026,1.0
REGION1,CGSOU1PN1,2026,0.0
REGION1,CGWINDPN1,2026,0.05
REGION1,CGNGCCSPN1,2026,1.0
REGION1,CGBMCCSPN1,2026,1.0
REGION1,CGBATTN1,2026,1.0
REGION1,CDELCGPH1,2026,1.0
REGION1,CGBACKSTOP,2027,1.0
REGION1,CGNGGCPH1,2027,1.0
REGION1,CGLFRCPH1,2027,1.0
REGION1,CGHFGCPH1,2027,1.0
REGION1,CGBMCHPH1,2027,1.0
REGION1,CGHYDMSH1,2027,1.0
REGION1,CGNGGCPN1,2027,1.0
REGION1,CGLFRCPN1,2027,1.0
REGION1,CGHFGCPN1,2027,1.0
REGION1,CGBMCHPN1,2027,1.0
REGION1,CGHYDMSN1,2027,1.0
REGION1,CGSOU1PN1,2027,0.0
REGION1,CGWINDPN1,2027,0.05
REGION1,CGNGCCSPN1,2027,1.0
REGION1,CGBMCCSPN1,2027,1.0
REGION1,CGBATTN1,2027,1.0
REGION1,CDELCGPH1,2027,1.0
REGION1,CGBACKSTOP,2028,1.0
REGION1,CGNGGCPH1,2028,1.0
REGION1,CGLFRCPH1,2028,1.0
REGION1,CGHFGCPH1,2028,1.0
REGION1,CGBMCHPH1,2028,1.0
REGION1,CGHYDMSH1,2028,1.0
REGION1,CGNGGCPN1,2028,1.0
REGION1,CGLFRCPN1,2028,1.0
REGION1,CGHFGCPN1,2028,1.0
REGION1,CGBMCHPN1,2028,1.0
REGION1,CGHYDMSN1,2028,1.0
REGION1,CGSOU1PN1,2028,0.0
REGION1,CGWINDPN1,2028,0.05
REGION1,CGNGCCSPN1,2028,1.0
REGION1,CGBMCCSPN1,2028,1.0
REGION1,CGBATTN1,2028,1.0
REGION1,CDELCGPH1,2028,1.0
REGION1,CGBACKSTOP,2029,1.0
REGION1,CGNGGCPH1,2029,1.0
REGION1,CGLFRCPH1,2029,1.0
REGION1,CGHFGCPH1,2029,1.0
REGION1,CGBMCHPH1,2029,1.0
REGION1,CGHYDMSH1,2029,1.0
REGION1,CGNGGCPN1,2029,1.0
REGION1,CGLFRCPN1,2029,1.0
REGION1,CGHFGCPN1,2029,1.0
REGION1,CGBMCHPN1,2029,1.0
REGION1,CGHYDMSN1,2029,1.0
REGION1,CGSOU1PN1,2029,0.0
REGION1,CGWINDPN1,2029,0.05
REGION1,CGNGCCSPN1,2029,1.0
REGION1,CGBMCCSPN1,2029,1.0
REGION1,CGBATTN1,2029,1.0
REGION1,CDELCGPH1,2029,1.0
REGION1,CGBACKSTOP,2030,1.0
REGION1,CGNGGCPH1,2030,1.0
REGION1,CGLFRCPH1,2030,1.0
REGION1,CGHFGCPH1,2030,1.0
REGION1,CGBMCHPH1,2030,1.0
REGION1,CGHYDMSH1,2030,1.0
REGION1,CGNGGCPN1,2030,1.0
REGION1,CGLFRCPN1,2030,1.0
REGION1,CGHFGCPN1,2030,1.0
REGION1,CGBMCHPN1,2030,1.0
REGION1,CGHYDMSN1,2030,1.0
REGION1,CGSOU1PN1,2030,0.0
REGION1,CGWINDPN1,2030,0.05
REGION1,CGNGCCSPN1,2030,1.0
REGION1,CGBMCCSPN1,2030,1.0
REGION1,CGBATTN1,2030,1.0
REGION1,CDELCGPH1,2030,1.0
REGION1,CGBACKSTOP,2031,1.0
REGION1,CGNGGCPH1,2031,1.0
REGION1,CGLFRCPH1,2031,1.0
REGION1,CGHFGCPH1,2031,1.0
REGION1,CGBMCHPH1,2031,1.0
REGION1,CGHYDMSH1,2031,1.0
REGION1,CGNGGCPN1,2031,1.0
REGION1,CGLFRCPN1,2031,1.0
REGION1,CGHFGCPN1,2031,1.0
REGION1,CGBMCHPN1,2031,1.0
REGION1,CGHYDMSN1,2031,1.0
REGION1,CGSOU1PN1,2031,0.0
REGION1,CGWINDPN1,2031,0.05
REGION1,CGNGCCSPN1,2031,1.0
REGION1,CGBMCCSPN1,2031,1.0
REGION1,CGBATTN1,2031,1.0
REGION1,CDELCGPH1,2031,1.0
REGION1,CGBACKSTOP,2032,1.0
REGION1,CGNGGCPH1,2032,1.0
REGION1,CGLFRCPH1,2032,1.0
REGION1,CGHFGCPH1,2032,1.0
REGION1,CGBMCHPH1,2032,1.0
REGION1,CGHYDMSH1,2032,1.0
REGION1,CGNGGCPN1,2032,1.0
REGION1,CGLFRCPN1,2032,1.0
REGION1,CGHFGCPN1,2032,1.0
REGION1,CGBMCHPN1,2032,1.0
REGION1,CGHYDMSN1,2032,1.0
REGION1,CGSOU1PN1,2032,0.0
REGION1,CGWINDPN1,2032,0.05
REGION1,CGNGCCSPN1,2032,1.0
REGION1,CGBMCCSPN1,2032,1.0
REGION1,CGBATTN1,2032,1.0
REGION1,CDELCGPH1,2032,1.0
REGION1,CGBACKSTOP,2033,1.0
REGION1,CGNGGCPH1,2033,1.0
REGION1,CGLFRCPH1,2033,1.0
REGION1,CGHFGCPH1,2033,1.0
REGION1,CGBMCHPH1,2033,1.0
REGION1,CGHYDMSH1,2033,1.0
REGION1,CGNGGCPN1,2033,1.0
REGION1,CGLFRCPN1,2033,1.0
REGION1,CGHFGCPN1,2033,1.0
REGION1,CGBMCHPN1,2033,1.0
REGION1,CGHYDMSN1,2033,1.0
REGION1,CGSOU1PN1,2033,0.0
REGION1,CGWINDPN1,2033,0.05
REGION1,CGNGCCSPN1,2033,1.0
REGION1,CGBMCCSPN1,2033,1.0
REGION1,CGBATTN1,2033,1.0
REGION1,CDELCGPH1,2033,1.0
REGION1,CGBACKSTOP,2034,1.0
REGION1,CGNGGCPH1,2034,1.0
REGION1,CGLFRCPH1,2034,1.0
REGION1,CGHFGCPH1,2034,1.0
REGION1,CGBMCHPH1,2034,1.0
REGION1,CGHYDMSH1,2034,1.0
REGION1,CGNGGCPN1,2034,1.0
REGION1,CGLFRCPN1,2034,1.0
REGION1,CGHFGCPN1,2034,1.0
REGION1,CGBMCHPN1,2034,1.0
REGION1,CGHYDMSN1,2034,1.0
REGION1,CGSOU1PN1,2034,0.0
REGION1,CGWINDPN1,2034,0.05
REGION1,CGNGCCSPN1,2034,1.0
REGION1,CGBMCCSPN1,2034,1.0
REGION1,CGBATTN1,2034,1.0
REGION1,CDELCGPH1,2034,1.0
REGION1,CGBACKSTOP,2035,1.0
REGION1,CGNGGCPH1,2035,1.0
REGION1,CGLFRCPH1,2035,1.0
REGION1,CGHFGCPH1,2035,1.0
REGION1,CGBMCHPH1,2035,1.0
REGION1,CGHYDMSH1,2035,1.0
REGION1,CGNGGCPN1,2035,1.0
REGION1,CGLFRCPN1,2035,1.0
REGION1,CGHFGCPN1,2035,1.0
REGION1,CGBMCHPN1,2035,1.0
REGION1,CGHYDMSN1,2035,1.0
REGION1,CGSOU1PN1,2035,0.0
REGION1,CGWINDPN1,2035,0.05
REGION1,CGNGCCSPN1,2035,1.0
REGION1,CGBMCCSPN1,2035,1.0
REGION1,CGBATTN1,2035,1.0
REGION1,CDELCGPH1,2035,1.0
REGION1,CGBACKSTOP,2036,1.0
REGION1,CGNGGCPH1,2036,1.0
REGION1,CGLFRCPH1,2036,1.0
REGION1,CGHFGCPH1,2036,1.0
REGION1,CGBMCHPH1,2036,1.0
REGION1,CGHYDMSH1,2036,1.0
REGION1,CGNGGCPN1,2036,1.0
REGION1,CGLFRCPN1,2036,1.0
REGION1,CGHFGCPN1,2036,1.0
REGION1,CGBMCHPN1,2036,1.0
REGION1,CGHYDMSN1,2036,1.0
REGION1,CGSOU1PN1,2036,0.0
REGION1,CGWINDPN1,2036,0.05
REGION1,CGNGCCSPN1,2036,1.0
REGION1,CGBMCCSPN1,2036,1.0
REGION1,CGBATTN1,2036,1.0
REGION1,CDELCGPH1,2036,1.0
REGION1,CGBACKSTOP,2037,1.0
REGION1,CGNGGCPH1,2037,1.0
REGION1,CGLFRCPH1,2037,1.0
REGION1,CGHFGCPH1,2037,1.0
REGION1,CGBMCHPH1,2037,1.0
REGION1,CGHYDMSH1,2037,1.0
REGION1,CGNGGCPN1,2037,1.0
REGION1,CGLFRCPN1,2037,1.0
REGION1,CGHFGCPN1,2037,1.0
REGION1,CGBMCHPN1,2037,1.0
REGION1,CGHYDMSN1,2037,1.0
REGION1,CGSOU1PN1,2037,0.0
REGION1,CGWINDPN1,2037,0.05
REGION1,CGNGCCSPN1,2037,1.0
REGION1,CGBMCCSPN1,2037,1.0
REGION1,CGBATTN1,2037,1.0
REGION1,CDELCGPH1,2037,1.0
REGION1,CGBACKSTOP,2038,1.0
REGION1,CGNGGCPH1,2038,1.0
REGION1,CGLFRCPH1,2038,1.0
REGION1,CGHFGCPH1,2038,1.0
REGION1,CGBMCHPH1,2038,1.0
REGION1,CGHYDMSH1,2038,1.0
REGION1,CGNGGCPN1,2038,1.0
REGION1,CGLFRCPN1,2038,1.0
REGION1,CGHFGCPN1,2038,1.0
REGION1,CGBMCHPN1,2038,1.0
REGION1,CGHYDMSN1,2038,1.0
