REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CHBACKSTOP,2021,1.0
REGION1,CHBFHPFH1,2021,1.0
REGION1,CHHFCHPH1,2021,1.0
REGION1,CHHFSTPH1,2021,1.0
REGION1,CHHYDSPH1,2021,1.0
REGION1,CHNGCCPH1,2021,1.0
REGION1,CHNGCHPH1,2021,1.0
REGION1,CHNUG2PH1,2021,1.0
REGION1,CHSOUTPH1,2021,0.0
REGION1,CHWIONPH1,2021,1.0
REGION1,CHWSCHPH1,2021,1.0
REGION1,CHWSSTPH1,2021,1.0
REGION1,CHHYDRPH1,2021,1.0
REGION1,CHHYDMPH1,2021,1.0
REGION1,CHBFHPFN1,2021,1.0
REGION1,CHHFCHPN1,2021,1.0
REGION1,CHHFSTPN1,2021,1.0
REGION1,CHHYDSPN1,2021,1.0
REGION1,CHNGCCPN1,2021,1.0
REGION1,CHNGCHPN1,2021,1.0
REGION1,CHNUG2PN1,2021,1.0
REGION1,CHSOUTPN1,2021,0.0
REGION1,CHWIONPN1,2021,1.0
REGION1,CHWSCHPN1,2021,1.0
REGION1,CHWSSTPN1,2021,1.0
REGION1,CHHYDRPN1,2021,1.0
REGION1,CHHYDMPN1,2021,1.0
REGION1,CHNGCCSN1,2021,1.0
REGION1,CHBATTH1,2021,1.0
REGION1,ATELCHPH1,2021,1.0
REGION1,CHELFRPH1,2021,1.0
REGION1,CHELDEPH1,2021,1.0
REGION1,CHELITPH1,2021,1.0
REGION1,CHBACKSTOP,2022,1.0
REGION1,CHBFHPFH1,2022,1.0
REGION1,CHHFCHPH1,2022,1.0
REGION1,CHHFSTPH1,2022,1.0
REGION1,CHHYDSPH1,2022,1.0
REGION1,CHNGCCPH1,2022,1.0
REGION1,CHNGCHPH1,2022,1.0
REGION1,CHNUG2PH1,2022,1.0
REGION1,CHSOUTPH1,2022,0.0
REGION1,CHWIONPH1,2022,1.0
REGION1,CHWSCHPH1,2022,1.0
REGION1,CHWSSTPH1,2022,1.0
REGION1,CHHYDRPH1,2022,1.0
REGION1,CHHYDMPH1,2022,1.0
REGION1,CHBFHPFN1,2022,1.0
REGION1,CHHFCHPN1,2022,1.0
REGION1,CHHFSTPN1,2022,1.0
REGION1,CHHYDSPN1,2022,1.0
REGION1,CHNGCCPN1,2022,1.0
REGION1,CHNGCHPN1,2022,1.0
REGION1,CHNUG2PN1,2022,1.0
REGION1,CHSOUTPN1,2022,0.0
REGION1,CHWIONPN1,2022,1.0
REGION1,CHWSCHPN1,2022,1.0
REGION1,CHWSSTPN1,2022,1.0
REGION1,CHHYDRPN1,2022,1.0
REGION1,CHHYDMPN1,2022,1.0
REGION1,CHNGCCSN1,2022,1.0
REGION1,CHBATTH1,2022,1.0
REGION1,ATELCHPH1,2022,1.0
REGION1,CHELFRPH1,2022,1.0
REGION1,CHELDEPH1,2022,1.0
REGION1,CHELITPH1,2022,1.0
REGION1,CHBACKSTOP,2023,1.0
REGION1,CHBFHPFH1,2023,1.0
REGION1,CHHFCHPH1,2023,1.0
REGION1,CHHFSTPH1,2023,1.0
