REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CMBACKSTOP,2021,1.0
REGION1,CMHYDMSH1,2021,1.0
REGION1,CMSOU1PH1,2021,0.0
REGION1,CMNGGCPH1,2021,1.0
REGION1,CMLFRCPH1,2021,1.0
REGION1,CMHFGCPH1,2021,1.0
REGION1,CMHYDMSN1,2021,1.0
REGION1,CMSOU1PN1,2021,0.0
REGION1,CMNGGCPN1,2021,1.0
REGION1,CMLFRCPN1,2021,1.0
REGION1,CMHFGCPN1,2021,1.0
REGION1,CMWINDPN1,2021,0.05
REGION1,CMNGCCSPN1,2021,1.0
REGION1,CMBATTN1,2021,1.0
REGION1,CMBACKSTOP,2022,1.0
REGION1,CMHYDMSH1,2022,1.0
REGION1,CMSOU1PH1,2022,0.0
REGION1,CMNGGCPH1,2022,1.0
REGION1,CMLFRCPH1,2022,1.0
REGION1,CMHFGCPH1,2022,1.0
REGION1,CMHYDMSN1,2022,1.0
REGION1,CMSOU1PN1,2022,0.0
REGION1,CMNGGCPN1,2022,1.0
REGION1,CMLFRCPN1,2022,1.0
REGION1,CMHFGCPN1,2022,1.0
REGION1,CMWINDPN1,2022,0.05
REGION1,CMNGCCSPN1,2022,1.0
REGION1,CMBATTN1,2022,1.0
REGION1,CMBACKSTOP,2023,1.0
REGION1,CMHYDMSH1,2023,1.0
REGION1,CMSOU1PH1,2023,0.0
REGION1,CMNGGCPH1,2023,1.0
REGION1,CMLFRCPH1,2023,1.0
REGION1,CMHFGCPH1,2023,1.0
REGION1,CMHYDMSN1,2023,1.0
REGION1,CMSOU1PN1,2023,0.0
REGION1,CMNGGCPN1,2023,1.0
REGION1,CMLFRCPN1,2023,1.0
REGION1,CMHFGCPN1,2023,1.0
REGION1,CMWINDPN1,2023,0.05
REGION1,CMNGCCSPN1,2023,1.0
REGION1,CMBATTN1,2023,1.0
REGION1,CMBACKSTOP,2024,1.0
REGION1,CMHYDMSH1,2024,1.0
REGION1,CMSOU1PH1,2024,0.0
REGION1,CMNGGCPH1,2024,1.0
REGION1,CMLFRCPH1,2024,1.0
REGION1,CMHFGCPH1,2024,1.0
REGION1,CMHYDMSN1,2024,1.0
REGION1,CMSOU1PN1,2024,0.0
REGION1,CMNGGCPN1,2024,1.0
REGION1,CMLFRCPN1,2024,1.0
REGION1,CMHFGCPN1,2024,1.0
REGION1,CMWINDPN1,2024,0.05
REGION1,CMNGCCSPN1,2024,1.0
REGION1,CMBATTN1,2024,1.0
REGION1,CMBACKSTOP,2025,1.0
REGION1,CMHYDMSH1,2025,1.0
REGION1,CMSOU1PH1,2025,0.0
REGION1,CMNGGCPH1,2025,1.0
REGION1,CMLFRCPH1,2025,1.0
REGION1,CMHFGCPH1,2025,1.0
REGION1,CMHYDMSN1,2025,1.0
REGION1,CMSOU1PN1,2025,0.0
REGION1,CMNGGCPN1,2025,1.0
REGION1,CMLFRCPN1,2025,1.0
REGION1,CMHFGCPN1,2025,1.0
REGION1,CMWINDPN1,2025,0.05
REGION1,CMNGCCSPN1,2025,1.0
REGION1,CMBATTN1,2025,1.0
REGION1,CMBACKSTOP,2026,1.0
