REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CYBACKSTOP,2021,1.0
REGION1,CYBFCHPH1,2021,1.0
REGION1,CYHFSTPH1,2021,1.0
REGION1,CYSOUTPH1,2021,0.0
REGION1,CYWIONPH1,2021,1.0
REGION1,CYDSCCPH1,2021,1.0
REGION1,CYDSGCPH1,2021,1.0
REGION1,CYDSSTPH1,2021,1.0
REGION1,CYDSHPFH1,2021,1.0
REGION1,CYHFCHPH1,2021,1.0
REGION1,CYBFCHPN1,2021,1.0
REGION1,CYHFSTPN1,2021,1.0
REGION1,CYSOUTPN1,2021,0.0
REGION1,CYWIONPN1,2021,1.0
REGION1,CYDSCCPN1,2021,1.0
REGION1,CYDSGCPN1,2021,1.0
REGION1,CYDSSTPN1,2021,1.0
REGION1,CYDSHPFN1,2021,1.0
REGION1,CYHFCHPN1,2021,1.0
REGION1,CYNGCCSN1,2021,1.0
REGION1,CYBATTH1,2021,1.0
REGION1,CYNGCCPH1,2021,1.0
REGION1,CYNGSTPH1,2021,1.0
REGION1,CYNGCCPN1,2021,1.0
REGION1,CYNGSTPN1,2021,1.0
REGION1,CYBACKSTOP,2022,1.0
REGION1,CYBFCHPH1,2022,1.0
REGION1,CYHFSTPH1,2022,1.0
REGION1,CYSOUTPH1,2022,0.0
REGION1,CYWIONPH1,2022,1.0
REGION1,CYDSCCPH1,2022,1.0
REGION1,CYDSGCPH1,2022,1.0
REGION1,CYDSSTPH1,2022,1.0
REGION1,CYDSHPFH1,2022,1.0
REGION1,CYHFCHPH1,2022,1.0
REGION1,CYBFCHPN1,2022,1.0
REGION1,CYHFSTPN1,2022,1.0
REGION1,CYSOUTPN1,2022,0.0
REGION1,CYWIONPN1,2022,1.0
REGION1,CYDSCCPN1,2022,1.0
REGION1,CYDSGCPN1,2022,1.0
REGION1,CYDSSTPN1,2022,1.0
REGION1,CYDSHPFN1,2022,1.0
REGION1,CYHFCHPN1,2022,1.0
REGION1,CYNGCCSN1,2022,1.0
REGION1,CYBATTH1,2022,1.0
REGION1,CYNGCCPH1,2022,1.0
REGION1,CYNGSTPH1,2022,1.0
REGION1,CYNGCCPN1,2022,1.0
REGION1,CYNGSTPN1,2022,1.0
REGION1,CYBACKSTOP,2023,1.0
REGION1,CYBFCHPH1,2023,1.0
REGION1,CYHFSTPH1,2023,1.0
REGION1,CYSOUTPH1,2023,0.0
REGION1,CYWIONPH1,2023,1.0
REGION1,CYDSCCPH1,2023,1.0
REGION1,CYDSGCPH1,2023,1.0
REGION1,CYDSSTPH1,2023,1.0
REGION1,CYDSHPFH1,2023,1.0
REGION1,CYHFCHPH1,2023,1.0
REGION1,CYBFCHPN1,2023,1.0
REGION1,CYHFSTPN1,2023,1.0
REGION1,CYSOUTPN1,2023,0.0
REGION1,CYWIONPN1,2023,1.0
REGION1,CYDSCCPN1,2023,1.0
REGION1,CYDSGCPN1,2023,1.0
REGION1,CYDSSTPN1,2023,1.0
REGION1,CYDSHPFN1,2023,1.0
REGION1,CYHFCHPN1,2023,1.0
REGION1,CYNGCCSN1,2023,1.0
REGION1,CYBATTH1,2023,1.0
REGION1,CYNGCCPH1,2023,1.0
REGION1,CYNGSTPH1,2023,1.0
REGION1,CYNGCCPN1,2023,1.0
REGION1,CYNGSTPN1,2023,1.0
REGION1,CYBACKSTOP,2024,1.0
REGION1,CYBFCHPH1,2024,1.0
REGION1,CYHFSTPH1,2024,1.0
REGION1,CYSOUTPH1,2024,0.0
REGION1,CYWIONPH1,2024,1.0
REGION1,CYDSCCPH1,2024,1.0
REGION1,CYDSGCPH1,2024,1.0
REGION1,CYDSSTPH1,2024,1.0
REGION1,CYDSHPFH1,2024,1.0
REGION1,CYHFCHPH1,2024,1.0
REGION1,CYBFCHPN1,2024,1.0
REGION1,CYHFSTPN1,2024,1.0
REGION1,CYSOUTPN1,2024,0.0
REGION1,CYWIONPN1,2024,1.0
REGION1,CYDSCCPN1,2024,1.0
REGION1,CYDSGCPN1,2024,1.0
REGION1,CYDSSTPN1,2024,1.0
REGION1,CYDSHPFN1,2024,1.0
REGION1,CYHFCHPN1,2024,1.0
REGION1,CYNGCCSN1,2024,1.0
REGION1,CYBATTH1,2024,1.0
REGION1,CYNGCCPH1,2024,1.0
REGION1,CYNGSTPH1,2024,1.0
REGION1,CYNGCCPN1,2024,1.0
REGION1,CYNGSTPN1,2024,1.0
REGION1,CYBACKSTOP,2025,1.0
REGION1,CYBFCHPH1,2025,1.0
REGION1,CYHFSTPH1,2025,1.0
REGION1,CYSOUTPH1,2025,0.0
REGION1,CYWIONPH1,2025,1.0
REGION1,CYDSCCPH1,2025,1.0
REGION1,CYDSGCPH1,2025,1.0
REGION1,CYDSSTPH1,2025,1.0
REGION1,CYDSHPFH1,2025,1.0
REGION1,CYHFCHPH1,2025,1.0
REGION1,CYBFCHPN1,2025,1.0
REGION1,CYHFSTPN1,2025,1.0
REGION1,CYSOUTPN1,2025,0.0
REGION1,CYWIONPN1,2025,1.0
REGION1,CYDSCCPN1,2025,1.0
REGION1,CYDSGCPN1,2025,1.0
REGION1,CYDSSTPN1,2025,1.0
REGION1,CYDSHPFN1,2025,1.0
REGION1,CYHFCHPN1,2025,1.0
REGION1,CYNGCCSN1,2025,1.0
REGION1,CYBATTH1,2025,1.0
REGION1,CYNGCCPH1,2025,1.0
REGION1,CYNGSTPH1,2025,1.0
REGION1,CYNGCCPN1,2025,1.0
REGION1,CYNGSTPN1,2025,1.0
REGION1,CYBACKSTOP,2026,1.0
REGION1,CYBFCHPH1,2026,1.0
REGION1,CYHFSTPH1,2026,1.0
REGION1,CYSOUTPH1,2026,0.0
REGION1,CYWIONPH1,2026,1.0
REGION1,CYDSCCPH1,2026,1.0
REGION1,CYDSGCPH1,2026,1.0
REGION1,CYDSSTPH1,2026,1.0
REGION1,CYDSHPFH1,2026,1.0
REGION1,CYHFCHPH1,2026,1.0
REGION1,CYBFCHPN1,2026,1.0
REGION1,CYHFSTPN1,2026,1.0
REGION1,CYSOUTPN1,2026,0.0
REGION1,CYWIONPN1,2026,1.0
REGION1,CYDSCCPN1,2026,1.0
REGION1,CYDSGCPN1,2026,1.0
REGION1,CYDSSTPN1,2026,1.0
REGION1,CYDSHPFN1,2026,1.0
REGION1,CYHFCHPN1,2026,1.0
REGION1,CYNGCCSN1,2026,1.0
REGION1,CYBATTH1,2026,1.0
REGION1,CYNGCCPH1,2026,1.0
REGION1,CYNGSTPH1,2026,1.0
REGION1,CYNGCCPN1,2026,1.0
REGION1,CYNGSTPN1,2026,1.0
REGION1,CYBACKSTOP,2027,1.0
REGION1,CYBFCHPH1,2027,1.0
REGION1,CYHFSTPH1,2027,1.0
REGION1,CYSOUTPH1,2027,0.0
REGION1,CYWIONPH1,2027,1.0
REGION1,CYDSCCPH1,2027,1.0
REGION1,CYDSGCPH1,2027,1.0
REGION1,CYDSSTPH1,2027,1.0
REGION1,CYDSHPFH1,2027,1.0
REGION1,CYHFCHPH1,2027,1.0
REGION1,CYBFCHPN1,2027,1.0
REGION1,CYHFSTPN1,2027,1.0
REGION1,CYSOUTPN1,2027,0.0
REGION1,CYWIONPN1,2027,1.0
REGION1,CYDSCCPN1,2027,1.0
REGION1,CYDSGCPN1,2027,1.0
REGION1,CYDSSTPN1,2027,1.0
REGION1,CYDSHPFN1,2027,1.0
REGION1,CYHFCHPN1,2027,1.0
REGION1,CYNGCCSN1,2027,1.0
REGION1,CYBATTH1,2027,1.0
REGION1,CYNGCCPH1,2027,1.0
REGION1,CYNGSTPH1,2027,1.0
REGION1,CYNGCCPN1,2027,1.0
REGION1,CYNGSTPN1,2027,1.0
REGION1,CYBACKSTOP,2028,1.0
REGION1,CYBFCHPH1,2028,1.0
REGION1,CYHFSTPH1,2028,1.0
REGION1,CYSOUTPH1,2028,0.0
REGION1,CYWIONPH1,2028,1.0
REGION1,CYDSCCPH1,2028,1.0
REGION1,CYDSGCPH1,2028,1.0
REGION1,CYDSSTPH1,2028,1.0
REGION1,CYDSHPFH1,2028,1.0
REGION1,CYHFCHPH1,2028,1.0
REGION1,CYBFCHPN1,2028,1.0
REGION1,CYHFSTPN1,2028,1.0
REGION1,CYSOUTPN1,2028,0.0
REGION1,CYWIONPN1,2028,1.0
REGION1,CYDSCCPN1,2028,1.0
REGION1,CYDSGCPN1,2028,1.0
REGION1,CYDSSTPN1,2028,1.0
REGION1,CYDSHPFN1,2028,1.0
REGION1,CYHFCHPN1,2028,1.0
REGION1,CYNGCCSN1,2028,1.0
REGION1,CYBATTH1,2028,1.0
REGION1,CYNGCCPH1,2028,1.0
REGION1,CYNGSTPH1,2028,1.0
REGION1,CYNGCCPN1,2028,1.0
REGION1,CYNGSTPN1,2028,1.0
REGION1,CYBACKSTOP,2029,1.0
REGION1,CYBFCHPH1,2029,1.0
REGION1,CYHFSTPH1,2029,1.0
REGION1,CYSOUTPH1,2029,0.0
REGION1,CYWIONPH1,2029,1.0
REGION1,CYDSCCPH1,2029,1.0
REGION1,CYDSGCPH1,2029,1.0
REGION1,CYDSSTPH1,2029,1.0
REGION1,CYDSHPFH1,2029,1.0
REGION1,CYHFCHPH1,2029,1.0
REGION1,CYBFCHPN1,2029,1.0
REGION1,CYHFSTPN1,2029,1.0
REGION1,CYSOUTPN1,2029,0.0
REGION1,CYWIONPN1,2029,1.0
REGION1,CYDSCCPN1,2029,1.0
REGION1,CYDSGCPN1,2029,1.0
REGION1,CYDSSTPN1,2029,1.0
