REGION,TECHNOLOGY,YEAR,VALUE
REGION1,CZBACKSTOP,2021,1.0
REGION1,CZNUG2PH1,2021,1.0
REGION1,CZCOCHPH1,2021,1.0
REGION1,CZCOSTPH1,2021,1.0
REGION1,CZLICHPH1,2021,1.0
REGION1,CZLIELH1,2021,1.0
REGION1,CZNGCCPH1,2021,1.0
REGION1,CZNGCHPH1,2021,1.0
REGION1,CZBFHPFH1,2021,1.0
REGION1,CZBFCHPH1,2021,1.0
REGION1,CZDGCHPH1,2021,1.0
REGION1,CZRGCHPH1,2021,1.0
REGION1,CZDSCHPH1,2021,1.0
REGION1,CZDSGCPH1,2021,1.0
REGION1,CZHFCHPH1,2021,1.0
REGION1,CZHFSTPH1,2021,1.0
REGION1,CZBMSTPH1,2021,1.0
REGION1,CZBMCHPH1,2021,1.0
REGION1,CZWSCHPH1,2021,1.0
REGION1,CZWIONPH1,2021,1.0
REGION1,CZSOUTPH1,2021,0.0
REGION1,CZHYDRPH1,2021,1.0
REGION1,CZHYDMPH1,2021,1.0
REGION1,CZHYDSPH1,2021,1.0
REGION1,CZNUG2PN1,2021,1.0
REGION1,CZCOCHPN1,2021,1.0
REGION1,CZCOSTPN1,2021,1.0
REGION1,CZLICHPN1,2021,1.0
REGION1,CZLIELN1,2021,1.0
REGION1,CZNGCCPN1,2021,1.0
REGION1,CZNGCHPN1,2021,1.0
REGION1,CZBFHPFN1,2021,1.0
REGION1,CZBFCHPN1,2021,1.0
REGION1,CZDGCHPN1,2021,1.0
REGION1,CZRGCHPN1,2021,1.0
REGION1,CZDSCHPN1,2021,1.0
REGION1,CZDSGCPN1,2021,1.0
REGION1,CZHFCHPN1,2021,1.0
REGION1,CZHFSTPN1,2021,1.0
REGION1,CZBMSTPN1,2021,1.0
REGION1,CZBMCHPN1,2021,1.0
REGION1,CZWSCHPN1,2021,1.0
REGION1,CZWIONPN1,2021,1.0
REGION1,CZSOUTPN1,2021,0.0
REGION1,CZHYDRPN1,2021,1.0
REGION1,CZHYDMPN1,2021,1.0
REGION1,CZHYDSPN1,2021,1.0
REGION1,CZNGCCSN1,2021,1.0
REGION1,CZBMCCSN1,2021,1.0
REGION1,CZBATTH1,2021,1.0
REGION1,ATELCZPH1,2021,1.0
REGION1,CZELDEPH1,2021,1.0
REGION1,CZELPLPH1,2021,1.0
REGION1,CZELSKPH1,2021,1.0
REGION1,CZNGDEPI0,2021,1.0
REGION1,CZNGPLPI0,2021,1.0
REGION1,CZNGSKPI0,2021,1.0
REGION1,CZBACKSTOP,2022,1.0
REGION1,CZNUG2PH1,2022,1.0
REGION1,CZCOCHPH1,2022,1.0
REGION1,CZCOSTPH1,2022,1.0
REGION1,CZLICHPH1,2022,1.0
REGION1,CZLIELH1,2022,1.0
REGION1,CZNGCCPH1,2022,1.0
REGION1,CZNGCHPH1,2022,1.0
REGION1,CZBFHPFH1,2022,1.0
REGION1,CZBFCHPH1,2022,1.0
REGION1,CZDGCHPH1,2022,1.0
REGION1,CZRGCHPH1,2022,1.0
REGION1,CZDSCHPH1,2022,1.0
REGION1,CZDSGCPH1,2022,1.0
REGION1,CZHFCHPH1,2022,1.0
REGION1,CZHFSTPH1,2022,1.0
REGION1,CZBMSTPH1,2022,1.0
REGION1,CZBMCHPH1,2022,1.0
REGION1,CZWSCHPH1,2022,1.0
REGION1,CZWIONPH1,2022,1.0
REGION1,CZSOUTPH1,2022,0.0
REGION1,CZHYDRPH1,2022,1.0
REGION1,CZHYDMPH1,2022,1.0
REGION1,CZHYDSPH1,2022,1.0
REGION1,CZNUG2PN1,2022,1.0
REGION1,CZCOCHPN1,2022,1.0
REGION1,CZCOSTPN1,2022,1.0
REGION1,CZLICHPN1,2022,1.0
REGION1,CZLIELN1,2022,1.0
REGION1,CZNGCCPN1,2022,1.0
REGION1,CZNGCHPN1,2022,1.0
REGION1,CZBFHPFN1,2022,1.0
REGION1,CZBFCHPN1,2022,1.0
REGION1,CZDGCHPN1,2022,1.0
REGION1,CZRGCHPN1,2022,1.0
REGION1,CZDSCHPN1,2022,1.0
REGION1,CZDSGCPN1,2022,1.0
REGION1,CZHFCHPN1,2022,1.0
REGION1,CZHFSTPN1,2022,1.0
REGION1,CZBMSTPN1,2022,1.0
REGION1,CZBMCHPN1,2022,1.0
REGION1,CZWSCHPN1,2022,1.0
REGION1,CZWIONPN1,2022,1.0
REGION1,CZSOUTPN1,2022,0.0
REGION1,CZHYDRPN1,2022,1.0
REGION1,CZHYDMPN1,2022,1.0
REGION1,CZHYDSPN1,2022,1.0
REGION1,CZNGCCSN1,2022,1.0
REGION1,CZBMCCSN1,2022,1.0
REGION1,CZBATTH1,2022,1.0
REGION1,ATELCZPH1,2022,1.0
REGION1,CZELDEPH1,2022,1.0
REGION1,CZELPLPH1,2022,1.0
REGION1,CZELSKPH1,2022,1.0
REGION1,CZNGDEPI0,2022,1.0
REGION1,CZNGPLPI0,2022,1.0
REGION1,CZNGSKPI0,2022,1.0
REGION1,CZBACKSTOP,2023,1.0
REGION1,CZNUG2PH1,2023,1.0
REGION1,CZCOCHPH1,2023,1.0
REGION1,CZCOSTPH1,2023,1.0
REGION1,CZLICHPH1,2023,1.0
REGION1,CZLIELH1,2023,1.0
REGION1,CZNGCCPH1,2023,1.0
REGION1,CZNGCHPH1,2023,1.0
REGION1,CZBFHPFH1,2023,1.0
REGION1,CZBFCHPH1,2023,1.0
REGION1,CZDGCHPH1,2023,1.0
REGION1,CZRGCHPH1,2023,1.0
REGION1,CZDSCHPH1,2023,1.0
REGION1,CZDSGCPH1,2023,1.0
REGION1,CZHFCHPH1,2023,1.0
REGION1,CZHFSTPH1,2023,1.0
REGION1,CZBMSTPH1,2023,1.0
REGION1,CZBMCHPH1,2023,1.0
REGION1,CZWSCHPH1,2023,1.0
REGION1,CZWIONPH1,2023,1.0
REGION1,CZSOUTPH1,2023,0.0
REGION1,CZHYDRPH1,2023,1.0
REGION1,CZHYDMPH1,2023,1.0
REGION1,CZHYDSPH1,2023,1.0
REGION1,CZNUG2PN1,2023,1.0
REGION1,CZCOCHPN1,2023,1.0
REGION1,CZCOSTPN1,2023,1.0
REGION1,CZLICHPN1,2023,1.0
REGION1,CZLIELN1,2023,1.0
REGION1,CZNGCCPN1,2023,1.0
REGION1,CZNGCHPN1,2023,1.0
