REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,ATSOUTPH1,S1P1,2021,0.002144444444444444
REGION1,ATSOUTPH1,S1P2,2021,0.2043088888888889
REGION1,ATSOUTPH1,S1P3,2021,0.0
REGION1,ATSOUTPH1,S1P4,2021,0.0
REGION1,ATSOUTPH1,S2P1,2021,0.03766149068322982
REGION1,ATSOUTPH1,S2P2,2021,0.3762641304347826
REGION1,ATSOUTPH1,S2P3,2021,0.005157608695652174
REGION1,ATSOUTPH1,S2P4,2021,0.0
REGION1,ATSOUTPH1,S3P1,2021,0.0610139751552795
REGION1,ATSOUTPH1,S3P2,2021,0.4128576086956522
REGION1,ATSOUTPH1,S3P3,2021,0.01294021739130435
REGION1,ATSOUTPH1,S3P4,2021,0.0
REGION1,ATSOUTPH1,S4P1,2021,0.01175353218210361
REGION1,ATSOUTPH1,S4P2,2021,0.2689175824175824
REGION1,ATSOUTPH1,S4P3,2021,0.0001538461538461539
REGION1,ATSOUTPH1,S4P4,2021,0.0
REGION1,BESOUTPH1,S1P1,2021,7.936507936507936e-06
REGION1,BESOUTPH1,S1P2,2021,0.1160011111111111
REGION1,BESOUTPH1,S1P3,2021,0.0
REGION1,BESOUTPH1,S1P4,2021,0.0
REGION1,BESOUTPH1,S2P1,2021,0.01770962732919255
REGION1,BESOUTPH1,S2P2,2021,0.3837978260869565
REGION1,BESOUTPH1,S2P3,2021,0.0194375
REGION1,BESOUTPH1,S2P4,2021,0.0
REGION1,BESOUTPH1,S3P1,2021,0.0330807453416149
REGION1,BESOUTPH1,S3P2,2021,0.4307804347826087
REGION1,BESOUTPH1,S3P3,2021,0.04000815217391305
REGION1,BESOUTPH1,S3P4,2021,0.0
REGION1,BESOUTPH1,S4P1,2021,0.003130298273155416
REGION1,BESOUTPH1,S4P2,2021,0.2200197802197802
REGION1,BESOUTPH1,S4P3,2021,0.001892857142857143
REGION1,BESOUTPH1,S4P4,2021,0.0
REGION1,BGSOUTPH1,S1P1,2021,0.01312222222222222
REGION1,BGSOUTPH1,S1P2,2021,0.2279477777777778
REGION1,BGSOUTPH1,S1P3,2021,0.0
REGION1,BGSOUTPH1,S1P4,2021,0.0
REGION1,BGSOUTPH1,S2P1,2021,0.0679332298136646
REGION1,BGSOUTPH1,S2P2,2021,0.3626521739130434
REGION1,BGSOUTPH1,S2P3,2021,0.0001793478260869565
REGION1,BGSOUTPH1,S2P4,2021,0.0
REGION1,BGSOUTPH1,S3P1,2021,0.09400465838509317
REGION1,BGSOUTPH1,S3P2,2021,0.4252804347826087
REGION1,BGSOUTPH1,S3P3,2021,0.001445652173913044
REGION1,BGSOUTPH1,S3P4,2021,0.0
REGION1,BGSOUTPH1,S4P1,2021,0.0327425431711146
REGION1,BGSOUTPH1,S4P2,2021,0.2947087912087912
REGION1,BGSOUTPH1,S4P3,2021,0.0
REGION1,BGSOUTPH1,S4P4,2021,0.0
REGION1,CYSOUTPH1,S1P1,2021,0.05289365079365079
REGION1,CYSOUTPH1,S1P2,2021,0.2871344444444444
REGION1,CYSOUTPH1,S1P3,2021,0.0
REGION1,CYSOUTPH1,S1P4,2021,0.0
REGION1,CYSOUTPH1,S2P1,2021,0.1179658385093168
REGION1,CYSOUTPH1,S2P2,2021,0.4124336956521739
REGION1,CYSOUTPH1,S2P3,2021,0.0
REGION1,CYSOUTPH1,S2P4,2021,0.0
REGION1,CYSOUTPH1,S3P1,2021,0.1331708074534161
REGION1,CYSOUTPH1,S3P2,2021,0.4278891304347826
REGION1,CYSOUTPH1,S3P3,2021,0.0
REGION1,CYSOUTPH1,S3P4,2021,0.0
REGION1,CYSOUTPH1,S4P1,2021,0.08111930926216641
REGION1,CYSOUTPH1,S4P2,2021,0.3406131868131869
REGION1,CYSOUTPH1,S4P3,2021,0.0
REGION1,CYSOUTPH1,S4P4,2021,0.0
REGION1,CZSOUTPH1,S1P1,2021,0.001320634920634921
REGION1,CZSOUTPH1,S1P2,2021,0.1560733333333333
REGION1,CZSOUTPH1,S1P3,2021,0.0
REGION1,CZSOUTPH1,S1P4,2021,0.0
REGION1,CZSOUTPH1,S2P1,2021,0.04304347826086957
REGION1,CZSOUTPH1,S2P2,2021,0.3824304347826087
REGION1,CZSOUTPH1,S2P3,2021,0.003986413043478261
REGION1,CZSOUTPH1,S2P4,2021,0.0
REGION1,CZSOUTPH1,S3P1,2021,0.06810093167701864
REGION1,CZSOUTPH1,S3P2,2021,0.4215804347826087
REGION1,CZSOUTPH1,S3P3,2021,0.01161684782608696
REGION1,CZSOUTPH1,S3P4,2021,0.0
REGION1,CZSOUTPH1,S4P1,2021,0.01317425431711146
REGION1,CZSOUTPH1,S4P2,2021,0.2521153846153846
REGION1,CZSOUTPH1,S4P3,2021,3.846153846153846e-05
REGION1,CZSOUTPH1,S4P4,2021,0.0
REGION1,DESOUTPH1,S1P1,2021,0.0004158730158730159
REGION1,DESOUTPH1,S1P2,2021,0.13179
REGION1,DESOUTPH1,S1P3,2021,0.0
REGION1,DESOUTPH1,S1P4,2021,0.0
REGION1,DESOUTPH1,S2P1,2021,0.03144409937888198
REGION1,DESOUTPH1,S2P2,2021,0.3750815217391304
REGION1,DESOUTPH1,S2P3,2021,0.009016304347826087
REGION1,DESOUTPH1,S2P4,2021,0.0
REGION1,DESOUTPH1,S3P1,2021,0.05337267080745341
REGION1,DESOUTPH1,S3P2,2021,0.4148956521739131
REGION1,DESOUTPH1,S3P3,2021,0.02130978260869565
REGION1,DESOUTPH1,S3P4,2021,0.0
REGION1,DESOUTPH1,S4P1,2021,0.008094191522762952
REGION1,DESOUTPH1,S4P2,2021,0.2281967032967033
REGION1,DESOUTPH1,S4P3,2021,0.0004093406593406593
REGION1,DESOUTPH1,S4P4,2021,0.0
REGION1,DKSOUTPH1,S1P1,2021,4.126984126984127e-05
REGION1,DKSOUTPH1,S1P2,2021,0.06235555555555555
REGION1,DKSOUTPH1,S1P3,2021,0.0
REGION1,DKSOUTPH1,S1P4,2021,0.0
REGION1,DKSOUTPH1,S2P1,2021,0.03432608695652174
REGION1,DKSOUTPH1,S2P2,2021,0.3300826086956521
REGION1,DKSOUTPH1,S2P3,2021,0.008203804347826088
REGION1,DKSOUTPH1,S2P4,2021,0.0
REGION1,DKSOUTPH1,S3P1,2021,0.06820341614906833
REGION1,DKSOUTPH1,S3P2,2021,0.4085260869565217
REGION1,DKSOUTPH1,S3P3,2021,0.02022282608695652
REGION1,DKSOUTPH1,S3P4,2021,0.0
REGION1,DKSOUTPH1,S4P1,2021,0.008813186813186814
REGION1,DKSOUTPH1,S4P2,2021,0.1921021978021978
REGION1,DKSOUTPH1,S4P3,2021,0.0003543956043956044
REGION1,DKSOUTPH1,S4P4,2021,0.0
REGION1,EESOUTPH1,S1P1,2021,0.001407936507936508
REGION1,EESOUTPH1,S1P2,2021,0.05602222222222222
REGION1,EESOUTPH1,S1P3,2021,0.0
REGION1,EESOUTPH1,S1P4,2021,0.0
REGION1,EESOUTPH1,S2P1,2021,0.06205745341614907
REGION1,EESOUTPH1,S2P2,2021,0.2775869565217391
REGION1,EESOUTPH1,S2P3,2021,0.002206521739130435
REGION1,EESOUTPH1,S2P4,2021,0.0
REGION1,EESOUTPH1,S3P1,2021,0.1203742236024845
REGION1,EESOUTPH1,S3P2,2021,0.3870902173913043
REGION1,EESOUTPH1,S3P3,2021,0.008445652173913043
REGION1,EESOUTPH1,S3P4,2021,0.0
REGION1,EESOUTPH1,S4P1,2021,0.01940973312401884
REGION1,EESOUTPH1,S4P2,2021,0.1655373626373627
REGION1,EESOUTPH1,S4P3,2021,0.0
REGION1,EESOUTPH1,S4P4,2021,0.0
REGION1,GRSOUTPH1,S1P1,2021,0.01472380952380952
REGION1,GRSOUTPH1,S1P2,2021,0.2450344444444444
REGION1,GRSOUTPH1,S1P3,2021,0.0
REGION1,GRSOUTPH1,S1P4,2021,0.0
REGION1,GRSOUTPH1,S2P1,2021,0.06933540372670807
REGION1,GRSOUTPH1,S2P2,2021,0.394395652173913
REGION1,GRSOUTPH1,S2P3,2021,0.0001793478260869565
REGION1,GRSOUTPH1,S2P4,2021,0.0
REGION1,GRSOUTPH1,S3P1,2021,0.09640993788819877
REGION1,GRSOUTPH1,S3P2,2021,0.4445282608695652
REGION1,GRSOUTPH1,S3P3,2021,0.001116847826086956
REGION1,GRSOUTPH1,S3P4,2021,0.0
REGION1,GRSOUTPH1,S4P1,2021,0.03441444270015698
REGION1,GRSOUTPH1,S4P2,2021,0.3138725274725275
REGION1,GRSOUTPH1,S4P3,2021,0.0
REGION1,GRSOUTPH1,S4P4,2021,0.0
REGION1,ESSOUTPH1,S1P1,2021,9.523809523809525e-06
REGION1,ESSOUTPH1,S1P2,2021,0.2671077777777778
REGION1,ESSOUTPH1,S1P3,2021,0.000575
REGION1,ESSOUTPH1,S1P4,2021,0.0
REGION1,ESSOUTPH1,S2P1,2021,0.009723602484472049
REGION1,ESSOUTPH1,S2P2,2021,0.4523478260869566
REGION1,ESSOUTPH1,S2P3,2021,0.03271467391304348
REGION1,ESSOUTPH1,S2P4,2021,0.0
REGION1,ESSOUTPH1,S3P1,2021,0.01990527950310559
REGION1,ESSOUTPH1,S3P2,2021,0.4911347826086956
REGION1,ESSOUTPH1,S3P3,2021,0.0540516304347826
REGION1,ESSOUTPH1,S3P4,2021,0.0
REGION1,ESSOUTPH1,S4P1,2021,0.001601255886970173
REGION1,ESSOUTPH1,S4P2,2021,0.3543087912087912
REGION1,ESSOUTPH1,S4P3,2021,0.008565934065934066
REGION1,ESSOUTPH1,S4P4,2021,0.0
REGION1,FISOUTPH1,S1P1,2021,0.0007333333333333333
REGION1,FISOUTPH1,S1P2,2021,0.02948
REGION1,FISOUTPH1,S1P3,2021,0.0
REGION1,FISOUTPH1,S1P4,2021,0.0
REGION1,FISOUTPH1,S2P1,2021,0.05485248447204969
REGION1,FISOUTPH1,S2P2,2021,0.2559489130434783
REGION1,FISOUTPH1,S2P3,2021,0.003146739130434782
REGION1,FISOUTPH1,S2P4,2021,0.0
REGION1,FISOUTPH1,S3P1,2021,0.1074425465838509
REGION1,FISOUTPH1,S3P2,2021,0.3392163043478261
REGION1,FISOUTPH1,S3P3,2021,0.01097282608695652
REGION1,FISOUTPH1,S3P4,2021,0.0
REGION1,FISOUTPH1,S4P1,2021,0.01585400313971743
REGION1,FISOUTPH1,S4P2,2021,0.1337846153846154
REGION1,FISOUTPH1,S4P3,2021,2.747252747252747e-06
REGION1,FISOUTPH1,S4P4,2021,0.0
REGION1,FRSOUTPH1,S1P1,2021,8.253968253968253e-05
REGION1,FRSOUTPH1,S1P2,2021,0.1762011111111111
REGION1,FRSOUTPH1,S1P3,2021,0.0
REGION1,FRSOUTPH1,S1P4,2021,0.0
