REGION,TECHNOLOGY,VALUE
REGION1,ATCOCHPH1,31.536
REGION1,ATNGCCPH1,31.536
REGION1,ATNGCHPH1,31.536
REGION1,ATNGGCPH1,31.536
REGION1,ATNGHPFH1,31.536
REGION1,ATNGSTPH1,31.536
REGION1,ATBFCHPH1,31.536
REGION1,ATBFHPFH1,31.536
REGION1,ATDGCHPH1,31.536
REGION1,ATDGELH1,31.536
REGION1,ATRGCHPH1,31.536
REGION1,ATDSCHPH1,31.536
REGION1,ATDSELH1,31.536
REGION1,ATHFCHPH1,31.536
REGION1,ATHFSTPH1,31.536
REGION1,ATBMSTPH1,31.536
REGION1,ATBMCHPH1,31.536
REGION1,ATWSCHPH1,31.536
REGION1,ATWSSTPH1,31.536
REGION1,ATWIONPH1,31.536
REGION1,ATSOUTPH1,31.536
REGION1,ATGOCVPH1,31.536
REGION1,ATHYDMPH1,31.536
REGION1,ATHYDSPH1,31.536
REGION1,ATHYDRPH1,31.536
REGION1,BENUG2PH1,31.536
REGION1,BECOCHPH1,31.536
REGION1,BECOSTPH1,31.536
REGION1,BENGCCPH1,31.536
REGION1,BENGCHPH1,31.536
REGION1,BEBFHPFH1,31.536
REGION1,BEBFCHPH1,31.536
REGION1,BEDGELH1,31.536
REGION1,BERGCHPH1,31.536
REGION1,BEDSCHPH1,31.536
REGION1,BEDSELH1,31.536
REGION1,BEHFCHPH1,31.536
REGION1,BEHFSTPH1,31.536
REGION1,BEWSCHPH1,31.536
REGION1,BEWSSTPH1,31.536
REGION1,BEWIOFPH1,31.536
REGION1,BEWIONPH1,31.536
REGION1,BESOUTPH1,31.536
REGION1,BEHYDMPH1,31.536
REGION1,BEHYDSPH1,31.536
REGION1,BEHYDRPH1,31.536
REGION1,BEBMCHPH1,31.536
REGION1,BEBMSTPH1,31.536
REGION1,BGBFHPFH1,31.536
REGION1,BGCOCHPH1,31.536
REGION1,BGCOSTPH1,31.536
REGION1,BGHFCHPH1,31.536
REGION1,BGHYDMPH1,31.536
REGION1,BGHYDSPH1,31.536
REGION1,BGNGCHPH1,31.536
REGION1,BGNGSTPH1,31.536
REGION1,BGNUG2PH1,31.536
REGION1,BGSOUTPH1,31.536
REGION1,BGWIONPH1,31.536
REGION1,BGLICHPH1,31.536
REGION1,BGLIELH1,31.536
REGION1,BGBFCHPH1,31.536
REGION1,BGRGCHPH1,31.536
REGION1,BGRGELH1,31.536
REGION1,BGDSCHPH1,31.536
REGION1,BGDSELH1,31.536
REGION1,BGHFSTPH1,31.536
REGION1,BGBMCHPH1,31.536
REGION1,BGBMSTPH1,31.536
REGION1,BGWSCHPH1,31.536
REGION1,BGHYDRPH1,31.536
REGION1,CYBFCHPH1,31.536
REGION1,CYHFSTPH1,31.536
REGION1,CYSOUTPH1,31.536
REGION1,CYWIONPH1,31.536
REGION1,CYDSCCPH1,31.536
REGION1,CYDSGCPH1,31.536
REGION1,CYDSSTPH1,31.536
REGION1,CYDSHPFH1,31.536
REGION1,CYHFCHPH1,31.536
REGION1,CZNUG2PH1,31.536
REGION1,CZCOCHPH1,31.536
REGION1,CZCOSTPH1,31.536
REGION1,CZLICHPH1,31.536
REGION1,CZLIELH1,31.536
REGION1,CZNGCCPH1,31.536
REGION1,CZNGCHPH1,31.536
REGION1,CZBFHPFH1,31.536
REGION1,CZBFCHPH1,31.536
REGION1,CZDGCHPH1,31.536
REGION1,CZRGCHPH1,31.536
REGION1,CZDSCHPH1,31.536
REGION1,CZDSGCPH1,31.536
REGION1,CZHFCHPH1,31.536
REGION1,CZHFSTPH1,31.536
REGION1,CZBMSTPH1,31.536
REGION1,CZBMCHPH1,31.536
REGION1,CZWSCHPH1,31.536
REGION1,CZWIONPH1,31.536
REGION1,CZSOUTPH1,31.536
REGION1,CZHYDRPH1,31.536
REGION1,CZHYDMPH1,31.536
REGION1,CZHYDSPH1,31.536
REGION1,DENUG2PH1,31.536
REGION1,DECOCHPH1,31.536
REGION1,DECOSTPH1,31.536
REGION1,DELICHPH1,31.536
REGION1,DELIELH1,31.536
REGION1,DENGCCPH1,31.536
REGION1,DENGCHPH1,31.536
REGION1,DEBFHPFH1,31.536
REGION1,DEBFCHPH1,31.536
REGION1,DEDGCHPH1,31.536
REGION1,DEDGELH1,31.536
REGION1,DERGCHPH1,31.536
REGION1,DERGELH1,31.536
REGION1,DEDSCHPH1,31.536
REGION1,DEDSELH1,31.536
REGION1,DEHFCHPH1,31.536
REGION1,DEHFSTPH1,31.536
REGION1,DEBMCHPH1,31.536
REGION1,DEBMSTPH1,31.536
REGION1,DEWSCHPH1,31.536
REGION1,DEWSSTPH1,31.536
REGION1,DEWIOFPH1,31.536
REGION1,DEWIONPH1,31.536
REGION1,DESOUTPH1,31.536
REGION1,DEGOCVPH1,31.536
REGION1,DEHYDMPH1,31.536
REGION1,DEHYDRPH1,31.536
REGION1,DEHYDSPH1,31.536
REGION1,DKBFHPFH1,31.536
REGION1,DKBMSTPH1,31.536
REGION1,DKCOCHPH1,31.536
REGION1,DKHFCHPH1,31.536
REGION1,DKHFSTPH1,31.536
REGION1,DKHYDRPH1,31.536
REGION1,DKNGCCPH1,31.536
REGION1,DKNGCHPH1,31.536
REGION1,DKSOUTPH1,31.536
REGION1,DKWIOFPH1,31.536
REGION1,DKWIONPH1,31.536
REGION1,DKWSCHPH1,31.536
REGION1,DKRGCHPH1,31.536
REGION1,DKDSCHPH1,31.536
REGION1,DKDSELH1,31.536
REGION1,DKBMCHPH1,31.536
REGION1,DKHYDMPH1,31.536
REGION1,EEHFSTPH1,31.536
REGION1,EEHYDRPH1,31.536
REGION1,EENGCHPH1,31.536
REGION1,EENGHPFH1,31.536
REGION1,EESOUTPH1,31.536
REGION1,EEWIONPH1,31.536
REGION1,EEWSCHPH1,31.536
REGION1,EELICHPH1,31.536
REGION1,EELIELH1,31.536
REGION1,EEBFCHPH1,31.536
REGION1,EEDGCHPH1,31.536
REGION1,EEDGELH1,31.536
REGION1,EEBMCHPH1,31.536
REGION1,EEBMSTPH1,31.536
REGION1,GRBFHPFH1,31.536
REGION1,GRBMSTPH1,31.536
REGION1,GRHFCHPH1,31.536
REGION1,GRHFSTPH1,31.536
REGION1,GRHYDMPH1,31.536
REGION1,GRHYDRPH1,31.536
REGION1,GRHYDSPH1,31.536
REGION1,GRNGCCPH1,31.536
REGION1,GRNGCHPH1,31.536
REGION1,GRSOUTPH1,31.536
REGION1,GRWIONPH1,31.536
REGION1,GRLICHPH1,31.536
REGION1,GRLIELH1,31.536
REGION1,GRBFCHPH1,31.536
REGION1,GRRGCHPH1,31.536
REGION1,GRDSCHPH1,31.536
REGION1,GRDSELH1,31.536
REGION1,GRBMCHPH1,31.536
REGION1,ESCOCHPH1,31.536
REGION1,ESCOSTPH1,31.536
REGION1,ESNUG2PH1,31.536
REGION1,ESLISTPH1,31.536
REGION1,ESNGCCPH1,31.536
REGION1,ESNGCHPH1,31.536
REGION1,ESBFCHPH1,31.536
REGION1,ESBFSTPH1,31.536
REGION1,ESDGCHPH1,31.536
REGION1,ESDGELH1,31.536
REGION1,ESRGCHPH1,31.536
REGION1,ESRGELH1,31.536
REGION1,ESDSCHPH1,31.536
REGION1,ESDSELH1,31.536
REGION1,ESHFCHPH1,31.536
REGION1,ESHFSTPH1,31.536
REGION1,ESBMCHPH1,31.536
REGION1,ESBMSTPH1,31.536
REGION1,ESWSCHPH1,31.536
REGION1,ESWSSTPH1,31.536
REGION1,ESWIOFPH1,31.536
REGION1,ESWIONPH1,31.536
REGION1,ESSOUTPH1,31.536
REGION1,ESSOSTHH1,31.536
REGION1,ESOCWVPH1,31.536
REGION1,ESHYDMPH1,31.536
REGION1,ESHYDRPH1,31.536
REGION1,ESHYDSPH1,31.536
REGION1,FIBFHPFH1,31.536
REGION1,FIBMSTPH1,31.536
REGION1,FICOCHPH1,31.536
REGION1,FICOSTPH1,31.536
REGION1,FIHFCHPH1,31.536
REGION1,FIHFSTPH1,31.536
REGION1,FIHYDMPH1,31.536
REGION1,FIHYDRPH1,31.536
REGION1,FINGCCPH1,31.536
REGION1,FINGCHPH1,31.536
REGION1,FINUG2PH1,31.536
REGION1,FISOUTPH1,31.536
REGION1,FIWIOFPH1,31.536
REGION1,FIWIONPH1,31.536
REGION1,FIWSCHPH1,31.536
REGION1,FILICHPH1,31.536
REGION1,FILIELH1,31.536
REGION1,FIBFCHPH1,31.536
REGION1,FIDGCHPH1,31.536
REGION1,FIDGELH1,31.536
REGION1,FIRGCHPH1,31.536
REGION1,FIRGELH1,31.536
REGION1,FIDSCHPH1,31.536
REGION1,FIDSELH1,31.536
REGION1,FIBMCHPH1,31.536
REGION1,FRNUG2PH1,31.536
REGION1,FRCOCHPH1,31.536
REGION1,FRCOSTPH1,31.536
REGION1,FRNGCCPH1,31.536
REGION1,FRNGCHPH1,31.536
REGION1,FRBFHPFH1,31.536
REGION1,FRBFCHPH1,31.536
REGION1,FRDGELH1,31.536
REGION1,FRRGCHPH1,31.536
REGION1,FRRGELH1,31.536
REGION1,FRDSCHPH1,31.536
REGION1,FRDSELH1,31.536
REGION1,FRHFCHPH1,31.536
REGION1,FRHFSTPH1,31.536
REGION1,FRBMCHPH1,31.536
REGION1,FRBMSTPH1,31.536
REGION1,FRWSCHPH1,31.536
REGION1,FRWSSTPH1,31.536
REGION1,FRWIONPH1,31.536
REGION1,FRWIOFPH1,31.536
REGION1,FRSOUTPH1,31.536
REGION1,FRSOSTHH1,31.536
REGION1,FRGOCVPH1,31.536
REGION1,FRTIDH1,31.536
REGION1,FROCWVPH1,31.536
REGION1,FRHYDMPH1,31.536
REGION1,FRHYDRPH1,31.536
REGION1,FRHYDSPH1,31.536
REGION1,HRBFHPFH1,31.536
REGION1,HRBMCHPH1,31.536
REGION1,HRCOSTPH1,31.536
REGION1,HRHFCHPH1,31.536
REGION1,HRHFSTPH1,31.536
REGION1,HRHYDMPH1,31.536
REGION1,HRHYDRPH1,31.536
REGION1,HRHYDSPH1,31.536
REGION1,HRNGCCPH1,31.536
REGION1,HRNGCHPH1,31.536
REGION1,HRSOUTPH1,31.536
REGION1,HRWIONPH1,31.536
REGION1,HRLICHPH1,31.536
REGION1,HRBFCHPH1,31.536
REGION1,HRRGCHPH1,31.536
REGION1,HRDSCHPH1,31.536
REGION1,HRDSELH1,31.536
REGION1,HRGOCVPH1,31.536
REGION1,HUNUG2PH1,31.536
REGION1,HUCOCHPH1,31.536
REGION1,HUCOSTPH1,31.536
REGION1,HULICHPH1,31.536
REGION1,HULIELH1,31.536
REGION1,HUNGCCPH1,31.536
REGION1,HUNGCHPH1,31.536
REGION1,HUBFCHPH1,31.536
REGION1,HUDGCHPH1,31.536
REGION1,HUDGELH1,31.536
REGION1,HURGCHPH1,31.536
REGION1,HUDSCHPH1,31.536
REGION1,HUDSELH1,31.536
REGION1,HUHFCHPH1,31.536
REGION1,HUHFSTPH1,31.536
REGION1,HUBMSTPH1,31.536
REGION1,HUBMCHPH1,31.536
REGION1,HUWSSTPH1,31.536
REGION1,HUWIONPH1,31.536
REGION1,HUSOUTPH1,31.536
REGION1,HUGOCVPH1,31.536
REGION1,HUHYDMPH1,31.536
REGION1,HUHYDRPH1,31.536
REGION1,IEBFHPFH1,31.536
REGION1,IEBMSTPH1,31.536
REGION1,IEHYDMPH1,31.536
REGION1,IEHYDRPH1,31.536
REGION1,IEHYDSPH1,31.536
REGION1,IENGCCPH1,31.536
