REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBACKSTOP,2021,99999.0
REGION1,BEBACKSTOP,2021,99999.0
REGION1,BGBACKSTOP,2021,99999.0
REGION1,CHBACKSTOP,2021,99999.0
REGION1,CYBACKSTOP,2021,99999.0
REGION1,CZBACKSTOP,2021,99999.0
REGION1,DEBACKSTOP,2021,99999.0
REGION1,DKBACKSTOP,2021,99999.0
REGION1,EEBACKSTOP,2021,99999.0
REGION1,GRBACKSTOP,2021,99999.0
REGION1,ESBACKSTOP,2021,99999.0
REGION1,FIBACKSTOP,2021,99999.0
REGION1,FRBACKSTOP,2021,99999.0
REGION1,HRBACKSTOP,2021,99999.0
REGION1,HUBACKSTOP,2021,99999.0
REGION1,IEBACKSTOP,2021,99999.0
REGION1,ITBACKSTOP,2021,99999.0
REGION1,LTBACKSTOP,2021,99999.0
REGION1,LUBACKSTOP,2021,99999.0
REGION1,LVBACKSTOP,2021,99999.0
REGION1,MTBACKSTOP,2021,99999.0
REGION1,NLBACKSTOP,2021,99999.0
REGION1,NOBACKSTOP,2021,99999.0
REGION1,PLBACKSTOP,2021,99999.0
REGION1,PTBACKSTOP,2021,99999.0
REGION1,ROBACKSTOP,2021,99999.0
REGION1,SEBACKSTOP,2021,99999.0
REGION1,SIBACKSTOP,2021,99999.0
REGION1,SKBACKSTOP,2021,99999.0
REGION1,UKBACKSTOP,2021,99999.0
REGION1,ATCOCHPH1,2021,2553.214070016484
REGION1,ATNGCCPH1,2021,707.8577769999999
REGION1,ATNGCHPH1,2021,1286.874429951633
REGION1,ATNGGCPH1,2021,514.805656
REGION1,ATNGHPFH1,2021,2608.735878126646
REGION1,ATNGSTPH1,2021,2293.780271868932
REGION1,ATBFCHPH1,2021,4826.303025
REGION1,ATBFHPFH1,2021,643.50707
REGION1,ATDGCHPH1,2021,1286.874429951633
REGION1,ATDGELH1,2021,707.8577769999999
REGION1,ATRGCHPH1,2021,1286.874429951633
REGION1,ATDSCHPH1,2021,740.1450278998493
REGION1,ATDSELH1,2021,707.8577769999999
REGION1,ATHFCHPH1,2021,736.37028825756
REGION1,ATHFSTPH1,2021,2293.780271868932
REGION1,ATBMSTPH1,2021,2574.02828
REGION1,ATBMCHPH1,2021,4826.303025
REGION1,ATWSCHPH1,2021,4826.303025
REGION1,ATWSSTPH1,2021,2123.573331
REGION1,ATWIONPH1,2021,1351.364847
REGION1,ATSOUTPH1,2021,829.8731525427
REGION1,ATGOCVPH1,2021,4029.64127234
REGION1,ATHYDMPH1,2021,2702.729694
REGION1,ATHYDSPH1,2021,644.00707
REGION1,ATHYDRPH1,2021,2207.2292501
REGION1,BENUG2PH1,2021,6177.667871999999
REGION1,BECOCHPH1,2021,2553.214070016484
REGION1,BECOSTPH1,2021,1866.170503
REGION1,BENGCCPH1,2021,707.8577769999999
REGION1,BENGCHPH1,2021,1286.874429951633
REGION1,BEBFHPFH1,2021,643.50707
REGION1,BEBFCHPH1,2021,4826.303025
REGION1,BEDGELH1,2021,707.8577769999999
REGION1,BERGCHPH1,2021,1286.874429951633
REGION1,BEDSCHPH1,2021,740.1450278998493
REGION1,BEDSELH1,2021,707.8577769999999
REGION1,BEHFCHPH1,2021,736.37028825756
REGION1,BEHFSTPH1,2021,2293.780271868932
REGION1,BEWSCHPH1,2021,4826.303025
REGION1,BEWSSTPH1,2021,2123.573331
REGION1,BEWIOFPH1,2021,3347.519492768679
REGION1,BEWIONPH1,2021,1351.364847
REGION1,BESOUTPH1,2021,829.8731525427
REGION1,BEHYDMPH1,2021,2702.729694
REGION1,BEHYDSPH1,2021,644.00707
REGION1,BEHYDRPH1,2021,2207.2292501
REGION1,BEBMCHPH1,2021,4826.303025
REGION1,BEBMSTPH1,2021,2574.02828
REGION1,BGBFHPFH1,2021,643.50707
REGION1,BGCOCHPH1,2021,2553.214070016484
REGION1,BGCOSTPH1,2021,1866.170503
REGION1,BGHFCHPH1,2021,736.37028825756
REGION1,BGHYDMPH1,2021,2702.729694
REGION1,BGHYDSPH1,2021,644.00707
REGION1,BGNGCHPH1,2021,1286.874429951633
