REGION,STORAGE,YEAR,VALUE
REGION1,ATHYDSSH1,2021,22361.35677611308
REGION1,BEHYDSSH1,2021,22361.35677611308
REGION1,BGHYDSSH1,2021,22361.35677611308
REGION1,CZHYDSSH1,2021,22361.35677611308
REGION1,DEHYDSSH1,2021,22361.35677611308
REGION1,GRHYDSSH1,2021,22361.35677611308
REGION1,ESHYDSSH1,2021,22361.35677611308
REGION1,FRHYDSSH1,2021,22361.35677611308
REGION1,HRHYDSSH1,2021,22361.35677611308
REGION1,IEHYDSSH1,2021,22361.35677611308
REGION1,ITHYDSSH1,2021,22361.35677611308
REGION1,LTHYDSSH1,2021,22361.35677611308
REGION1,LUHYDSSH1,2021,22361.35677611308
REGION1,SLHYDSSH1,2021,22361.35677611308
REGION1,STHYDSSH1,2021,22361.35677611308
REGION1,ROHYDSSH1,2021,22361.35677611308
REGION1,SEHYDSSH1,2021,22361.35677611308
REGION1,SIHYDSSH1,2021,22361.35677611308
REGION1,SKHYDSSH1,2021,22361.35677611308
REGION1,CHHYDSSH1,2021,22361.35677611308
REGION1,UKHYDSSH1,2021,22361.35677611308
REGION1,ATHYDSSN1,2021,22361.35677611308
REGION1,BEHYDSSN1,2021,22361.35677611308
REGION1,BGHYDSSN1,2021,22361.35677611308
REGION1,CZHYDSSN1,2021,22361.35677611308
REGION1,DEHYDSSN1,2021,22361.35677611308
REGION1,GRHYDSSN1,2021,22361.35677611308
REGION1,ESHYDSSN1,2021,22361.35677611308
REGION1,FRHYDSSN1,2021,22361.35677611308
REGION1,HRHYDSSN1,2021,22361.35677611308
REGION1,IEHYDSSN1,2021,22361.35677611308
REGION1,ITHYDSSN1,2021,22361.35677611308
REGION1,LTHYDSSN1,2021,22361.35677611308
REGION1,LUHYDSSN1,2021,22361.35677611308
REGION1,SLHYDSSN1,2021,22361.35677611308
REGION1,STHYDSSN1,2021,22361.35677611308
REGION1,ROHYDSSN1,2021,22361.35677611308
REGION1,SEHYDSSN1,2021,22361.35677611308
REGION1,SIHYDSSN1,2021,22361.35677611308
REGION1,SKHYDSSN1,2021,22361.35677611308
REGION1,CHHYDSSN1,2021,22361.35677611308
REGION1,UKHYDSSN1,2021,22361.35677611308
REGION1,ATBATSH1,2021,1389978.8712
REGION1,BEBATSH1,2021,1389978.8712
REGION1,BGBATSH1,2021,1389978.8712
REGION1,CHBATSH1,2021,1389978.8712
REGION1,CYBATSH1,2021,1389978.8712
REGION1,CZBATSH1,2021,1389978.8712
REGION1,DEBATSH1,2021,1389978.8712
REGION1,DKBATSH1,2021,1389978.8712
REGION1,EEBATSH1,2021,1389978.8712
REGION1,GRBATSH1,2021,1389978.8712
REGION1,ESBATSH1,2021,1389978.8712
REGION1,FIBATSH1,2021,1389978.8712
REGION1,FRBATSH1,2021,1389978.8712
REGION1,HRBATSH1,2021,1389978.8712
REGION1,HUBATSH1,2021,1389978.8712
REGION1,IEBATSH1,2021,1389978.8712
REGION1,ITBATSH1,2021,1389978.8712
REGION1,LTBATSH1,2021,1389978.8712
REGION1,LUBATSH1,2021,1389978.8712
REGION1,LVBATSH1,2021,1389978.8712
REGION1,MTBATSH1,2021,1389978.8712
REGION1,NLBATSH1,2021,1389978.8712
REGION1,NOBATSH1,2021,1389978.8712
REGION1,PLBATSH1,2021,1389978.8712
REGION1,PTBATSH1,2021,1389978.8712
REGION1,ROBATSH1,2021,1389978.8712
REGION1,SEBATSH1,2021,1389978.8712
REGION1,SIBATSH1,2021,1389978.8712
REGION1,SKBATSH1,2021,1389978.8712
REGION1,UKBATSH1,2021,1389978.8712
REGION1,DZBATSN1,2021,1389978.8712
REGION1,AOBATSN1,2021,1389978.8712
REGION1,BJBATSN1,2021,1389978.8712
REGION1,BWBATSN1,2021,1389978.8712
REGION1,BFBATSN1,2021,1389978.8712
REGION1,BIBATSN1,2021,1389978.8712
REGION1,CMBATSN1,2021,1389978.8712
REGION1,CFBATSN1,2021,1389978.8712
REGION1,TDBATSN1,2021,1389978.8712
REGION1,CIBATSN1,2021,1389978.8712
REGION1,DJBATSN1,2021,1389978.8712
REGION1,CDBATSN1,2021,1389978.8712
REGION1,EGBATSN1,2021,1389978.8712
REGION1,GQBATSN1,2021,1389978.8712
REGION1,ERBATSN1,2021,1389978.8712
REGION1,SZBATSN1,2021,1389978.8712
REGION1,ETBATSN1,2021,1389978.8712
REGION1,GABATSN1,2021,1389978.8712
REGION1,GMBATSN1,2021,1389978.8712
REGION1,GHBATSN1,2021,1389978.8712
REGION1,GNBATSN1,2021,1389978.8712
REGION1,GWBATSN1,2021,1389978.8712
REGION1,KEBATSN1,2021,1389978.8712
REGION1,LSBATSN1,2021,1389978.8712
REGION1,LRBATSN1,2021,1389978.8712
REGION1,LYBATSN1,2021,1389978.8712
REGION1,MWBATSN1,2021,1389978.8712
REGION1,MLBATSN1,2021,1389978.8712
REGION1,MRBATSN1,2021,1389978.8712
REGION1,MABATSN1,2021,1389978.8712
REGION1,MZBATSN1,2021,1389978.8712
REGION1,NABATSN1,2021,1389978.8712
REGION1,NEBATSN1,2021,1389978.8712
REGION1,NGBATSN1,2021,1389978.8712
REGION1,CGBATSN1,2021,1389978.8712
REGION1,RWBATSN1,2021,1389978.8712
REGION1,SNBATSN1,2021,1389978.8712
REGION1,SLBATSN1,2021,1389978.8712
REGION1,SOBATSN1,2021,1389978.8712
REGION1,ZABATSN1,2021,1389978.8712
REGION1,SSBATSN1,2021,1389978.8712
REGION1,SDBATSN1,2021,1389978.8712
REGION1,TZBATSN1,2021,1389978.8712
REGION1,TGBATSN1,2021,1389978.8712
REGION1,TNBATSN1,2021,1389978.8712
REGION1,UGBATSN1,2021,1389978.8712
REGION1,ZMBATSN1,2021,1389978.8712
REGION1,ZWBATSN1,2021,1389978.8712
REGION1,MAHYDSSH1,2021,22361.35677611308
REGION1,ZAHYDSSH1,2021,22361.35677611308
REGION1,MAHYDSSN1,2021,22361.35677611308
REGION1,ZAHYDSSN1,2021,22361.35677611308
REGION1,ATHYDSSH1,2022,22378.71788736308
REGION1,BEHYDSSH1,2022,22378.71788736308
REGION1,BGHYDSSH1,2022,22378.71788736308
REGION1,CZHYDSSH1,2022,22378.71788736308
REGION1,DEHYDSSH1,2022,22378.71788736308
REGION1,GRHYDSSH1,2022,22378.71788736308
REGION1,ESHYDSSH1,2022,22378.71788736308
REGION1,FRHYDSSH1,2022,22378.71788736308
REGION1,HRHYDSSH1,2022,22378.71788736308
REGION1,IEHYDSSH1,2022,22378.71788736308
REGION1,ITHYDSSH1,2022,22378.71788736308
REGION1,LTHYDSSH1,2022,22378.71788736308
REGION1,LUHYDSSH1,2022,22378.71788736308
REGION1,SLHYDSSH1,2022,22378.71788736308
REGION1,STHYDSSH1,2022,22378.71788736308
REGION1,ROHYDSSH1,2022,22378.71788736308
REGION1,SEHYDSSH1,2022,22378.71788736308
REGION1,SIHYDSSH1,2022,22378.71788736308
REGION1,SKHYDSSH1,2022,22378.71788736308
REGION1,CHHYDSSH1,2022,22378.71788736308
REGION1,UKHYDSSH1,2022,22378.71788736308
REGION1,ATHYDSSN1,2022,22378.71788736308
REGION1,BEHYDSSN1,2022,22378.71788736308
REGION1,BGHYDSSN1,2022,22378.71788736308
REGION1,CZHYDSSN1,2022,22378.71788736308
REGION1,DEHYDSSN1,2022,22378.71788736308
REGION1,GRHYDSSN1,2022,22378.71788736308
REGION1,ESHYDSSN1,2022,22378.71788736308
REGION1,FRHYDSSN1,2022,22378.71788736308
REGION1,HRHYDSSN1,2022,22378.71788736308
REGION1,IEHYDSSN1,2022,22378.71788736308
REGION1,ITHYDSSN1,2022,22378.71788736308
REGION1,LTHYDSSN1,2022,22378.71788736308
REGION1,LUHYDSSN1,2022,22378.71788736308
REGION1,SLHYDSSN1,2022,22378.71788736308
REGION1,STHYDSSN1,2022,22378.71788736308
REGION1,ROHYDSSN1,2022,22378.71788736308
REGION1,SEHYDSSN1,2022,22378.71788736308
REGION1,SIHYDSSN1,2022,22378.71788736308
REGION1,SKHYDSSN1,2022,22378.71788736308
REGION1,CHHYDSSN1,2022,22378.71788736308
REGION1,UKHYDSSN1,2022,22378.71788736308
