REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEBACKSTOP,2021,1.0
REGION1,DENUG2PH1,2021,1.0
REGION1,DECOCHPH1,2021,1.0
REGION1,DECOSTPH1,2021,1.0
REGION1,DELICHPH1,2021,1.0
REGION1,DELIELH1,2021,1.0
REGION1,DENGCCPH1,2021,1.0
REGION1,DENGCHPH1,2021,1.0
REGION1,DEBFHPFH1,2021,1.0
REGION1,DEBFCHPH1,2021,1.0
REGION1,DEDGCHPH1,2021,1.0
REGION1,DEDGELH1,2021,1.0
REGION1,DERGCHPH1,2021,1.0
REGION1,DERGELH1,2021,1.0
REGION1,DEDSCHPH1,2021,1.0
REGION1,DEDSELH1,2021,1.0
REGION1,DEHFCHPH1,2021,1.0
REGION1,DEHFSTPH1,2021,1.0
REGION1,DEBMCHPH1,2021,1.0
REGION1,DEBMSTPH1,2021,1.0
REGION1,DEWSCHPH1,2021,1.0
REGION1,DEWSSTPH1,2021,1.0
REGION1,DEWIOFPH1,2021,1.0
REGION1,DEWIONPH1,2021,1.0
REGION1,DESOUTPH1,2021,0.0
REGION1,DEGOCVPH1,2021,1.0
REGION1,DEHYDMPH1,2021,1.0
REGION1,DEHYDRPH1,2021,1.0
REGION1,DEHYDSPH1,2021,1.0
REGION1,DENUG2PN1,2021,1.0
REGION1,DECOCHPN1,2021,1.0
REGION1,DECOSTPN1,2021,1.0
REGION1,DELICHPN1,2021,1.0
REGION1,DELIELN1,2021,1.0
REGION1,DENGCCPN1,2021,1.0
REGION1,DENGCHPN1,2021,1.0
REGION1,DEBFHPFN1,2021,1.0
REGION1,DEBFCHPN1,2021,1.0
REGION1,DEDGCHPN1,2021,1.0
REGION1,DEDGELN1,2021,1.0
REGION1,DERGCHPN1,2021,1.0
REGION1,DERGELN1,2021,1.0
REGION1,DEDSCHPN1,2021,1.0
REGION1,DEDSELN1,2021,1.0
REGION1,DEHFCHPN1,2021,1.0
REGION1,DEHFSTPN1,2021,1.0
REGION1,DEBMCHPN1,2021,1.0
REGION1,DEBMSTPN1,2021,1.0
REGION1,DEWSCHPN1,2021,1.0
REGION1,DEWSSTPN1,2021,1.0
REGION1,DEWIOFPN1,2021,1.0
REGION1,DEWIONPN1,2021,1.0
REGION1,DESOUTPN1,2021,0.0
REGION1,DEGOCVPN1,2021,1.0
REGION1,DEHYDMPN1,2021,1.0
REGION1,DEHYDRPN1,2021,1.0
REGION1,DEHYDSPN1,2021,1.0
REGION1,DENGCCSN1,2021,1.0
REGION1,DEBMCCSN1,2021,1.0
REGION1,DEBATTH1,2021,1.0
REGION1,ATELDEPH1,2021,1.0
REGION1,BEELDEPH1,2021,1.0
REGION1,CZELDEPH1,2021,1.0
REGION1,DEELDKPH1,2021,1.0
REGION1,DEELFRPH1,2021,1.0
REGION1,DEELLUPH1,2021,1.0
REGION1,DEELNLPH1,2021,1.0
REGION1,DEELNOPH1,2021,1.0
REGION1,DEELPLPH1,2021,1.0
REGION1,DEELSEPH1,2021,1.0
REGION1,DEELUKPH1,2021,1.0
REGION1,CHELDEPH1,2021,1.0
REGION1,DENGCHPI0,2021,1.0
REGION1,DENGFRPI0,2021,1.0
REGION1,DENGNLPI0,2021,1.0
REGION1,DENGPLPI0,2021,1.0
REGION1,DEBACKSTOP,2022,1.0
REGION1,DENUG2PH1,2022,1.0
REGION1,DECOCHPH1,2022,1.0
REGION1,DECOSTPH1,2022,1.0
REGION1,DELICHPH1,2022,1.0
REGION1,DELIELH1,2022,1.0
REGION1,DENGCCPH1,2022,1.0
REGION1,DENGCHPH1,2022,1.0
REGION1,DEBFHPFH1,2022,1.0
REGION1,DEBFCHPH1,2022,1.0
REGION1,DEDGCHPH1,2022,1.0
REGION1,DEDGELH1,2022,1.0
REGION1,DERGCHPH1,2022,1.0
REGION1,DERGELH1,2022,1.0
REGION1,DEDSCHPH1,2022,1.0
REGION1,DEDSELH1,2022,1.0
REGION1,DEHFCHPH1,2022,1.0
REGION1,DEHFSTPH1,2022,1.0
REGION1,DEBMCHPH1,2022,1.0
REGION1,DEBMSTPH1,2022,1.0
REGION1,DEWSCHPH1,2022,1.0
REGION1,DEWSSTPH1,2022,1.0
REGION1,DEWIOFPH1,2022,1.0
REGION1,DEWIONPH1,2022,1.0
REGION1,DESOUTPH1,2022,0.0
REGION1,DEGOCVPH1,2022,1.0
REGION1,DEHYDMPH1,2022,1.0
REGION1,DEHYDRPH1,2022,1.0
REGION1,DEHYDSPH1,2022,1.0
REGION1,DENUG2PN1,2022,1.0
REGION1,DECOCHPN1,2022,1.0
REGION1,DECOSTPN1,2022,1.0
REGION1,DELICHPN1,2022,1.0
REGION1,DELIELN1,2022,1.0
REGION1,DENGCCPN1,2022,1.0
REGION1,DENGCHPN1,2022,1.0
REGION1,DEBFHPFN1,2022,1.0
REGION1,DEBFCHPN1,2022,1.0
REGION1,DEDGCHPN1,2022,1.0
REGION1,DEDGELN1,2022,1.0
REGION1,DERGCHPN1,2022,1.0
REGION1,DERGELN1,2022,1.0
REGION1,DEDSCHPN1,2022,1.0
REGION1,DEDSELN1,2022,1.0
REGION1,DEHFCHPN1,2022,1.0
REGION1,DEHFSTPN1,2022,1.0
REGION1,DEBMCHPN1,2022,1.0
REGION1,DEBMSTPN1,2022,1.0
REGION1,DEWSCHPN1,2022,1.0
REGION1,DEWSSTPN1,2022,1.0
REGION1,DEWIOFPN1,2022,1.0
REGION1,DEWIONPN1,2022,1.0
REGION1,DESOUTPN1,2022,0.0
REGION1,DEGOCVPN1,2022,1.0
REGION1,DEHYDMPN1,2022,1.0
REGION1,DEHYDRPN1,2022,1.0
REGION1,DEHYDSPN1,2022,1.0
REGION1,DENGCCSN1,2022,1.0
REGION1,DEBMCCSN1,2022,1.0
REGION1,DEBATTH1,2022,1.0
REGION1,ATELDEPH1,2022,1.0
REGION1,BEELDEPH1,2022,1.0
REGION1,CZELDEPH1,2022,1.0
REGION1,DEELDKPH1,2022,1.0
REGION1,DEELFRPH1,2022,1.0
REGION1,DEELLUPH1,2022,1.0
REGION1,DEELNLPH1,2022,1.0
REGION1,DEELNOPH1,2022,1.0
REGION1,DEELPLPH1,2022,1.0
REGION1,DEELSEPH1,2022,1.0
