REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DJBACKSTOP,2021,1.0
REGION1,DJWINDPH1,2021,0.05
REGION1,DJLFRCPH1,2021,1.0
REGION1,DJHFGCPH1,2021,1.0
REGION1,DJWINDPN1,2021,0.05
REGION1,DJLFRCPN1,2021,1.0
REGION1,DJHFGCPN1,2021,1.0
REGION1,DJNGCCPN1,2021,1.0
REGION1,DJSOU1PN1,2021,0.0
REGION1,DJNGCCSPN1,2021,1.0
REGION1,DJBATTN1,2021,1.0
REGION1,ETELDJPH1,2021,1.0
REGION1,DJBACKSTOP,2022,1.0
REGION1,DJWINDPH1,2022,0.05
REGION1,DJLFRCPH1,2022,1.0
REGION1,DJHFGCPH1,2022,1.0
REGION1,DJWINDPN1,2022,0.05
REGION1,DJLFRCPN1,2022,1.0
REGION1,DJHFGCPN1,2022,1.0
REGION1,DJNGCCPN1,2022,1.0
REGION1,DJSOU1PN1,2022,0.0
REGION1,DJNGCCSPN1,2022,1.0
REGION1,DJBATTN1,2022,1.0
REGION1,ETELDJPH1,2022,1.0
REGION1,DJBACKSTOP,2023,1.0
REGION1,DJWINDPH1,2023,0.05
REGION1,DJLFRCPH1,2023,1.0
REGION1,DJHFGCPH1,2023,1.0
REGION1,DJWINDPN1,2023,0.05
REGION1,DJLFRCPN1,2023,1.0
REGION1,DJHFGCPN1,2023,1.0
REGION1,DJNGCCPN1,2023,1.0
REGION1,DJSOU1PN1,2023,0.0
REGION1,DJNGCCSPN1,2023,1.0
REGION1,DJBATTN1,2023,1.0
REGION1,ETELDJPH1,2023,1.0
REGION1,DJBACKSTOP,2024,1.0
REGION1,DJWINDPH1,2024,0.05
REGION1,DJLFRCPH1,2024,1.0
REGION1,DJHFGCPH1,2024,1.0
REGION1,DJWINDPN1,2024,0.05
REGION1,DJLFRCPN1,2024,1.0
REGION1,DJHFGCPN1,2024,1.0
REGION1,DJNGCCPN1,2024,1.0
REGION1,DJSOU1PN1,2024,0.0
REGION1,DJNGCCSPN1,2024,1.0
REGION1,DJBATTN1,2024,1.0
REGION1,ETELDJPH1,2024,1.0
REGION1,DJBACKSTOP,2025,1.0
REGION1,DJWINDPH1,2025,0.05
REGION1,DJLFRCPH1,2025,1.0
REGION1,DJHFGCPH1,2025,1.0
REGION1,DJWINDPN1,2025,0.05
REGION1,DJLFRCPN1,2025,1.0
REGION1,DJHFGCPN1,2025,1.0
REGION1,DJNGCCPN1,2025,1.0
REGION1,DJSOU1PN1,2025,0.0
REGION1,DJNGCCSPN1,2025,1.0
REGION1,DJBATTN1,2025,1.0
REGION1,ETELDJPH1,2025,1.0
REGION1,DJBACKSTOP,2026,1.0
REGION1,DJWINDPH1,2026,0.05
REGION1,DJLFRCPH1,2026,1.0
REGION1,DJHFGCPH1,2026,1.0
REGION1,DJWINDPN1,2026,0.05
REGION1,DJLFRCPN1,2026,1.0
REGION1,DJHFGCPN1,2026,1.0
REGION1,DJNGCCPN1,2026,1.0
REGION1,DJSOU1PN1,2026,0.0
REGION1,DJNGCCSPN1,2026,1.0
REGION1,DJBATTN1,2026,1.0
REGION1,ETELDJPH1,2026,1.0
REGION1,DJBACKSTOP,2027,1.0
REGION1,DJWINDPH1,2027,0.05
REGION1,DJLFRCPH1,2027,1.0
REGION1,DJHFGCPH1,2027,1.0
REGION1,DJWINDPN1,2027,0.05
REGION1,DJLFRCPN1,2027,1.0
REGION1,DJHFGCPN1,2027,1.0
REGION1,DJNGCCPN1,2027,1.0
REGION1,DJSOU1PN1,2027,0.0
REGION1,DJNGCCSPN1,2027,1.0
