REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBACKSTOP,2021,1.0
REGION1,DKBFHPFH1,2021,1.0
REGION1,DKBMSTPH1,2021,1.0
REGION1,DKCOCHPH1,2021,1.0
REGION1,DKHFCHPH1,2021,1.0
REGION1,DKHFSTPH1,2021,1.0
REGION1,DKHYDRPH1,2021,1.0
REGION1,DKNGCCPH1,2021,1.0
REGION1,DKNGCHPH1,2021,1.0
REGION1,DKSOUTPH1,2021,0.0
REGION1,DKWIOFPH1,2021,1.0
REGION1,DKWIONPH1,2021,1.0
REGION1,DKWSCHPH1,2021,1.0
REGION1,DKRGCHPH1,2021,1.0
REGION1,DKDSCHPH1,2021,1.0
REGION1,DKDSELH1,2021,1.0
REGION1,DKBMCHPH1,2021,1.0
REGION1,DKHYDMPH1,2021,1.0
REGION1,DKBFHPFN1,2021,1.0
REGION1,DKBMSTPN1,2021,1.0
REGION1,DKCOCHPN1,2021,1.0
REGION1,DKHFCHPN1,2021,1.0
REGION1,DKHFSTPN1,2021,1.0
REGION1,DKHYDRPN1,2021,1.0
REGION1,DKNGCCPN1,2021,1.0
REGION1,DKNGCHPN1,2021,1.0
REGION1,DKSOUTPN1,2021,0.0
REGION1,DKWIOFPN1,2021,1.0
REGION1,DKWIONPN1,2021,1.0
REGION1,DKWSCHPN1,2021,1.0
REGION1,DKRGCHPN1,2021,1.0
REGION1,DKDSCHPN1,2021,1.0
REGION1,DKDSELN1,2021,1.0
REGION1,DKBMCHPN1,2021,1.0
REGION1,DKHYDMPN1,2021,1.0
REGION1,DKNGCCSN1,2021,1.0
REGION1,DKBMCCSN1,2021,1.0
REGION1,DKBATTH1,2021,1.0
REGION1,DKELNLPH1,2021,1.0
REGION1,DKELNOPH1,2021,1.0
REGION1,DKELSEPH1,2021,1.0
REGION1,DKELUKPH1,2021,1.0
REGION1,DEELDKPH1,2021,1.0
REGION1,DKNGDEPI0,2021,1.0
REGION1,DKNGPLPI0,2021,1.0
REGION1,DKNGSEPI0,2021,1.0
REGION1,DKBACKSTOP,2022,1.0
REGION1,DKBFHPFH1,2022,1.0
REGION1,DKBMSTPH1,2022,1.0
REGION1,DKCOCHPH1,2022,1.0
REGION1,DKHFCHPH1,2022,1.0
REGION1,DKHFSTPH1,2022,1.0
REGION1,DKHYDRPH1,2022,1.0
REGION1,DKNGCCPH1,2022,1.0
REGION1,DKNGCHPH1,2022,1.0
REGION1,DKSOUTPH1,2022,0.0
REGION1,DKWIOFPH1,2022,1.0
REGION1,DKWIONPH1,2022,1.0
REGION1,DKWSCHPH1,2022,1.0
REGION1,DKRGCHPH1,2022,1.0
REGION1,DKDSCHPH1,2022,1.0
REGION1,DKDSELH1,2022,1.0
REGION1,DKBMCHPH1,2022,1.0
REGION1,DKHYDMPH1,2022,1.0
REGION1,DKBFHPFN1,2022,1.0
REGION1,DKBMSTPN1,2022,1.0
REGION1,DKCOCHPN1,2022,1.0
REGION1,DKHFCHPN1,2022,1.0
REGION1,DKHFSTPN1,2022,1.0
REGION1,DKHYDRPN1,2022,1.0
REGION1,DKNGCCPN1,2022,1.0
REGION1,DKNGCHPN1,2022,1.0
REGION1,DKSOUTPN1,2022,0.0
REGION1,DKWIOFPN1,2022,1.0
REGION1,DKWIONPN1,2022,1.0
REGION1,DKWSCHPN1,2022,1.0
REGION1,DKRGCHPN1,2022,1.0
REGION1,DKDSCHPN1,2022,1.0
REGION1,DKDSELN1,2022,1.0
REGION1,DKBMCHPN1,2022,1.0
REGION1,DKHYDMPN1,2022,1.0
REGION1,DKNGCCSN1,2022,1.0
REGION1,DKBMCCSN1,2022,1.0
REGION1,DKBATTH1,2022,1.0
REGION1,DKELNLPH1,2022,1.0
REGION1,DKELNOPH1,2022,1.0
REGION1,DKELSEPH1,2022,1.0
REGION1,DKELUKPH1,2022,1.0
REGION1,DEELDKPH1,2022,1.0
REGION1,DKNGDEPI0,2022,1.0
REGION1,DKNGPLPI0,2022,1.0
REGION1,DKNGSEPI0,2022,1.0
REGION1,DKBACKSTOP,2023,1.0
REGION1,DKBFHPFH1,2023,1.0
REGION1,DKBMSTPH1,2023,1.0
REGION1,DKCOCHPH1,2023,1.0
REGION1,DKHFCHPH1,2023,1.0
REGION1,DKHFSTPH1,2023,1.0
REGION1,DKHYDRPH1,2023,1.0
REGION1,DKNGCCPH1,2023,1.0
REGION1,DKNGCHPH1,2023,1.0
REGION1,DKSOUTPH1,2023,0.0
REGION1,DKWIOFPH1,2023,1.0
REGION1,DKWIONPH1,2023,1.0
REGION1,DKWSCHPH1,2023,1.0
REGION1,DKRGCHPH1,2023,1.0
REGION1,DKDSCHPH1,2023,1.0
REGION1,DKDSELH1,2023,1.0
REGION1,DKBMCHPH1,2023,1.0
REGION1,DKHYDMPH1,2023,1.0
REGION1,DKBFHPFN1,2023,1.0
REGION1,DKBMSTPN1,2023,1.0
REGION1,DKCOCHPN1,2023,1.0
REGION1,DKHFCHPN1,2023,1.0
REGION1,DKHFSTPN1,2023,1.0
REGION1,DKHYDRPN1,2023,1.0
REGION1,DKNGCCPN1,2023,1.0
REGION1,DKNGCHPN1,2023,1.0
REGION1,DKSOUTPN1,2023,0.0
REGION1,DKWIOFPN1,2023,1.0
REGION1,DKWIONPN1,2023,1.0
REGION1,DKWSCHPN1,2023,1.0
REGION1,DKRGCHPN1,2023,1.0
REGION1,DKDSCHPN1,2023,1.0
REGION1,DKDSELN1,2023,1.0
REGION1,DKBMCHPN1,2023,1.0
REGION1,DKHYDMPN1,2023,1.0
REGION1,DKNGCCSN1,2023,1.0
REGION1,DKBMCCSN1,2023,1.0
REGION1,DKBATTH1,2023,1.0
REGION1,DKELNLPH1,2023,1.0
REGION1,DKELNOPH1,2023,1.0
REGION1,DKELSEPH1,2023,1.0
REGION1,DKELUKPH1,2023,1.0
REGION1,DEELDKPH1,2023,1.0
REGION1,DKNGDEPI0,2023,1.0
REGION1,DKNGPLPI0,2023,1.0
REGION1,DKNGSEPI0,2023,1.0
REGION1,DKBACKSTOP,2024,1.0
REGION1,DKBFHPFH1,2024,1.0
REGION1,DKBMSTPH1,2024,1.0
REGION1,DKCOCHPH1,2024,1.0
REGION1,DKHFCHPH1,2024,1.0
REGION1,DKHFSTPH1,2024,1.0
REGION1,DKHYDRPH1,2024,1.0
REGION1,DKNGCCPH1,2024,1.0
REGION1,DKNGCHPH1,2024,1.0
REGION1,DKSOUTPH1,2024,0.0
REGION1,DKWIOFPH1,2024,1.0
REGION1,DKWIONPH1,2024,1.0
REGION1,DKWSCHPH1,2024,1.0
REGION1,DKRGCHPH1,2024,1.0
REGION1,DKDSCHPH1,2024,1.0
REGION1,DKDSELH1,2024,1.0
REGION1,DKBMCHPH1,2024,1.0
REGION1,DKHYDMPH1,2024,1.0
REGION1,DKBFHPFN1,2024,1.0
REGION1,DKBMSTPN1,2024,1.0
REGION1,DKCOCHPN1,2024,1.0
REGION1,DKHFCHPN1,2024,1.0
REGION1,DKHFSTPN1,2024,1.0
REGION1,DKHYDRPN1,2024,1.0
REGION1,DKNGCCPN1,2024,1.0
REGION1,DKNGCHPN1,2024,1.0
REGION1,DKSOUTPN1,2024,0.0
REGION1,DKWIOFPN1,2024,1.0
REGION1,DKWIONPN1,2024,1.0
REGION1,DKWSCHPN1,2024,1.0
REGION1,DKRGCHPN1,2024,1.0
REGION1,DKDSCHPN1,2024,1.0
REGION1,DKDSELN1,2024,1.0
REGION1,DKBMCHPN1,2024,1.0
REGION1,DKHYDMPN1,2024,1.0
REGION1,DKNGCCSN1,2024,1.0
REGION1,DKBMCCSN1,2024,1.0
REGION1,DKBATTH1,2024,1.0
REGION1,DKELNLPH1,2024,1.0
REGION1,DKELNOPH1,2024,1.0
REGION1,DKELSEPH1,2024,1.0
REGION1,DKELUKPH1,2024,1.0
REGION1,DEELDKPH1,2024,1.0
REGION1,DKNGDEPI0,2024,1.0
REGION1,DKNGPLPI0,2024,1.0
REGION1,DKNGSEPI0,2024,1.0
REGION1,DKBACKSTOP,2025,1.0
REGION1,DKBFHPFH1,2025,1.0
REGION1,DKBMSTPH1,2025,1.0
REGION1,DKCOCHPH1,2025,1.0
REGION1,DKHFCHPH1,2025,1.0
REGION1,DKHFSTPH1,2025,1.0
REGION1,DKHYDRPH1,2025,1.0
REGION1,DKNGCCPH1,2025,1.0
REGION1,DKNGCHPH1,2025,1.0
REGION1,DKSOUTPH1,2025,0.0
REGION1,DKWIOFPH1,2025,1.0
REGION1,DKWIONPH1,2025,1.0
REGION1,DKWSCHPH1,2025,1.0
REGION1,DKRGCHPH1,2025,1.0
REGION1,DKDSCHPH1,2025,1.0
REGION1,DKDSELH1,2025,1.0
REGION1,DKBMCHPH1,2025,1.0
REGION1,DKHYDMPH1,2025,1.0
REGION1,DKBFHPFN1,2025,1.0
REGION1,DKBMSTPN1,2025,1.0
REGION1,DKCOCHPN1,2025,1.0
REGION1,DKHFCHPN1,2025,1.0
REGION1,DKHFSTPN1,2025,1.0
REGION1,DKHYDRPN1,2025,1.0
REGION1,DKNGCCPN1,2025,1.0
REGION1,DKNGCHPN1,2025,1.0
REGION1,DKSOUTPN1,2025,0.0
REGION1,DKWIOFPN1,2025,1.0
REGION1,DKWIONPN1,2025,1.0
REGION1,DKWSCHPN1,2025,1.0
REGION1,DKRGCHPN1,2025,1.0
REGION1,DKDSCHPN1,2025,1.0
REGION1,DKDSELN1,2025,1.0
REGION1,DKBMCHPN1,2025,1.0
REGION1,DKHYDMPN1,2025,1.0
REGION1,DKNGCCSN1,2025,1.0
REGION1,DKBMCCSN1,2025,1.0
REGION1,DKBATTH1,2025,1.0
REGION1,DKELNLPH1,2025,1.0
REGION1,DKELNOPH1,2025,1.0
REGION1,DKELSEPH1,2025,1.0
REGION1,DKELUKPH1,2025,1.0
REGION1,DEELDKPH1,2025,1.0
REGION1,DKNGDEPI0,2025,1.0
REGION1,DKNGPLPI0,2025,1.0
REGION1,DKNGSEPI0,2025,1.0
REGION1,DKBACKSTOP,2026,1.0
REGION1,DKBFHPFH1,2026,1.0
REGION1,DKBMSTPH1,2026,1.0
REGION1,DKCOCHPH1,2026,1.0
REGION1,DKHFCHPH1,2026,1.0
REGION1,DKHFSTPH1,2026,1.0
REGION1,DKHYDRPH1,2026,1.0
REGION1,DKNGCCPH1,2026,1.0
REGION1,DKNGCHPH1,2026,1.0
REGION1,DKSOUTPH1,2026,0.0
REGION1,DKWIOFPH1,2026,1.0
REGION1,DKWIONPH1,2026,1.0
REGION1,DKWSCHPH1,2026,1.0
REGION1,DKRGCHPH1,2026,1.0
REGION1,DKDSCHPH1,2026,1.0
REGION1,DKDSELH1,2026,1.0
REGION1,DKBMCHPH1,2026,1.0
REGION1,DKHYDMPH1,2026,1.0
REGION1,DKBFHPFN1,2026,1.0
REGION1,DKBMSTPN1,2026,1.0
REGION1,DKCOCHPN1,2026,1.0
REGION1,DKHFCHPN1,2026,1.0
REGION1,DKHFSTPN1,2026,1.0
REGION1,DKHYDRPN1,2026,1.0
REGION1,DKNGCCPN1,2026,1.0
