REGION,TECHNOLOGY,YEAR,VALUE
REGION1,EEBACKSTOP,2021,1.0
REGION1,EEHFSTPH1,2021,1.0
REGION1,EEHYDRPH1,2021,1.0
REGION1,EENGCHPH1,2021,1.0
REGION1,EENGHPFH1,2021,1.0
REGION1,EESOUTPH1,2021,0.0
REGION1,EEWIONPH1,2021,1.0
REGION1,EEWSCHPH1,2021,1.0
REGION1,EELICHPH1,2021,1.0
REGION1,EELIELH1,2021,1.0
REGION1,EEBFCHPH1,2021,1.0
REGION1,EEDGCHPH1,2021,1.0
REGION1,EEDGELH1,2021,1.0
REGION1,EEBMCHPH1,2021,1.0
REGION1,EEBMSTPH1,2021,1.0
REGION1,EEHFSTPN1,2021,1.0
REGION1,EEHYDRPN1,2021,1.0
REGION1,EENGCHPN1,2021,1.0
REGION1,EENGHPFN1,2021,1.0
REGION1,EESOUTPN1,2021,0.0
REGION1,EEWIONPN1,2021,1.0
REGION1,EEWSCHPN1,2021,1.0
REGION1,EELICHPN1,2021,1.0
REGION1,EELIELN1,2021,1.0
REGION1,EEBFCHPN1,2021,1.0
REGION1,EEDGCHPN1,2021,1.0
REGION1,EEDGELN1,2021,1.0
REGION1,EEBMCHPN1,2021,1.0
REGION1,EEBMSTPN1,2021,1.0
REGION1,EENGCCSN1,2021,1.0
REGION1,EEBMCCSN1,2021,1.0
REGION1,EEBATTH1,2021,1.0
REGION1,EEELFIPH1,2021,1.0
REGION1,EEELLVPH1,2021,1.0
REGION1,EEELRUPH1,2021,1.0
REGION1,EENGFIPI0,2021,1.0
REGION1,EENGLVPI0,2021,1.0
REGION1,EEBACKSTOP,2022,1.0
REGION1,EEHFSTPH1,2022,1.0
REGION1,EEHYDRPH1,2022,1.0
REGION1,EENGCHPH1,2022,1.0
REGION1,EENGHPFH1,2022,1.0
REGION1,EESOUTPH1,2022,0.0
REGION1,EEWIONPH1,2022,1.0
REGION1,EEWSCHPH1,2022,1.0
REGION1,EELICHPH1,2022,1.0
REGION1,EELIELH1,2022,1.0
REGION1,EEBFCHPH1,2022,1.0
REGION1,EEDGCHPH1,2022,1.0
REGION1,EEDGELH1,2022,1.0
REGION1,EEBMCHPH1,2022,1.0
REGION1,EEBMSTPH1,2022,1.0
REGION1,EEHFSTPN1,2022,1.0
REGION1,EEHYDRPN1,2022,1.0
REGION1,EENGCHPN1,2022,1.0
REGION1,EENGHPFN1,2022,1.0
REGION1,EESOUTPN1,2022,0.0
REGION1,EEWIONPN1,2022,1.0
REGION1,EEWSCHPN1,2022,1.0
REGION1,EELICHPN1,2022,1.0
REGION1,EELIELN1,2022,1.0
REGION1,EEBFCHPN1,2022,1.0
REGION1,EEDGCHPN1,2022,1.0
REGION1,EEDGELN1,2022,1.0
REGION1,EEBMCHPN1,2022,1.0
REGION1,EEBMSTPN1,2022,1.0
REGION1,EENGCCSN1,2022,1.0
REGION1,EEBMCCSN1,2022,1.0
REGION1,EEBATTH1,2022,1.0
REGION1,EEELFIPH1,2022,1.0
REGION1,EEELLVPH1,2022,1.0
REGION1,EEELRUPH1,2022,1.0
REGION1,EENGFIPI0,2022,1.0
REGION1,EENGLVPI0,2022,1.0
REGION1,EEBACKSTOP,2023,1.0
REGION1,EEHFSTPH1,2023,1.0
REGION1,EEHYDRPH1,2023,1.0
REGION1,EENGCHPH1,2023,1.0
REGION1,EENGHPFH1,2023,1.0
REGION1,EESOUTPH1,2023,0.0
REGION1,EEWIONPH1,2023,1.0
REGION1,EEWSCHPH1,2023,1.0
REGION1,EELICHPH1,2023,1.0
REGION1,EELIELH1,2023,1.0
REGION1,EEBFCHPH1,2023,1.0
REGION1,EEDGCHPH1,2023,1.0
REGION1,EEDGELH1,2023,1.0
REGION1,EEBMCHPH1,2023,1.0
REGION1,EEBMSTPH1,2023,1.0
REGION1,EEHFSTPN1,2023,1.0
REGION1,EEHYDRPN1,2023,1.0
REGION1,EENGCHPN1,2023,1.0
REGION1,EENGHPFN1,2023,1.0
REGION1,EESOUTPN1,2023,0.0
REGION1,EEWIONPN1,2023,1.0
REGION1,EEWSCHPN1,2023,1.0
REGION1,EELICHPN1,2023,1.0
REGION1,EELIELN1,2023,1.0
REGION1,EEBFCHPN1,2023,1.0
REGION1,EEDGCHPN1,2023,1.0
REGION1,EEDGELN1,2023,1.0
REGION1,EEBMCHPN1,2023,1.0
REGION1,EEBMSTPN1,2023,1.0
REGION1,EENGCCSN1,2023,1.0
REGION1,EEBMCCSN1,2023,1.0
REGION1,EEBATTH1,2023,1.0
REGION1,EEELFIPH1,2023,1.0
REGION1,EEELLVPH1,2023,1.0
REGION1,EEELRUPH1,2023,1.0
REGION1,EENGFIPI0,2023,1.0
REGION1,EENGLVPI0,2023,1.0
REGION1,EEBACKSTOP,2024,1.0
REGION1,EEHFSTPH1,2024,1.0
REGION1,EEHYDRPH1,2024,1.0
REGION1,EENGCHPH1,2024,1.0
REGION1,EENGHPFH1,2024,1.0
REGION1,EESOUTPH1,2024,0.0
REGION1,EEWIONPH1,2024,1.0
