REGION,TECHNOLOGY,YEAR,VALUE
REGION1,EGBACKSTOP,2021,1.0
REGION1,EGBMCHPH1,2021,1.0
REGION1,EGSOU1PH1,2021,0.0
REGION1,EGWINDPH1,2021,0.05
REGION1,EGNGCCPH1,2021,1.0
REGION1,EGNGGCPH1,2021,1.0
REGION1,EGLFRCPH1,2021,1.0
REGION1,EGHFGCPH1,2021,1.0
REGION1,EGHYDMSH1,2021,1.0
REGION1,EGSOC1PH1,2021,0.0
REGION1,EGBMCHPN1,2021,1.0
REGION1,EGSOU1PN1,2021,0.0
REGION1,EGWINDPN1,2021,0.05
REGION1,EGNGCCPN1,2021,1.0
REGION1,EGNGGCPN1,2021,1.0
REGION1,EGLFRCPN1,2021,1.0
REGION1,EGHFGCPN1,2021,1.0
REGION1,EGHYDMSN1,2021,1.0
REGION1,EGSOC1PN1,2021,0.0
REGION1,EGNGCCSPN1,2021,1.0
REGION1,EGBMCCSPN1,2021,1.0
REGION1,EGBATTN1,2021,1.0
REGION1,EGNULWPN1,2021,1.0
REGION1,EGELJOPH1,2021,1.0
REGION1,EGELSDPH1,2021,1.0
REGION1,LYELEGPH1,2021,1.0
REGION1,EGBACKSTOP,2022,1.0
REGION1,EGBMCHPH1,2022,1.0
REGION1,EGSOU1PH1,2022,0.0
REGION1,EGWINDPH1,2022,0.05
REGION1,EGNGCCPH1,2022,1.0
REGION1,EGNGGCPH1,2022,1.0
REGION1,EGLFRCPH1,2022,1.0
REGION1,EGHFGCPH1,2022,1.0
REGION1,EGHYDMSH1,2022,1.0
REGION1,EGSOC1PH1,2022,0.0
REGION1,EGBMCHPN1,2022,1.0
REGION1,EGSOU1PN1,2022,0.0
REGION1,EGWINDPN1,2022,0.05
REGION1,EGNGCCPN1,2022,1.0
REGION1,EGNGGCPN1,2022,1.0
REGION1,EGLFRCPN1,2022,1.0
REGION1,EGHFGCPN1,2022,1.0
REGION1,EGHYDMSN1,2022,1.0
REGION1,EGSOC1PN1,2022,0.0
REGION1,EGNGCCSPN1,2022,1.0
REGION1,EGBMCCSPN1,2022,1.0
REGION1,EGBATTN1,2022,1.0
REGION1,EGNULWPN1,2022,1.0
REGION1,EGELJOPH1,2022,1.0
REGION1,EGELSDPH1,2022,1.0
REGION1,LYELEGPH1,2022,1.0
REGION1,EGBACKSTOP,2023,1.0
REGION1,EGBMCHPH1,2023,1.0
REGION1,EGSOU1PH1,2023,0.0
REGION1,EGWINDPH1,2023,0.05
REGION1,EGNGCCPH1,2023,1.0
REGION1,EGNGGCPH1,2023,1.0
REGION1,EGLFRCPH1,2023,1.0
REGION1,EGHFGCPH1,2023,1.0
REGION1,EGHYDMSH1,2023,1.0
REGION1,EGSOC1PH1,2023,0.0
REGION1,EGBMCHPN1,2023,1.0
REGION1,EGSOU1PN1,2023,0.0
REGION1,EGWINDPN1,2023,0.05
REGION1,EGNGCCPN1,2023,1.0
REGION1,EGNGGCPN1,2023,1.0
