REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ERBACKSTOP,2021,1.0
REGION1,ERLFRCPH1,2021,1.0
REGION1,ERHFGCPH1,2021,1.0
REGION1,ERLFRCPN1,2021,1.0
REGION1,ERHFGCPN1,2021,1.0
REGION1,ERNGCCPN1,2021,1.0
REGION1,ERSOU1PN1,2021,0.0
REGION1,ERWINDPN1,2021,0.05
REGION1,ERNGCCSPN1,2021,1.0
REGION1,ERBATTN1,2021,1.0
REGION1,ERBACKSTOP,2022,1.0
REGION1,ERLFRCPH1,2022,1.0
REGION1,ERHFGCPH1,2022,1.0
REGION1,ERLFRCPN1,2022,1.0
REGION1,ERHFGCPN1,2022,1.0
REGION1,ERNGCCPN1,2022,1.0
REGION1,ERSOU1PN1,2022,0.0
REGION1,ERWINDPN1,2022,0.05
REGION1,ERNGCCSPN1,2022,1.0
REGION1,ERBATTN1,2022,1.0
REGION1,ERBACKSTOP,2023,1.0
REGION1,ERLFRCPH1,2023,1.0
REGION1,ERHFGCPH1,2023,1.0
REGION1,ERLFRCPN1,2023,1.0
REGION1,ERHFGCPN1,2023,1.0
REGION1,ERNGCCPN1,2023,1.0
REGION1,ERSOU1PN1,2023,0.0
REGION1,ERWINDPN1,2023,0.05
REGION1,ERNGCCSPN1,2023,1.0
REGION1,ERBATTN1,2023,1.0
REGION1,ERBACKSTOP,2024,1.0
REGION1,ERLFRCPH1,2024,1.0
REGION1,ERHFGCPH1,2024,1.0
REGION1,ERLFRCPN1,2024,1.0
REGION1,ERHFGCPN1,2024,1.0
REGION1,ERNGCCPN1,2024,1.0
REGION1,ERSOU1PN1,2024,0.0
REGION1,ERWINDPN1,2024,0.05
REGION1,ERNGCCSPN1,2024,1.0
REGION1,ERBATTN1,2024,1.0
REGION1,ERBACKSTOP,2025,1.0
REGION1,ERLFRCPH1,2025,1.0
REGION1,ERHFGCPH1,2025,1.0
REGION1,ERLFRCPN1,2025,1.0
REGION1,ERHFGCPN1,2025,1.0
REGION1,ERNGCCPN1,2025,1.0
REGION1,ERSOU1PN1,2025,0.0
REGION1,ERWINDPN1,2025,0.05
REGION1,ERNGCCSPN1,2025,1.0
REGION1,ERBATTN1,2025,1.0
REGION1,ERBACKSTOP,2026,1.0
REGION1,ERLFRCPH1,2026,1.0
REGION1,ERHFGCPH1,2026,1.0
REGION1,ERLFRCPN1,2026,1.0
REGION1,ERHFGCPN1,2026,1.0
REGION1,ERNGCCPN1,2026,1.0
