REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ESBACKSTOP,2021,1.0
REGION1,ESCOCHPH1,2021,1.0
REGION1,ESCOSTPH1,2021,1.0
REGION1,ESNUG2PH1,2021,1.0
REGION1,ESLISTPH1,2021,1.0
REGION1,ESNGCCPH1,2021,1.0
REGION1,ESNGCHPH1,2021,1.0
REGION1,ESBFCHPH1,2021,1.0
REGION1,ESBFSTPH1,2021,1.0
REGION1,ESDGCHPH1,2021,1.0
REGION1,ESDGELH1,2021,1.0
REGION1,ESRGCHPH1,2021,1.0
REGION1,ESRGELH1,2021,1.0
REGION1,ESDSCHPH1,2021,1.0
REGION1,ESDSELH1,2021,1.0
REGION1,ESHFCHPH1,2021,1.0
REGION1,ESHFSTPH1,2021,1.0
REGION1,ESBMCHPH1,2021,1.0
REGION1,ESBMSTPH1,2021,1.0
REGION1,ESWSCHPH1,2021,1.0
REGION1,ESWSSTPH1,2021,1.0
REGION1,ESWIOFPH1,2021,1.0
REGION1,ESWIONPH1,2021,1.0
REGION1,ESSOUTPH1,2021,0.0
REGION1,ESSOSTHH1,2021,0.0
REGION1,ESOCWVPH1,2021,1.0
REGION1,ESHYDMPH1,2021,1.0
REGION1,ESHYDRPH1,2021,1.0
REGION1,ESHYDSPH1,2021,1.0
REGION1,ESCOCHPN1,2021,1.0
REGION1,ESCOSTPN1,2021,1.0
REGION1,ESNUG2PN1,2021,1.0
REGION1,ESLISTPN1,2021,1.0
REGION1,ESNGCCPN1,2021,1.0
REGION1,ESNGCHPN1,2021,1.0
REGION1,ESBFCHPN1,2021,1.0
REGION1,ESBFSTPN1,2021,1.0
REGION1,ESDGCHPN1,2021,1.0
REGION1,ESDGELN1,2021,1.0
REGION1,ESRGCHPN1,2021,1.0
REGION1,ESRGELN1,2021,1.0
REGION1,ESDSCHPN1,2021,1.0
REGION1,ESDSELN1,2021,1.0
REGION1,ESHFCHPN1,2021,1.0
REGION1,ESHFSTPN1,2021,1.0
REGION1,ESBMCHPN1,2021,1.0
REGION1,ESBMSTPN1,2021,1.0
REGION1,ESWSCHPN1,2021,1.0
REGION1,ESWSSTPN1,2021,1.0
REGION1,ESWIOFPN1,2021,1.0
REGION1,ESWIONPN1,2021,1.0
REGION1,ESSOUTPN1,2021,0.0
REGION1,ESSOSTHN1,2021,0.0
REGION1,ESOCWVPN1,2021,1.0
REGION1,ESHYDMPN1,2021,1.0
REGION1,ESHYDRPN1,2021,1.0
REGION1,ESHYDSPN1,2021,1.0
REGION1,ESNGCCSN1,2021,1.0
REGION1,ESBMCCSN1,2021,1.0
REGION1,ESBATTH1,2021,1.0
REGION1,ESELFRPH1,2021,1.0
REGION1,ESELPTPH1,2021,1.0
REGION1,ESELMAPH1,2021,1.0
REGION1,ESBACKSTOP,2022,1.0
REGION1,ESCOCHPH1,2022,1.0
REGION1,ESCOSTPH1,2022,1.0
REGION1,ESNUG2PH1,2022,1.0
REGION1,ESLISTPH1,2022,1.0
REGION1,ESNGCCPH1,2022,1.0
REGION1,ESNGCHPH1,2022,1.0
REGION1,ESBFCHPH1,2022,1.0
REGION1,ESBFSTPH1,2022,1.0
REGION1,ESDGCHPH1,2022,1.0
REGION1,ESDGELH1,2022,1.0
REGION1,ESRGCHPH1,2022,1.0
REGION1,ESRGELH1,2022,1.0
REGION1,ESDSCHPH1,2022,1.0
REGION1,ESDSELH1,2022,1.0
REGION1,ESHFCHPH1,2022,1.0
