REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ETBACKSTOP,2021,1.0
REGION1,ETBMCHPH1,2021,1.0
REGION1,ETHYDMSH1,2021,1.0
REGION1,ETWINDPH1,2021,0.05
REGION1,ETLFRCPH1,2021,1.0
REGION1,ETGOCVPH1,2021,1.0
REGION1,ETBMCHPN1,2021,1.0
REGION1,ETHYDMSN1,2021,1.0
REGION1,ETWINDPN1,2021,0.05
REGION1,ETLFRCPN1,2021,1.0
REGION1,ETGOCVPN1,2021,1.0
REGION1,ETNGCCPN1,2021,1.0
REGION1,ETSOU1PN1,2021,0.0
REGION1,ETNGCCSPN1,2021,1.0
REGION1,ETBMCCSPN1,2021,1.0
REGION1,ETBATTN1,2021,1.0
REGION1,ETELDJPH1,2021,1.0
REGION1,ETELSDPH1,2021,1.0
REGION1,ETBACKSTOP,2022,1.0
REGION1,ETBMCHPH1,2022,1.0
REGION1,ETHYDMSH1,2022,1.0
REGION1,ETWINDPH1,2022,0.05
REGION1,ETLFRCPH1,2022,1.0
REGION1,ETGOCVPH1,2022,1.0
REGION1,ETBMCHPN1,2022,1.0
REGION1,ETHYDMSN1,2022,1.0
REGION1,ETWINDPN1,2022,0.05
REGION1,ETLFRCPN1,2022,1.0
REGION1,ETGOCVPN1,2022,1.0
REGION1,ETNGCCPN1,2022,1.0
REGION1,ETSOU1PN1,2022,0.0
REGION1,ETNGCCSPN1,2022,1.0
REGION1,ETBMCCSPN1,2022,1.0
REGION1,ETBATTN1,2022,1.0
REGION1,ETELDJPH1,2022,1.0
REGION1,ETELSDPH1,2022,1.0
REGION1,ETBACKSTOP,2023,1.0
REGION1,ETBMCHPH1,2023,1.0
REGION1,ETHYDMSH1,2023,1.0
REGION1,ETWINDPH1,2023,0.05
REGION1,ETLFRCPH1,2023,1.0
REGION1,ETGOCVPH1,2023,1.0
REGION1,ETBMCHPN1,2023,1.0
REGION1,ETHYDMSN1,2023,1.0
REGION1,ETWINDPN1,2023,0.05
REGION1,ETLFRCPN1,2023,1.0
REGION1,ETGOCVPN1,2023,1.0
REGION1,ETNGCCPN1,2023,1.0
REGION1,ETSOU1PN1,2023,0.0
REGION1,ETNGCCSPN1,2023,1.0
REGION1,ETBMCCSPN1,2023,1.0
REGION1,ETBATTN1,2023,1.0
REGION1,ETELDJPH1,2023,1.0
REGION1,ETELSDPH1,2023,1.0
REGION1,ETBACKSTOP,2024,1.0
