REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATCO00I00,ATCO2,1,2021,0.0946
REGION1,ATDG00I00,ATCO2,1,2021,0.0444
REGION1,ATRG00I00,ATCO2,1,2021,0.057
REGION1,ATDS00I00,ATCO2,1,2021,0.0741
REGION1,ATHF00I00,ATCO2,1,2021,0.0774
REGION1,ATWS00I00,ATCO2,1,2021,0.0917
REGION1,ATGO00I00,ATCO2,1,2021,0.0
REGION1,BENU00I00,BECO2,1,2021,0.0
REGION1,BECO00I00,BECO2,1,2021,0.0946
REGION1,BEDG00I00,BECO2,1,2021,0.0444
REGION1,BERG00I00,BECO2,1,2021,0.057
REGION1,BEDS00I00,BECO2,1,2021,0.0741
REGION1,BEHF00I00,BECO2,1,2021,0.0774
REGION1,BEWS00I00,BECO2,1,2021,0.0917
REGION1,BGCO00I00,BGCO2,1,2021,0.0946
REGION1,BGHF00I00,BGCO2,1,2021,0.0774
REGION1,BGNU00I00,BGCO2,1,2021,0.0
REGION1,BGLI00I00,BGCO2,1,2021,0.101
REGION1,BGRG00I00,BGCO2,1,2021,0.057
REGION1,BGDS00I00,BGCO2,1,2021,0.0741
REGION1,BGWS00I00,BGCO2,1,2021,0.0917
REGION1,CYHF00I00,CYCO2,1,2021,0.0774
REGION1,CYDS00I00,CYCO2,1,2021,0.0741
REGION1,CZNU00I00,CZCO2,1,2021,0.0
REGION1,CZCO00I00,CZCO2,1,2021,0.0946
REGION1,CZLI00I00,CZCO2,1,2021,0.101
REGION1,CZDG00I00,CZCO2,1,2021,0.0444
REGION1,CZRG00I00,CZCO2,1,2021,0.057
REGION1,CZDS00I00,CZCO2,1,2021,0.0741
REGION1,CZHF00I00,CZCO2,1,2021,0.0774
REGION1,CZWS00I00,CZCO2,1,2021,0.0917
REGION1,DENU00I00,DECO2,1,2021,0.0
REGION1,DECO00I00,DECO2,1,2021,0.0946
REGION1,DELI00I00,DECO2,1,2021,0.101
REGION1,DEDG00I00,DECO2,1,2021,0.0444
REGION1,DERG00I00,DECO2,1,2021,0.057
REGION1,DEDS00I00,DECO2,1,2021,0.0741
REGION1,DEHF00I00,DECO2,1,2021,0.0774
REGION1,DEWS00I00,DECO2,1,2021,0.0917
REGION1,DEGO00I00,DECO2,1,2021,0.0
REGION1,DKCO00I00,DKCO2,1,2021,0.0946
REGION1,DKHF00I00,DKCO2,1,2021,0.0774
REGION1,DKWS00I00,DKCO2,1,2021,0.0917
REGION1,DKRG00I00,DKCO2,1,2021,0.057
REGION1,DKDS00I00,DKCO2,1,2021,0.0741
REGION1,EEHF00I00,EECO2,1,2021,0.0774
REGION1,EEWS00I00,EECO2,1,2021,0.0917
REGION1,EELI00I00,EECO2,1,2021,0.101
REGION1,EEDG00I00,EECO2,1,2021,0.0444
REGION1,GRHF00I00,GRCO2,1,2021,0.0774
REGION1,GRLI00I00,GRCO2,1,2021,0.101
REGION1,GRRG00I00,GRCO2,1,2021,0.057
REGION1,GRDS00I00,GRCO2,1,2021,0.0741
REGION1,ESCO00I00,ESCO2,1,2021,0.0946
REGION1,ESNU00I00,ESCO2,1,2021,0.0
REGION1,ESLI00I00,ESCO2,1,2021,0.101
REGION1,ESDG00I00,ESCO2,1,2021,0.0444
REGION1,ESRG00I00,ESCO2,1,2021,0.057
REGION1,ESDS00I00,ESCO2,1,2021,0.0741
REGION1,ESHF00I00,ESCO2,1,2021,0.0774
REGION1,ESWS00I00,ESCO2,1,2021,0.0917
REGION1,FICO00I00,FICO2,1,2021,0.0946
REGION1,FIHF00I00,FICO2,1,2021,0.0774
REGION1,FINU00I00,FICO2,1,2021,0.0
REGION1,FIWS00I00,FICO2,1,2021,0.0917
REGION1,FILI00I00,FICO2,1,2021,0.101
REGION1,FIDG00I00,FICO2,1,2021,0.0444
REGION1,FIRG00I00,FICO2,1,2021,0.057
REGION1,FIDS00I00,FICO2,1,2021,0.0741
REGION1,FRNU00I00,FRCO2,1,2021,0.0
REGION1,FRCO00I00,FRCO2,1,2021,0.0946
REGION1,FRDG00I00,FRCO2,1,2021,0.0444
REGION1,FRRG00I00,FRCO2,1,2021,0.057
REGION1,FRDS00I00,FRCO2,1,2021,0.0741
REGION1,FRHF00I00,FRCO2,1,2021,0.0774
REGION1,FRWS00I00,FRCO2,1,2021,0.0917
REGION1,FRGO00I00,FRCO2,1,2021,0.0
REGION1,FRTI00I00,FRCO2,1,2021,0.0
REGION1,FROC00I00,FRCO2,1,2021,0.0
REGION1,HRCO00I00,HRCO2,1,2021,0.0946
REGION1,HRHF00I00,HRCO2,1,2021,0.0774
REGION1,HRLI00I00,HRCO2,1,2021,0.101
REGION1,HRRG00I00,HRCO2,1,2021,0.057
REGION1,HRDS00I00,HRCO2,1,2021,0.0741
REGION1,HRGO00I00,HRCO2,1,2021,0.0
REGION1,HUNU00I00,HUCO2,1,2021,0.0
REGION1,HUCO00I00,HUCO2,1,2021,0.0946
REGION1,HULI00I00,HUCO2,1,2021,0.101
REGION1,HUDG00I00,HUCO2,1,2021,0.0444
REGION1,HURG00I00,HUCO2,1,2021,0.057
REGION1,HUDS00I00,HUCO2,1,2021,0.0741
REGION1,HUHF00I00,HUCO2,1,2021,0.0774
REGION1,HUWS00I00,HUCO2,1,2021,0.0917
REGION1,HUGO00I00,HUCO2,1,2021,0.0
REGION1,IEWS00I00,IECO2,1,2021,0.0917
REGION1,IECO00I00,IECO2,1,2021,0.0946
REGION1,IELI00I00,IECO2,1,2021,0.101
REGION1,IERG00I00,IECO2,1,2021,0.057
REGION1,IEDS00I00,IECO2,1,2021,0.0741
REGION1,IEHF00I00,IECO2,1,2021,0.0774
REGION1,ITCO00I00,ITCO2,1,2021,0.0946
REGION1,ITGO00I00,ITCO2,1,2021,0.0
REGION1,ITHF00I00,ITCO2,1,2021,0.0774
REGION1,ITWS00I00,ITCO2,1,2021,0.0917
REGION1,ITDG00I00,ITCO2,1,2021,0.0444
REGION1,ITRG00I00,ITCO2,1,2021,0.057
REGION1,ITDS00I00,ITCO2,1,2021,0.0741
REGION1,LTHF00I00,LTCO2,1,2021,0.0774
REGION1,LTWS00I00,LTCO2,1,2021,0.0917
REGION1,LTRG00I00,LTCO2,1,2021,0.057
REGION1,LTDS00I00,LTCO2,1,2021,0.0741
REGION1,LUWS00I00,LUCO2,1,2021,0.0917
REGION1,LUDS00I00,LUCO2,1,2021,0.0741
REGION1,LVCO00I00,LVCO2,1,2021,0.0946
REGION1,LVHF00I00,LVCO2,1,2021,0.0774
REGION1,LVLI00I00,LVCO2,1,2021,0.101
REGION1,LVDS00I00,LVCO2,1,2021,0.0741
REGION1,MTDS00I00,MTCO2,1,2021,0.0741
REGION1,NLCO00I00,NLCO2,1,2021,0.0946
REGION1,NLNU00I00,NLCO2,1,2021,0.0
REGION1,NLWS00I00,NLCO2,1,2021,0.0917
REGION1,NLDG00I00,NLCO2,1,2021,0.0444
REGION1,NLRG00I00,NLCO2,1,2021,0.057
REGION1,NLDS00I00,NLCO2,1,2021,0.0741
REGION1,NLHF00I00,NLCO2,1,2021,0.0774
REGION1,PLCO00I00,PLCO2,1,2021,0.0946
REGION1,PLLI00I00,PLCO2,1,2021,0.101
REGION1,PLDG00I00,PLCO2,1,2021,0.0444
REGION1,PLRG00I00,PLCO2,1,2021,0.057
REGION1,PLDS00I00,PLCO2,1,2021,0.0741
REGION1,PLHF00I00,PLCO2,1,2021,0.0774
REGION1,PTGO00I00,PTCO2,1,2021,0.0
REGION1,PTHF00I00,PTCO2,1,2021,0.0774
REGION1,PTOC00I00,PTCO2,1,2021,0.0
REGION1,PTWS00I00,PTCO2,1,2021,0.0917
REGION1,PTCO00I00,PTCO2,1,2021,0.0946
REGION1,PTRG00I00,PTCO2,1,2021,0.057
REGION1,PTDS00I00,PTCO2,1,2021,0.0741
REGION1,ROCO00I00,ROCO2,1,2021,0.0946
REGION1,ROHF00I00,ROCO2,1,2021,0.0774
REGION1,RONU00I00,ROCO2,1,2021,0.0
REGION1,ROLI00I00,ROCO2,1,2021,0.101
REGION1,RODG00I00,ROCO2,1,2021,0.0444
REGION1,RORG00I00,ROCO2,1,2021,0.057
REGION1,RODS00I00,ROCO2,1,2021,0.0741
REGION1,ROGO00I00,ROCO2,1,2021,0.0
REGION1,SECO00I00,SECO2,1,2021,0.0946
REGION1,SEHF00I00,SECO2,1,2021,0.0774
REGION1,SENU00I00,SECO2,1,2021,0.0
REGION1,SEWS00I00,SECO2,1,2021,0.0917
REGION1,SELI00I00,SECO2,1,2021,0.101
REGION1,SEDG00I00,SECO2,1,2021,0.0444
REGION1,SEDS00I00,SECO2,1,2021,0.0741
REGION1,SIHF00I00,SICO2,1,2021,0.0774
REGION1,SINU00I00,SICO2,1,2021,0.0
REGION1,SILI00I00,SICO2,1,2021,0.101
REGION1,SIDS00I00,SICO2,1,2021,0.0741
REGION1,SIWS00I00,SICO2,1,2021,0.0917
REGION1,SKCO00I00,SKCO2,1,2021,0.0946
REGION1,SKHF00I00,SKCO2,1,2021,0.0774
REGION1,SKNU00I00,SKCO2,1,2021,0.0
REGION1,SKWS00I00,SKCO2,1,2021,0.0917
REGION1,SKLI00I00,SKCO2,1,2021,0.101
REGION1,SKDG00I00,SKCO2,1,2021,0.0444
REGION1,SKRG00I00,SKCO2,1,2021,0.057
REGION1,SKDS00I00,SKCO2,1,2021,0.0741
REGION1,NOHF00I00,NOCO2,1,2021,0.0774
REGION1,NOWS00I00,NOCO2,1,2021,0.0917
REGION1,NOOC00I00,NOCO2,1,2021,0.0
REGION1,CHHF00I00,CHCO2,1,2021,0.0774
REGION1,CHNU00I00,CHCO2,1,2021,0.0
REGION1,CHWS00I00,CHCO2,1,2021,0.0917
REGION1,UKCO00I00,UKCO2,1,2021,0.0946
REGION1,UKHF00I00,UKCO2,1,2021,0.0774
REGION1,UKNU00I00,UKCO2,1,2021,0.0
REGION1,UKOC00I00,UKCO2,1,2021,0.0
REGION1,UKWS00I00,UKCO2,1,2021,0.0917
REGION1,ATNGCCSN1,ATCO2,1,2021,-0.1174186046511628
REGION1,BENGCCSN1,BECO2,1,2021,-0.1174186046511628
REGION1,BGNGCCSN1,BGCO2,1,2021,-0.1174186046511628
REGION1,CHNGCCSN1,CHCO2,1,2021,-0.1174186046511628
