REGION,TECHNOLOGY,YEAR,VALUE
REGION1,FRBACKSTOP,2021,1.0
REGION1,FRNUG2PH1,2021,1.0
REGION1,FRCOCHPH1,2021,1.0
REGION1,FRCOSTPH1,2021,1.0
REGION1,FRNGCCPH1,2021,1.0
REGION1,FRNGCHPH1,2021,1.0
REGION1,FRBFHPFH1,2021,1.0
REGION1,FRBFCHPH1,2021,1.0
REGION1,FRDGELH1,2021,1.0
REGION1,FRRGCHPH1,2021,1.0
REGION1,FRRGELH1,2021,1.0
REGION1,FRDSCHPH1,2021,1.0
REGION1,FRDSELH1,2021,1.0
REGION1,FRHFCHPH1,2021,1.0
REGION1,FRHFSTPH1,2021,1.0
REGION1,FRBMCHPH1,2021,1.0
REGION1,FRBMSTPH1,2021,1.0
REGION1,FRWSCHPH1,2021,1.0
REGION1,FRWSSTPH1,2021,1.0
REGION1,FRWIONPH1,2021,1.0
REGION1,FRWIOFPH1,2021,1.0
REGION1,FRSOUTPH1,2021,0.0
REGION1,FRSOSTHH1,2021,0.0
REGION1,FRGOCVPH1,2021,1.0
REGION1,FRTIDH1,2021,1.0
REGION1,FROCWVPH1,2021,1.0
REGION1,FRHYDMPH1,2021,1.0
REGION1,FRHYDRPH1,2021,1.0
REGION1,FRHYDSPH1,2021,1.0
REGION1,FRNUG2PN1,2021,1.0
REGION1,FRCOCHPN1,2021,1.0
REGION1,FRCOSTPN1,2021,1.0
REGION1,FRNGCCPN1,2021,1.0
REGION1,FRNGCHPN1,2021,1.0
REGION1,FRBFHPFN1,2021,1.0
REGION1,FRBFCHPN1,2021,1.0
REGION1,FRDGELN1,2021,1.0
REGION1,FRRGCHPN1,2021,1.0
REGION1,FRRGELN1,2021,1.0
REGION1,FRDSCHPN1,2021,1.0
REGION1,FRDSELN1,2021,1.0
REGION1,FRHFCHPN1,2021,1.0
REGION1,FRHFSTPN1,2021,1.0
REGION1,FRBMCHPN1,2021,1.0
REGION1,FRBMSTPN1,2021,1.0
REGION1,FRWSCHPN1,2021,1.0
REGION1,FRWSSTPN1,2021,1.0
REGION1,FRWIONPN1,2021,1.0
REGION1,FRWIOFPN1,2021,1.0
REGION1,FRSOUTPN1,2021,0.0
REGION1,FRSOSTHN1,2021,0.0
REGION1,FRGOCVPN1,2021,1.0
REGION1,FRTIDN1,2021,1.0
REGION1,FROCWVPN1,2021,1.0
REGION1,FRHYDMPN1,2021,1.0
REGION1,FRHYDRPN1,2021,1.0
REGION1,FRHYDSPN1,2021,1.0
REGION1,FRNGCCSN1,2021,1.0
REGION1,FRBMCCSN1,2021,1.0
REGION1,FRBATTH1,2021,1.0
REGION1,BEELFRPH1,2021,1.0
REGION1,FRELITPH1,2021,1.0
REGION1,FRELLUPH1,2021,1.0
REGION1,FRELUKPH1,2021,1.0
REGION1,DEELFRPH1,2021,1.0
REGION1,ESELFRPH1,2021,1.0
REGION1,CHELFRPH1,2021,1.0
REGION1,FRNGCHPI0,2021,1.0
REGION1,FRNGESPI0,2021,1.0
REGION1,FRBACKSTOP,2022,1.0
REGION1,FRNUG2PH1,2022,1.0
REGION1,FRCOCHPH1,2022,1.0
REGION1,FRCOSTPH1,2022,1.0
REGION1,FRNGCCPH1,2022,1.0
REGION1,FRNGCHPH1,2022,1.0
REGION1,FRBFHPFH1,2022,1.0
REGION1,FRBFCHPH1,2022,1.0
REGION1,FRDGELH1,2022,1.0
REGION1,FRRGCHPH1,2022,1.0
REGION1,FRRGELH1,2022,1.0
REGION1,FRDSCHPH1,2022,1.0
REGION1,FRDSELH1,2022,1.0
REGION1,FRHFCHPH1,2022,1.0
REGION1,FRHFSTPH1,2022,1.0
REGION1,FRBMCHPH1,2022,1.0
REGION1,FRBMSTPH1,2022,1.0
REGION1,FRWSCHPH1,2022,1.0
REGION1,FRWSSTPH1,2022,1.0
REGION1,FRWIONPH1,2022,1.0
REGION1,FRWIOFPH1,2022,1.0
REGION1,FRSOUTPH1,2022,0.0
REGION1,FRSOSTHH1,2022,0.0
REGION1,FRGOCVPH1,2022,1.0
REGION1,FRTIDH1,2022,1.0
REGION1,FROCWVPH1,2022,1.0
REGION1,FRHYDMPH1,2022,1.0
REGION1,FRHYDRPH1,2022,1.0
REGION1,FRHYDSPH1,2022,1.0
REGION1,FRNUG2PN1,2022,1.0
REGION1,FRCOCHPN1,2022,1.0
REGION1,FRCOSTPN1,2022,1.0
REGION1,FRNGCCPN1,2022,1.0
REGION1,FRNGCHPN1,2022,1.0
REGION1,FRBFHPFN1,2022,1.0
REGION1,FRBFCHPN1,2022,1.0
REGION1,FRDGELN1,2022,1.0
REGION1,FRRGCHPN1,2022,1.0
REGION1,FRRGELN1,2022,1.0
REGION1,FRDSCHPN1,2022,1.0
REGION1,FRDSELN1,2022,1.0
REGION1,FRHFCHPN1,2022,1.0
REGION1,FRHFSTPN1,2022,1.0
REGION1,FRBMCHPN1,2022,1.0
REGION1,FRBMSTPN1,2022,1.0
REGION1,FRWSCHPN1,2022,1.0
REGION1,FRWSSTPN1,2022,1.0
REGION1,FRWIONPN1,2022,1.0
REGION1,FRWIOFPN1,2022,1.0
REGION1,FRSOUTPN1,2022,0.0
REGION1,FRSOSTHN1,2022,0.0
REGION1,FRGOCVPN1,2022,1.0
REGION1,FRTIDN1,2022,1.0
REGION1,FROCWVPN1,2022,1.0
REGION1,FRHYDMPN1,2022,1.0
REGION1,FRHYDRPN1,2022,1.0
REGION1,FRHYDSPN1,2022,1.0
REGION1,FRNGCCSN1,2022,1.0
REGION1,FRBMCCSN1,2022,1.0
REGION1,FRBATTH1,2022,1.0
REGION1,BEELFRPH1,2022,1.0
REGION1,FRELITPH1,2022,1.0
REGION1,FRELLUPH1,2022,1.0
REGION1,FRELUKPH1,2022,1.0
REGION1,DEELFRPH1,2022,1.0
REGION1,ESELFRPH1,2022,1.0
REGION1,CHELFRPH1,2022,1.0
REGION1,FRNGCHPI0,2022,1.0
REGION1,FRNGESPI0,2022,1.0
REGION1,FRBACKSTOP,2023,1.0
REGION1,FRNUG2PH1,2023,1.0
REGION1,FRCOCHPH1,2023,1.0
REGION1,FRCOSTPH1,2023,1.0
REGION1,FRNGCCPH1,2023,1.0
REGION1,FRNGCHPH1,2023,1.0
REGION1,FRBFHPFH1,2023,1.0
REGION1,FRBFCHPH1,2023,1.0
REGION1,FRDGELH1,2023,1.0
REGION1,FRRGCHPH1,2023,1.0
REGION1,FRRGELH1,2023,1.0
REGION1,FRDSCHPH1,2023,1.0
REGION1,FRDSELH1,2023,1.0
REGION1,FRHFCHPH1,2023,1.0
REGION1,FRHFSTPH1,2023,1.0
REGION1,FRBMCHPH1,2023,1.0
REGION1,FRBMSTPH1,2023,1.0
REGION1,FRWSCHPH1,2023,1.0
REGION1,FRWSSTPH1,2023,1.0
REGION1,FRWIONPH1,2023,1.0
REGION1,FRWIOFPH1,2023,1.0
REGION1,FRSOUTPH1,2023,0.0
REGION1,FRSOSTHH1,2023,0.0
REGION1,FRGOCVPH1,2023,1.0
REGION1,FRTIDH1,2023,1.0
REGION1,FROCWVPH1,2023,1.0
REGION1,FRHYDMPH1,2023,1.0
REGION1,FRHYDRPH1,2023,1.0
REGION1,FRHYDSPH1,2023,1.0
REGION1,FRNUG2PN1,2023,1.0
REGION1,FRCOCHPN1,2023,1.0
REGION1,FRCOSTPN1,2023,1.0
REGION1,FRNGCCPN1,2023,1.0
REGION1,FRNGCHPN1,2023,1.0
REGION1,FRBFHPFN1,2023,1.0
REGION1,FRBFCHPN1,2023,1.0
REGION1,FRDGELN1,2023,1.0
REGION1,FRRGCHPN1,2023,1.0
REGION1,FRRGELN1,2023,1.0
REGION1,FRDSCHPN1,2023,1.0
REGION1,FRDSELN1,2023,1.0
REGION1,FRHFCHPN1,2023,1.0
REGION1,FRHFSTPN1,2023,1.0
REGION1,FRBMCHPN1,2023,1.0
REGION1,FRBMSTPN1,2023,1.0
REGION1,FRWSCHPN1,2023,1.0
REGION1,FRWSSTPN1,2023,1.0
REGION1,FRWIONPN1,2023,1.0
REGION1,FRWIOFPN1,2023,1.0
REGION1,FRSOUTPN1,2023,0.0
REGION1,FRSOSTHN1,2023,0.0
REGION1,FRGOCVPN1,2023,1.0
REGION1,FRTIDN1,2023,1.0
REGION1,FROCWVPN1,2023,1.0
REGION1,FRHYDMPN1,2023,1.0
REGION1,FRHYDRPN1,2023,1.0
REGION1,FRHYDSPN1,2023,1.0
REGION1,FRNGCCSN1,2023,1.0
REGION1,FRBMCCSN1,2023,1.0
REGION1,FRBATTH1,2023,1.0
REGION1,BEELFRPH1,2023,1.0
REGION1,FRELITPH1,2023,1.0
REGION1,FRELLUPH1,2023,1.0
REGION1,FRELUKPH1,2023,1.0
REGION1,DEELFRPH1,2023,1.0
REGION1,ESELFRPH1,2023,1.0
REGION1,CHELFRPH1,2023,1.0
REGION1,FRNGCHPI0,2023,1.0
REGION1,FRNGESPI0,2023,1.0
REGION1,FRBACKSTOP,2024,1.0
REGION1,FRNUG2PH1,2024,1.0
REGION1,FRCOCHPH1,2024,1.0
REGION1,FRCOSTPH1,2024,1.0
REGION1,FRNGCCPH1,2024,1.0
REGION1,FRNGCHPH1,2024,1.0
REGION1,FRBFHPFH1,2024,1.0
REGION1,FRBFCHPH1,2024,1.0
REGION1,FRDGELH1,2024,1.0
REGION1,FRRGCHPH1,2024,1.0
REGION1,FRRGELH1,2024,1.0
REGION1,FRDSCHPH1,2024,1.0
REGION1,FRDSELH1,2024,1.0
REGION1,FRHFCHPH1,2024,1.0
REGION1,FRHFSTPH1,2024,1.0
REGION1,FRBMCHPH1,2024,1.0
REGION1,FRBMSTPH1,2024,1.0
REGION1,FRWSCHPH1,2024,1.0
REGION1,FRWSSTPH1,2024,1.0
REGION1,FRWIONPH1,2024,1.0
REGION1,FRWIOFPH1,2024,1.0
REGION1,FRSOUTPH1,2024,0.0
REGION1,FRSOSTHH1,2024,0.0
REGION1,FRGOCVPH1,2024,1.0
REGION1,FRTIDH1,2024,1.0
REGION1,FROCWVPH1,2024,1.0
REGION1,FRHYDMPH1,2024,1.0
REGION1,FRHYDRPH1,2024,1.0
REGION1,FRHYDSPH1,2024,1.0
REGION1,FRNUG2PN1,2024,1.0
REGION1,FRCOCHPN1,2024,1.0
REGION1,FRCOSTPN1,2024,1.0
REGION1,FRNGCCPN1,2024,1.0
REGION1,FRNGCHPN1,2024,1.0
REGION1,FRBFHPFN1,2024,1.0
REGION1,FRBFCHPN1,2024,1.0
REGION1,FRDGELN1,2024,1.0
REGION1,FRRGCHPN1,2024,1.0
REGION1,FRRGELN1,2024,1.0
REGION1,FRDSCHPN1,2024,1.0
REGION1,FRDSELN1,2024,1.0
REGION1,FRHFCHPN1,2024,1.0
REGION1,FRHFSTPN1,2024,1.0
REGION1,FRBMCHPN1,2024,1.0
REGION1,FRBMSTPN1,2024,1.0
REGION1,FRWSCHPN1,2024,1.0
REGION1,FRWSSTPN1,2024,1.0
REGION1,FRWIONPN1,2024,1.0
REGION1,FRWIOFPN1,2024,1.0
REGION1,FRSOUTPN1,2024,0.0
REGION1,FRSOSTHN1,2024,0.0
REGION1,FRGOCVPN1,2024,1.0
REGION1,FRTIDN1,2024,1.0
REGION1,FROCWVPN1,2024,1.0
REGION1,FRHYDMPN1,2024,1.0
REGION1,FRHYDRPN1,2024,1.0
REGION1,FRHYDSPN1,2024,1.0
REGION1,FRNGCCSN1,2024,1.0
REGION1,FRBMCCSN1,2024,1.0
REGION1,FRBATTH1,2024,1.0
REGION1,BEELFRPH1,2024,1.0
REGION1,FRELITPH1,2024,1.0
REGION1,FRELLUPH1,2024,1.0
REGION1,FRELUKPH1,2024,1.0
REGION1,DEELFRPH1,2024,1.0
REGION1,ESELFRPH1,2024,1.0
REGION1,CHELFRPH1,2024,1.0
REGION1,FRNGCHPI0,2024,1.0
REGION1,FRNGESPI0,2024,1.0
REGION1,FRBACKSTOP,2025,1.0
REGION1,FRNUG2PH1,2025,1.0
REGION1,FRCOCHPH1,2025,1.0
REGION1,FRCOSTPH1,2025,1.0
REGION1,FRNGCCPH1,2025,1.0
REGION1,FRNGCHPH1,2025,1.0
REGION1,FRBFHPFH1,2025,1.0
REGION1,FRBFCHPH1,2025,1.0
REGION1,FRDGELH1,2025,1.0
REGION1,FRRGCHPH1,2025,1.0
REGION1,FRRGELH1,2025,1.0
REGION1,FRDSCHPH1,2025,1.0
REGION1,FRDSELH1,2025,1.0
REGION1,FRHFCHPH1,2025,1.0
REGION1,FRHFSTPH1,2025,1.0
REGION1,FRBMCHPH1,2025,1.0
REGION1,FRBMSTPH1,2025,1.0
REGION1,FRWSCHPH1,2025,1.0
REGION1,FRWSSTPH1,2025,1.0
REGION1,FRWIONPH1,2025,1.0
REGION1,FRWIOFPH1,2025,1.0
REGION1,FRSOUTPH1,2025,0.0
REGION1,FRSOSTHH1,2025,0.0
REGION1,FRGOCVPH1,2025,1.0
REGION1,FRTIDH1,2025,1.0
REGION1,FROCWVPH1,2025,1.0
REGION1,FRHYDMPH1,2025,1.0
REGION1,FRHYDRPH1,2025,1.0
REGION1,FRHYDSPH1,2025,1.0
REGION1,FRNUG2PN1,2025,1.0
REGION1,FRCOCHPN1,2025,1.0
REGION1,FRCOSTPN1,2025,1.0
REGION1,FRNGCCPN1,2025,1.0
REGION1,FRNGCHPN1,2025,1.0
REGION1,FRBFHPFN1,2025,1.0
REGION1,FRBFCHPN1,2025,1.0
REGION1,FRDGELN1,2025,1.0
REGION1,FRRGCHPN1,2025,1.0
REGION1,FRRGELN1,2025,1.0
REGION1,FRDSCHPN1,2025,1.0
REGION1,FRDSELN1,2025,1.0
REGION1,FRHFCHPN1,2025,1.0
REGION1,FRHFSTPN1,2025,1.0
REGION1,FRBMCHPN1,2025,1.0
REGION1,FRBMSTPN1,2025,1.0
REGION1,FRWSCHPN1,2025,1.0
REGION1,FRWSSTPN1,2025,1.0
REGION1,FRWIONPN1,2025,1.0
REGION1,FRWIOFPN1,2025,1.0
REGION1,FRSOUTPN1,2025,0.0
REGION1,FRSOSTHN1,2025,0.0
REGION1,FRGOCVPN1,2025,1.0
REGION1,FRTIDN1,2025,1.0
REGION1,FROCWVPN1,2025,1.0
REGION1,FRHYDMPN1,2025,1.0
REGION1,FRHYDRPN1,2025,1.0
REGION1,FRHYDSPN1,2025,1.0
REGION1,FRNGCCSN1,2025,1.0
REGION1,FRBMCCSN1,2025,1.0
REGION1,FRBATTH1,2025,1.0
REGION1,BEELFRPH1,2025,1.0
REGION1,FRELITPH1,2025,1.0
REGION1,FRELLUPH1,2025,1.0
REGION1,FRELUKPH1,2025,1.0
REGION1,DEELFRPH1,2025,1.0
REGION1,ESELFRPH1,2025,1.0
REGION1,CHELFRPH1,2025,1.0
REGION1,FRNGCHPI0,2025,1.0
REGION1,FRNGESPI0,2025,1.0
REGION1,FRBACKSTOP,2026,1.0
REGION1,FRNUG2PH1,2026,1.0
REGION1,FRCOCHPH1,2026,1.0
REGION1,FRCOSTPH1,2026,1.0
REGION1,FRNGCCPH1,2026,1.0
REGION1,FRNGCHPH1,2026,1.0
REGION1,FRBFHPFH1,2026,1.0
REGION1,FRBFCHPH1,2026,1.0
REGION1,FRDGELH1,2026,1.0
REGION1,FRRGCHPH1,2026,1.0
REGION1,FRRGELH1,2026,1.0
REGION1,FRDSCHPH1,2026,1.0
REGION1,FRDSELH1,2026,1.0
REGION1,FRHFCHPH1,2026,1.0
REGION1,FRHFSTPH1,2026,1.0
REGION1,FRBMCHPH1,2026,1.0
REGION1,FRBMSTPH1,2026,1.0
