REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GABACKSTOP,2021,1.0
REGION1,GANGGCPH1,2021,1.0
REGION1,GALFRCPH1,2021,1.0
REGION1,GAHFGCPH1,2021,1.0
REGION1,GAHYDMSH1,2021,1.0
REGION1,GANGGCPN1,2021,1.0
REGION1,GALFRCPN1,2021,1.0
REGION1,GAHFGCPN1,2021,1.0
REGION1,GAHYDMSN1,2021,1.0
REGION1,GAWINDPN1,2021,0.05
REGION1,GASOU1PN1,2021,0.0
REGION1,GANGCCSPN1,2021,1.0
REGION1,GABATTN1,2021,1.0
REGION1,GABACKSTOP,2022,1.0
REGION1,GANGGCPH1,2022,1.0
REGION1,GALFRCPH1,2022,1.0
REGION1,GAHFGCPH1,2022,1.0
REGION1,GAHYDMSH1,2022,1.0
REGION1,GANGGCPN1,2022,1.0
REGION1,GALFRCPN1,2022,1.0
REGION1,GAHFGCPN1,2022,1.0
REGION1,GAHYDMSN1,2022,1.0
REGION1,GAWINDPN1,2022,0.05
REGION1,GASOU1PN1,2022,0.0
REGION1,GANGCCSPN1,2022,1.0
REGION1,GABATTN1,2022,1.0
REGION1,GABACKSTOP,2023,1.0
REGION1,GANGGCPH1,2023,1.0
REGION1,GALFRCPH1,2023,1.0
REGION1,GAHFGCPH1,2023,1.0
REGION1,GAHYDMSH1,2023,1.0
REGION1,GANGGCPN1,2023,1.0
REGION1,GALFRCPN1,2023,1.0
REGION1,GAHFGCPN1,2023,1.0
REGION1,GAHYDMSN1,2023,1.0
REGION1,GAWINDPN1,2023,0.05
REGION1,GASOU1PN1,2023,0.0
REGION1,GANGCCSPN1,2023,1.0
REGION1,GABATTN1,2023,1.0
REGION1,GABACKSTOP,2024,1.0
REGION1,GANGGCPH1,2024,1.0
REGION1,GALFRCPH1,2024,1.0
REGION1,GAHFGCPH1,2024,1.0
REGION1,GAHYDMSH1,2024,1.0
REGION1,GANGGCPN1,2024,1.0
REGION1,GALFRCPN1,2024,1.0
REGION1,GAHFGCPN1,2024,1.0
REGION1,GAHYDMSN1,2024,1.0
REGION1,GAWINDPN1,2024,0.05
REGION1,GASOU1PN1,2024,0.0
REGION1,GANGCCSPN1,2024,1.0
REGION1,GABATTN1,2024,1.0
REGION1,GABACKSTOP,2025,1.0
REGION1,GANGGCPH1,2025,1.0
REGION1,GALFRCPH1,2025,1.0
REGION1,GAHFGCPH1,2025,1.0
REGION1,GAHYDMSH1,2025,1.0
REGION1,GANGGCPN1,2025,1.0
REGION1,GALFRCPN1,2025,1.0
REGION1,GAHFGCPN1,2025,1.0
REGION1,GAHYDMSN1,2025,1.0
REGION1,GAWINDPN1,2025,0.05
REGION1,GASOU1PN1,2025,0.0
REGION1,GANGCCSPN1,2025,1.0
REGION1,GABATTN1,2025,1.0
REGION1,GABACKSTOP,2026,1.0
REGION1,GANGGCPH1,2026,1.0
REGION1,GALFRCPH1,2026,1.0
REGION1,GAHFGCPH1,2026,1.0
REGION1,GAHYDMSH1,2026,1.0
REGION1,GANGGCPN1,2026,1.0
REGION1,GALFRCPN1,2026,1.0
REGION1,GAHFGCPN1,2026,1.0
REGION1,GAHYDMSN1,2026,1.0
REGION1,GAWINDPN1,2026,0.05
REGION1,GASOU1PN1,2026,0.0
REGION1,GANGCCSPN1,2026,1.0
REGION1,GABATTN1,2026,1.0
REGION1,GABACKSTOP,2027,1.0
REGION1,GANGGCPH1,2027,1.0
REGION1,GALFRCPH1,2027,1.0
REGION1,GAHFGCPH1,2027,1.0
REGION1,GAHYDMSH1,2027,1.0
REGION1,GANGGCPN1,2027,1.0
REGION1,GALFRCPN1,2027,1.0
REGION1,GAHFGCPN1,2027,1.0
REGION1,GAHYDMSN1,2027,1.0
REGION1,GAWINDPN1,2027,0.05
REGION1,GASOU1PN1,2027,0.0
REGION1,GANGCCSPN1,2027,1.0
REGION1,GABATTN1,2027,1.0
REGION1,GABACKSTOP,2028,1.0
REGION1,GANGGCPH1,2028,1.0
REGION1,GALFRCPH1,2028,1.0
REGION1,GAHFGCPH1,2028,1.0
REGION1,GAHYDMSH1,2028,1.0
REGION1,GANGGCPN1,2028,1.0
REGION1,GALFRCPN1,2028,1.0
REGION1,GAHFGCPN1,2028,1.0
REGION1,GAHYDMSN1,2028,1.0
REGION1,GAWINDPN1,2028,0.05
REGION1,GASOU1PN1,2028,0.0
REGION1,GANGCCSPN1,2028,1.0
REGION1,GABATTN1,2028,1.0
REGION1,GABACKSTOP,2029,1.0
REGION1,GANGGCPH1,2029,1.0
