REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GHBACKSTOP,2021,1.0
REGION1,GHNGCCPH1,2021,1.0
REGION1,GHNGGCPH1,2021,1.0
REGION1,GHSOU1PH1,2021,0.0
REGION1,GHLFRCPH1,2021,1.0
REGION1,GHHFGCPH1,2021,1.0
REGION1,GHBMCHPH1,2021,1.0
REGION1,GHHYDMSH1,2021,1.0
REGION1,GHNGCCPN1,2021,1.0
REGION1,GHNGGCPN1,2021,1.0
REGION1,GHSOU1PN1,2021,0.0
REGION1,GHLFRCPN1,2021,1.0
REGION1,GHHFGCPN1,2021,1.0
REGION1,GHBMCHPN1,2021,1.0
REGION1,GHHYDMSN1,2021,1.0
REGION1,GHWINDPN1,2021,0.05
REGION1,GHNGCCSPN1,2021,1.0
REGION1,GHBMCCSPN1,2021,1.0
REGION1,GHBATTN1,2021,1.0
REGION1,GHELCIPH1,2021,1.0
REGION1,GHELTGPH1,2021,1.0
REGION1,GHBACKSTOP,2022,1.0
REGION1,GHNGCCPH1,2022,1.0
REGION1,GHNGGCPH1,2022,1.0
REGION1,GHSOU1PH1,2022,0.0
REGION1,GHLFRCPH1,2022,1.0
REGION1,GHHFGCPH1,2022,1.0
REGION1,GHBMCHPH1,2022,1.0
REGION1,GHHYDMSH1,2022,1.0
REGION1,GHNGCCPN1,2022,1.0
REGION1,GHNGGCPN1,2022,1.0
REGION1,GHSOU1PN1,2022,0.0
REGION1,GHLFRCPN1,2022,1.0
REGION1,GHHFGCPN1,2022,1.0
REGION1,GHBMCHPN1,2022,1.0
REGION1,GHHYDMSN1,2022,1.0
REGION1,GHWINDPN1,2022,0.05
REGION1,GHNGCCSPN1,2022,1.0
REGION1,GHBMCCSPN1,2022,1.0
REGION1,GHBATTN1,2022,1.0
REGION1,GHELCIPH1,2022,1.0
REGION1,GHELTGPH1,2022,1.0
REGION1,GHBACKSTOP,2023,1.0
REGION1,GHNGCCPH1,2023,1.0
REGION1,GHNGGCPH1,2023,1.0
REGION1,GHSOU1PH1,2023,0.0
REGION1,GHLFRCPH1,2023,1.0
REGION1,GHHFGCPH1,2023,1.0
REGION1,GHBMCHPH1,2023,1.0
REGION1,GHHYDMSH1,2023,1.0
REGION1,GHNGCCPN1,2023,1.0
REGION1,GHNGGCPN1,2023,1.0
REGION1,GHSOU1PN1,2023,0.0
REGION1,GHLFRCPN1,2023,1.0
REGION1,GHHFGCPN1,2023,1.0
REGION1,GHBMCHPN1,2023,1.0
REGION1,GHHYDMSN1,2023,1.0
REGION1,GHWINDPN1,2023,0.05
REGION1,GHNGCCSPN1,2023,1.0
REGION1,GHBMCCSPN1,2023,1.0
REGION1,GHBATTN1,2023,1.0
REGION1,GHELCIPH1,2023,1.0
REGION1,GHELTGPH1,2023,1.0
REGION1,GHBACKSTOP,2024,1.0
REGION1,GHNGCCPH1,2024,1.0
REGION1,GHNGGCPH1,2024,1.0
REGION1,GHSOU1PH1,2024,0.0
REGION1,GHLFRCPH1,2024,1.0
REGION1,GHHFGCPH1,2024,1.0
REGION1,GHBMCHPH1,2024,1.0
REGION1,GHHYDMSH1,2024,1.0
REGION1,GHNGCCPN1,2024,1.0
REGION1,GHNGGCPN1,2024,1.0
REGION1,GHSOU1PN1,2024,0.0
REGION1,GHLFRCPN1,2024,1.0
REGION1,GHHFGCPN1,2024,1.0
REGION1,GHBMCHPN1,2024,1.0
REGION1,GHHYDMSN1,2024,1.0
REGION1,GHWINDPN1,2024,0.05
REGION1,GHNGCCSPN1,2024,1.0
REGION1,GHBMCCSPN1,2024,1.0
REGION1,GHBATTN1,2024,1.0
REGION1,GHELCIPH1,2024,1.0
REGION1,GHELTGPH1,2024,1.0
REGION1,GHBACKSTOP,2025,1.0
REGION1,GHNGCCPH1,2025,1.0
REGION1,GHNGGCPH1,2025,1.0
REGION1,GHSOU1PH1,2025,0.0
REGION1,GHLFRCPH1,2025,1.0
REGION1,GHHFGCPH1,2025,1.0
REGION1,GHBMCHPH1,2025,1.0
REGION1,GHHYDMSH1,2025,1.0
REGION1,GHNGCCPN1,2025,1.0
REGION1,GHNGGCPN1,2025,1.0
REGION1,GHSOU1PN1,2025,0.0
REGION1,GHLFRCPN1,2025,1.0
REGION1,GHHFGCPN1,2025,1.0
REGION1,GHBMCHPN1,2025,1.0
REGION1,GHHYDMSN1,2025,1.0
REGION1,GHWINDPN1,2025,0.05
REGION1,GHNGCCSPN1,2025,1.0
REGION1,GHBMCCSPN1,2025,1.0
REGION1,GHBATTN1,2025,1.0
REGION1,GHELCIPH1,2025,1.0
REGION1,GHELTGPH1,2025,1.0
REGION1,GHBACKSTOP,2026,1.0
REGION1,GHNGCCPH1,2026,1.0
REGION1,GHNGGCPH1,2026,1.0
REGION1,GHSOU1PH1,2026,0.0
REGION1,GHLFRCPH1,2026,1.0
REGION1,GHHFGCPH1,2026,1.0
REGION1,GHBMCHPH1,2026,1.0
REGION1,GHHYDMSH1,2026,1.0
REGION1,GHNGCCPN1,2026,1.0
REGION1,GHNGGCPN1,2026,1.0
REGION1,GHSOU1PN1,2026,0.0
REGION1,GHLFRCPN1,2026,1.0
REGION1,GHHFGCPN1,2026,1.0
REGION1,GHBMCHPN1,2026,1.0
REGION1,GHHYDMSN1,2026,1.0
REGION1,GHWINDPN1,2026,0.05
REGION1,GHNGCCSPN1,2026,1.0
REGION1,GHBMCCSPN1,2026,1.0
REGION1,GHBATTN1,2026,1.0
REGION1,GHELCIPH1,2026,1.0
REGION1,GHELTGPH1,2026,1.0
REGION1,GHBACKSTOP,2027,1.0
REGION1,GHNGCCPH1,2027,1.0
REGION1,GHNGGCPH1,2027,1.0
REGION1,GHSOU1PH1,2027,0.0
REGION1,GHLFRCPH1,2027,1.0
REGION1,GHHFGCPH1,2027,1.0
REGION1,GHBMCHPH1,2027,1.0
REGION1,GHHYDMSH1,2027,1.0
REGION1,GHNGCCPN1,2027,1.0
REGION1,GHNGGCPN1,2027,1.0
REGION1,GHSOU1PN1,2027,0.0
REGION1,GHLFRCPN1,2027,1.0
REGION1,GHHFGCPN1,2027,1.0
REGION1,GHBMCHPN1,2027,1.0
REGION1,GHHYDMSN1,2027,1.0
REGION1,GHWINDPN1,2027,0.05
REGION1,GHNGCCSPN1,2027,1.0
REGION1,GHBMCCSPN1,2027,1.0
REGION1,GHBATTN1,2027,1.0
REGION1,GHELCIPH1,2027,1.0
REGION1,GHELTGPH1,2027,1.0
REGION1,GHBACKSTOP,2028,1.0
REGION1,GHNGCCPH1,2028,1.0
REGION1,GHNGGCPH1,2028,1.0
REGION1,GHSOU1PH1,2028,0.0
REGION1,GHLFRCPH1,2028,1.0
REGION1,GHHFGCPH1,2028,1.0
REGION1,GHBMCHPH1,2028,1.0
REGION1,GHHYDMSH1,2028,1.0
REGION1,GHNGCCPN1,2028,1.0
REGION1,GHNGGCPN1,2028,1.0
REGION1,GHSOU1PN1,2028,0.0
REGION1,GHLFRCPN1,2028,1.0
REGION1,GHHFGCPN1,2028,1.0
REGION1,GHBMCHPN1,2028,1.0
REGION1,GHHYDMSN1,2028,1.0
REGION1,GHWINDPN1,2028,0.05
REGION1,GHNGCCSPN1,2028,1.0
REGION1,GHBMCCSPN1,2028,1.0
REGION1,GHBATTN1,2028,1.0
REGION1,GHELCIPH1,2028,1.0
REGION1,GHELTGPH1,2028,1.0
REGION1,GHBACKSTOP,2029,1.0
REGION1,GHNGCCPH1,2029,1.0
REGION1,GHNGGCPH1,2029,1.0
REGION1,GHSOU1PH1,2029,0.0
REGION1,GHLFRCPH1,2029,1.0
REGION1,GHHFGCPH1,2029,1.0
REGION1,GHBMCHPH1,2029,1.0
REGION1,GHHYDMSH1,2029,1.0
REGION1,GHNGCCPN1,2029,1.0
REGION1,GHNGGCPN1,2029,1.0
REGION1,GHSOU1PN1,2029,0.0
REGION1,GHLFRCPN1,2029,1.0
REGION1,GHHFGCPN1,2029,1.0
REGION1,GHBMCHPN1,2029,1.0
REGION1,GHHYDMSN1,2029,1.0
REGION1,GHWINDPN1,2029,0.05
REGION1,GHNGCCSPN1,2029,1.0
REGION1,GHBMCCSPN1,2029,1.0
REGION1,GHBATTN1,2029,1.0
REGION1,GHELCIPH1,2029,1.0
REGION1,GHELTGPH1,2029,1.0
REGION1,GHBACKSTOP,2030,1.0
REGION1,GHNGCCPH1,2030,1.0
REGION1,GHNGGCPH1,2030,1.0
REGION1,GHSOU1PH1,2030,0.0
REGION1,GHLFRCPH1,2030,1.0
REGION1,GHHFGCPH1,2030,1.0
REGION1,GHBMCHPH1,2030,1.0
REGION1,GHHYDMSH1,2030,1.0
REGION1,GHNGCCPN1,2030,1.0
REGION1,GHNGGCPN1,2030,1.0
REGION1,GHSOU1PN1,2030,0.0
REGION1,GHLFRCPN1,2030,1.0
REGION1,GHHFGCPN1,2030,1.0
REGION1,GHBMCHPN1,2030,1.0
REGION1,GHHYDMSN1,2030,1.0
REGION1,GHWINDPN1,2030,0.05
REGION1,GHNGCCSPN1,2030,1.0
REGION1,GHBMCCSPN1,2030,1.0
REGION1,GHBATTN1,2030,1.0
REGION1,GHELCIPH1,2030,1.0
REGION1,GHELTGPH1,2030,1.0
REGION1,GHBACKSTOP,2031,1.0
REGION1,GHNGCCPH1,2031,1.0
REGION1,GHNGGCPH1,2031,1.0
REGION1,GHSOU1PH1,2031,0.0
REGION1,GHLFRCPH1,2031,1.0
REGION1,GHHFGCPH1,2031,1.0
REGION1,GHBMCHPH1,2031,1.0
REGION1,GHHYDMSH1,2031,1.0
REGION1,GHNGCCPN1,2031,1.0
REGION1,GHNGGCPN1,2031,1.0
REGION1,GHSOU1PN1,2031,0.0
REGION1,GHLFRCPN1,2031,1.0
REGION1,GHHFGCPN1,2031,1.0
REGION1,GHBMCHPN1,2031,1.0
REGION1,GHHYDMSN1,2031,1.0
REGION1,GHWINDPN1,2031,0.05
REGION1,GHNGCCSPN1,2031,1.0
REGION1,GHBMCCSPN1,2031,1.0
REGION1,GHBATTN1,2031,1.0
REGION1,GHELCIPH1,2031,1.0
REGION1,GHELTGPH1,2031,1.0
REGION1,GHBACKSTOP,2032,1.0
REGION1,GHNGCCPH1,2032,1.0
REGION1,GHNGGCPH1,2032,1.0
REGION1,GHSOU1PH1,2032,0.0
REGION1,GHLFRCPH1,2032,1.0
REGION1,GHHFGCPH1,2032,1.0
REGION1,GHBMCHPH1,2032,1.0
REGION1,GHHYDMSH1,2032,1.0
REGION1,GHNGCCPN1,2032,1.0
REGION1,GHNGGCPN1,2032,1.0
REGION1,GHSOU1PN1,2032,0.0
REGION1,GHLFRCPN1,2032,1.0
REGION1,GHHFGCPN1,2032,1.0
REGION1,GHBMCHPN1,2032,1.0
REGION1,GHHYDMSN1,2032,1.0
REGION1,GHWINDPN1,2032,0.05
REGION1,GHNGCCSPN1,2032,1.0
REGION1,GHBMCCSPN1,2032,1.0
REGION1,GHBATTN1,2032,1.0
REGION1,GHELCIPH1,2032,1.0
REGION1,GHELTGPH1,2032,1.0
REGION1,GHBACKSTOP,2033,1.0
REGION1,GHNGCCPH1,2033,1.0
REGION1,GHNGGCPH1,2033,1.0
REGION1,GHSOU1PH1,2033,0.0
