REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GMBACKSTOP,2021,1.0
REGION1,GMLFRCPH1,2021,1.0
REGION1,GMHFGCPH1,2021,1.0
REGION1,GMWINDPH1,2021,0.05
REGION1,GMSOU1PH1,2021,0.0
REGION1,GMLFRCPN1,2021,1.0
REGION1,GMHFGCPN1,2021,1.0
REGION1,GMWINDPN1,2021,0.05
REGION1,GMSOU1PN1,2021,0.0
REGION1,GMNGCCPN1,2021,1.0
REGION1,GMNGCCSPN1,2021,1.0
REGION1,GMBATTN1,2021,1.0
REGION1,GMBACKSTOP,2022,1.0
REGION1,GMLFRCPH1,2022,1.0
REGION1,GMHFGCPH1,2022,1.0
REGION1,GMWINDPH1,2022,0.05
REGION1,GMSOU1PH1,2022,0.0
REGION1,GMLFRCPN1,2022,1.0
REGION1,GMHFGCPN1,2022,1.0
REGION1,GMWINDPN1,2022,0.05
REGION1,GMSOU1PN1,2022,0.0
REGION1,GMNGCCPN1,2022,1.0
REGION1,GMNGCCSPN1,2022,1.0
REGION1,GMBATTN1,2022,1.0
REGION1,GMBACKSTOP,2023,1.0
REGION1,GMLFRCPH1,2023,1.0
REGION1,GMHFGCPH1,2023,1.0
REGION1,GMWINDPH1,2023,0.05
REGION1,GMSOU1PH1,2023,0.0
REGION1,GMLFRCPN1,2023,1.0
REGION1,GMHFGCPN1,2023,1.0
REGION1,GMWINDPN1,2023,0.05
REGION1,GMSOU1PN1,2023,0.0
REGION1,GMNGCCPN1,2023,1.0
REGION1,GMNGCCSPN1,2023,1.0
REGION1,GMBATTN1,2023,1.0
REGION1,GMBACKSTOP,2024,1.0
REGION1,GMLFRCPH1,2024,1.0
REGION1,GMHFGCPH1,2024,1.0
REGION1,GMWINDPH1,2024,0.05
REGION1,GMSOU1PH1,2024,0.0
REGION1,GMLFRCPN1,2024,1.0
REGION1,GMHFGCPN1,2024,1.0
REGION1,GMWINDPN1,2024,0.05
REGION1,GMSOU1PN1,2024,0.0
REGION1,GMNGCCPN1,2024,1.0
REGION1,GMNGCCSPN1,2024,1.0
REGION1,GMBATTN1,2024,1.0
REGION1,GMBACKSTOP,2025,1.0
REGION1,GMLFRCPH1,2025,1.0
REGION1,GMHFGCPH1,2025,1.0
REGION1,GMWINDPH1,2025,0.05
REGION1,GMSOU1PH1,2025,0.0
REGION1,GMLFRCPN1,2025,1.0
REGION1,GMHFGCPN1,2025,1.0
REGION1,GMWINDPN1,2025,0.05
REGION1,GMSOU1PN1,2025,0.0
REGION1,GMNGCCPN1,2025,1.0
REGION1,GMNGCCSPN1,2025,1.0
REGION1,GMBATTN1,2025,1.0
REGION1,GMBACKSTOP,2026,1.0
REGION1,GMLFRCPH1,2026,1.0
REGION1,GMHFGCPH1,2026,1.0
REGION1,GMWINDPH1,2026,0.05
REGION1,GMSOU1PH1,2026,0.0
REGION1,GMLFRCPN1,2026,1.0
REGION1,GMHFGCPN1,2026,1.0
REGION1,GMWINDPN1,2026,0.05
REGION1,GMSOU1PN1,2026,0.0
REGION1,GMNGCCPN1,2026,1.0
REGION1,GMNGCCSPN1,2026,1.0
REGION1,GMBATTN1,2026,1.0
REGION1,GMBACKSTOP,2027,1.0
REGION1,GMLFRCPH1,2027,1.0
REGION1,GMHFGCPH1,2027,1.0
REGION1,GMWINDPH1,2027,0.05
REGION1,GMSOU1PH1,2027,0.0
REGION1,GMLFRCPN1,2027,1.0
REGION1,GMHFGCPN1,2027,1.0
REGION1,GMWINDPN1,2027,0.05
REGION1,GMSOU1PN1,2027,0.0
REGION1,GMNGCCPN1,2027,1.0
REGION1,GMNGCCSPN1,2027,1.0
REGION1,GMBATTN1,2027,1.0
REGION1,GMBACKSTOP,2028,1.0
REGION1,GMLFRCPH1,2028,1.0
REGION1,GMHFGCPH1,2028,1.0
REGION1,GMWINDPH1,2028,0.05
REGION1,GMSOU1PH1,2028,0.0
REGION1,GMLFRCPN1,2028,1.0
REGION1,GMHFGCPN1,2028,1.0
REGION1,GMWINDPN1,2028,0.05
REGION1,GMSOU1PN1,2028,0.0
REGION1,GMNGCCPN1,2028,1.0
REGION1,GMNGCCSPN1,2028,1.0
REGION1,GMBATTN1,2028,1.0
REGION1,GMBACKSTOP,2029,1.0
REGION1,GMLFRCPH1,2029,1.0
REGION1,GMHFGCPH1,2029,1.0
REGION1,GMWINDPH1,2029,0.05
REGION1,GMSOU1PH1,2029,0.0
REGION1,GMLFRCPN1,2029,1.0
REGION1,GMHFGCPN1,2029,1.0
REGION1,GMWINDPN1,2029,0.05
REGION1,GMSOU1PN1,2029,0.0
REGION1,GMNGCCPN1,2029,1.0
REGION1,GMNGCCSPN1,2029,1.0
REGION1,GMBATTN1,2029,1.0
REGION1,GMBACKSTOP,2030,1.0
REGION1,GMLFRCPH1,2030,1.0
REGION1,GMHFGCPH1,2030,1.0
REGION1,GMWINDPH1,2030,0.05
REGION1,GMSOU1PH1,2030,0.0
REGION1,GMLFRCPN1,2030,1.0
REGION1,GMHFGCPN1,2030,1.0
REGION1,GMWINDPN1,2030,0.05
REGION1,GMSOU1PN1,2030,0.0
REGION1,GMNGCCPN1,2030,1.0
REGION1,GMNGCCSPN1,2030,1.0
REGION1,GMBATTN1,2030,1.0
REGION1,GMBACKSTOP,2031,1.0
REGION1,GMLFRCPH1,2031,1.0
REGION1,GMHFGCPH1,2031,1.0
REGION1,GMWINDPH1,2031,0.05
REGION1,GMSOU1PH1,2031,0.0
REGION1,GMLFRCPN1,2031,1.0
REGION1,GMHFGCPN1,2031,1.0
REGION1,GMWINDPN1,2031,0.05
REGION1,GMSOU1PN1,2031,0.0
REGION1,GMNGCCPN1,2031,1.0
REGION1,GMNGCCSPN1,2031,1.0
REGION1,GMBATTN1,2031,1.0
REGION1,GMBACKSTOP,2032,1.0
REGION1,GMLFRCPH1,2032,1.0
REGION1,GMHFGCPH1,2032,1.0
REGION1,GMWINDPH1,2032,0.05
REGION1,GMSOU1PH1,2032,0.0
REGION1,GMLFRCPN1,2032,1.0
REGION1,GMHFGCPN1,2032,1.0
REGION1,GMWINDPN1,2032,0.05
REGION1,GMSOU1PN1,2032,0.0
REGION1,GMNGCCPN1,2032,1.0
REGION1,GMNGCCSPN1,2032,1.0
REGION1,GMBATTN1,2032,1.0
REGION1,GMBACKSTOP,2033,1.0
REGION1,GMLFRCPH1,2033,1.0
REGION1,GMHFGCPH1,2033,1.0
REGION1,GMWINDPH1,2033,0.05
REGION1,GMSOU1PH1,2033,0.0
REGION1,GMLFRCPN1,2033,1.0
REGION1,GMHFGCPN1,2033,1.0
REGION1,GMWINDPN1,2033,0.05
REGION1,GMSOU1PN1,2033,0.0
REGION1,GMNGCCPN1,2033,1.0
REGION1,GMNGCCSPN1,2033,1.0
REGION1,GMBATTN1,2033,1.0
REGION1,GMBACKSTOP,2034,1.0
REGION1,GMLFRCPH1,2034,1.0
REGION1,GMHFGCPH1,2034,1.0
REGION1,GMWINDPH1,2034,0.05
REGION1,GMSOU1PH1,2034,0.0
REGION1,GMLFRCPN1,2034,1.0
REGION1,GMHFGCPN1,2034,1.0
REGION1,GMWINDPN1,2034,0.05
REGION1,GMSOU1PN1,2034,0.0
REGION1,GMNGCCPN1,2034,1.0
REGION1,GMNGCCSPN1,2034,1.0
REGION1,GMBATTN1,2034,1.0
REGION1,GMBACKSTOP,2035,1.0
REGION1,GMLFRCPH1,2035,1.0
REGION1,GMHFGCPH1,2035,1.0
REGION1,GMWINDPH1,2035,0.05
