REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GNBACKSTOP,2021,1.0
REGION1,GNLFRCPH1,2021,1.0
REGION1,GNHFGCPH1,2021,1.0
REGION1,GNHYDMSH1,2021,1.0
REGION1,GNSOU1PH1,2021,0.0
REGION1,GNLFRCPN1,2021,1.0
REGION1,GNHFGCPN1,2021,1.0
REGION1,GNHYDMSN1,2021,1.0
REGION1,GNSOU1PN1,2021,0.0
REGION1,GNNGCCPN1,2021,1.0
REGION1,GNWINDPN1,2021,0.05
REGION1,GNNGCCSPN1,2021,1.0
REGION1,GNBATTN1,2021,1.0
REGION1,GNBACKSTOP,2022,1.0
REGION1,GNLFRCPH1,2022,1.0
REGION1,GNHFGCPH1,2022,1.0
REGION1,GNHYDMSH1,2022,1.0
REGION1,GNSOU1PH1,2022,0.0
REGION1,GNLFRCPN1,2022,1.0
REGION1,GNHFGCPN1,2022,1.0
REGION1,GNHYDMSN1,2022,1.0
REGION1,GNSOU1PN1,2022,0.0
REGION1,GNNGCCPN1,2022,1.0
REGION1,GNWINDPN1,2022,0.05
REGION1,GNNGCCSPN1,2022,1.0
REGION1,GNBATTN1,2022,1.0
REGION1,GNBACKSTOP,2023,1.0
REGION1,GNLFRCPH1,2023,1.0
REGION1,GNHFGCPH1,2023,1.0
REGION1,GNHYDMSH1,2023,1.0
REGION1,GNSOU1PH1,2023,0.0
REGION1,GNLFRCPN1,2023,1.0
REGION1,GNHFGCPN1,2023,1.0
REGION1,GNHYDMSN1,2023,1.0
REGION1,GNSOU1PN1,2023,0.0
REGION1,GNNGCCPN1,2023,1.0
REGION1,GNWINDPN1,2023,0.05
REGION1,GNNGCCSPN1,2023,1.0
REGION1,GNBATTN1,2023,1.0
REGION1,GNBACKSTOP,2024,1.0
REGION1,GNLFRCPH1,2024,1.0
REGION1,GNHFGCPH1,2024,1.0
REGION1,GNHYDMSH1,2024,1.0
REGION1,GNSOU1PH1,2024,0.0
REGION1,GNLFRCPN1,2024,1.0
REGION1,GNHFGCPN1,2024,1.0
REGION1,GNHYDMSN1,2024,1.0
REGION1,GNSOU1PN1,2024,0.0
REGION1,GNNGCCPN1,2024,1.0
REGION1,GNWINDPN1,2024,0.05
REGION1,GNNGCCSPN1,2024,1.0
REGION1,GNBATTN1,2024,1.0
REGION1,GNBACKSTOP,2025,1.0
REGION1,GNLFRCPH1,2025,1.0
REGION1,GNHFGCPH1,2025,1.0
REGION1,GNHYDMSH1,2025,1.0
REGION1,GNSOU1PH1,2025,0.0
REGION1,GNLFRCPN1,2025,1.0
REGION1,GNHFGCPN1,2025,1.0
REGION1,GNHYDMSN1,2025,1.0
REGION1,GNSOU1PN1,2025,0.0
REGION1,GNNGCCPN1,2025,1.0
REGION1,GNWINDPN1,2025,0.05
REGION1,GNNGCCSPN1,2025,1.0
REGION1,GNBATTN1,2025,1.0
REGION1,GNBACKSTOP,2026,1.0
REGION1,GNLFRCPH1,2026,1.0
REGION1,GNHFGCPH1,2026,1.0
REGION1,GNHYDMSH1,2026,1.0
REGION1,GNSOU1PH1,2026,0.0
REGION1,GNLFRCPN1,2026,1.0
REGION1,GNHFGCPN1,2026,1.0
REGION1,GNHYDMSN1,2026,1.0
REGION1,GNSOU1PN1,2026,0.0
REGION1,GNNGCCPN1,2026,1.0
REGION1,GNWINDPN1,2026,0.05
REGION1,GNNGCCSPN1,2026,1.0
REGION1,GNBATTN1,2026,1.0
REGION1,GNBACKSTOP,2027,1.0
REGION1,GNLFRCPH1,2027,1.0
REGION1,GNHFGCPH1,2027,1.0
REGION1,GNHYDMSH1,2027,1.0
REGION1,GNSOU1PH1,2027,0.0
REGION1,GNLFRCPN1,2027,1.0
REGION1,GNHFGCPN1,2027,1.0
REGION1,GNHYDMSN1,2027,1.0
REGION1,GNSOU1PN1,2027,0.0
REGION1,GNNGCCPN1,2027,1.0
REGION1,GNWINDPN1,2027,0.05
REGION1,GNNGCCSPN1,2027,1.0
REGION1,GNBATTN1,2027,1.0
REGION1,GNBACKSTOP,2028,1.0
REGION1,GNLFRCPH1,2028,1.0
REGION1,GNHFGCPH1,2028,1.0
REGION1,GNHYDMSH1,2028,1.0
REGION1,GNSOU1PH1,2028,0.0
REGION1,GNLFRCPN1,2028,1.0
REGION1,GNHFGCPN1,2028,1.0
REGION1,GNHYDMSN1,2028,1.0
REGION1,GNSOU1PN1,2028,0.0
REGION1,GNNGCCPN1,2028,1.0
