REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GRBACKSTOP,2021,1.0
REGION1,GRBFHPFH1,2021,1.0
REGION1,GRBMSTPH1,2021,1.0
REGION1,GRHFCHPH1,2021,1.0
REGION1,GRHFSTPH1,2021,1.0
REGION1,GRHYDMPH1,2021,1.0
REGION1,GRHYDRPH1,2021,1.0
REGION1,GRHYDSPH1,2021,1.0
REGION1,GRNGCCPH1,2021,1.0
REGION1,GRNGCHPH1,2021,1.0
REGION1,GRSOUTPH1,2021,0.0
REGION1,GRWIONPH1,2021,1.0
REGION1,GRLICHPH1,2021,1.0
REGION1,GRLIELH1,2021,1.0
REGION1,GRBFCHPH1,2021,1.0
REGION1,GRRGCHPH1,2021,1.0
REGION1,GRDSCHPH1,2021,1.0
REGION1,GRDSELH1,2021,1.0
REGION1,GRBMCHPH1,2021,1.0
REGION1,GRBFHPFN1,2021,1.0
REGION1,GRBMSTPN1,2021,1.0
REGION1,GRHFCHPN1,2021,1.0
REGION1,GRHFSTPN1,2021,1.0
REGION1,GRHYDMPN1,2021,1.0
REGION1,GRHYDRPN1,2021,1.0
REGION1,GRHYDSPN1,2021,1.0
REGION1,GRNGCCPN1,2021,1.0
REGION1,GRNGCHPN1,2021,1.0
REGION1,GRSOUTPN1,2021,0.0
REGION1,GRWIONPN1,2021,1.0
REGION1,GRLICHPN1,2021,1.0
REGION1,GRLIELN1,2021,1.0
REGION1,GRBFCHPN1,2021,1.0
REGION1,GRRGCHPN1,2021,1.0
REGION1,GRDSCHPN1,2021,1.0
REGION1,GRDSELN1,2021,1.0
REGION1,GRBMCHPN1,2021,1.0
REGION1,GRNGCCSN1,2021,1.0
REGION1,GRBMCCSN1,2021,1.0
REGION1,GRBATTH1,2021,1.0
REGION1,BGELGRPH1,2021,1.0
REGION1,GRELITPH1,2021,1.0
REGION1,GRELALPH1,2021,1.0
REGION1,GRELTRPH1,2021,1.0
REGION1,GRELMKPH1,2021,1.0
REGION1,GRBACKSTOP,2022,1.0
REGION1,GRBFHPFH1,2022,1.0
REGION1,GRBMSTPH1,2022,1.0
REGION1,GRHFCHPH1,2022,1.0
REGION1,GRHFSTPH1,2022,1.0
REGION1,GRHYDMPH1,2022,1.0
REGION1,GRHYDRPH1,2022,1.0
REGION1,GRHYDSPH1,2022,1.0
REGION1,GRNGCCPH1,2022,1.0
REGION1,GRNGCHPH1,2022,1.0
REGION1,GRSOUTPH1,2022,0.0
REGION1,GRWIONPH1,2022,1.0
REGION1,GRLICHPH1,2022,1.0
REGION1,GRLIELH1,2022,1.0
REGION1,GRBFCHPH1,2022,1.0
REGION1,GRRGCHPH1,2022,1.0
REGION1,GRDSCHPH1,2022,1.0
REGION1,GRDSELH1,2022,1.0
REGION1,GRBMCHPH1,2022,1.0
REGION1,GRBFHPFN1,2022,1.0
REGION1,GRBMSTPN1,2022,1.0
REGION1,GRHFCHPN1,2022,1.0
REGION1,GRHFSTPN1,2022,1.0
REGION1,GRHYDMPN1,2022,1.0
REGION1,GRHYDRPN1,2022,1.0
REGION1,GRHYDSPN1,2022,1.0
REGION1,GRNGCCPN1,2022,1.0
REGION1,GRNGCHPN1,2022,1.0
REGION1,GRSOUTPN1,2022,0.0
REGION1,GRWIONPN1,2022,1.0
REGION1,GRLICHPN1,2022,1.0
REGION1,GRLIELN1,2022,1.0
REGION1,GRBFCHPN1,2022,1.0
REGION1,GRRGCHPN1,2022,1.0
REGION1,GRDSCHPN1,2022,1.0
REGION1,GRDSELN1,2022,1.0
REGION1,GRBMCHPN1,2022,1.0
REGION1,GRNGCCSN1,2022,1.0
REGION1,GRBMCCSN1,2022,1.0
REGION1,GRBATTH1,2022,1.0
REGION1,BGELGRPH1,2022,1.0
REGION1,GRELITPH1,2022,1.0
REGION1,GRELALPH1,2022,1.0
REGION1,GRELTRPH1,2022,1.0
REGION1,GRELMKPH1,2022,1.0
REGION1,GRBACKSTOP,2023,1.0
REGION1,GRBFHPFH1,2023,1.0
REGION1,GRBMSTPH1,2023,1.0
REGION1,GRHFCHPH1,2023,1.0
REGION1,GRHFSTPH1,2023,1.0
REGION1,GRHYDMPH1,2023,1.0
REGION1,GRHYDRPH1,2023,1.0
REGION1,GRHYDSPH1,2023,1.0
REGION1,GRNGCCPH1,2023,1.0
REGION1,GRNGCHPH1,2023,1.0
REGION1,GRSOUTPH1,2023,0.0
REGION1,GRWIONPH1,2023,1.0
REGION1,GRLICHPH1,2023,1.0
REGION1,GRLIELH1,2023,1.0
REGION1,GRBFCHPH1,2023,1.0
REGION1,GRRGCHPH1,2023,1.0
REGION1,GRDSCHPH1,2023,1.0
REGION1,GRDSELH1,2023,1.0
REGION1,GRBMCHPH1,2023,1.0
REGION1,GRBFHPFN1,2023,1.0
REGION1,GRBMSTPN1,2023,1.0
REGION1,GRHFCHPN1,2023,1.0
REGION1,GRHFSTPN1,2023,1.0
