REGION,TECHNOLOGY,YEAR,VALUE
REGION1,GWBACKSTOP,2021,1.0
REGION1,GWNGCCPH1,2021,1.0
REGION1,GWLFRCPH1,2021,1.0
REGION1,GWNGCCPN1,2021,1.0
REGION1,GWLFRCPN1,2021,1.0
REGION1,GWSOU1PN1,2021,0.0
REGION1,GWWINDPN1,2021,0.05
REGION1,GWNGCCSPN1,2021,1.0
REGION1,GWBATTN1,2021,1.0
REGION1,GWBACKSTOP,2022,1.0
REGION1,GWNGCCPH1,2022,1.0
REGION1,GWLFRCPH1,2022,1.0
REGION1,GWNGCCPN1,2022,1.0
REGION1,GWLFRCPN1,2022,1.0
REGION1,GWSOU1PN1,2022,0.0
REGION1,GWWINDPN1,2022,0.05
REGION1,GWNGCCSPN1,2022,1.0
REGION1,GWBATTN1,2022,1.0
REGION1,GWBACKSTOP,2023,1.0
REGION1,GWNGCCPH1,2023,1.0
REGION1,GWLFRCPH1,2023,1.0
REGION1,GWNGCCPN1,2023,1.0
REGION1,GWLFRCPN1,2023,1.0
REGION1,GWSOU1PN1,2023,0.0
REGION1,GWWINDPN1,2023,0.05
REGION1,GWNGCCSPN1,2023,1.0
REGION1,GWBATTN1,2023,1.0
REGION1,GWBACKSTOP,2024,1.0
REGION1,GWNGCCPH1,2024,1.0
REGION1,GWLFRCPH1,2024,1.0
REGION1,GWNGCCPN1,2024,1.0
REGION1,GWLFRCPN1,2024,1.0
REGION1,GWSOU1PN1,2024,0.0
REGION1,GWWINDPN1,2024,0.05
REGION1,GWNGCCSPN1,2024,1.0
REGION1,GWBATTN1,2024,1.0
REGION1,GWBACKSTOP,2025,1.0
REGION1,GWNGCCPH1,2025,1.0
REGION1,GWLFRCPH1,2025,1.0
REGION1,GWNGCCPN1,2025,1.0
REGION1,GWLFRCPN1,2025,1.0
REGION1,GWSOU1PN1,2025,0.0
REGION1,GWWINDPN1,2025,0.05
REGION1,GWNGCCSPN1,2025,1.0
REGION1,GWBATTN1,2025,1.0
REGION1,GWBACKSTOP,2026,1.0
REGION1,GWNGCCPH1,2026,1.0
REGION1,GWLFRCPH1,2026,1.0
REGION1,GWNGCCPN1,2026,1.0
REGION1,GWLFRCPN1,2026,1.0
REGION1,GWSOU1PN1,2026,0.0
REGION1,GWWINDPN1,2026,0.05
REGION1,GWNGCCSPN1,2026,1.0
REGION1,GWBATTN1,2026,1.0
REGION1,GWBACKSTOP,2027,1.0
REGION1,GWNGCCPH1,2027,1.0
REGION1,GWLFRCPH1,2027,1.0
REGION1,GWNGCCPN1,2027,1.0
REGION1,GWLFRCPN1,2027,1.0
REGION1,GWSOU1PN1,2027,0.0
REGION1,GWWINDPN1,2027,0.05
REGION1,GWNGCCSPN1,2027,1.0
REGION1,GWBATTN1,2027,1.0
REGION1,GWBACKSTOP,2028,1.0
REGION1,GWNGCCPH1,2028,1.0
REGION1,GWLFRCPH1,2028,1.0
REGION1,GWNGCCPN1,2028,1.0
REGION1,GWLFRCPN1,2028,1.0
REGION1,GWSOU1PN1,2028,0.0
REGION1,GWWINDPN1,2028,0.05
REGION1,GWNGCCSPN1,2028,1.0
REGION1,GWBATTN1,2028,1.0
REGION1,GWBACKSTOP,2029,1.0
REGION1,GWNGCCPH1,2029,1.0
REGION1,GWLFRCPH1,2029,1.0
REGION1,GWNGCCPN1,2029,1.0
REGION1,GWLFRCPN1,2029,1.0
REGION1,GWSOU1PN1,2029,0.0
REGION1,GWWINDPN1,2029,0.05
REGION1,GWNGCCSPN1,2029,1.0
REGION1,GWBATTN1,2029,1.0
REGION1,GWBACKSTOP,2030,1.0
REGION1,GWNGCCPH1,2030,1.0
REGION1,GWLFRCPH1,2030,1.0
REGION1,GWNGCCPN1,2030,1.0
REGION1,GWLFRCPN1,2030,1.0
REGION1,GWSOU1PN1,2030,0.0
REGION1,GWWINDPN1,2030,0.05
REGION1,GWNGCCSPN1,2030,1.0
REGION1,GWBATTN1,2030,1.0
REGION1,GWBACKSTOP,2031,1.0
REGION1,GWNGCCPH1,2031,1.0
REGION1,GWLFRCPH1,2031,1.0
REGION1,GWNGCCPN1,2031,1.0
REGION1,GWLFRCPN1,2031,1.0
REGION1,GWSOU1PN1,2031,0.0
REGION1,GWWINDPN1,2031,0.05
REGION1,GWNGCCSPN1,2031,1.0
REGION1,GWBATTN1,2031,1.0
REGION1,GWBACKSTOP,2032,1.0
REGION1,GWNGCCPH1,2032,1.0
REGION1,GWLFRCPH1,2032,1.0
REGION1,GWNGCCPN1,2032,1.0
REGION1,GWLFRCPN1,2032,1.0
REGION1,GWSOU1PN1,2032,0.0
REGION1,GWWINDPN1,2032,0.05
REGION1,GWNGCCSPN1,2032,1.0
REGION1,GWBATTN1,2032,1.0
REGION1,GWBACKSTOP,2033,1.0
REGION1,GWNGCCPH1,2033,1.0
REGION1,GWLFRCPH1,2033,1.0
REGION1,GWNGCCPN1,2033,1.0
REGION1,GWLFRCPN1,2033,1.0
REGION1,GWSOU1PN1,2033,0.0
REGION1,GWWINDPN1,2033,0.05
REGION1,GWNGCCSPN1,2033,1.0
REGION1,GWBATTN1,2033,1.0
REGION1,GWBACKSTOP,2034,1.0
REGION1,GWNGCCPH1,2034,1.0
REGION1,GWLFRCPH1,2034,1.0
REGION1,GWNGCCPN1,2034,1.0
REGION1,GWLFRCPN1,2034,1.0
REGION1,GWSOU1PN1,2034,0.0
REGION1,GWWINDPN1,2034,0.05
REGION1,GWNGCCSPN1,2034,1.0
REGION1,GWBATTN1,2034,1.0
REGION1,GWBACKSTOP,2035,1.0
REGION1,GWNGCCPH1,2035,1.0
REGION1,GWLFRCPH1,2035,1.0
REGION1,GWNGCCPN1,2035,1.0
REGION1,GWLFRCPN1,2035,1.0
REGION1,GWSOU1PN1,2035,0.0
REGION1,GWWINDPN1,2035,0.05
REGION1,GWNGCCSPN1,2035,1.0
REGION1,GWBATTN1,2035,1.0
REGION1,GWBACKSTOP,2036,1.0
REGION1,GWNGCCPH1,2036,1.0
REGION1,GWLFRCPH1,2036,1.0
REGION1,GWNGCCPN1,2036,1.0
REGION1,GWLFRCPN1,2036,1.0
REGION1,GWSOU1PN1,2036,0.0
REGION1,GWWINDPN1,2036,0.05
REGION1,GWNGCCSPN1,2036,1.0
REGION1,GWBATTN1,2036,1.0
REGION1,GWBACKSTOP,2037,1.0
REGION1,GWNGCCPH1,2037,1.0
REGION1,GWLFRCPH1,2037,1.0
REGION1,GWNGCCPN1,2037,1.0
REGION1,GWLFRCPN1,2037,1.0
REGION1,GWSOU1PN1,2037,0.0
REGION1,GWWINDPN1,2037,0.05
REGION1,GWNGCCSPN1,2037,1.0
REGION1,GWBATTN1,2037,1.0
REGION1,GWBACKSTOP,2038,1.0
REGION1,GWNGCCPH1,2038,1.0
REGION1,GWLFRCPH1,2038,1.0
REGION1,GWNGCCPN1,2038,1.0
REGION1,GWLFRCPN1,2038,1.0
REGION1,GWSOU1PN1,2038,0.0
REGION1,GWWINDPN1,2038,0.05
REGION1,GWNGCCSPN1,2038,1.0
REGION1,GWBATTN1,2038,1.0
REGION1,GWBACKSTOP,2039,1.0
REGION1,GWNGCCPH1,2039,1.0
REGION1,GWLFRCPH1,2039,1.0
REGION1,GWNGCCPN1,2039,1.0
REGION1,GWLFRCPN1,2039,1.0
REGION1,GWSOU1PN1,2039,0.0
REGION1,GWWINDPN1,2039,0.05
