REGION,TECHNOLOGY,YEAR,VALUE
REGION1,HRBACKSTOP,2021,1.0
REGION1,HRBFHPFH1,2021,1.0
REGION1,HRBMCHPH1,2021,1.0
REGION1,HRCOSTPH1,2021,1.0
REGION1,HRHFCHPH1,2021,1.0
REGION1,HRHFSTPH1,2021,1.0
REGION1,HRHYDMPH1,2021,1.0
REGION1,HRHYDRPH1,2021,1.0
REGION1,HRHYDSPH1,2021,1.0
REGION1,HRNGCCPH1,2021,1.0
REGION1,HRNGCHPH1,2021,1.0
REGION1,HRSOUTPH1,2021,0.0
REGION1,HRWIONPH1,2021,1.0
REGION1,HRLICHPH1,2021,1.0
REGION1,HRBFCHPH1,2021,1.0
REGION1,HRRGCHPH1,2021,1.0
REGION1,HRDSCHPH1,2021,1.0
REGION1,HRDSELH1,2021,1.0
REGION1,HRGOCVPH1,2021,1.0
REGION1,HRBFHPFN1,2021,1.0
REGION1,HRBMCHPN1,2021,1.0
REGION1,HRCOSTPN1,2021,1.0
REGION1,HRHFCHPN1,2021,1.0
REGION1,HRHFSTPN1,2021,1.0
REGION1,HRHYDMPN1,2021,1.0
REGION1,HRHYDRPN1,2021,1.0
REGION1,HRHYDSPN1,2021,1.0
REGION1,HRNGCCPN1,2021,1.0
REGION1,HRNGCHPN1,2021,1.0
REGION1,HRSOUTPN1,2021,0.0
REGION1,HRWIONPN1,2021,1.0
REGION1,HRLICHPN1,2021,1.0
REGION1,HRBFCHPN1,2021,1.0
REGION1,HRRGCHPN1,2021,1.0
REGION1,HRDSCHPN1,2021,1.0
REGION1,HRDSELN1,2021,1.0
REGION1,HRGOCVPN1,2021,1.0
REGION1,HRNGCCSN1,2021,1.0
REGION1,HRBMCCSN1,2021,1.0
REGION1,HRBATTH1,2021,1.0
REGION1,HRELHUPH1,2021,1.0
REGION1,HRELSIPH1,2021,1.0
REGION1,HRELBAPH1,2021,1.0
REGION1,HRELRSPH1,2021,1.0
REGION1,HRNGHUPI0,2021,1.0
REGION1,HRNGSIPI0,2021,1.0
REGION1,HRBACKSTOP,2022,1.0
REGION1,HRBFHPFH1,2022,1.0
REGION1,HRBMCHPH1,2022,1.0
REGION1,HRCOSTPH1,2022,1.0
REGION1,HRHFCHPH1,2022,1.0
REGION1,HRHFSTPH1,2022,1.0
REGION1,HRHYDMPH1,2022,1.0
REGION1,HRHYDRPH1,2022,1.0
REGION1,HRHYDSPH1,2022,1.0
REGION1,HRNGCCPH1,2022,1.0
REGION1,HRNGCHPH1,2022,1.0
REGION1,HRSOUTPH1,2022,0.0
REGION1,HRWIONPH1,2022,1.0
REGION1,HRLICHPH1,2022,1.0
REGION1,HRBFCHPH1,2022,1.0
REGION1,HRRGCHPH1,2022,1.0
REGION1,HRDSCHPH1,2022,1.0
