REGION,TECHNOLOGY,YEAR,VALUE
REGION1,HUBACKSTOP,2021,1.0
REGION1,HUNUG2PH1,2021,1.0
REGION1,HUCOCHPH1,2021,1.0
REGION1,HUCOSTPH1,2021,1.0
REGION1,HULICHPH1,2021,1.0
REGION1,HULIELH1,2021,1.0
REGION1,HUNGCCPH1,2021,1.0
REGION1,HUNGCHPH1,2021,1.0
REGION1,HUBFCHPH1,2021,1.0
REGION1,HUDGCHPH1,2021,1.0
REGION1,HUDGELH1,2021,1.0
REGION1,HURGCHPH1,2021,1.0
REGION1,HUDSCHPH1,2021,1.0
REGION1,HUDSELH1,2021,1.0
REGION1,HUHFCHPH1,2021,1.0
REGION1,HUHFSTPH1,2021,1.0
REGION1,HUBMSTPH1,2021,1.0
REGION1,HUBMCHPH1,2021,1.0
REGION1,HUWSSTPH1,2021,1.0
REGION1,HUWIONPH1,2021,1.0
REGION1,HUSOUTPH1,2021,0.0
REGION1,HUGOCVPH1,2021,1.0
REGION1,HUHYDMPH1,2021,1.0
REGION1,HUHYDRPH1,2021,1.0
REGION1,HUNUG2PN1,2021,1.0
REGION1,HUCOCHPN1,2021,1.0
REGION1,HUCOSTPN1,2021,1.0
REGION1,HULICHPN1,2021,1.0
REGION1,HULIELN1,2021,1.0
REGION1,HUNGCCPN1,2021,1.0
REGION1,HUNGCHPN1,2021,1.0
REGION1,HUBFCHPN1,2021,1.0
REGION1,HUDGCHPN1,2021,1.0
REGION1,HUDGELN1,2021,1.0
REGION1,HURGCHPN1,2021,1.0
REGION1,HUDSCHPN1,2021,1.0
REGION1,HUDSELN1,2021,1.0
REGION1,HUHFCHPN1,2021,1.0
REGION1,HUHFSTPN1,2021,1.0
REGION1,HUBMSTPN1,2021,1.0
REGION1,HUBMCHPN1,2021,1.0
REGION1,HUWSSTPN1,2021,1.0
REGION1,HUWIONPN1,2021,1.0
REGION1,HUSOUTPN1,2021,0.0
REGION1,HUGOCVPN1,2021,1.0
REGION1,HUHYDMPN1,2021,1.0
REGION1,HUHYDRPN1,2021,1.0
REGION1,HUNGCCSN1,2021,1.0
REGION1,HUBMCCSN1,2021,1.0
REGION1,HUBATTH1,2021,1.0
REGION1,ATELHUPH1,2021,1.0
REGION1,HRELHUPH1,2021,1.0
REGION1,HUELROPH1,2021,1.0
REGION1,HUELSKPH1,2021,1.0
REGION1,HUELSIPH1,2021,1.0
REGION1,HUELRSPH1,2021,1.0
REGION1,HUELUAPH1,2021,1.0
REGION1,HUNGROPI0,2021,1.0
REGION1,HUNGSKPI0,2021,1.0
REGION1,HUBACKSTOP,2022,1.0
REGION1,HUNUG2PH1,2022,1.0
REGION1,HUCOCHPH1,2022,1.0
REGION1,HUCOSTPH1,2022,1.0
REGION1,HULICHPH1,2022,1.0
REGION1,HULIELH1,2022,1.0
REGION1,HUNGCCPH1,2022,1.0
REGION1,HUNGCHPH1,2022,1.0
REGION1,HUBFCHPH1,2022,1.0
REGION1,HUDGCHPH1,2022,1.0
REGION1,HUDGELH1,2022,1.0
REGION1,HURGCHPH1,2022,1.0
REGION1,HUDSCHPH1,2022,1.0
REGION1,HUDSELH1,2022,1.0
REGION1,HUHFCHPH1,2022,1.0
REGION1,HUHFSTPH1,2022,1.0
REGION1,HUBMSTPH1,2022,1.0
REGION1,HUBMCHPH1,2022,1.0
REGION1,HUWSSTPH1,2022,1.0
REGION1,HUWIONPH1,2022,1.0
REGION1,HUSOUTPH1,2022,0.0
REGION1,HUGOCVPH1,2022,1.0
REGION1,HUHYDMPH1,2022,1.0
REGION1,HUHYDRPH1,2022,1.0
REGION1,HUNUG2PN1,2022,1.0
REGION1,HUCOCHPN1,2022,1.0
REGION1,HUCOSTPN1,2022,1.0
REGION1,HULICHPN1,2022,1.0
REGION1,HULIELN1,2022,1.0
REGION1,HUNGCCPN1,2022,1.0
REGION1,HUNGCHPN1,2022,1.0
