REGION,TECHNOLOGY,YEAR,VALUE
REGION1,IEBACKSTOP,2021,1.0
REGION1,IEBFHPFH1,2021,1.0
REGION1,IEBMSTPH1,2021,1.0
REGION1,IEHYDMPH1,2021,1.0
REGION1,IEHYDRPH1,2021,1.0
REGION1,IEHYDSPH1,2021,1.0
REGION1,IENGCCPH1,2021,1.0
REGION1,IENGCHPH1,2021,1.0
REGION1,IESOUTPH1,2021,0.0
REGION1,IEWIOFPH1,2021,1.0
REGION1,IEWIONPH1,2021,1.0
REGION1,IEWSSTPH1,2021,1.0
REGION1,IECOSTPH1,2021,1.0
REGION1,IELICHPH1,2021,1.0
REGION1,IELIELH1,2021,1.0
REGION1,IEBFCHPH1,2021,1.0
REGION1,IERGCHPH1,2021,1.0
REGION1,IEDSELH1,2021,1.0
REGION1,IEDSCHPH1,2021,1.0
REGION1,IEHFSTPH1,2021,1.0
REGION1,IEBMCHPH1,2021,1.0
REGION1,IEBFHPFN1,2021,1.0
REGION1,IEBMSTPN1,2021,1.0
REGION1,IEHYDMPN1,2021,1.0
REGION1,IEHYDRPN1,2021,1.0
REGION1,IEHYDSPN1,2021,1.0
REGION1,IENGCCPN1,2021,1.0
REGION1,IENGCHPN1,2021,1.0
REGION1,IESOUTPN1,2021,0.0
REGION1,IEWIOFPN1,2021,1.0
REGION1,IEWIONPN1,2021,1.0
REGION1,IEWSSTPN1,2021,1.0
REGION1,IECOSTPN1,2021,1.0
REGION1,IELICHPN1,2021,1.0
REGION1,IELIELN1,2021,1.0
REGION1,IEBFCHPN1,2021,1.0
REGION1,IERGCHPN1,2021,1.0
REGION1,IEDSELN1,2021,1.0
REGION1,IEDSCHPN1,2021,1.0
REGION1,IEHFSTPN1,2021,1.0
REGION1,IEBMCHPN1,2021,1.0
REGION1,IENGCCSN1,2021,1.0
REGION1,IEBMCCSN1,2021,1.0
REGION1,IEBATTH1,2021,1.0
REGION1,IEELUKPH1,2021,1.0
REGION1,IEBACKSTOP,2022,1.0
REGION1,IEBFHPFH1,2022,1.0
REGION1,IEBMSTPH1,2022,1.0
REGION1,IEHYDMPH1,2022,1.0
REGION1,IEHYDRPH1,2022,1.0
