REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ITBACKSTOP,2021,1.0
REGION1,ITBFHPFH1,2021,1.0
REGION1,ITBMCHPH1,2021,1.0
REGION1,ITBMSTPH1,2021,1.0
REGION1,ITCOCHPH1,2021,1.0
REGION1,ITGOCVPH1,2021,1.0
REGION1,ITHFCHPH1,2021,1.0
REGION1,ITHFSTPH1,2021,1.0
REGION1,ITHYDMPH1,2021,1.0
REGION1,ITHYDSPH1,2021,1.0
REGION1,ITNGCCPH1,2021,1.0
REGION1,ITNGCHPH1,2021,1.0
REGION1,ITSOUTPH1,2021,0.0
REGION1,ITWIONPH1,2021,1.0
REGION1,ITWSCHPH1,2021,1.0
REGION1,ITWSSTPH1,2021,1.0
REGION1,ITCOSTPH1,2021,1.0
REGION1,ITBFCHPH1,2021,1.0
REGION1,ITDGCHPH1,2021,1.0
REGION1,ITDGELH1,2021,1.0
REGION1,ITRGCHPH1,2021,1.0
REGION1,ITRGELH1,2021,1.0
REGION1,ITDSCHPH1,2021,1.0
REGION1,ITDSELH1,2021,1.0
REGION1,ITWIOFPH1,2021,1.0
REGION1,ITHYDRPH1,2021,1.0
REGION1,ITBFHPFN1,2021,1.0
REGION1,ITBMCHPN1,2021,1.0
REGION1,ITBMSTPN1,2021,1.0
REGION1,ITCOCHPN1,2021,1.0
REGION1,ITGOCVPN1,2021,1.0
REGION1,ITHFCHPN1,2021,1.0
REGION1,ITHFSTPN1,2021,1.0
REGION1,ITHYDMPN1,2021,1.0
REGION1,ITHYDSPN1,2021,1.0
REGION1,ITNGCCPN1,2021,1.0
REGION1,ITNGCHPN1,2021,1.0
REGION1,ITSOUTPN1,2021,0.0
REGION1,ITWIONPN1,2021,1.0
REGION1,ITWSCHPN1,2021,1.0
REGION1,ITWSSTPN1,2021,1.0
REGION1,ITCOSTPN1,2021,1.0
REGION1,ITBFCHPN1,2021,1.0
REGION1,ITDGCHPN1,2021,1.0
REGION1,ITDGELN1,2021,1.0
REGION1,ITRGCHPN1,2021,1.0
REGION1,ITRGELN1,2021,1.0
REGION1,ITDSCHPN1,2021,1.0
REGION1,ITDSELN1,2021,1.0
REGION1,ITWIOFPN1,2021,1.0
REGION1,ITHYDRPN1,2021,1.0
REGION1,ITNGCCSN1,2021,1.0
REGION1,ITBMCCSN1,2021,1.0
REGION1,ITBATTH1,2021,1.0
REGION1,ATELITPH1,2021,1.0
REGION1,FRELITPH1,2021,1.0
REGION1,ITELMTPH1,2021,1.0
REGION1,ITELSIPH1,2021,1.0
REGION1,CHELITPH1,2021,1.0
REGION1,GRELITPH1,2021,1.0
REGION1,ITELMEPH1,2021,1.0
REGION1,ITNGCHPI0,2021,1.0
REGION1,ITNGSIPI0,2021,1.0
REGION1,ITBACKSTOP,2022,1.0
REGION1,ITBFHPFH1,2022,1.0
REGION1,ITBMCHPH1,2022,1.0
REGION1,ITBMSTPH1,2022,1.0
REGION1,ITCOCHPH1,2022,1.0
REGION1,ITGOCVPH1,2022,1.0
REGION1,ITHFCHPH1,2022,1.0
REGION1,ITHFSTPH1,2022,1.0
REGION1,ITHYDMPH1,2022,1.0
REGION1,ITHYDSPH1,2022,1.0
REGION1,ITNGCCPH1,2022,1.0
REGION1,ITNGCHPH1,2022,1.0
REGION1,ITSOUTPH1,2022,0.0
REGION1,ITWIONPH1,2022,1.0
REGION1,ITWSCHPH1,2022,1.0
REGION1,ITWSSTPH1,2022,1.0
REGION1,ITCOSTPH1,2022,1.0
REGION1,ITBFCHPH1,2022,1.0
REGION1,ITDGCHPH1,2022,1.0
REGION1,ITDGELH1,2022,1.0
REGION1,ITRGCHPH1,2022,1.0
REGION1,ITRGELH1,2022,1.0
REGION1,ITDSCHPH1,2022,1.0
REGION1,ITDSELH1,2022,1.0
REGION1,ITWIOFPH1,2022,1.0
REGION1,ITHYDRPH1,2022,1.0
REGION1,ITBFHPFN1,2022,1.0
REGION1,ITBMCHPN1,2022,1.0
REGION1,ITBMSTPN1,2022,1.0
REGION1,ITCOCHPN1,2022,1.0
REGION1,ITGOCVPN1,2022,1.0
REGION1,ITHFCHPN1,2022,1.0
REGION1,ITHFSTPN1,2022,1.0
REGION1,ITHYDMPN1,2022,1.0
REGION1,ITHYDSPN1,2022,1.0
REGION1,ITNGCCPN1,2022,1.0
REGION1,ITNGCHPN1,2022,1.0
REGION1,ITSOUTPN1,2022,0.0
REGION1,ITWIONPN1,2022,1.0
REGION1,ITWSCHPN1,2022,1.0
REGION1,ITWSSTPN1,2022,1.0
REGION1,ITCOSTPN1,2022,1.0
REGION1,ITBFCHPN1,2022,1.0
REGION1,ITDGCHPN1,2022,1.0
REGION1,ITDGELN1,2022,1.0
REGION1,ITRGCHPN1,2022,1.0
REGION1,ITRGELN1,2022,1.0
REGION1,ITDSCHPN1,2022,1.0
REGION1,ITDSELN1,2022,1.0
REGION1,ITWIOFPN1,2022,1.0
REGION1,ITHYDRPN1,2022,1.0
REGION1,ITNGCCSN1,2022,1.0
REGION1,ITBMCCSN1,2022,1.0
REGION1,ITBATTH1,2022,1.0
REGION1,ATELITPH1,2022,1.0
REGION1,FRELITPH1,2022,1.0
REGION1,ITELMTPH1,2022,1.0
REGION1,ITELSIPH1,2022,1.0
REGION1,CHELITPH1,2022,1.0
REGION1,GRELITPH1,2022,1.0
REGION1,ITELMEPH1,2022,1.0
REGION1,ITNGCHPI0,2022,1.0
REGION1,ITNGSIPI0,2022,1.0
REGION1,ITBACKSTOP,2023,1.0
REGION1,ITBFHPFH1,2023,1.0
REGION1,ITBMCHPH1,2023,1.0
REGION1,ITBMSTPH1,2023,1.0
REGION1,ITCOCHPH1,2023,1.0
REGION1,ITGOCVPH1,2023,1.0
REGION1,ITHFCHPH1,2023,1.0
REGION1,ITHFSTPH1,2023,1.0
REGION1,ITHYDMPH1,2023,1.0
REGION1,ITHYDSPH1,2023,1.0
REGION1,ITNGCCPH1,2023,1.0
REGION1,ITNGCHPH1,2023,1.0
REGION1,ITSOUTPH1,2023,0.0
REGION1,ITWIONPH1,2023,1.0
REGION1,ITWSCHPH1,2023,1.0
REGION1,ITWSSTPH1,2023,1.0
REGION1,ITCOSTPH1,2023,1.0
REGION1,ITBFCHPH1,2023,1.0
REGION1,ITDGCHPH1,2023,1.0
REGION1,ITDGELH1,2023,1.0
REGION1,ITRGCHPH1,2023,1.0
REGION1,ITRGELH1,2023,1.0
REGION1,ITDSCHPH1,2023,1.0
REGION1,ITDSELH1,2023,1.0
REGION1,ITWIOFPH1,2023,1.0
REGION1,ITHYDRPH1,2023,1.0
REGION1,ITBFHPFN1,2023,1.0
REGION1,ITBMCHPN1,2023,1.0
REGION1,ITBMSTPN1,2023,1.0
REGION1,ITCOCHPN1,2023,1.0
REGION1,ITGOCVPN1,2023,1.0
REGION1,ITHFCHPN1,2023,1.0
REGION1,ITHFSTPN1,2023,1.0
REGION1,ITHYDMPN1,2023,1.0
REGION1,ITHYDSPN1,2023,1.0
REGION1,ITNGCCPN1,2023,1.0
REGION1,ITNGCHPN1,2023,1.0
REGION1,ITSOUTPN1,2023,0.0
REGION1,ITWIONPN1,2023,1.0
REGION1,ITWSCHPN1,2023,1.0
REGION1,ITWSSTPN1,2023,1.0
REGION1,ITCOSTPN1,2023,1.0
REGION1,ITBFCHPN1,2023,1.0
REGION1,ITDGCHPN1,2023,1.0
REGION1,ITDGELN1,2023,1.0
REGION1,ITRGCHPN1,2023,1.0
REGION1,ITRGELN1,2023,1.0
REGION1,ITDSCHPN1,2023,1.0
REGION1,ITDSELN1,2023,1.0
REGION1,ITWIOFPN1,2023,1.0
