REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATEL00T00,ATE1,1,2021,1.0
REGION1,BEEL00T00,BEE1,1,2021,1.0
REGION1,BGEL00T00,BGE1,1,2021,1.0
REGION1,CHEL00T00,CHE1,1,2021,1.0
REGION1,CYEL00T00,CYE1,1,2021,1.0
REGION1,CZEL00T00,CZE1,1,2021,1.0
REGION1,DEEL00T00,DEE1,1,2021,1.0
REGION1,DKEL00T00,DKE1,1,2021,1.0
REGION1,EEEL00T00,EEE1,1,2021,1.0
REGION1,GREL00T00,GRE1,1,2021,1.0
REGION1,ESEL00T00,ESE1,1,2021,1.0
REGION1,FIEL00T00,FIE1,1,2021,1.0
REGION1,FREL00T00,FRE1,1,2021,1.0
REGION1,HREL00T00,HRE1,1,2021,1.0
REGION1,HUEL00T00,HUE1,1,2021,1.0
REGION1,IEEL00T00,IEE1,1,2021,1.0
REGION1,ITEL00T00,ITE1,1,2021,1.0
REGION1,LTEL00T00,LTE1,1,2021,1.0
REGION1,LUEL00T00,LUE1,1,2021,1.0
REGION1,LVEL00T00,LVE1,1,2021,1.0
REGION1,MTEL00T00,MTE1,1,2021,1.0
REGION1,NLEL00T00,NLE1,1,2021,1.0
REGION1,NOEL00T00,NOE1,1,2021,1.0
REGION1,PLEL00T00,PLE1,1,2021,1.0
REGION1,PTEL00T00,PTE1,1,2021,1.0
REGION1,ROEL00T00,ROE1,1,2021,1.0
REGION1,SEEL00T00,SEE1,1,2021,1.0
REGION1,SIEL00T00,SIE1,1,2021,1.0
REGION1,SKEL00T00,SKE1,1,2021,1.0
REGION1,UKEL00T00,UKE1,1,2021,1.0
REGION1,ATEL00D00,ATE2,1,2021,1.0
REGION1,BEEL00D00,BEE2,1,2021,1.0
REGION1,BGEL00D00,BGE2,1,2021,1.0
REGION1,CHEL00D00,CHE2,1,2021,1.0
REGION1,CYEL00D00,CYE2,1,2021,1.0
REGION1,CZEL00D00,CZE2,1,2021,1.0
REGION1,DEEL00D00,DEE2,1,2021,1.0
REGION1,DKEL00D00,DKE2,1,2021,1.0
REGION1,EEEL00D00,EEE2,1,2021,1.0
REGION1,GREL00D00,GRE2,1,2021,1.0
REGION1,ESEL00D00,ESE2,1,2021,1.0
REGION1,FIEL00D00,FIE2,1,2021,1.0
REGION1,FREL00D00,FRE2,1,2021,1.0
REGION1,HREL00D00,HRE2,1,2021,1.0
REGION1,HUEL00D00,HUE2,1,2021,1.0
REGION1,IEEL00D00,IEE2,1,2021,1.0
REGION1,ITEL00D00,ITE2,1,2021,1.0
REGION1,LTEL00D00,LTE2,1,2021,1.0
REGION1,LUEL00D00,LUE2,1,2021,1.0
REGION1,LVEL00D00,LVE2,1,2021,1.0
REGION1,MTEL00D00,MTE2,1,2021,1.0
REGION1,NLEL00D00,NLE2,1,2021,1.0
REGION1,NOEL00D00,NOE2,1,2021,1.0
REGION1,PLEL00D00,PLE2,1,2021,1.0
REGION1,PTEL00D00,PTE2,1,2021,1.0
REGION1,ROEL00D00,ROE2,1,2021,1.0
REGION1,SEEL00D00,SEE2,1,2021,1.0
REGION1,SIEL00D00,SIE2,1,2021,1.0
REGION1,SKEL00D00,SKE2,1,2021,1.0
REGION1,UKEL00D00,UKE2,1,2021,1.0
REGION1,ATCOCHPH1,ATCO,1,2021,2.43322
REGION1,ATNGCCPH1,ATNG,1,2021,1.754385964912281
REGION1,ATNGCHPH1,ATNG,1,2021,1.68936
REGION1,ATNGGCPH1,ATNG,1,2021,2.857142857142857
REGION1,ATNGHPFH1,ATNG,1,2021,2.94118
REGION1,ATNGSTPH1,ATNG,1,2021,2.32558
