REGION,TECHNOLOGY,YEAR,VALUE
REGION1,KEBACKSTOP,2021,1.0
REGION1,KEGOCVPH1,2021,1.0
REGION1,KEHYDMSH1,2021,1.0
REGION1,KESOU1PH1,2021,0.0
REGION1,KELFRCPH1,2021,1.0
REGION1,KEHFGCPH1,2021,1.0
REGION1,KEBMCHPH1,2021,1.0
REGION1,KEWINDPH1,2021,0.05
REGION1,KEGOCVPN1,2021,1.0
REGION1,KEHYDMSN1,2021,1.0
REGION1,KESOU1PN1,2021,0.0
REGION1,KELFRCPN1,2021,1.0
REGION1,KEHFGCPN1,2021,1.0
REGION1,KEBMCHPN1,2021,1.0
REGION1,KEWINDPN1,2021,0.05
REGION1,KENGCCPN1,2021,1.0
REGION1,KENGCCSPN1,2021,1.0
REGION1,KEBMCCSPN1,2021,1.0
REGION1,KEBATTN1,2021,1.0
REGION1,KEELTZPH1,2021,1.0
REGION1,UGELKEPH1,2021,1.0
REGION1,KEBACKSTOP,2022,1.0
REGION1,KEGOCVPH1,2022,1.0
REGION1,KEHYDMSH1,2022,1.0
REGION1,KESOU1PH1,2022,0.0
REGION1,KELFRCPH1,2022,1.0
REGION1,KEHFGCPH1,2022,1.0
REGION1,KEBMCHPH1,2022,1.0
REGION1,KEWINDPH1,2022,0.05
REGION1,KEGOCVPN1,2022,1.0
REGION1,KEHYDMSN1,2022,1.0
REGION1,KESOU1PN1,2022,0.0
REGION1,KELFRCPN1,2022,1.0
REGION1,KEHFGCPN1,2022,1.0
REGION1,KEBMCHPN1,2022,1.0
REGION1,KEWINDPN1,2022,0.05
REGION1,KENGCCPN1,2022,1.0
REGION1,KENGCCSPN1,2022,1.0
REGION1,KEBMCCSPN1,2022,1.0
REGION1,KEBATTN1,2022,1.0
REGION1,KEELTZPH1,2022,1.0
REGION1,UGELKEPH1,2022,1.0
REGION1,KEBACKSTOP,2023,1.0
REGION1,KEGOCVPH1,2023,1.0
REGION1,KEHYDMSH1,2023,1.0
REGION1,KESOU1PH1,2023,0.0
REGION1,KELFRCPH1,2023,1.0
REGION1,KEHFGCPH1,2023,1.0
REGION1,KEBMCHPH1,2023,1.0
REGION1,KEWINDPH1,2023,0.05
REGION1,KEGOCVPN1,2023,1.0
REGION1,KEHYDMSN1,2023,1.0
REGION1,KESOU1PN1,2023,0.0
REGION1,KELFRCPN1,2023,1.0
REGION1,KEHFGCPN1,2023,1.0
REGION1,KEBMCHPN1,2023,1.0
REGION1,KEWINDPN1,2023,0.05
REGION1,KENGCCPN1,2023,1.0
REGION1,KENGCCSPN1,2023,1.0
REGION1,KEBMCCSPN1,2023,1.0
REGION1,KEBATTN1,2023,1.0
REGION1,KEELTZPH1,2023,1.0
REGION1,UGELKEPH1,2023,1.0
REGION1,KEBACKSTOP,2024,1.0
REGION1,KEGOCVPH1,2024,1.0
REGION1,KEHYDMSH1,2024,1.0
REGION1,KESOU1PH1,2024,0.0
REGION1,KELFRCPH1,2024,1.0
REGION1,KEHFGCPH1,2024,1.0
REGION1,KEBMCHPH1,2024,1.0
REGION1,KEWINDPH1,2024,0.05
REGION1,KEGOCVPN1,2024,1.0
REGION1,KEHYDMSN1,2024,1.0
REGION1,KESOU1PN1,2024,0.0
REGION1,KELFRCPN1,2024,1.0
REGION1,KEHFGCPN1,2024,1.0
REGION1,KEBMCHPN1,2024,1.0
REGION1,KEWINDPN1,2024,0.05
REGION1,KENGCCPN1,2024,1.0
REGION1,KENGCCSPN1,2024,1.0
REGION1,KEBMCCSPN1,2024,1.0
REGION1,KEBATTN1,2024,1.0
REGION1,KEELTZPH1,2024,1.0
REGION1,UGELKEPH1,2024,1.0
REGION1,KEBACKSTOP,2025,1.0
REGION1,KEGOCVPH1,2025,1.0
REGION1,KEHYDMSH1,2025,1.0
REGION1,KESOU1PH1,2025,0.0
REGION1,KELFRCPH1,2025,1.0
REGION1,KEHFGCPH1,2025,1.0
REGION1,KEBMCHPH1,2025,1.0
REGION1,KEWINDPH1,2025,0.05
REGION1,KEGOCVPN1,2025,1.0
REGION1,KEHYDMSN1,2025,1.0
REGION1,KESOU1PN1,2025,0.0
REGION1,KELFRCPN1,2025,1.0
REGION1,KEHFGCPN1,2025,1.0
REGION1,KEBMCHPN1,2025,1.0
REGION1,KEWINDPN1,2025,0.05
REGION1,KENGCCPN1,2025,1.0
REGION1,KENGCCSPN1,2025,1.0
REGION1,KEBMCCSPN1,2025,1.0
REGION1,KEBATTN1,2025,1.0
REGION1,KEELTZPH1,2025,1.0
REGION1,UGELKEPH1,2025,1.0
REGION1,KEBACKSTOP,2026,1.0
REGION1,KEGOCVPH1,2026,1.0
REGION1,KEHYDMSH1,2026,1.0
REGION1,KESOU1PH1,2026,0.0
REGION1,KELFRCPH1,2026,1.0
REGION1,KEHFGCPH1,2026,1.0
REGION1,KEBMCHPH1,2026,1.0
REGION1,KEWINDPH1,2026,0.05
REGION1,KEGOCVPN1,2026,1.0
REGION1,KEHYDMSN1,2026,1.0
REGION1,KESOU1PN1,2026,0.0
REGION1,KELFRCPN1,2026,1.0
REGION1,KEHFGCPN1,2026,1.0
REGION1,KEBMCHPN1,2026,1.0
REGION1,KEWINDPN1,2026,0.05
REGION1,KENGCCPN1,2026,1.0
REGION1,KENGCCSPN1,2026,1.0
REGION1,KEBMCCSPN1,2026,1.0
REGION1,KEBATTN1,2026,1.0
REGION1,KEELTZPH1,2026,1.0
REGION1,UGELKEPH1,2026,1.0
REGION1,KEBACKSTOP,2027,1.0
REGION1,KEGOCVPH1,2027,1.0
REGION1,KEHYDMSH1,2027,1.0
REGION1,KESOU1PH1,2027,0.0
REGION1,KELFRCPH1,2027,1.0
REGION1,KEHFGCPH1,2027,1.0
REGION1,KEBMCHPH1,2027,1.0
REGION1,KEWINDPH1,2027,0.05
REGION1,KEGOCVPN1,2027,1.0
REGION1,KEHYDMSN1,2027,1.0
REGION1,KESOU1PN1,2027,0.0
REGION1,KELFRCPN1,2027,1.0
REGION1,KEHFGCPN1,2027,1.0
REGION1,KEBMCHPN1,2027,1.0
REGION1,KEWINDPN1,2027,0.05
REGION1,KENGCCPN1,2027,1.0
REGION1,KENGCCSPN1,2027,1.0
REGION1,KEBMCCSPN1,2027,1.0
REGION1,KEBATTN1,2027,1.0
REGION1,KEELTZPH1,2027,1.0
REGION1,UGELKEPH1,2027,1.0
REGION1,KEBACKSTOP,2028,1.0
REGION1,KEGOCVPH1,2028,1.0
REGION1,KEHYDMSH1,2028,1.0
REGION1,KESOU1PH1,2028,0.0
REGION1,KELFRCPH1,2028,1.0
REGION1,KEHFGCPH1,2028,1.0
REGION1,KEBMCHPH1,2028,1.0
REGION1,KEWINDPH1,2028,0.05
REGION1,KEGOCVPN1,2028,1.0
REGION1,KEHYDMSN1,2028,1.0
REGION1,KESOU1PN1,2028,0.0
REGION1,KELFRCPN1,2028,1.0
REGION1,KEHFGCPN1,2028,1.0
REGION1,KEBMCHPN1,2028,1.0
REGION1,KEWINDPN1,2028,0.05
REGION1,KENGCCPN1,2028,1.0
REGION1,KENGCCSPN1,2028,1.0
REGION1,KEBMCCSPN1,2028,1.0
REGION1,KEBATTN1,2028,1.0
REGION1,KEELTZPH1,2028,1.0
REGION1,UGELKEPH1,2028,1.0
REGION1,KEBACKSTOP,2029,1.0
REGION1,KEGOCVPH1,2029,1.0
REGION1,KEHYDMSH1,2029,1.0
REGION1,KESOU1PH1,2029,0.0
REGION1,KELFRCPH1,2029,1.0
REGION1,KEHFGCPH1,2029,1.0
