REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LRBACKSTOP,2021,1.0
REGION1,LRLFRCPH1,2021,1.0
REGION1,LRHFGCPH1,2021,1.0
REGION1,LRHYDMSH1,2021,1.0
REGION1,LRLFRCPN1,2021,1.0
REGION1,LRHFGCPN1,2021,1.0
REGION1,LRHYDMSN1,2021,1.0
REGION1,LRNGCCPN1,2021,1.0
REGION1,LRSOU1PN1,2021,0.0
REGION1,LRWINDPN1,2021,0.05
REGION1,LRNGCCSPN1,2021,1.0
REGION1,LRBATTN1,2021,1.0
REGION1,LRBACKSTOP,2022,1.0
REGION1,LRLFRCPH1,2022,1.0
REGION1,LRHFGCPH1,2022,1.0
REGION1,LRHYDMSH1,2022,1.0
REGION1,LRLFRCPN1,2022,1.0
REGION1,LRHFGCPN1,2022,1.0
REGION1,LRHYDMSN1,2022,1.0
REGION1,LRNGCCPN1,2022,1.0
REGION1,LRSOU1PN1,2022,0.0
REGION1,LRWINDPN1,2022,0.05
REGION1,LRNGCCSPN1,2022,1.0
REGION1,LRBATTN1,2022,1.0
REGION1,LRBACKSTOP,2023,1.0
REGION1,LRLFRCPH1,2023,1.0
REGION1,LRHFGCPH1,2023,1.0
REGION1,LRHYDMSH1,2023,1.0
REGION1,LRLFRCPN1,2023,1.0
REGION1,LRHFGCPN1,2023,1.0
REGION1,LRHYDMSN1,2023,1.0
REGION1,LRNGCCPN1,2023,1.0
REGION1,LRSOU1PN1,2023,0.0
REGION1,LRWINDPN1,2023,0.05
REGION1,LRNGCCSPN1,2023,1.0
REGION1,LRBATTN1,2023,1.0
REGION1,LRBACKSTOP,2024,1.0
REGION1,LRLFRCPH1,2024,1.0
REGION1,LRHFGCPH1,2024,1.0
REGION1,LRHYDMSH1,2024,1.0
REGION1,LRLFRCPN1,2024,1.0
REGION1,LRHFGCPN1,2024,1.0
REGION1,LRHYDMSN1,2024,1.0
REGION1,LRNGCCPN1,2024,1.0
REGION1,LRSOU1PN1,2024,0.0
REGION1,LRWINDPN1,2024,0.05
REGION1,LRNGCCSPN1,2024,1.0
REGION1,LRBATTN1,2024,1.0
REGION1,LRBACKSTOP,2025,1.0
REGION1,LRLFRCPH1,2025,1.0
REGION1,LRHFGCPH1,2025,1.0
REGION1,LRHYDMSH1,2025,1.0
REGION1,LRLFRCPN1,2025,1.0
REGION1,LRHFGCPN1,2025,1.0
REGION1,LRHYDMSN1,2025,1.0
REGION1,LRNGCCPN1,2025,1.0
REGION1,LRSOU1PN1,2025,0.0
REGION1,LRWINDPN1,2025,0.05
REGION1,LRNGCCSPN1,2025,1.0
REGION1,LRBATTN1,2025,1.0
REGION1,LRBACKSTOP,2026,1.0
REGION1,LRLFRCPH1,2026,1.0
REGION1,LRHFGCPH1,2026,1.0
REGION1,LRHYDMSH1,2026,1.0
REGION1,LRLFRCPN1,2026,1.0
REGION1,LRHFGCPN1,2026,1.0
REGION1,LRHYDMSN1,2026,1.0
REGION1,LRNGCCPN1,2026,1.0
REGION1,LRSOU1PN1,2026,0.0
REGION1,LRWINDPN1,2026,0.05
REGION1,LRNGCCSPN1,2026,1.0
REGION1,LRBATTN1,2026,1.0
REGION1,LRBACKSTOP,2027,1.0
REGION1,LRLFRCPH1,2027,1.0
REGION1,LRHFGCPH1,2027,1.0
REGION1,LRHYDMSH1,2027,1.0
REGION1,LRLFRCPN1,2027,1.0
REGION1,LRHFGCPN1,2027,1.0
