REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LSBACKSTOP,2021,1.0
REGION1,LSSOU1PH1,2021,0.0
REGION1,LSHYDMSH1,2021,1.0
REGION1,LSSOU1PN1,2021,0.0
REGION1,LSHYDMSN1,2021,1.0
REGION1,LSNGCCPN1,2021,1.0
REGION1,LSWINDPN1,2021,0.05
REGION1,LSNGCCSPN1,2021,1.0
REGION1,LSBATTN1,2021,1.0
REGION1,LSELZAPH1,2021,1.0
REGION1,LSBACKSTOP,2022,1.0
REGION1,LSSOU1PH1,2022,0.0
REGION1,LSHYDMSH1,2022,1.0
REGION1,LSSOU1PN1,2022,0.0
REGION1,LSHYDMSN1,2022,1.0
REGION1,LSNGCCPN1,2022,1.0
REGION1,LSWINDPN1,2022,0.05
REGION1,LSNGCCSPN1,2022,1.0
REGION1,LSBATTN1,2022,1.0
REGION1,LSELZAPH1,2022,1.0
REGION1,LSBACKSTOP,2023,1.0
REGION1,LSSOU1PH1,2023,0.0
REGION1,LSHYDMSH1,2023,1.0
REGION1,LSSOU1PN1,2023,0.0
REGION1,LSHYDMSN1,2023,1.0
REGION1,LSNGCCPN1,2023,1.0
REGION1,LSWINDPN1,2023,0.05
REGION1,LSNGCCSPN1,2023,1.0
REGION1,LSBATTN1,2023,1.0
REGION1,LSELZAPH1,2023,1.0
REGION1,LSBACKSTOP,2024,1.0
REGION1,LSSOU1PH1,2024,0.0
REGION1,LSHYDMSH1,2024,1.0
REGION1,LSSOU1PN1,2024,0.0
REGION1,LSHYDMSN1,2024,1.0
REGION1,LSNGCCPN1,2024,1.0
REGION1,LSWINDPN1,2024,0.05
REGION1,LSNGCCSPN1,2024,1.0
REGION1,LSBATTN1,2024,1.0
REGION1,LSELZAPH1,2024,1.0
REGION1,LSBACKSTOP,2025,1.0
REGION1,LSSOU1PH1,2025,0.0
REGION1,LSHYDMSH1,2025,1.0
REGION1,LSSOU1PN1,2025,0.0
REGION1,LSHYDMSN1,2025,1.0
REGION1,LSNGCCPN1,2025,1.0
REGION1,LSWINDPN1,2025,0.05
REGION1,LSNGCCSPN1,2025,1.0
REGION1,LSBATTN1,2025,1.0
REGION1,LSELZAPH1,2025,1.0
REGION1,LSBACKSTOP,2026,1.0
REGION1,LSSOU1PH1,2026,0.0
REGION1,LSHYDMSH1,2026,1.0
REGION1,LSSOU1PN1,2026,0.0
REGION1,LSHYDMSN1,2026,1.0
REGION1,LSNGCCPN1,2026,1.0
REGION1,LSWINDPN1,2026,0.05
REGION1,LSNGCCSPN1,2026,1.0
REGION1,LSBATTN1,2026,1.0
REGION1,LSELZAPH1,2026,1.0
REGION1,LSBACKSTOP,2027,1.0
REGION1,LSSOU1PH1,2027,0.0
REGION1,LSHYDMSH1,2027,1.0
REGION1,LSSOU1PN1,2027,0.0
REGION1,LSHYDMSN1,2027,1.0
REGION1,LSNGCCPN1,2027,1.0
REGION1,LSWINDPN1,2027,0.05
REGION1,LSNGCCSPN1,2027,1.0
REGION1,LSBATTN1,2027,1.0
REGION1,LSELZAPH1,2027,1.0
REGION1,LSBACKSTOP,2028,1.0
REGION1,LSSOU1PH1,2028,0.0
REGION1,LSHYDMSH1,2028,1.0
REGION1,LSSOU1PN1,2028,0.0
REGION1,LSHYDMSN1,2028,1.0
REGION1,LSNGCCPN1,2028,1.0
REGION1,LSWINDPN1,2028,0.05
REGION1,LSNGCCSPN1,2028,1.0
REGION1,LSBATTN1,2028,1.0
REGION1,LSELZAPH1,2028,1.0
REGION1,LSBACKSTOP,2029,1.0
REGION1,LSSOU1PH1,2029,0.0
REGION1,LSHYDMSH1,2029,1.0
REGION1,LSSOU1PN1,2029,0.0
REGION1,LSHYDMSN1,2029,1.0
REGION1,LSNGCCPN1,2029,1.0
REGION1,LSWINDPN1,2029,0.05
REGION1,LSNGCCSPN1,2029,1.0
REGION1,LSBATTN1,2029,1.0
REGION1,LSELZAPH1,2029,1.0
REGION1,LSBACKSTOP,2030,1.0
REGION1,LSSOU1PH1,2030,0.0
REGION1,LSHYDMSH1,2030,1.0
REGION1,LSSOU1PN1,2030,0.0
REGION1,LSHYDMSN1,2030,1.0
REGION1,LSNGCCPN1,2030,1.0
REGION1,LSWINDPN1,2030,0.05
REGION1,LSNGCCSPN1,2030,1.0
REGION1,LSBATTN1,2030,1.0
REGION1,LSELZAPH1,2030,1.0
REGION1,LSBACKSTOP,2031,1.0
REGION1,LSSOU1PH1,2031,0.0
REGION1,LSHYDMSH1,2031,1.0
REGION1,LSSOU1PN1,2031,0.0
REGION1,LSHYDMSN1,2031,1.0
REGION1,LSNGCCPN1,2031,1.0
REGION1,LSWINDPN1,2031,0.05
REGION1,LSNGCCSPN1,2031,1.0
REGION1,LSBATTN1,2031,1.0
REGION1,LSELZAPH1,2031,1.0
REGION1,LSBACKSTOP,2032,1.0
REGION1,LSSOU1PH1,2032,0.0
REGION1,LSHYDMSH1,2032,1.0
REGION1,LSSOU1PN1,2032,0.0
REGION1,LSHYDMSN1,2032,1.0
REGION1,LSNGCCPN1,2032,1.0
REGION1,LSWINDPN1,2032,0.05
REGION1,LSNGCCSPN1,2032,1.0
REGION1,LSBATTN1,2032,1.0
REGION1,LSELZAPH1,2032,1.0
REGION1,LSBACKSTOP,2033,1.0
REGION1,LSSOU1PH1,2033,0.0
REGION1,LSHYDMSH1,2033,1.0
REGION1,LSSOU1PN1,2033,0.0
REGION1,LSHYDMSN1,2033,1.0
REGION1,LSNGCCPN1,2033,1.0
REGION1,LSWINDPN1,2033,0.05
REGION1,LSNGCCSPN1,2033,1.0
REGION1,LSBATTN1,2033,1.0
REGION1,LSELZAPH1,2033,1.0
REGION1,LSBACKSTOP,2034,1.0
REGION1,LSSOU1PH1,2034,0.0
REGION1,LSHYDMSH1,2034,1.0
REGION1,LSSOU1PN1,2034,0.0
REGION1,LSHYDMSN1,2034,1.0
REGION1,LSNGCCPN1,2034,1.0
REGION1,LSWINDPN1,2034,0.05
REGION1,LSNGCCSPN1,2034,1.0
REGION1,LSBATTN1,2034,1.0
REGION1,LSELZAPH1,2034,1.0
REGION1,LSBACKSTOP,2035,1.0
REGION1,LSSOU1PH1,2035,0.0
REGION1,LSHYDMSH1,2035,1.0
REGION1,LSSOU1PN1,2035,0.0
REGION1,LSHYDMSN1,2035,1.0
REGION1,LSNGCCPN1,2035,1.0
REGION1,LSWINDPN1,2035,0.05
REGION1,LSNGCCSPN1,2035,1.0
REGION1,LSBATTN1,2035,1.0
REGION1,LSELZAPH1,2035,1.0
REGION1,LSBACKSTOP,2036,1.0
REGION1,LSSOU1PH1,2036,0.0
REGION1,LSHYDMSH1,2036,1.0
REGION1,LSSOU1PN1,2036,0.0
REGION1,LSHYDMSN1,2036,1.0
REGION1,LSNGCCPN1,2036,1.0
REGION1,LSWINDPN1,2036,0.05
REGION1,LSNGCCSPN1,2036,1.0
REGION1,LSBATTN1,2036,1.0
REGION1,LSELZAPH1,2036,1.0
REGION1,LSBACKSTOP,2037,1.0
REGION1,LSSOU1PH1,2037,0.0
REGION1,LSHYDMSH1,2037,1.0
REGION1,LSSOU1PN1,2037,0.0
REGION1,LSHYDMSN1,2037,1.0
REGION1,LSNGCCPN1,2037,1.0
REGION1,LSWINDPN1,2037,0.05
REGION1,LSNGCCSPN1,2037,1.0
REGION1,LSBATTN1,2037,1.0
REGION1,LSELZAPH1,2037,1.0
REGION1,LSBACKSTOP,2038,1.0
REGION1,LSSOU1PH1,2038,0.0
REGION1,LSHYDMSH1,2038,1.0
REGION1,LSSOU1PN1,2038,0.0
REGION1,LSHYDMSN1,2038,1.0
REGION1,LSNGCCPN1,2038,1.0
REGION1,LSWINDPN1,2038,0.05
REGION1,LSNGCCSPN1,2038,1.0
REGION1,LSBATTN1,2038,1.0
REGION1,LSELZAPH1,2038,1.0
REGION1,LSBACKSTOP,2039,1.0
REGION1,LSSOU1PH1,2039,0.0
REGION1,LSHYDMSH1,2039,1.0
REGION1,LSSOU1PN1,2039,0.0
REGION1,LSHYDMSN1,2039,1.0
REGION1,LSNGCCPN1,2039,1.0
REGION1,LSWINDPN1,2039,0.05
REGION1,LSNGCCSPN1,2039,1.0
REGION1,LSBATTN1,2039,1.0
REGION1,LSELZAPH1,2039,1.0
REGION1,LSBACKSTOP,2040,1.0
REGION1,LSSOU1PH1,2040,0.0
REGION1,LSHYDMSH1,2040,1.0
REGION1,LSSOU1PN1,2040,0.0
REGION1,LSHYDMSN1,2040,1.0
REGION1,LSNGCCPN1,2040,1.0
REGION1,LSWINDPN1,2040,0.05
REGION1,LSNGCCSPN1,2040,1.0
REGION1,LSBATTN1,2040,1.0
REGION1,LSELZAPH1,2040,1.0
REGION1,LSBACKSTOP,2041,1.0
REGION1,LSSOU1PH1,2041,0.0
REGION1,LSHYDMSH1,2041,1.0
REGION1,LSSOU1PN1,2041,0.0
REGION1,LSHYDMSN1,2041,1.0
REGION1,LSNGCCPN1,2041,1.0
REGION1,LSWINDPN1,2041,0.05
REGION1,LSNGCCSPN1,2041,1.0
REGION1,LSBATTN1,2041,1.0
REGION1,LSELZAPH1,2041,1.0
