REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LTBACKSTOP,2021,1.0
REGION1,LTBMCHPH1,2021,1.0
REGION1,LTHFCHPH1,2021,1.0
REGION1,LTNGCHPH1,2021,1.0
REGION1,LTSOUTPH1,2021,0.0
REGION1,LTWIONPH1,2021,1.0
REGION1,LTWSCHPH1,2021,1.0
REGION1,LTBFCHPH1,2021,1.0
REGION1,LTRGCHPH1,2021,1.0
REGION1,LTDSCHPH1,2021,1.0
REGION1,LTHYDRPH1,2021,1.0
REGION1,LTHYDSPH1,2021,1.0
REGION1,LTBMCHPN1,2021,1.0
REGION1,LTHFCHPN1,2021,1.0
REGION1,LTNGCHPN1,2021,1.0
REGION1,LTSOUTPN1,2021,0.0
REGION1,LTWIONPN1,2021,1.0
REGION1,LTWSCHPN1,2021,1.0
REGION1,LTBFCHPN1,2021,1.0
REGION1,LTRGCHPN1,2021,1.0
REGION1,LTDSCHPN1,2021,1.0
REGION1,LTHYDRPN1,2021,1.0
REGION1,LTHYDSPN1,2021,1.0
REGION1,LTNGCCSN1,2021,1.0
REGION1,LTBMCCSN1,2021,1.0
REGION1,LTBATTH1,2021,1.0
REGION1,LTELLVPH1,2021,1.0
REGION1,LTELPLPH1,2021,1.0
REGION1,LTELSEPH1,2021,1.0
REGION1,LTELBYPH1,2021,1.0
REGION1,LTELRUPH1,2021,1.0
REGION1,LTNGPLPI0,2021,1.0
REGION1,LTBACKSTOP,2022,1.0
REGION1,LTBMCHPH1,2022,1.0
REGION1,LTHFCHPH1,2022,1.0
REGION1,LTNGCHPH1,2022,1.0
REGION1,LTSOUTPH1,2022,0.0
REGION1,LTWIONPH1,2022,1.0
REGION1,LTWSCHPH1,2022,1.0
REGION1,LTBFCHPH1,2022,1.0
REGION1,LTRGCHPH1,2022,1.0
REGION1,LTDSCHPH1,2022,1.0
REGION1,LTHYDRPH1,2022,1.0
REGION1,LTHYDSPH1,2022,1.0
REGION1,LTBMCHPN1,2022,1.0
REGION1,LTHFCHPN1,2022,1.0
REGION1,LTNGCHPN1,2022,1.0
REGION1,LTSOUTPN1,2022,0.0
REGION1,LTWIONPN1,2022,1.0
REGION1,LTWSCHPN1,2022,1.0
REGION1,LTBFCHPN1,2022,1.0
REGION1,LTRGCHPN1,2022,1.0
REGION1,LTDSCHPN1,2022,1.0
REGION1,LTHYDRPN1,2022,1.0
REGION1,LTHYDSPN1,2022,1.0
REGION1,LTNGCCSN1,2022,1.0
REGION1,LTBMCCSN1,2022,1.0
REGION1,LTBATTH1,2022,1.0
REGION1,LTELLVPH1,2022,1.0
REGION1,LTELPLPH1,2022,1.0
REGION1,LTELSEPH1,2022,1.0
REGION1,LTELBYPH1,2022,1.0
REGION1,LTELRUPH1,2022,1.0
REGION1,LTNGPLPI0,2022,1.0
REGION1,LTBACKSTOP,2023,1.0
REGION1,LTBMCHPH1,2023,1.0
REGION1,LTHFCHPH1,2023,1.0
REGION1,LTNGCHPH1,2023,1.0
REGION1,LTSOUTPH1,2023,0.0
REGION1,LTWIONPH1,2023,1.0
REGION1,LTWSCHPH1,2023,1.0
REGION1,LTBFCHPH1,2023,1.0
REGION1,LTRGCHPH1,2023,1.0
REGION1,LTDSCHPH1,2023,1.0
REGION1,LTHYDRPH1,2023,1.0
REGION1,LTHYDSPH1,2023,1.0
REGION1,LTBMCHPN1,2023,1.0
REGION1,LTHFCHPN1,2023,1.0
REGION1,LTNGCHPN1,2023,1.0
REGION1,LTSOUTPN1,2023,0.0
REGION1,LTWIONPN1,2023,1.0
REGION1,LTWSCHPN1,2023,1.0
REGION1,LTBFCHPN1,2023,1.0
REGION1,LTRGCHPN1,2023,1.0
REGION1,LTDSCHPN1,2023,1.0
REGION1,LTHYDRPN1,2023,1.0
REGION1,LTHYDSPN1,2023,1.0
REGION1,LTNGCCSN1,2023,1.0
REGION1,LTBMCCSN1,2023,1.0
REGION1,LTBATTH1,2023,1.0
REGION1,LTELLVPH1,2023,1.0
REGION1,LTELPLPH1,2023,1.0
REGION1,LTELSEPH1,2023,1.0
REGION1,LTELBYPH1,2023,1.0
REGION1,LTELRUPH1,2023,1.0
REGION1,LTNGPLPI0,2023,1.0
REGION1,LTBACKSTOP,2024,1.0
REGION1,LTBMCHPH1,2024,1.0
REGION1,LTHFCHPH1,2024,1.0
REGION1,LTNGCHPH1,2024,1.0
REGION1,LTSOUTPH1,2024,0.0
REGION1,LTWIONPH1,2024,1.0
REGION1,LTWSCHPH1,2024,1.0
REGION1,LTBFCHPH1,2024,1.0
REGION1,LTRGCHPH1,2024,1.0
REGION1,LTDSCHPH1,2024,1.0
REGION1,LTHYDRPH1,2024,1.0
REGION1,LTHYDSPH1,2024,1.0
REGION1,LTBMCHPN1,2024,1.0
REGION1,LTHFCHPN1,2024,1.0
REGION1,LTNGCHPN1,2024,1.0
REGION1,LTSOUTPN1,2024,0.0
REGION1,LTWIONPN1,2024,1.0
REGION1,LTWSCHPN1,2024,1.0
REGION1,LTBFCHPN1,2024,1.0
REGION1,LTRGCHPN1,2024,1.0
REGION1,LTDSCHPN1,2024,1.0
REGION1,LTHYDRPN1,2024,1.0
REGION1,LTHYDSPN1,2024,1.0
REGION1,LTNGCCSN1,2024,1.0
REGION1,LTBMCCSN1,2024,1.0
REGION1,LTBATTH1,2024,1.0
REGION1,LTELLVPH1,2024,1.0
REGION1,LTELPLPH1,2024,1.0
REGION1,LTELSEPH1,2024,1.0
REGION1,LTELBYPH1,2024,1.0
REGION1,LTELRUPH1,2024,1.0
REGION1,LTNGPLPI0,2024,1.0
REGION1,LTBACKSTOP,2025,1.0
REGION1,LTBMCHPH1,2025,1.0
REGION1,LTHFCHPH1,2025,1.0
REGION1,LTNGCHPH1,2025,1.0
