REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LUBACKSTOP,2021,1.0
REGION1,LUHYDSPH1,2021,1.0
REGION1,LUNGCCPH1,2021,1.0
REGION1,LUNGCHPH1,2021,1.0
REGION1,LUSOUTPH1,2021,0.0
REGION1,LUWIONPH1,2021,1.0
REGION1,LUWSCHPH1,2021,1.0
REGION1,LUBFCHPH1,2021,1.0
REGION1,LUDSCHPH1,2021,1.0
REGION1,LUBMCHPH1,2021,1.0
REGION1,LUHYDRPH1,2021,1.0
REGION1,LUHYDSPN1,2021,1.0
REGION1,LUNGCCPN1,2021,1.0
REGION1,LUNGCHPN1,2021,1.0
REGION1,LUSOUTPN1,2021,0.0
REGION1,LUWIONPN1,2021,1.0
REGION1,LUWSCHPN1,2021,1.0
REGION1,LUBFCHPN1,2021,1.0
REGION1,LUDSCHPN1,2021,1.0
REGION1,LUBMCHPN1,2021,1.0
REGION1,LUHYDRPN1,2021,1.0
REGION1,LUNGCCSN1,2021,1.0
REGION1,LUBMCCSN1,2021,1.0
REGION1,LUBATTH1,2021,1.0
REGION1,BEELLUPH1,2021,1.0
REGION1,FRELLUPH1,2021,1.0
REGION1,DEELLUPH1,2021,1.0
REGION1,LUBACKSTOP,2022,1.0
REGION1,LUHYDSPH1,2022,1.0
REGION1,LUNGCCPH1,2022,1.0
REGION1,LUNGCHPH1,2022,1.0
REGION1,LUSOUTPH1,2022,0.0
REGION1,LUWIONPH1,2022,1.0
REGION1,LUWSCHPH1,2022,1.0
REGION1,LUBFCHPH1,2022,1.0
REGION1,LUDSCHPH1,2022,1.0
REGION1,LUBMCHPH1,2022,1.0
REGION1,LUHYDRPH1,2022,1.0
REGION1,LUHYDSPN1,2022,1.0
REGION1,LUNGCCPN1,2022,1.0
REGION1,LUNGCHPN1,2022,1.0
REGION1,LUSOUTPN1,2022,0.0
REGION1,LUWIONPN1,2022,1.0
REGION1,LUWSCHPN1,2022,1.0
REGION1,LUBFCHPN1,2022,1.0
REGION1,LUDSCHPN1,2022,1.0
REGION1,LUBMCHPN1,2022,1.0
REGION1,LUHYDRPN1,2022,1.0
REGION1,LUNGCCSN1,2022,1.0
REGION1,LUBMCCSN1,2022,1.0
REGION1,LUBATTH1,2022,1.0
REGION1,BEELLUPH1,2022,1.0
REGION1,FRELLUPH1,2022,1.0
REGION1,DEELLUPH1,2022,1.0
REGION1,LUBACKSTOP,2023,1.0
REGION1,LUHYDSPH1,2023,1.0
REGION1,LUNGCCPH1,2023,1.0
REGION1,LUNGCHPH1,2023,1.0
REGION1,LUSOUTPH1,2023,0.0
REGION1,LUWIONPH1,2023,1.0
REGION1,LUWSCHPH1,2023,1.0
REGION1,LUBFCHPH1,2023,1.0
REGION1,LUDSCHPH1,2023,1.0
REGION1,LUBMCHPH1,2023,1.0
REGION1,LUHYDRPH1,2023,1.0
REGION1,LUHYDSPN1,2023,1.0
REGION1,LUNGCCPN1,2023,1.0
REGION1,LUNGCHPN1,2023,1.0
REGION1,LUSOUTPN1,2023,0.0
REGION1,LUWIONPN1,2023,1.0
REGION1,LUWSCHPN1,2023,1.0
REGION1,LUBFCHPN1,2023,1.0
REGION1,LUDSCHPN1,2023,1.0
REGION1,LUBMCHPN1,2023,1.0
REGION1,LUHYDRPN1,2023,1.0
REGION1,LUNGCCSN1,2023,1.0
REGION1,LUBMCCSN1,2023,1.0
REGION1,LUBATTH1,2023,1.0
REGION1,BEELLUPH1,2023,1.0
REGION1,FRELLUPH1,2023,1.0
REGION1,DEELLUPH1,2023,1.0
REGION1,LUBACKSTOP,2024,1.0
REGION1,LUHYDSPH1,2024,1.0
REGION1,LUNGCCPH1,2024,1.0
REGION1,LUNGCHPH1,2024,1.0
REGION1,LUSOUTPH1,2024,0.0
REGION1,LUWIONPH1,2024,1.0
REGION1,LUWSCHPH1,2024,1.0
REGION1,LUBFCHPH1,2024,1.0
REGION1,LUDSCHPH1,2024,1.0
REGION1,LUBMCHPH1,2024,1.0
REGION1,LUHYDRPH1,2024,1.0
REGION1,LUHYDSPN1,2024,1.0
REGION1,LUNGCCPN1,2024,1.0
REGION1,LUNGCHPN1,2024,1.0
REGION1,LUSOUTPN1,2024,0.0
REGION1,LUWIONPN1,2024,1.0
REGION1,LUWSCHPN1,2024,1.0
REGION1,LUBFCHPN1,2024,1.0
REGION1,LUDSCHPN1,2024,1.0
REGION1,LUBMCHPN1,2024,1.0
REGION1,LUHYDRPN1,2024,1.0
REGION1,LUNGCCSN1,2024,1.0
REGION1,LUBMCCSN1,2024,1.0
REGION1,LUBATTH1,2024,1.0
REGION1,BEELLUPH1,2024,1.0
REGION1,FRELLUPH1,2024,1.0
REGION1,DEELLUPH1,2024,1.0
REGION1,LUBACKSTOP,2025,1.0
REGION1,LUHYDSPH1,2025,1.0
REGION1,LUNGCCPH1,2025,1.0
REGION1,LUNGCHPH1,2025,1.0
