REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LVBACKSTOP,2021,1.0
REGION1,LVCOCHPH1,2021,1.0
REGION1,LVHFCHPH1,2021,1.0
REGION1,LVHYDMPH1,2021,1.0
REGION1,LVNGCCPH1,2021,1.0
REGION1,LVNGCHPH1,2021,1.0
REGION1,LVSOUTPH1,2021,0.0
REGION1,LVWIONPH1,2021,1.0
REGION1,LVLICHPH1,2021,1.0
REGION1,LVBFCHPH1,2021,1.0
REGION1,LVDSCHPH1,2021,1.0
REGION1,LVBMCHPH1,2021,1.0
REGION1,LVHYDRPH1,2021,1.0
REGION1,LVCOCHPN1,2021,1.0
REGION1,LVHFCHPN1,2021,1.0
REGION1,LVHYDMPN1,2021,1.0
REGION1,LVNGCCPN1,2021,1.0
REGION1,LVNGCHPN1,2021,1.0
REGION1,LVSOUTPN1,2021,0.0
REGION1,LVWIONPN1,2021,1.0
REGION1,LVLICHPN1,2021,1.0
REGION1,LVBFCHPN1,2021,1.0
REGION1,LVDSCHPN1,2021,1.0
REGION1,LVBMCHPN1,2021,1.0
REGION1,LVHYDRPN1,2021,1.0
REGION1,LVNGCCSN1,2021,1.0
REGION1,LVBMCCSN1,2021,1.0
REGION1,LVBATTH1,2021,1.0
REGION1,EEELLVPH1,2021,1.0
REGION1,LTELLVPH1,2021,1.0
REGION1,LVELRUPH1,2021,1.0
REGION1,LVNGLTPI0,2021,1.0
REGION1,LVBACKSTOP,2022,1.0
REGION1,LVCOCHPH1,2022,1.0
REGION1,LVHFCHPH1,2022,1.0
REGION1,LVHYDMPH1,2022,1.0
REGION1,LVNGCCPH1,2022,1.0
REGION1,LVNGCHPH1,2022,1.0
REGION1,LVSOUTPH1,2022,0.0
REGION1,LVWIONPH1,2022,1.0
REGION1,LVLICHPH1,2022,1.0
REGION1,LVBFCHPH1,2022,1.0
REGION1,LVDSCHPH1,2022,1.0
REGION1,LVBMCHPH1,2022,1.0
REGION1,LVHYDRPH1,2022,1.0
REGION1,LVCOCHPN1,2022,1.0
REGION1,LVHFCHPN1,2022,1.0
REGION1,LVHYDMPN1,2022,1.0
REGION1,LVNGCCPN1,2022,1.0
REGION1,LVNGCHPN1,2022,1.0
REGION1,LVSOUTPN1,2022,0.0
REGION1,LVWIONPN1,2022,1.0
REGION1,LVLICHPN1,2022,1.0
REGION1,LVBFCHPN1,2022,1.0
REGION1,LVDSCHPN1,2022,1.0
REGION1,LVBMCHPN1,2022,1.0
REGION1,LVHYDRPN1,2022,1.0
REGION1,LVNGCCSN1,2022,1.0
REGION1,LVBMCCSN1,2022,1.0
REGION1,LVBATTH1,2022,1.0
REGION1,EEELLVPH1,2022,1.0
REGION1,LTELLVPH1,2022,1.0
REGION1,LVELRUPH1,2022,1.0
REGION1,LVNGLTPI0,2022,1.0
REGION1,LVBACKSTOP,2023,1.0
REGION1,LVCOCHPH1,2023,1.0
REGION1,LVHFCHPH1,2023,1.0
REGION1,LVHYDMPH1,2023,1.0
REGION1,LVNGCCPH1,2023,1.0
REGION1,LVNGCHPH1,2023,1.0
REGION1,LVSOUTPH1,2023,0.0
REGION1,LVWIONPH1,2023,1.0
REGION1,LVLICHPH1,2023,1.0
REGION1,LVBFCHPH1,2023,1.0
REGION1,LVDSCHPH1,2023,1.0
REGION1,LVBMCHPH1,2023,1.0
REGION1,LVHYDRPH1,2023,1.0
REGION1,LVCOCHPN1,2023,1.0
REGION1,LVHFCHPN1,2023,1.0
