REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LYBACKSTOP,2021,1.0
REGION1,LYNGCCPH1,2021,1.0
REGION1,LYNGGCPH1,2021,1.0
REGION1,LYLFRCPH1,2021,1.0
REGION1,LYHFGCPH1,2021,1.0
REGION1,LYSOU1PH1,2021,0.0
REGION1,LYNGCCPN1,2021,1.0
REGION1,LYNGGCPN1,2021,1.0
REGION1,LYLFRCPN1,2021,1.0
REGION1,LYHFGCPN1,2021,1.0
REGION1,LYSOU1PN1,2021,0.0
REGION1,LYWINDPN1,2021,0.05
REGION1,LYNGCCSPN1,2021,1.0
REGION1,LYBATTN1,2021,1.0
REGION1,LYELEGPH1,2021,1.0
REGION1,LYBACKSTOP,2022,1.0
REGION1,LYNGCCPH1,2022,1.0
REGION1,LYNGGCPH1,2022,1.0
REGION1,LYLFRCPH1,2022,1.0
REGION1,LYHFGCPH1,2022,1.0
REGION1,LYSOU1PH1,2022,0.0
REGION1,LYNGCCPN1,2022,1.0
REGION1,LYNGGCPN1,2022,1.0
REGION1,LYLFRCPN1,2022,1.0
REGION1,LYHFGCPN1,2022,1.0
REGION1,LYSOU1PN1,2022,0.0
REGION1,LYWINDPN1,2022,0.05
REGION1,LYNGCCSPN1,2022,1.0
REGION1,LYBATTN1,2022,1.0
REGION1,LYELEGPH1,2022,1.0
REGION1,LYBACKSTOP,2023,1.0
REGION1,LYNGCCPH1,2023,1.0
REGION1,LYNGGCPH1,2023,1.0
REGION1,LYLFRCPH1,2023,1.0
REGION1,LYHFGCPH1,2023,1.0
REGION1,LYSOU1PH1,2023,0.0
REGION1,LYNGCCPN1,2023,1.0
REGION1,LYNGGCPN1,2023,1.0
REGION1,LYLFRCPN1,2023,1.0
REGION1,LYHFGCPN1,2023,1.0
REGION1,LYSOU1PN1,2023,0.0
REGION1,LYWINDPN1,2023,0.05
REGION1,LYNGCCSPN1,2023,1.0
REGION1,LYBATTN1,2023,1.0
REGION1,LYELEGPH1,2023,1.0
REGION1,LYBACKSTOP,2024,1.0
REGION1,LYNGCCPH1,2024,1.0
REGION1,LYNGGCPH1,2024,1.0
REGION1,LYLFRCPH1,2024,1.0
REGION1,LYHFGCPH1,2024,1.0
REGION1,LYSOU1PH1,2024,0.0
REGION1,LYNGCCPN1,2024,1.0
REGION1,LYNGGCPN1,2024,1.0
REGION1,LYLFRCPN1,2024,1.0
REGION1,LYHFGCPN1,2024,1.0
REGION1,LYSOU1PN1,2024,0.0
REGION1,LYWINDPN1,2024,0.05
REGION1,LYNGCCSPN1,2024,1.0
REGION1,LYBATTN1,2024,1.0
REGION1,LYELEGPH1,2024,1.0
REGION1,LYBACKSTOP,2025,1.0
REGION1,LYNGCCPH1,2025,1.0
REGION1,LYNGGCPH1,2025,1.0
REGION1,LYLFRCPH1,2025,1.0
REGION1,LYHFGCPH1,2025,1.0
REGION1,LYSOU1PH1,2025,0.0
REGION1,LYNGCCPN1,2025,1.0
REGION1,LYNGGCPN1,2025,1.0
REGION1,LYLFRCPN1,2025,1.0
REGION1,LYHFGCPN1,2025,1.0
REGION1,LYSOU1PN1,2025,0.0
REGION1,LYWINDPN1,2025,0.05
REGION1,LYNGCCSPN1,2025,1.0
REGION1,LYBATTN1,2025,1.0
REGION1,LYELEGPH1,2025,1.0
REGION1,LYBACKSTOP,2026,1.0
REGION1,LYNGCCPH1,2026,1.0
