REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MABACKSTOP,2021,1.0
REGION1,MASOU1PH1,2021,0.0
REGION1,MAWINDPH1,2021,0.05
REGION1,MACOSCPH1,2021,1.0
REGION1,MALFRCPH1,2021,1.0
REGION1,MAHFGCPH1,2021,1.0
REGION1,MANGCCPH1,2021,1.0
REGION1,MANGGCPH1,2021,1.0
REGION1,MABMCHPH1,2021,1.0
REGION1,MAHYDMSH1,2021,1.0
REGION1,MASOC1PH1,2021,0.0
REGION1,MASOU1PN1,2021,0.0
REGION1,MAWINDPN1,2021,0.05
REGION1,MACOSCPN1,2021,1.0
REGION1,MALFRCPN1,2021,1.0
REGION1,MAHFGCPN1,2021,1.0
REGION1,MANGCCPN1,2021,1.0
REGION1,MANGGCPN1,2021,1.0
REGION1,MABMCHPN1,2021,1.0
REGION1,MAHYDMSN1,2021,1.0
REGION1,MASOC1PN1,2021,0.0
REGION1,MANGCCSPN1,2021,1.0
REGION1,MABMCCSPN1,2021,1.0
REGION1,MACOCCSPN1,2021,1.0
REGION1,MABATTN1,2021,1.0
REGION1,MAHYDSPH1,2021,1.0
REGION1,MAHYDSPN1,2021,1.0
REGION1,ESELMAPH1,2021,1.0
REGION1,MAELDZPH1,2021,1.0
REGION1,MABACKSTOP,2022,1.0
REGION1,MASOU1PH1,2022,0.0
REGION1,MAWINDPH1,2022,0.05
REGION1,MACOSCPH1,2022,1.0
REGION1,MALFRCPH1,2022,1.0
REGION1,MAHFGCPH1,2022,1.0
REGION1,MANGCCPH1,2022,1.0
REGION1,MANGGCPH1,2022,1.0
REGION1,MABMCHPH1,2022,1.0
REGION1,MAHYDMSH1,2022,1.0
REGION1,MASOC1PH1,2022,0.0
REGION1,MASOU1PN1,2022,0.0
REGION1,MAWINDPN1,2022,0.05
REGION1,MACOSCPN1,2022,1.0
REGION1,MALFRCPN1,2022,1.0
REGION1,MAHFGCPN1,2022,1.0
REGION1,MANGCCPN1,2022,1.0
REGION1,MANGGCPN1,2022,1.0
REGION1,MABMCHPN1,2022,1.0
REGION1,MAHYDMSN1,2022,1.0
REGION1,MASOC1PN1,2022,0.0
REGION1,MANGCCSPN1,2022,1.0
REGION1,MABMCCSPN1,2022,1.0
REGION1,MACOCCSPN1,2022,1.0
REGION1,MABATTN1,2022,1.0
REGION1,MAHYDSPH1,2022,1.0
REGION1,MAHYDSPN1,2022,1.0
REGION1,ESELMAPH1,2022,1.0
REGION1,MAELDZPH1,2022,1.0
REGION1,MABACKSTOP,2023,1.0
REGION1,MASOU1PH1,2023,0.0
REGION1,MAWINDPH1,2023,0.05
REGION1,MACOSCPH1,2023,1.0
REGION1,MALFRCPH1,2023,1.0
REGION1,MAHFGCPH1,2023,1.0
REGION1,MANGCCPH1,2023,1.0
REGION1,MANGGCPH1,2023,1.0
REGION1,MABMCHPH1,2023,1.0
REGION1,MAHYDMSH1,2023,1.0
REGION1,MASOC1PH1,2023,0.0
REGION1,MASOU1PN1,2023,0.0
REGION1,MAWINDPN1,2023,0.05
REGION1,MACOSCPN1,2023,1.0
REGION1,MALFRCPN1,2023,1.0
REGION1,MAHFGCPN1,2023,1.0
REGION1,MANGCCPN1,2023,1.0
REGION1,MANGGCPN1,2023,1.0
REGION1,MABMCHPN1,2023,1.0
REGION1,MAHYDMSN1,2023,1.0
REGION1,MASOC1PN1,2023,0.0
REGION1,MANGCCSPN1,2023,1.0
REGION1,MABMCCSPN1,2023,1.0
REGION1,MACOCCSPN1,2023,1.0
REGION1,MABATTN1,2023,1.0
REGION1,MAHYDSPH1,2023,1.0
REGION1,MAHYDSPN1,2023,1.0
REGION1,ESELMAPH1,2023,1.0
REGION1,MAELDZPH1,2023,1.0
REGION1,MABACKSTOP,2024,1.0
REGION1,MASOU1PH1,2024,0.0
REGION1,MAWINDPH1,2024,0.05
REGION1,MACOSCPH1,2024,1.0
REGION1,MALFRCPH1,2024,1.0
REGION1,MAHFGCPH1,2024,1.0
REGION1,MANGCCPH1,2024,1.0
REGION1,MANGGCPH1,2024,1.0
REGION1,MABMCHPH1,2024,1.0
REGION1,MAHYDMSH1,2024,1.0
REGION1,MASOC1PH1,2024,0.0
REGION1,MASOU1PN1,2024,0.0
REGION1,MAWINDPN1,2024,0.05
REGION1,MACOSCPN1,2024,1.0
REGION1,MALFRCPN1,2024,1.0
REGION1,MAHFGCPN1,2024,1.0
REGION1,MANGCCPN1,2024,1.0
REGION1,MANGGCPN1,2024,1.0
REGION1,MABMCHPN1,2024,1.0
REGION1,MAHYDMSN1,2024,1.0
REGION1,MASOC1PN1,2024,0.0
REGION1,MANGCCSPN1,2024,1.0
REGION1,MABMCCSPN1,2024,1.0
REGION1,MACOCCSPN1,2024,1.0
REGION1,MABATTN1,2024,1.0
REGION1,MAHYDSPH1,2024,1.0
REGION1,MAHYDSPN1,2024,1.0
REGION1,ESELMAPH1,2024,1.0
REGION1,MAELDZPH1,2024,1.0
REGION1,MABACKSTOP,2025,1.0
REGION1,MASOU1PH1,2025,0.0
REGION1,MAWINDPH1,2025,0.05
REGION1,MACOSCPH1,2025,1.0
REGION1,MALFRCPH1,2025,1.0
REGION1,MAHFGCPH1,2025,1.0
REGION1,MANGCCPH1,2025,1.0
REGION1,MANGGCPH1,2025,1.0
REGION1,MABMCHPH1,2025,1.0
REGION1,MAHYDMSH1,2025,1.0
REGION1,MASOC1PH1,2025,0.0
REGION1,MASOU1PN1,2025,0.0
REGION1,MAWINDPN1,2025,0.05
REGION1,MACOSCPN1,2025,1.0
REGION1,MALFRCPN1,2025,1.0
REGION1,MAHFGCPN1,2025,1.0
REGION1,MANGCCPN1,2025,1.0
REGION1,MANGGCPN1,2025,1.0
REGION1,MABMCHPN1,2025,1.0
REGION1,MAHYDMSN1,2025,1.0
REGION1,MASOC1PN1,2025,0.0
REGION1,MANGCCSPN1,2025,1.0
REGION1,MABMCCSPN1,2025,1.0
REGION1,MACOCCSPN1,2025,1.0
REGION1,MABATTN1,2025,1.0
REGION1,MAHYDSPH1,2025,1.0
REGION1,MAHYDSPN1,2025,1.0
REGION1,ESELMAPH1,2025,1.0
REGION1,MAELDZPH1,2025,1.0
REGION1,MABACKSTOP,2026,1.0
REGION1,MASOU1PH1,2026,0.0
REGION1,MAWINDPH1,2026,0.05
REGION1,MACOSCPH1,2026,1.0
REGION1,MALFRCPH1,2026,1.0
REGION1,MAHFGCPH1,2026,1.0
REGION1,MANGCCPH1,2026,1.0
REGION1,MANGGCPH1,2026,1.0
REGION1,MABMCHPH1,2026,1.0
REGION1,MAHYDMSH1,2026,1.0
REGION1,MASOC1PH1,2026,0.0
REGION1,MASOU1PN1,2026,0.0
REGION1,MAWINDPN1,2026,0.05
REGION1,MACOSCPN1,2026,1.0
REGION1,MALFRCPN1,2026,1.0
REGION1,MAHFGCPN1,2026,1.0
REGION1,MANGCCPN1,2026,1.0
REGION1,MANGGCPN1,2026,1.0
REGION1,MABMCHPN1,2026,1.0
REGION1,MAHYDMSN1,2026,1.0
REGION1,MASOC1PN1,2026,0.0
REGION1,MANGCCSPN1,2026,1.0
REGION1,MABMCCSPN1,2026,1.0
REGION1,MACOCCSPN1,2026,1.0
REGION1,MABATTN1,2026,1.0
REGION1,MAHYDSPH1,2026,1.0
REGION1,MAHYDSPN1,2026,1.0
REGION1,ESELMAPH1,2026,1.0
REGION1,MAELDZPH1,2026,1.0
REGION1,MABACKSTOP,2027,1.0
REGION1,MASOU1PH1,2027,0.0
REGION1,MAWINDPH1,2027,0.05
REGION1,MACOSCPH1,2027,1.0
REGION1,MALFRCPH1,2027,1.0
REGION1,MAHFGCPH1,2027,1.0
REGION1,MANGCCPH1,2027,1.0
REGION1,MANGGCPH1,2027,1.0
REGION1,MABMCHPH1,2027,1.0
REGION1,MAHYDMSH1,2027,1.0
REGION1,MASOC1PH1,2027,0.0
REGION1,MASOU1PN1,2027,0.0
REGION1,MAWINDPN1,2027,0.05
REGION1,MACOSCPN1,2027,1.0
REGION1,MALFRCPN1,2027,1.0
REGION1,MAHFGCPN1,2027,1.0
REGION1,MANGCCPN1,2027,1.0
REGION1,MANGGCPN1,2027,1.0
REGION1,MABMCHPN1,2027,1.0
REGION1,MAHYDMSN1,2027,1.0
REGION1,MASOC1PN1,2027,0.0
REGION1,MANGCCSPN1,2027,1.0
REGION1,MABMCCSPN1,2027,1.0
REGION1,MACOCCSPN1,2027,1.0
REGION1,MABATTN1,2027,1.0
REGION1,MAHYDSPH1,2027,1.0
REGION1,MAHYDSPN1,2027,1.0
REGION1,ESELMAPH1,2027,1.0
REGION1,MAELDZPH1,2027,1.0
REGION1,MABACKSTOP,2028,1.0
REGION1,MASOU1PH1,2028,0.0
REGION1,MAWINDPH1,2028,0.05
REGION1,MACOSCPH1,2028,1.0
REGION1,MALFRCPH1,2028,1.0
REGION1,MAHFGCPH1,2028,1.0
REGION1,MANGCCPH1,2028,1.0
REGION1,MANGGCPH1,2028,1.0
REGION1,MABMCHPH1,2028,1.0
REGION1,MAHYDMSH1,2028,1.0
REGION1,MASOC1PH1,2028,0.0
REGION1,MASOU1PN1,2028,0.0
REGION1,MAWINDPN1,2028,0.05
REGION1,MACOSCPN1,2028,1.0
REGION1,MALFRCPN1,2028,1.0
REGION1,MAHFGCPN1,2028,1.0
REGION1,MANGCCPN1,2028,1.0
REGION1,MANGGCPN1,2028,1.0
REGION1,MABMCHPN1,2028,1.0
REGION1,MAHYDMSN1,2028,1.0
REGION1,MASOC1PN1,2028,0.0
REGION1,MANGCCSPN1,2028,1.0
REGION1,MABMCCSPN1,2028,1.0
REGION1,MACOCCSPN1,2028,1.0
REGION1,MABATTN1,2028,1.0
REGION1,MAHYDSPH1,2028,1.0
REGION1,MAHYDSPN1,2028,1.0
REGION1,ESELMAPH1,2028,1.0
REGION1,MAELDZPH1,2028,1.0
REGION1,MABACKSTOP,2029,1.0
REGION1,MASOU1PH1,2029,0.0
REGION1,MAWINDPH1,2029,0.05
REGION1,MACOSCPH1,2029,1.0
REGION1,MALFRCPH1,2029,1.0
REGION1,MAHFGCPH1,2029,1.0
REGION1,MANGCCPH1,2029,1.0
REGION1,MANGGCPH1,2029,1.0
REGION1,MABMCHPH1,2029,1.0
REGION1,MAHYDMSH1,2029,1.0
REGION1,MASOC1PH1,2029,0.0
REGION1,MASOU1PN1,2029,0.0
REGION1,MAWINDPN1,2029,0.05
REGION1,MACOSCPN1,2029,1.0
REGION1,MALFRCPN1,2029,1.0
REGION1,MAHFGCPN1,2029,1.0
REGION1,MANGCCPN1,2029,1.0
REGION1,MANGGCPN1,2029,1.0
REGION1,MABMCHPN1,2029,1.0
REGION1,MAHYDMSN1,2029,1.0
REGION1,MASOC1PN1,2029,0.0
REGION1,MANGCCSPN1,2029,1.0
REGION1,MABMCCSPN1,2029,1.0
REGION1,MACOCCSPN1,2029,1.0
REGION1,MABATTN1,2029,1.0
REGION1,MAHYDSPH1,2029,1.0
REGION1,MAHYDSPN1,2029,1.0
REGION1,ESELMAPH1,2029,1.0
REGION1,MAELDZPH1,2029,1.0
REGION1,MABACKSTOP,2030,1.0
REGION1,MASOU1PH1,2030,0.0
REGION1,MAWINDPH1,2030,0.05
REGION1,MACOSCPH1,2030,1.0
REGION1,MALFRCPH1,2030,1.0
REGION1,MAHFGCPH1,2030,1.0
REGION1,MANGCCPH1,2030,1.0
REGION1,MANGGCPH1,2030,1.0
REGION1,MABMCHPH1,2030,1.0
REGION1,MAHYDMSH1,2030,1.0
REGION1,MASOC1PH1,2030,0.0
REGION1,MASOU1PN1,2030,0.0
REGION1,MAWINDPN1,2030,0.05
REGION1,MACOSCPN1,2030,1.0
REGION1,MALFRCPN1,2030,1.0
REGION1,MAHFGCPN1,2030,1.0
REGION1,MANGCCPN1,2030,1.0
REGION1,MANGGCPN1,2030,1.0
REGION1,MABMCHPN1,2030,1.0
REGION1,MAHYDMSN1,2030,1.0
REGION1,MASOC1PN1,2030,0.0
REGION1,MANGCCSPN1,2030,1.0
REGION1,MABMCCSPN1,2030,1.0
REGION1,MACOCCSPN1,2030,1.0
REGION1,MABATTN1,2030,1.0
REGION1,MAHYDSPH1,2030,1.0
REGION1,MAHYDSPN1,2030,1.0
REGION1,ESELMAPH1,2030,1.0
REGION1,MAELDZPH1,2030,1.0
REGION1,MABACKSTOP,2031,1.0
REGION1,MASOU1PH1,2031,0.0
REGION1,MAWINDPH1,2031,0.05
REGION1,MACOSCPH1,2031,1.0
REGION1,MALFRCPH1,2031,1.0
REGION1,MAHFGCPH1,2031,1.0
REGION1,MANGCCPH1,2031,1.0
REGION1,MANGGCPH1,2031,1.0
REGION1,MABMCHPH1,2031,1.0
REGION1,MAHYDMSH1,2031,1.0
REGION1,MASOC1PH1,2031,0.0
REGION1,MASOU1PN1,2031,0.0
REGION1,MAWINDPN1,2031,0.05
REGION1,MACOSCPN1,2031,1.0
REGION1,MALFRCPN1,2031,1.0
REGION1,MAHFGCPN1,2031,1.0
REGION1,MANGCCPN1,2031,1.0
REGION1,MANGGCPN1,2031,1.0
REGION1,MABMCHPN1,2031,1.0
REGION1,MAHYDMSN1,2031,1.0
REGION1,MASOC1PN1,2031,0.0
REGION1,MANGCCSPN1,2031,1.0
REGION1,MABMCCSPN1,2031,1.0
REGION1,MACOCCSPN1,2031,1.0
REGION1,MABATTN1,2031,1.0
REGION1,MAHYDSPH1,2031,1.0
REGION1,MAHYDSPN1,2031,1.0
REGION1,ESELMAPH1,2031,1.0
REGION1,MAELDZPH1,2031,1.0
REGION1,MABACKSTOP,2032,1.0
REGION1,MASOU1PH1,2032,0.0
REGION1,MAWINDPH1,2032,0.05
REGION1,MACOSCPH1,2032,1.0
REGION1,MALFRCPH1,2032,1.0
REGION1,MAHFGCPH1,2032,1.0
REGION1,MANGCCPH1,2032,1.0
REGION1,MANGGCPH1,2032,1.0
REGION1,MABMCHPH1,2032,1.0
REGION1,MAHYDMSH1,2032,1.0
REGION1,MASOC1PH1,2032,0.0
REGION1,MASOU1PN1,2032,0.0
REGION1,MAWINDPN1,2032,0.05
REGION1,MACOSCPN1,2032,1.0
REGION1,MALFRCPN1,2032,1.0
REGION1,MAHFGCPN1,2032,1.0
REGION1,MANGCCPN1,2032,1.0
REGION1,MANGGCPN1,2032,1.0
REGION1,MABMCHPN1,2032,1.0
REGION1,MAHYDMSN1,2032,1.0
REGION1,MASOC1PN1,2032,0.0
REGION1,MANGCCSPN1,2032,1.0
REGION1,MABMCCSPN1,2032,1.0
REGION1,MACOCCSPN1,2032,1.0
REGION1,MABATTN1,2032,1.0
REGION1,MAHYDSPH1,2032,1.0
REGION1,MAHYDSPN1,2032,1.0
REGION1,ESELMAPH1,2032,1.0
REGION1,MAELDZPH1,2032,1.0
REGION1,MABACKSTOP,2033,1.0
REGION1,MASOU1PH1,2033,0.0
REGION1,MAWINDPH1,2033,0.05
REGION1,MACOSCPH1,2033,1.0
REGION1,MALFRCPH1,2033,1.0
REGION1,MAHFGCPH1,2033,1.0
REGION1,MANGCCPH1,2033,1.0
REGION1,MANGGCPH1,2033,1.0
REGION1,MABMCHPH1,2033,1.0
REGION1,MAHYDMSH1,2033,1.0
REGION1,MASOC1PH1,2033,0.0
