REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MLBACKSTOP,2021,1.0
REGION1,MLHYDMSH1,2021,1.0
REGION1,MLSOU1PH1,2021,0.0
REGION1,MLLFRCPH1,2021,1.0
REGION1,MLHFGCPH1,2021,1.0
REGION1,MLBMCHPH1,2021,1.0
REGION1,MLHYDMSN1,2021,1.0
REGION1,MLSOU1PN1,2021,0.0
REGION1,MLLFRCPN1,2021,1.0
REGION1,MLHFGCPN1,2021,1.0
REGION1,MLBMCHPN1,2021,1.0
REGION1,MLNGCCPN1,2021,1.0
REGION1,MLWINDPN1,2021,0.05
REGION1,MLNGCCSPN1,2021,1.0
REGION1,MLBMCCSPN1,2021,1.0
REGION1,MLBATTN1,2021,1.0
REGION1,SNELMLPH1,2021,1.0
REGION1,MLBACKSTOP,2022,1.0
REGION1,MLHYDMSH1,2022,1.0
REGION1,MLSOU1PH1,2022,0.0
REGION1,MLLFRCPH1,2022,1.0
REGION1,MLHFGCPH1,2022,1.0
REGION1,MLBMCHPH1,2022,1.0
REGION1,MLHYDMSN1,2022,1.0
REGION1,MLSOU1PN1,2022,0.0
REGION1,MLLFRCPN1,2022,1.0
REGION1,MLHFGCPN1,2022,1.0
REGION1,MLBMCHPN1,2022,1.0
REGION1,MLNGCCPN1,2022,1.0
REGION1,MLWINDPN1,2022,0.05
REGION1,MLNGCCSPN1,2022,1.0
REGION1,MLBMCCSPN1,2022,1.0
REGION1,MLBATTN1,2022,1.0
REGION1,SNELMLPH1,2022,1.0
REGION1,MLBACKSTOP,2023,1.0
REGION1,MLHYDMSH1,2023,1.0
REGION1,MLSOU1PH1,2023,0.0
REGION1,MLLFRCPH1,2023,1.0
REGION1,MLHFGCPH1,2023,1.0
REGION1,MLBMCHPH1,2023,1.0
REGION1,MLHYDMSN1,2023,1.0
REGION1,MLSOU1PN1,2023,0.0
REGION1,MLLFRCPN1,2023,1.0
REGION1,MLHFGCPN1,2023,1.0
REGION1,MLBMCHPN1,2023,1.0
REGION1,MLNGCCPN1,2023,1.0
REGION1,MLWINDPN1,2023,0.05
REGION1,MLNGCCSPN1,2023,1.0
REGION1,MLBMCCSPN1,2023,1.0
REGION1,MLBATTN1,2023,1.0
REGION1,SNELMLPH1,2023,1.0
REGION1,MLBACKSTOP,2024,1.0
REGION1,MLHYDMSH1,2024,1.0
REGION1,MLSOU1PH1,2024,0.0
REGION1,MLLFRCPH1,2024,1.0
REGION1,MLHFGCPH1,2024,1.0
REGION1,MLBMCHPH1,2024,1.0
REGION1,MLHYDMSN1,2024,1.0
REGION1,MLSOU1PN1,2024,0.0
REGION1,MLLFRCPN1,2024,1.0
REGION1,MLHFGCPN1,2024,1.0
REGION1,MLBMCHPN1,2024,1.0
REGION1,MLNGCCPN1,2024,1.0
REGION1,MLWINDPN1,2024,0.05
REGION1,MLNGCCSPN1,2024,1.0
REGION1,MLBMCCSPN1,2024,1.0
REGION1,MLBATTN1,2024,1.0
REGION1,SNELMLPH1,2024,1.0
REGION1,MLBACKSTOP,2025,1.0
REGION1,MLHYDMSH1,2025,1.0
REGION1,MLSOU1PH1,2025,0.0
REGION1,MLLFRCPH1,2025,1.0
REGION1,MLHFGCPH1,2025,1.0
REGION1,MLBMCHPH1,2025,1.0
REGION1,MLHYDMSN1,2025,1.0
REGION1,MLSOU1PN1,2025,0.0
REGION1,MLLFRCPN1,2025,1.0
REGION1,MLHFGCPN1,2025,1.0
REGION1,MLBMCHPN1,2025,1.0
REGION1,MLNGCCPN1,2025,1.0
REGION1,MLWINDPN1,2025,0.05
REGION1,MLNGCCSPN1,2025,1.0
REGION1,MLBMCCSPN1,2025,1.0
REGION1,MLBATTN1,2025,1.0
REGION1,SNELMLPH1,2025,1.0
REGION1,MLBACKSTOP,2026,1.0
REGION1,MLHYDMSH1,2026,1.0
REGION1,MLSOU1PH1,2026,0.0
REGION1,MLLFRCPH1,2026,1.0
REGION1,MLHFGCPH1,2026,1.0
REGION1,MLBMCHPH1,2026,1.0
REGION1,MLHYDMSN1,2026,1.0
REGION1,MLSOU1PN1,2026,0.0
REGION1,MLLFRCPN1,2026,1.0
REGION1,MLHFGCPN1,2026,1.0
REGION1,MLBMCHPN1,2026,1.0
REGION1,MLNGCCPN1,2026,1.0
REGION1,MLWINDPN1,2026,0.05
REGION1,MLNGCCSPN1,2026,1.0
REGION1,MLBMCCSPN1,2026,1.0
REGION1,MLBATTN1,2026,1.0
REGION1,SNELMLPH1,2026,1.0
REGION1,MLBACKSTOP,2027,1.0
REGION1,MLHYDMSH1,2027,1.0
REGION1,MLSOU1PH1,2027,0.0
REGION1,MLLFRCPH1,2027,1.0
REGION1,MLHFGCPH1,2027,1.0
REGION1,MLBMCHPH1,2027,1.0
REGION1,MLHYDMSN1,2027,1.0
REGION1,MLSOU1PN1,2027,0.0
REGION1,MLLFRCPN1,2027,1.0
REGION1,MLHFGCPN1,2027,1.0
REGION1,MLBMCHPN1,2027,1.0
REGION1,MLNGCCPN1,2027,1.0
REGION1,MLWINDPN1,2027,0.05
REGION1,MLNGCCSPN1,2027,1.0
REGION1,MLBMCCSPN1,2027,1.0
REGION1,MLBATTN1,2027,1.0
REGION1,SNELMLPH1,2027,1.0
REGION1,MLBACKSTOP,2028,1.0
REGION1,MLHYDMSH1,2028,1.0
REGION1,MLSOU1PH1,2028,0.0
REGION1,MLLFRCPH1,2028,1.0
REGION1,MLHFGCPH1,2028,1.0
REGION1,MLBMCHPH1,2028,1.0
REGION1,MLHYDMSN1,2028,1.0
REGION1,MLSOU1PN1,2028,0.0
REGION1,MLLFRCPN1,2028,1.0
REGION1,MLHFGCPN1,2028,1.0
REGION1,MLBMCHPN1,2028,1.0
REGION1,MLNGCCPN1,2028,1.0
REGION1,MLWINDPN1,2028,0.05
REGION1,MLNGCCSPN1,2028,1.0
REGION1,MLBMCCSPN1,2028,1.0
REGION1,MLBATTN1,2028,1.0
REGION1,SNELMLPH1,2028,1.0
REGION1,MLBACKSTOP,2029,1.0
REGION1,MLHYDMSH1,2029,1.0
REGION1,MLSOU1PH1,2029,0.0
REGION1,MLLFRCPH1,2029,1.0
REGION1,MLHFGCPH1,2029,1.0
REGION1,MLBMCHPH1,2029,1.0
REGION1,MLHYDMSN1,2029,1.0
REGION1,MLSOU1PN1,2029,0.0
REGION1,MLLFRCPN1,2029,1.0
REGION1,MLHFGCPN1,2029,1.0
REGION1,MLBMCHPN1,2029,1.0
REGION1,MLNGCCPN1,2029,1.0
REGION1,MLWINDPN1,2029,0.05
REGION1,MLNGCCSPN1,2029,1.0
REGION1,MLBMCCSPN1,2029,1.0
REGION1,MLBATTN1,2029,1.0
REGION1,SNELMLPH1,2029,1.0
REGION1,MLBACKSTOP,2030,1.0
REGION1,MLHYDMSH1,2030,1.0
REGION1,MLSOU1PH1,2030,0.0
REGION1,MLLFRCPH1,2030,1.0
REGION1,MLHFGCPH1,2030,1.0
REGION1,MLBMCHPH1,2030,1.0
REGION1,MLHYDMSN1,2030,1.0
REGION1,MLSOU1PN1,2030,0.0
REGION1,MLLFRCPN1,2030,1.0
REGION1,MLHFGCPN1,2030,1.0
REGION1,MLBMCHPN1,2030,1.0
REGION1,MLNGCCPN1,2030,1.0
REGION1,MLWINDPN1,2030,0.05
REGION1,MLNGCCSPN1,2030,1.0
REGION1,MLBMCCSPN1,2030,1.0
REGION1,MLBATTN1,2030,1.0
REGION1,SNELMLPH1,2030,1.0
REGION1,MLBACKSTOP,2031,1.0
REGION1,MLHYDMSH1,2031,1.0
REGION1,MLSOU1PH1,2031,0.0
REGION1,MLLFRCPH1,2031,1.0
REGION1,MLHFGCPH1,2031,1.0
REGION1,MLBMCHPH1,2031,1.0
REGION1,MLHYDMSN1,2031,1.0
REGION1,MLSOU1PN1,2031,0.0
REGION1,MLLFRCPN1,2031,1.0
REGION1,MLHFGCPN1,2031,1.0
REGION1,MLBMCHPN1,2031,1.0
REGION1,MLNGCCPN1,2031,1.0
REGION1,MLWINDPN1,2031,0.05
REGION1,MLNGCCSPN1,2031,1.0
REGION1,MLBMCCSPN1,2031,1.0
REGION1,MLBATTN1,2031,1.0
REGION1,SNELMLPH1,2031,1.0
REGION1,MLBACKSTOP,2032,1.0
REGION1,MLHYDMSH1,2032,1.0
REGION1,MLSOU1PH1,2032,0.0
REGION1,MLLFRCPH1,2032,1.0
REGION1,MLHFGCPH1,2032,1.0
REGION1,MLBMCHPH1,2032,1.0
REGION1,MLHYDMSN1,2032,1.0
REGION1,MLSOU1PN1,2032,0.0
REGION1,MLLFRCPN1,2032,1.0
REGION1,MLHFGCPN1,2032,1.0
REGION1,MLBMCHPN1,2032,1.0
REGION1,MLNGCCPN1,2032,1.0
REGION1,MLWINDPN1,2032,0.05
REGION1,MLNGCCSPN1,2032,1.0
REGION1,MLBMCCSPN1,2032,1.0
REGION1,MLBATTN1,2032,1.0
REGION1,SNELMLPH1,2032,1.0
REGION1,MLBACKSTOP,2033,1.0
REGION1,MLHYDMSH1,2033,1.0
REGION1,MLSOU1PH1,2033,0.0
REGION1,MLLFRCPH1,2033,1.0
REGION1,MLHFGCPH1,2033,1.0
REGION1,MLBMCHPH1,2033,1.0
REGION1,MLHYDMSN1,2033,1.0
REGION1,MLSOU1PN1,2033,0.0
REGION1,MLLFRCPN1,2033,1.0
REGION1,MLHFGCPN1,2033,1.0
REGION1,MLBMCHPN1,2033,1.0
REGION1,MLNGCCPN1,2033,1.0
