REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MRBACKSTOP,2021,1.0
REGION1,MRSOU1PH1,2021,0.0
REGION1,MRWINDPH1,2021,0.05
REGION1,MRNGCCPH1,2021,1.0
REGION1,MRLFRCPH1,2021,1.0
REGION1,MRHFGCPH1,2021,1.0
REGION1,MRSOU1PN1,2021,0.0
REGION1,MRWINDPN1,2021,0.05
REGION1,MRNGCCPN1,2021,1.0
REGION1,MRLFRCPN1,2021,1.0
REGION1,MRHFGCPN1,2021,1.0
REGION1,MRNGCCSPN1,2021,1.0
REGION1,MRBATTN1,2021,1.0
REGION1,MRBACKSTOP,2022,1.0
REGION1,MRSOU1PH1,2022,0.0
REGION1,MRWINDPH1,2022,0.05
REGION1,MRNGCCPH1,2022,1.0
REGION1,MRLFRCPH1,2022,1.0
REGION1,MRHFGCPH1,2022,1.0
REGION1,MRSOU1PN1,2022,0.0
REGION1,MRWINDPN1,2022,0.05
REGION1,MRNGCCPN1,2022,1.0
REGION1,MRLFRCPN1,2022,1.0
REGION1,MRHFGCPN1,2022,1.0
REGION1,MRNGCCSPN1,2022,1.0
REGION1,MRBATTN1,2022,1.0
REGION1,MRBACKSTOP,2023,1.0
REGION1,MRSOU1PH1,2023,0.0
REGION1,MRWINDPH1,2023,0.05
REGION1,MRNGCCPH1,2023,1.0
REGION1,MRLFRCPH1,2023,1.0
REGION1,MRHFGCPH1,2023,1.0
REGION1,MRSOU1PN1,2023,0.0
REGION1,MRWINDPN1,2023,0.05
REGION1,MRNGCCPN1,2023,1.0
REGION1,MRLFRCPN1,2023,1.0
REGION1,MRHFGCPN1,2023,1.0
REGION1,MRNGCCSPN1,2023,1.0
REGION1,MRBATTN1,2023,1.0
REGION1,MRBACKSTOP,2024,1.0
REGION1,MRSOU1PH1,2024,0.0
REGION1,MRWINDPH1,2024,0.05
REGION1,MRNGCCPH1,2024,1.0
REGION1,MRLFRCPH1,2024,1.0
REGION1,MRHFGCPH1,2024,1.0
REGION1,MRSOU1PN1,2024,0.0
REGION1,MRWINDPN1,2024,0.05
REGION1,MRNGCCPN1,2024,1.0
REGION1,MRLFRCPN1,2024,1.0
REGION1,MRHFGCPN1,2024,1.0
REGION1,MRNGCCSPN1,2024,1.0
REGION1,MRBATTN1,2024,1.0
REGION1,MRBACKSTOP,2025,1.0
REGION1,MRSOU1PH1,2025,0.0
REGION1,MRWINDPH1,2025,0.05
REGION1,MRNGCCPH1,2025,1.0
REGION1,MRLFRCPH1,2025,1.0
REGION1,MRHFGCPH1,2025,1.0
REGION1,MRSOU1PN1,2025,0.0
REGION1,MRWINDPN1,2025,0.05
REGION1,MRNGCCPN1,2025,1.0
REGION1,MRLFRCPN1,2025,1.0
REGION1,MRHFGCPN1,2025,1.0
REGION1,MRNGCCSPN1,2025,1.0
REGION1,MRBATTN1,2025,1.0
REGION1,MRBACKSTOP,2026,1.0
REGION1,MRSOU1PH1,2026,0.0
REGION1,MRWINDPH1,2026,0.05
REGION1,MRNGCCPH1,2026,1.0
REGION1,MRLFRCPH1,2026,1.0
REGION1,MRHFGCPH1,2026,1.0
REGION1,MRSOU1PN1,2026,0.0
REGION1,MRWINDPN1,2026,0.05
REGION1,MRNGCCPN1,2026,1.0
REGION1,MRLFRCPN1,2026,1.0
REGION1,MRHFGCPN1,2026,1.0
REGION1,MRNGCCSPN1,2026,1.0
REGION1,MRBATTN1,2026,1.0
REGION1,MRBACKSTOP,2027,1.0
REGION1,MRSOU1PH1,2027,0.0
REGION1,MRWINDPH1,2027,0.05
REGION1,MRNGCCPH1,2027,1.0
REGION1,MRLFRCPH1,2027,1.0
REGION1,MRHFGCPH1,2027,1.0
REGION1,MRSOU1PN1,2027,0.0
REGION1,MRWINDPN1,2027,0.05
REGION1,MRNGCCPN1,2027,1.0
REGION1,MRLFRCPN1,2027,1.0
REGION1,MRHFGCPN1,2027,1.0
REGION1,MRNGCCSPN1,2027,1.0
REGION1,MRBATTN1,2027,1.0
REGION1,MRBACKSTOP,2028,1.0
REGION1,MRSOU1PH1,2028,0.0
REGION1,MRWINDPH1,2028,0.05
REGION1,MRNGCCPH1,2028,1.0
REGION1,MRLFRCPH1,2028,1.0
REGION1,MRHFGCPH1,2028,1.0
REGION1,MRSOU1PN1,2028,0.0
REGION1,MRWINDPN1,2028,0.05
REGION1,MRNGCCPN1,2028,1.0
REGION1,MRLFRCPN1,2028,1.0
REGION1,MRHFGCPN1,2028,1.0
REGION1,MRNGCCSPN1,2028,1.0
REGION1,MRBATTN1,2028,1.0
REGION1,MRBACKSTOP,2029,1.0
REGION1,MRSOU1PH1,2029,0.0
REGION1,MRWINDPH1,2029,0.05
REGION1,MRNGCCPH1,2029,1.0
REGION1,MRLFRCPH1,2029,1.0
REGION1,MRHFGCPH1,2029,1.0
REGION1,MRSOU1PN1,2029,0.0
REGION1,MRWINDPN1,2029,0.05
REGION1,MRNGCCPN1,2029,1.0
REGION1,MRLFRCPN1,2029,1.0
REGION1,MRHFGCPN1,2029,1.0
REGION1,MRNGCCSPN1,2029,1.0
REGION1,MRBATTN1,2029,1.0
REGION1,MRBACKSTOP,2030,1.0
REGION1,MRSOU1PH1,2030,0.0
REGION1,MRWINDPH1,2030,0.05
REGION1,MRNGCCPH1,2030,1.0
REGION1,MRLFRCPH1,2030,1.0
REGION1,MRHFGCPH1,2030,1.0
REGION1,MRSOU1PN1,2030,0.0
REGION1,MRWINDPN1,2030,0.05
REGION1,MRNGCCPN1,2030,1.0
REGION1,MRLFRCPN1,2030,1.0
REGION1,MRHFGCPN1,2030,1.0
REGION1,MRNGCCSPN1,2030,1.0
REGION1,MRBATTN1,2030,1.0
REGION1,MRBACKSTOP,2031,1.0
REGION1,MRSOU1PH1,2031,0.0
REGION1,MRWINDPH1,2031,0.05
REGION1,MRNGCCPH1,2031,1.0
REGION1,MRLFRCPH1,2031,1.0
REGION1,MRHFGCPH1,2031,1.0
REGION1,MRSOU1PN1,2031,0.0
REGION1,MRWINDPN1,2031,0.05
REGION1,MRNGCCPN1,2031,1.0
REGION1,MRLFRCPN1,2031,1.0
REGION1,MRHFGCPN1,2031,1.0
REGION1,MRNGCCSPN1,2031,1.0
REGION1,MRBATTN1,2031,1.0
REGION1,MRBACKSTOP,2032,1.0
REGION1,MRSOU1PH1,2032,0.0
REGION1,MRWINDPH1,2032,0.05
REGION1,MRNGCCPH1,2032,1.0
REGION1,MRLFRCPH1,2032,1.0
REGION1,MRHFGCPH1,2032,1.0
REGION1,MRSOU1PN1,2032,0.0
REGION1,MRWINDPN1,2032,0.05
REGION1,MRNGCCPN1,2032,1.0
REGION1,MRLFRCPN1,2032,1.0
REGION1,MRHFGCPN1,2032,1.0
REGION1,MRNGCCSPN1,2032,1.0
REGION1,MRBATTN1,2032,1.0
REGION1,MRBACKSTOP,2033,1.0
REGION1,MRSOU1PH1,2033,0.0
REGION1,MRWINDPH1,2033,0.05
REGION1,MRNGCCPH1,2033,1.0
REGION1,MRLFRCPH1,2033,1.0
REGION1,MRHFGCPH1,2033,1.0
REGION1,MRSOU1PN1,2033,0.0
REGION1,MRWINDPN1,2033,0.05
REGION1,MRNGCCPN1,2033,1.0
REGION1,MRLFRCPN1,2033,1.0
REGION1,MRHFGCPN1,2033,1.0
REGION1,MRNGCCSPN1,2033,1.0
REGION1,MRBATTN1,2033,1.0
REGION1,MRBACKSTOP,2034,1.0
REGION1,MRSOU1PH1,2034,0.0
REGION1,MRWINDPH1,2034,0.05
REGION1,MRNGCCPH1,2034,1.0
REGION1,MRLFRCPH1,2034,1.0
REGION1,MRHFGCPH1,2034,1.0
REGION1,MRSOU1PN1,2034,0.0
REGION1,MRWINDPN1,2034,0.05
REGION1,MRNGCCPN1,2034,1.0
REGION1,MRLFRCPN1,2034,1.0
REGION1,MRHFGCPN1,2034,1.0
REGION1,MRNGCCSPN1,2034,1.0
REGION1,MRBATTN1,2034,1.0
REGION1,MRBACKSTOP,2035,1.0
REGION1,MRSOU1PH1,2035,0.0
REGION1,MRWINDPH1,2035,0.05
REGION1,MRNGCCPH1,2035,1.0
REGION1,MRLFRCPH1,2035,1.0
REGION1,MRHFGCPH1,2035,1.0
REGION1,MRSOU1PN1,2035,0.0
REGION1,MRWINDPN1,2035,0.05
REGION1,MRNGCCPN1,2035,1.0
REGION1,MRLFRCPN1,2035,1.0
REGION1,MRHFGCPN1,2035,1.0
REGION1,MRNGCCSPN1,2035,1.0
REGION1,MRBATTN1,2035,1.0
REGION1,MRBACKSTOP,2036,1.0
REGION1,MRSOU1PH1,2036,0.0
REGION1,MRWINDPH1,2036,0.05
REGION1,MRNGCCPH1,2036,1.0
REGION1,MRLFRCPH1,2036,1.0
REGION1,MRHFGCPH1,2036,1.0
REGION1,MRSOU1PN1,2036,0.0
REGION1,MRWINDPN1,2036,0.05
REGION1,MRNGCCPN1,2036,1.0
REGION1,MRLFRCPN1,2036,1.0
REGION1,MRHFGCPN1,2036,1.0
REGION1,MRNGCCSPN1,2036,1.0
REGION1,MRBATTN1,2036,1.0
REGION1,MRBACKSTOP,2037,1.0
REGION1,MRSOU1PH1,2037,0.0
REGION1,MRWINDPH1,2037,0.05
REGION1,MRNGCCPH1,2037,1.0
REGION1,MRLFRCPH1,2037,1.0
REGION1,MRHFGCPH1,2037,1.0
REGION1,MRSOU1PN1,2037,0.0
REGION1,MRWINDPN1,2037,0.05
REGION1,MRNGCCPN1,2037,1.0
REGION1,MRLFRCPN1,2037,1.0
REGION1,MRHFGCPN1,2037,1.0
REGION1,MRNGCCSPN1,2037,1.0
REGION1,MRBATTN1,2037,1.0
