REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MTBACKSTOP,2021,1.0
REGION1,MTSOUTPH1,2021,0.0
REGION1,MTWIONPH1,2021,1.0
REGION1,MTNGHPFH1,2021,1.0
REGION1,MTBFCHPH1,2021,1.0
REGION1,MTDSGCCH1,2021,1.0
REGION1,MTDSGCPH1,2021,1.0
REGION1,MTDSSTPH1,2021,1.0
REGION1,MTSOUTPN1,2021,0.0
REGION1,MTWIONPN1,2021,1.0
REGION1,MTNGHPFN1,2021,1.0
REGION1,MTBFCHPN1,2021,1.0
REGION1,MTDSGCCN1,2021,1.0
REGION1,MTDSGCPN1,2021,1.0
REGION1,MTDSSTPN1,2021,1.0
REGION1,MTNGCCSN1,2021,1.0
REGION1,MTBATTH1,2021,1.0
REGION1,ITELMTPH1,2021,1.0
REGION1,MTBACKSTOP,2022,1.0
REGION1,MTSOUTPH1,2022,0.0
REGION1,MTWIONPH1,2022,1.0
REGION1,MTNGHPFH1,2022,1.0
REGION1,MTBFCHPH1,2022,1.0
REGION1,MTDSGCCH1,2022,1.0
REGION1,MTDSGCPH1,2022,1.0
REGION1,MTDSSTPH1,2022,1.0
REGION1,MTSOUTPN1,2022,0.0
REGION1,MTWIONPN1,2022,1.0
REGION1,MTNGHPFN1,2022,1.0
REGION1,MTBFCHPN1,2022,1.0
REGION1,MTDSGCCN1,2022,1.0
REGION1,MTDSGCPN1,2022,1.0
REGION1,MTDSSTPN1,2022,1.0
REGION1,MTNGCCSN1,2022,1.0
REGION1,MTBATTH1,2022,1.0
REGION1,ITELMTPH1,2022,1.0
REGION1,MTBACKSTOP,2023,1.0
REGION1,MTSOUTPH1,2023,0.0
REGION1,MTWIONPH1,2023,1.0
REGION1,MTNGHPFH1,2023,1.0
REGION1,MTBFCHPH1,2023,1.0
REGION1,MTDSGCCH1,2023,1.0
REGION1,MTDSGCPH1,2023,1.0
REGION1,MTDSSTPH1,2023,1.0
REGION1,MTSOUTPN1,2023,0.0
REGION1,MTWIONPN1,2023,1.0
REGION1,MTNGHPFN1,2023,1.0
REGION1,MTBFCHPN1,2023,1.0
REGION1,MTDSGCCN1,2023,1.0
REGION1,MTDSGCPN1,2023,1.0
REGION1,MTDSSTPN1,2023,1.0
REGION1,MTNGCCSN1,2023,1.0
REGION1,MTBATTH1,2023,1.0
REGION1,ITELMTPH1,2023,1.0
REGION1,MTBACKSTOP,2024,1.0
REGION1,MTSOUTPH1,2024,0.0
REGION1,MTWIONPH1,2024,1.0
REGION1,MTNGHPFH1,2024,1.0
REGION1,MTBFCHPH1,2024,1.0
REGION1,MTDSGCCH1,2024,1.0
REGION1,MTDSGCPH1,2024,1.0
REGION1,MTDSSTPH1,2024,1.0
REGION1,MTSOUTPN1,2024,0.0
REGION1,MTWIONPN1,2024,1.0
REGION1,MTNGHPFN1,2024,1.0
REGION1,MTBFCHPN1,2024,1.0
REGION1,MTDSGCCN1,2024,1.0
REGION1,MTDSGCPN1,2024,1.0
REGION1,MTDSSTPN1,2024,1.0
REGION1,MTNGCCSN1,2024,1.0
REGION1,MTBATTH1,2024,1.0
REGION1,ITELMTPH1,2024,1.0
REGION1,MTBACKSTOP,2025,1.0
REGION1,MTSOUTPH1,2025,0.0
REGION1,MTWIONPH1,2025,1.0
REGION1,MTNGHPFH1,2025,1.0
REGION1,MTBFCHPH1,2025,1.0
REGION1,MTDSGCCH1,2025,1.0
REGION1,MTDSGCPH1,2025,1.0
REGION1,MTDSSTPH1,2025,1.0
REGION1,MTSOUTPN1,2025,0.0
REGION1,MTWIONPN1,2025,1.0
REGION1,MTNGHPFN1,2025,1.0
REGION1,MTBFCHPN1,2025,1.0
REGION1,MTDSGCCN1,2025,1.0
REGION1,MTDSGCPN1,2025,1.0
REGION1,MTDSSTPN1,2025,1.0
REGION1,MTNGCCSN1,2025,1.0
REGION1,MTBATTH1,2025,1.0
REGION1,ITELMTPH1,2025,1.0
REGION1,MTBACKSTOP,2026,1.0
REGION1,MTSOUTPH1,2026,0.0
REGION1,MTWIONPH1,2026,1.0
REGION1,MTNGHPFH1,2026,1.0
REGION1,MTBFCHPH1,2026,1.0
REGION1,MTDSGCCH1,2026,1.0
REGION1,MTDSGCPH1,2026,1.0
REGION1,MTDSSTPH1,2026,1.0
REGION1,MTSOUTPN1,2026,0.0
REGION1,MTWIONPN1,2026,1.0
REGION1,MTNGHPFN1,2026,1.0
REGION1,MTBFCHPN1,2026,1.0
REGION1,MTDSGCCN1,2026,1.0
REGION1,MTDSGCPN1,2026,1.0
REGION1,MTDSSTPN1,2026,1.0
REGION1,MTNGCCSN1,2026,1.0
REGION1,MTBATTH1,2026,1.0
REGION1,ITELMTPH1,2026,1.0
REGION1,MTBACKSTOP,2027,1.0
REGION1,MTSOUTPH1,2027,0.0
REGION1,MTWIONPH1,2027,1.0
REGION1,MTNGHPFH1,2027,1.0
REGION1,MTBFCHPH1,2027,1.0
REGION1,MTDSGCCH1,2027,1.0
REGION1,MTDSGCPH1,2027,1.0
REGION1,MTDSSTPH1,2027,1.0
REGION1,MTSOUTPN1,2027,0.0
REGION1,MTWIONPN1,2027,1.0
REGION1,MTNGHPFN1,2027,1.0
REGION1,MTBFCHPN1,2027,1.0
REGION1,MTDSGCCN1,2027,1.0
REGION1,MTDSGCPN1,2027,1.0
REGION1,MTDSSTPN1,2027,1.0
REGION1,MTNGCCSN1,2027,1.0
REGION1,MTBATTH1,2027,1.0
REGION1,ITELMTPH1,2027,1.0
REGION1,MTBACKSTOP,2028,1.0
REGION1,MTSOUTPH1,2028,0.0
REGION1,MTWIONPH1,2028,1.0
REGION1,MTNGHPFH1,2028,1.0
REGION1,MTBFCHPH1,2028,1.0
REGION1,MTDSGCCH1,2028,1.0
