REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MWBACKSTOP,2021,1.0
REGION1,MWSOU1PH1,2021,0.0
REGION1,MWLFRCPH1,2021,1.0
REGION1,MWBMCHPH1,2021,1.0
REGION1,MWHYDMSH1,2021,1.0
REGION1,MWSOU1PN1,2021,0.0
REGION1,MWLFRCPN1,2021,1.0
REGION1,MWBMCHPN1,2021,1.0
REGION1,MWHYDMSN1,2021,1.0
REGION1,MWNGCCPN1,2021,1.0
REGION1,MWWINDPN1,2021,0.05
REGION1,MWNGCCSPN1,2021,1.0
REGION1,MWBMCCSPN1,2021,1.0
REGION1,MWBATTN1,2021,1.0
REGION1,MWBACKSTOP,2022,1.0
REGION1,MWSOU1PH1,2022,0.0
REGION1,MWLFRCPH1,2022,1.0
REGION1,MWBMCHPH1,2022,1.0
REGION1,MWHYDMSH1,2022,1.0
REGION1,MWSOU1PN1,2022,0.0
REGION1,MWLFRCPN1,2022,1.0
REGION1,MWBMCHPN1,2022,1.0
REGION1,MWHYDMSN1,2022,1.0
REGION1,MWNGCCPN1,2022,1.0
REGION1,MWWINDPN1,2022,0.05
REGION1,MWNGCCSPN1,2022,1.0
REGION1,MWBMCCSPN1,2022,1.0
REGION1,MWBATTN1,2022,1.0
REGION1,MWBACKSTOP,2023,1.0
REGION1,MWSOU1PH1,2023,0.0
REGION1,MWLFRCPH1,2023,1.0
REGION1,MWBMCHPH1,2023,1.0
REGION1,MWHYDMSH1,2023,1.0
REGION1,MWSOU1PN1,2023,0.0
REGION1,MWLFRCPN1,2023,1.0
REGION1,MWBMCHPN1,2023,1.0
REGION1,MWHYDMSN1,2023,1.0
REGION1,MWNGCCPN1,2023,1.0
REGION1,MWWINDPN1,2023,0.05
REGION1,MWNGCCSPN1,2023,1.0
REGION1,MWBMCCSPN1,2023,1.0
REGION1,MWBATTN1,2023,1.0
REGION1,MWBACKSTOP,2024,1.0
REGION1,MWSOU1PH1,2024,0.0
REGION1,MWLFRCPH1,2024,1.0
REGION1,MWBMCHPH1,2024,1.0
REGION1,MWHYDMSH1,2024,1.0
REGION1,MWSOU1PN1,2024,0.0
REGION1,MWLFRCPN1,2024,1.0
REGION1,MWBMCHPN1,2024,1.0
REGION1,MWHYDMSN1,2024,1.0
REGION1,MWNGCCPN1,2024,1.0
REGION1,MWWINDPN1,2024,0.05
REGION1,MWNGCCSPN1,2024,1.0
REGION1,MWBMCCSPN1,2024,1.0
REGION1,MWBATTN1,2024,1.0
REGION1,MWBACKSTOP,2025,1.0
REGION1,MWSOU1PH1,2025,0.0
REGION1,MWLFRCPH1,2025,1.0
REGION1,MWBMCHPH1,2025,1.0
REGION1,MWHYDMSH1,2025,1.0
REGION1,MWSOU1PN1,2025,0.0
REGION1,MWLFRCPN1,2025,1.0
REGION1,MWBMCHPN1,2025,1.0
REGION1,MWHYDMSN1,2025,1.0
REGION1,MWNGCCPN1,2025,1.0
REGION1,MWWINDPN1,2025,0.05
REGION1,MWNGCCSPN1,2025,1.0
REGION1,MWBMCCSPN1,2025,1.0
REGION1,MWBATTN1,2025,1.0
REGION1,MWBACKSTOP,2026,1.0
REGION1,MWSOU1PH1,2026,0.0
REGION1,MWLFRCPH1,2026,1.0
REGION1,MWBMCHPH1,2026,1.0
REGION1,MWHYDMSH1,2026,1.0
REGION1,MWSOU1PN1,2026,0.0
REGION1,MWLFRCPN1,2026,1.0
REGION1,MWBMCHPN1,2026,1.0
REGION1,MWHYDMSN1,2026,1.0
REGION1,MWNGCCPN1,2026,1.0
REGION1,MWWINDPN1,2026,0.05
REGION1,MWNGCCSPN1,2026,1.0
REGION1,MWBMCCSPN1,2026,1.0
REGION1,MWBATTN1,2026,1.0
REGION1,MWBACKSTOP,2027,1.0
REGION1,MWSOU1PH1,2027,0.0
REGION1,MWLFRCPH1,2027,1.0
REGION1,MWBMCHPH1,2027,1.0
REGION1,MWHYDMSH1,2027,1.0
REGION1,MWSOU1PN1,2027,0.0
REGION1,MWLFRCPN1,2027,1.0
REGION1,MWBMCHPN1,2027,1.0
REGION1,MWHYDMSN1,2027,1.0
REGION1,MWNGCCPN1,2027,1.0
REGION1,MWWINDPN1,2027,0.05
REGION1,MWNGCCSPN1,2027,1.0
REGION1,MWBMCCSPN1,2027,1.0
REGION1,MWBATTN1,2027,1.0
REGION1,MWBACKSTOP,2028,1.0
REGION1,MWSOU1PH1,2028,0.0
REGION1,MWLFRCPH1,2028,1.0
REGION1,MWBMCHPH1,2028,1.0
REGION1,MWHYDMSH1,2028,1.0
REGION1,MWSOU1PN1,2028,0.0
REGION1,MWLFRCPN1,2028,1.0
REGION1,MWBMCHPN1,2028,1.0
REGION1,MWHYDMSN1,2028,1.0
REGION1,MWNGCCPN1,2028,1.0
REGION1,MWWINDPN1,2028,0.05
REGION1,MWNGCCSPN1,2028,1.0
REGION1,MWBMCCSPN1,2028,1.0
REGION1,MWBATTN1,2028,1.0
REGION1,MWBACKSTOP,2029,1.0
REGION1,MWSOU1PH1,2029,0.0
REGION1,MWLFRCPH1,2029,1.0
REGION1,MWBMCHPH1,2029,1.0
REGION1,MWHYDMSH1,2029,1.0
REGION1,MWSOU1PN1,2029,0.0
REGION1,MWLFRCPN1,2029,1.0
REGION1,MWBMCHPN1,2029,1.0
REGION1,MWHYDMSN1,2029,1.0
REGION1,MWNGCCPN1,2029,1.0
REGION1,MWWINDPN1,2029,0.05
REGION1,MWNGCCSPN1,2029,1.0
REGION1,MWBMCCSPN1,2029,1.0
REGION1,MWBATTN1,2029,1.0
REGION1,MWBACKSTOP,2030,1.0
REGION1,MWSOU1PH1,2030,0.0
REGION1,MWLFRCPH1,2030,1.0
REGION1,MWBMCHPH1,2030,1.0
REGION1,MWHYDMSH1,2030,1.0
REGION1,MWSOU1PN1,2030,0.0
