REGION,TECHNOLOGY,YEAR,VALUE
REGION1,MZBACKSTOP,2021,1.0
REGION1,MZLFRCPH1,2021,1.0
REGION1,MZHFGCPH1,2021,1.0
REGION1,MZSOU1PH1,2021,0.0
REGION1,MZNGGCPH1,2021,1.0
REGION1,MZBMCHPH1,2021,1.0
REGION1,MZHYDMSH1,2021,1.0
REGION1,MZLFRCPN1,2021,1.0
REGION1,MZHFGCPN1,2021,1.0
REGION1,MZSOU1PN1,2021,0.0
REGION1,MZNGGCPN1,2021,1.0
REGION1,MZBMCHPN1,2021,1.0
REGION1,MZHYDMSN1,2021,1.0
REGION1,MZWINDPN1,2021,0.05
REGION1,MZNGCCSPN1,2021,1.0
REGION1,MZBMCCSPN1,2021,1.0
REGION1,MZBATTN1,2021,1.0
REGION1,MZELSZPH1,2021,1.0
REGION1,MZELZAPH1,2021,1.0
REGION1,MZELZWPH1,2021,1.0
REGION1,MZBACKSTOP,2022,1.0
REGION1,MZLFRCPH1,2022,1.0
REGION1,MZHFGCPH1,2022,1.0
REGION1,MZSOU1PH1,2022,0.0
REGION1,MZNGGCPH1,2022,1.0
REGION1,MZBMCHPH1,2022,1.0
REGION1,MZHYDMSH1,2022,1.0
REGION1,MZLFRCPN1,2022,1.0
REGION1,MZHFGCPN1,2022,1.0
REGION1,MZSOU1PN1,2022,0.0
REGION1,MZNGGCPN1,2022,1.0
REGION1,MZBMCHPN1,2022,1.0
REGION1,MZHYDMSN1,2022,1.0
REGION1,MZWINDPN1,2022,0.05
REGION1,MZNGCCSPN1,2022,1.0
REGION1,MZBMCCSPN1,2022,1.0
REGION1,MZBATTN1,2022,1.0
REGION1,MZELSZPH1,2022,1.0
REGION1,MZELZAPH1,2022,1.0
REGION1,MZELZWPH1,2022,1.0
REGION1,MZBACKSTOP,2023,1.0
REGION1,MZLFRCPH1,2023,1.0
REGION1,MZHFGCPH1,2023,1.0
REGION1,MZSOU1PH1,2023,0.0
REGION1,MZNGGCPH1,2023,1.0
REGION1,MZBMCHPH1,2023,1.0
REGION1,MZHYDMSH1,2023,1.0
REGION1,MZLFRCPN1,2023,1.0
REGION1,MZHFGCPN1,2023,1.0
REGION1,MZSOU1PN1,2023,0.0
REGION1,MZNGGCPN1,2023,1.0
REGION1,MZBMCHPN1,2023,1.0
REGION1,MZHYDMSN1,2023,1.0
REGION1,MZWINDPN1,2023,0.05
REGION1,MZNGCCSPN1,2023,1.0
REGION1,MZBMCCSPN1,2023,1.0
REGION1,MZBATTN1,2023,1.0
REGION1,MZELSZPH1,2023,1.0
REGION1,MZELZAPH1,2023,1.0
REGION1,MZELZWPH1,2023,1.0
REGION1,MZBACKSTOP,2024,1.0
REGION1,MZLFRCPH1,2024,1.0
REGION1,MZHFGCPH1,2024,1.0
REGION1,MZSOU1PH1,2024,0.0
REGION1,MZNGGCPH1,2024,1.0
