REGION,TECHNOLOGY,YEAR,VALUE
REGION1,NABACKSTOP,2021,1.0
REGION1,NASOU1PH1,2021,0.0
REGION1,NACOSCPH1,2021,1.0
REGION1,NALFRCPH1,2021,1.0
REGION1,NAHFGCPH1,2021,1.0
REGION1,NABMCHPH1,2021,1.0
REGION1,NAHYDMSH1,2021,1.0
REGION1,NAWINDPH1,2021,0.05
REGION1,NASOU1PN1,2021,0.0
REGION1,NACOSCPN1,2021,1.0
REGION1,NALFRCPN1,2021,1.0
REGION1,NAHFGCPN1,2021,1.0
REGION1,NABMCHPN1,2021,1.0
REGION1,NAHYDMSN1,2021,1.0
REGION1,NAWINDPN1,2021,0.05
REGION1,NANGCCPN1,2021,1.0
REGION1,NANGCCSPN1,2021,1.0
REGION1,NABMCCSPN1,2021,1.0
REGION1,NACOCCSPN1,2021,1.0
REGION1,NABATTN1,2021,1.0
REGION1,NAELZAPH1,2021,1.0
REGION1,NABACKSTOP,2022,1.0
REGION1,NASOU1PH1,2022,0.0
REGION1,NACOSCPH1,2022,1.0
REGION1,NALFRCPH1,2022,1.0
REGION1,NAHFGCPH1,2022,1.0
REGION1,NABMCHPH1,2022,1.0
REGION1,NAHYDMSH1,2022,1.0
REGION1,NAWINDPH1,2022,0.05
REGION1,NASOU1PN1,2022,0.0
REGION1,NACOSCPN1,2022,1.0
REGION1,NALFRCPN1,2022,1.0
REGION1,NAHFGCPN1,2022,1.0
REGION1,NABMCHPN1,2022,1.0
REGION1,NAHYDMSN1,2022,1.0
REGION1,NAWINDPN1,2022,0.05
REGION1,NANGCCPN1,2022,1.0
REGION1,NANGCCSPN1,2022,1.0
REGION1,NABMCCSPN1,2022,1.0
REGION1,NACOCCSPN1,2022,1.0
REGION1,NABATTN1,2022,1.0
REGION1,NAELZAPH1,2022,1.0
REGION1,NABACKSTOP,2023,1.0
REGION1,NASOU1PH1,2023,0.0
REGION1,NACOSCPH1,2023,1.0
REGION1,NALFRCPH1,2023,1.0
REGION1,NAHFGCPH1,2023,1.0
REGION1,NABMCHPH1,2023,1.0
REGION1,NAHYDMSH1,2023,1.0
REGION1,NAWINDPH1,2023,0.05
REGION1,NASOU1PN1,2023,0.0
REGION1,NACOSCPN1,2023,1.0
REGION1,NALFRCPN1,2023,1.0
REGION1,NAHFGCPN1,2023,1.0
REGION1,NABMCHPN1,2023,1.0
REGION1,NAHYDMSN1,2023,1.0
REGION1,NAWINDPN1,2023,0.05
REGION1,NANGCCPN1,2023,1.0
REGION1,NANGCCSPN1,2023,1.0
REGION1,NABMCCSPN1,2023,1.0
REGION1,NACOCCSPN1,2023,1.0
REGION1,NABATTN1,2023,1.0
REGION1,NAELZAPH1,2023,1.0
REGION1,NABACKSTOP,2024,1.0
REGION1,NASOU1PH1,2024,0.0
REGION1,NACOSCPH1,2024,1.0
REGION1,NALFRCPH1,2024,1.0
REGION1,NAHFGCPH1,2024,1.0
REGION1,NABMCHPH1,2024,1.0
REGION1,NAHYDMSH1,2024,1.0
REGION1,NAWINDPH1,2024,0.05
REGION1,NASOU1PN1,2024,0.0
REGION1,NACOSCPN1,2024,1.0
REGION1,NALFRCPN1,2024,1.0
REGION1,NAHFGCPN1,2024,1.0
REGION1,NABMCHPN1,2024,1.0
REGION1,NAHYDMSN1,2024,1.0
REGION1,NAWINDPN1,2024,0.05
REGION1,NANGCCPN1,2024,1.0
REGION1,NANGCCSPN1,2024,1.0
REGION1,NABMCCSPN1,2024,1.0
REGION1,NACOCCSPN1,2024,1.0
REGION1,NABATTN1,2024,1.0
REGION1,NAELZAPH1,2024,1.0
REGION1,NABACKSTOP,2025,1.0
REGION1,NASOU1PH1,2025,0.0
REGION1,NACOSCPH1,2025,1.0
REGION1,NALFRCPH1,2025,1.0
REGION1,NAHFGCPH1,2025,1.0
REGION1,NABMCHPH1,2025,1.0
REGION1,NAHYDMSH1,2025,1.0
REGION1,NAWINDPH1,2025,0.05
REGION1,NASOU1PN1,2025,0.0
REGION1,NACOSCPN1,2025,1.0
REGION1,NALFRCPN1,2025,1.0
REGION1,NAHFGCPN1,2025,1.0
REGION1,NABMCHPN1,2025,1.0
REGION1,NAHYDMSN1,2025,1.0
REGION1,NAWINDPN1,2025,0.05
REGION1,NANGCCPN1,2025,1.0
REGION1,NANGCCSPN1,2025,1.0
REGION1,NABMCCSPN1,2025,1.0
REGION1,NACOCCSPN1,2025,1.0
REGION1,NABATTN1,2025,1.0
REGION1,NAELZAPH1,2025,1.0
REGION1,NABACKSTOP,2026,1.0
REGION1,NASOU1PH1,2026,0.0
REGION1,NACOSCPH1,2026,1.0
REGION1,NALFRCPH1,2026,1.0
REGION1,NAHFGCPH1,2026,1.0
REGION1,NABMCHPH1,2026,1.0
REGION1,NAHYDMSH1,2026,1.0
REGION1,NAWINDPH1,2026,0.05
REGION1,NASOU1PN1,2026,0.0
REGION1,NACOSCPN1,2026,1.0
REGION1,NALFRCPN1,2026,1.0
REGION1,NAHFGCPN1,2026,1.0
REGION1,NABMCHPN1,2026,1.0
REGION1,NAHYDMSN1,2026,1.0
REGION1,NAWINDPN1,2026,0.05
REGION1,NANGCCPN1,2026,1.0
REGION1,NANGCCSPN1,2026,1.0
REGION1,NABMCCSPN1,2026,1.0
REGION1,NACOCCSPN1,2026,1.0
REGION1,NABATTN1,2026,1.0
REGION1,NAELZAPH1,2026,1.0
REGION1,NABACKSTOP,2027,1.0
REGION1,NASOU1PH1,2027,0.0
REGION1,NACOSCPH1,2027,1.0
REGION1,NALFRCPH1,2027,1.0
REGION1,NAHFGCPH1,2027,1.0
REGION1,NABMCHPH1,2027,1.0
REGION1,NAHYDMSH1,2027,1.0
REGION1,NAWINDPH1,2027,0.05
REGION1,NASOU1PN1,2027,0.0
REGION1,NACOSCPN1,2027,1.0
REGION1,NALFRCPN1,2027,1.0
REGION1,NAHFGCPN1,2027,1.0
REGION1,NABMCHPN1,2027,1.0
REGION1,NAHYDMSN1,2027,1.0
REGION1,NAWINDPN1,2027,0.05
REGION1,NANGCCPN1,2027,1.0
REGION1,NANGCCSPN1,2027,1.0
REGION1,NABMCCSPN1,2027,1.0
REGION1,NACOCCSPN1,2027,1.0
REGION1,NABATTN1,2027,1.0
REGION1,NAELZAPH1,2027,1.0
REGION1,NABACKSTOP,2028,1.0
REGION1,NASOU1PH1,2028,0.0
REGION1,NACOSCPH1,2028,1.0
REGION1,NALFRCPH1,2028,1.0
REGION1,NAHFGCPH1,2028,1.0
REGION1,NABMCHPH1,2028,1.0
REGION1,NAHYDMSH1,2028,1.0
REGION1,NAWINDPH1,2028,0.05
REGION1,NASOU1PN1,2028,0.0
REGION1,NACOSCPN1,2028,1.0
REGION1,NALFRCPN1,2028,1.0
REGION1,NAHFGCPN1,2028,1.0
REGION1,NABMCHPN1,2028,1.0
REGION1,NAHYDMSN1,2028,1.0
REGION1,NAWINDPN1,2028,0.05
REGION1,NANGCCPN1,2028,1.0
REGION1,NANGCCSPN1,2028,1.0
REGION1,NABMCCSPN1,2028,1.0
REGION1,NACOCCSPN1,2028,1.0
REGION1,NABATTN1,2028,1.0
REGION1,NAELZAPH1,2028,1.0
REGION1,NABACKSTOP,2029,1.0
REGION1,NASOU1PH1,2029,0.0
REGION1,NACOSCPH1,2029,1.0
REGION1,NALFRCPH1,2029,1.0
REGION1,NAHFGCPH1,2029,1.0
REGION1,NABMCHPH1,2029,1.0
REGION1,NAHYDMSH1,2029,1.0
REGION1,NAWINDPH1,2029,0.05
REGION1,NASOU1PN1,2029,0.0
REGION1,NACOSCPN1,2029,1.0
REGION1,NALFRCPN1,2029,1.0
REGION1,NAHFGCPN1,2029,1.0
REGION1,NABMCHPN1,2029,1.0
REGION1,NAHYDMSN1,2029,1.0
REGION1,NAWINDPN1,2029,0.05
REGION1,NANGCCPN1,2029,1.0
REGION1,NANGCCSPN1,2029,1.0
REGION1,NABMCCSPN1,2029,1.0
REGION1,NACOCCSPN1,2029,1.0
REGION1,NABATTN1,2029,1.0
REGION1,NAELZAPH1,2029,1.0
REGION1,NABACKSTOP,2030,1.0
REGION1,NASOU1PH1,2030,0.0
REGION1,NACOSCPH1,2030,1.0
REGION1,NALFRCPH1,2030,1.0
REGION1,NAHFGCPH1,2030,1.0
REGION1,NABMCHPH1,2030,1.0
REGION1,NAHYDMSH1,2030,1.0
REGION1,NAWINDPH1,2030,0.05
REGION1,NASOU1PN1,2030,0.0
REGION1,NACOSCPN1,2030,1.0
REGION1,NALFRCPN1,2030,1.0
REGION1,NAHFGCPN1,2030,1.0
REGION1,NABMCHPN1,2030,1.0
REGION1,NAHYDMSN1,2030,1.0
REGION1,NAWINDPN1,2030,0.05
REGION1,NANGCCPN1,2030,1.0
REGION1,NANGCCSPN1,2030,1.0
REGION1,NABMCCSPN1,2030,1.0
REGION1,NACOCCSPN1,2030,1.0
REGION1,NABATTN1,2030,1.0
REGION1,NAELZAPH1,2030,1.0
REGION1,NABACKSTOP,2031,1.0
REGION1,NASOU1PH1,2031,0.0
REGION1,NACOSCPH1,2031,1.0
REGION1,NALFRCPH1,2031,1.0
REGION1,NAHFGCPH1,2031,1.0
REGION1,NABMCHPH1,2031,1.0
REGION1,NAHYDMSH1,2031,1.0
REGION1,NAWINDPH1,2031,0.05
REGION1,NASOU1PN1,2031,0.0
REGION1,NACOSCPN1,2031,1.0
REGION1,NALFRCPN1,2031,1.0
REGION1,NAHFGCPN1,2031,1.0
REGION1,NABMCHPN1,2031,1.0
REGION1,NAHYDMSN1,2031,1.0
REGION1,NAWINDPN1,2031,0.05
REGION1,NANGCCPN1,2031,1.0
REGION1,NANGCCSPN1,2031,1.0
REGION1,NABMCCSPN1,2031,1.0
REGION1,NACOCCSPN1,2031,1.0
REGION1,NABATTN1,2031,1.0
REGION1,NAELZAPH1,2031,1.0
REGION1,NABACKSTOP,2032,1.0
REGION1,NASOU1PH1,2032,0.0
REGION1,NACOSCPH1,2032,1.0
REGION1,NALFRCPH1,2032,1.0
REGION1,NAHFGCPH1,2032,1.0
REGION1,NABMCHPH1,2032,1.0
REGION1,NAHYDMSH1,2032,1.0
REGION1,NAWINDPH1,2032,0.05
REGION1,NASOU1PN1,2032,0.0
REGION1,NACOSCPN1,2032,1.0
REGION1,NALFRCPN1,2032,1.0
REGION1,NAHFGCPN1,2032,1.0
REGION1,NABMCHPN1,2032,1.0
REGION1,NAHYDMSN1,2032,1.0
REGION1,NAWINDPN1,2032,0.05
REGION1,NANGCCPN1,2032,1.0
REGION1,NANGCCSPN1,2032,1.0
REGION1,NABMCCSPN1,2032,1.0
REGION1,NACOCCSPN1,2032,1.0
REGION1,NABATTN1,2032,1.0
REGION1,NAELZAPH1,2032,1.0
REGION1,NABACKSTOP,2033,1.0
REGION1,NASOU1PH1,2033,0.0
REGION1,NACOSCPH1,2033,1.0
REGION1,NALFRCPH1,2033,1.0
REGION1,NAHFGCPH1,2033,1.0
REGION1,NABMCHPH1,2033,1.0
REGION1,NAHYDMSH1,2033,1.0
REGION1,NAWINDPH1,2033,0.05
REGION1,NASOU1PN1,2033,0.0
REGION1,NACOSCPN1,2033,1.0
REGION1,NALFRCPN1,2033,1.0
REGION1,NAHFGCPN1,2033,1.0
REGION1,NABMCHPN1,2033,1.0
REGION1,NAHYDMSN1,2033,1.0
REGION1,NAWINDPN1,2033,0.05
REGION1,NANGCCPN1,2033,1.0
REGION1,NANGCCSPN1,2033,1.0
REGION1,NABMCCSPN1,2033,1.0
REGION1,NACOCCSPN1,2033,1.0
REGION1,NABATTN1,2033,1.0
REGION1,NAELZAPH1,2033,1.0
REGION1,NABACKSTOP,2034,1.0
REGION1,NASOU1PH1,2034,0.0
REGION1,NACOSCPH1,2034,1.0
REGION1,NALFRCPH1,2034,1.0
REGION1,NAHFGCPH1,2034,1.0
REGION1,NABMCHPH1,2034,1.0
REGION1,NAHYDMSH1,2034,1.0
REGION1,NAWINDPH1,2034,0.05
REGION1,NASOU1PN1,2034,0.0
REGION1,NACOSCPN1,2034,1.0
REGION1,NALFRCPN1,2034,1.0
REGION1,NAHFGCPN1,2034,1.0
REGION1,NABMCHPN1,2034,1.0
REGION1,NAHYDMSN1,2034,1.0
REGION1,NAWINDPN1,2034,0.05
REGION1,NANGCCPN1,2034,1.0
REGION1,NANGCCSPN1,2034,1.0
REGION1,NABMCCSPN1,2034,1.0
REGION1,NACOCCSPN1,2034,1.0
REGION1,NABATTN1,2034,1.0
REGION1,NAELZAPH1,2034,1.0
REGION1,NABACKSTOP,2035,1.0
REGION1,NASOU1PH1,2035,0.0
REGION1,NACOSCPH1,2035,1.0
REGION1,NALFRCPH1,2035,1.0
REGION1,NAHFGCPH1,2035,1.0
REGION1,NABMCHPH1,2035,1.0
REGION1,NAHYDMSH1,2035,1.0
REGION1,NAWINDPH1,2035,0.05
REGION1,NASOU1PN1,2035,0.0
REGION1,NACOSCPN1,2035,1.0
REGION1,NALFRCPN1,2035,1.0
REGION1,NAHFGCPN1,2035,1.0
REGION1,NABMCHPN1,2035,1.0
REGION1,NAHYDMSN1,2035,1.0
REGION1,NAWINDPN1,2035,0.05
REGION1,NANGCCPN1,2035,1.0
REGION1,NANGCCSPN1,2035,1.0
REGION1,NABMCCSPN1,2035,1.0
REGION1,NACOCCSPN1,2035,1.0
REGION1,NABATTN1,2035,1.0
REGION1,NAELZAPH1,2035,1.0
REGION1,NABACKSTOP,2036,1.0
REGION1,NASOU1PH1,2036,0.0
REGION1,NACOSCPH1,2036,1.0
REGION1,NALFRCPH1,2036,1.0
REGION1,NAHFGCPH1,2036,1.0
REGION1,NABMCHPH1,2036,1.0
REGION1,NAHYDMSH1,2036,1.0
REGION1,NAWINDPH1,2036,0.05
REGION1,NASOU1PN1,2036,0.0
REGION1,NACOSCPN1,2036,1.0
REGION1,NALFRCPN1,2036,1.0
REGION1,NAHFGCPN1,2036,1.0
REGION1,NABMCHPN1,2036,1.0
REGION1,NAHYDMSN1,2036,1.0
REGION1,NAWINDPN1,2036,0.05
REGION1,NANGCCPN1,2036,1.0
REGION1,NANGCCSPN1,2036,1.0
REGION1,NABMCCSPN1,2036,1.0
REGION1,NACOCCSPN1,2036,1.0
REGION1,NABATTN1,2036,1.0
REGION1,NAELZAPH1,2036,1.0
REGION1,NABACKSTOP,2037,1.0
REGION1,NASOU1PH1,2037,0.0
REGION1,NACOSCPH1,2037,1.0
REGION1,NALFRCPH1,2037,1.0
REGION1,NAHFGCPH1,2037,1.0
REGION1,NABMCHPH1,2037,1.0
REGION1,NAHYDMSH1,2037,1.0
REGION1,NAWINDPH1,2037,0.05
REGION1,NASOU1PN1,2037,0.0
REGION1,NACOSCPN1,2037,1.0
REGION1,NALFRCPN1,2037,1.0
REGION1,NAHFGCPN1,2037,1.0
REGION1,NABMCHPN1,2037,1.0
REGION1,NAHYDMSN1,2037,1.0
REGION1,NAWINDPN1,2037,0.05
REGION1,NANGCCPN1,2037,1.0
REGION1,NANGCCSPN1,2037,1.0
REGION1,NABMCCSPN1,2037,1.0
REGION1,NACOCCSPN1,2037,1.0
REGION1,NABATTN1,2037,1.0
REGION1,NAELZAPH1,2037,1.0
REGION1,NABACKSTOP,2038,1.0
REGION1,NASOU1PH1,2038,0.0
REGION1,NACOSCPH1,2038,1.0
REGION1,NALFRCPH1,2038,1.0
REGION1,NAHFGCPH1,2038,1.0
REGION1,NABMCHPH1,2038,1.0
REGION1,NAHYDMSH1,2038,1.0
REGION1,NAWINDPH1,2038,0.05
REGION1,NASOU1PN1,2038,0.0
REGION1,NACOSCPN1,2038,1.0
REGION1,NALFRCPN1,2038,1.0
REGION1,NAHFGCPN1,2038,1.0
REGION1,NABMCHPN1,2038,1.0
REGION1,NAHYDMSN1,2038,1.0
REGION1,NAWINDPN1,2038,0.05
REGION1,NANGCCPN1,2038,1.0
REGION1,NANGCCSPN1,2038,1.0
REGION1,NABMCCSPN1,2038,1.0
REGION1,NACOCCSPN1,2038,1.0
REGION1,NABATTN1,2038,1.0
REGION1,NAELZAPH1,2038,1.0
REGION1,NABACKSTOP,2039,1.0
REGION1,NASOU1PH1,2039,0.0
REGION1,NACOSCPH1,2039,1.0
REGION1,NALFRCPH1,2039,1.0
REGION1,NAHFGCPH1,2039,1.0
REGION1,NABMCHPH1,2039,1.0
REGION1,NAHYDMSH1,2039,1.0
REGION1,NAWINDPH1,2039,0.05
REGION1,NASOU1PN1,2039,0.0
REGION1,NACOSCPN1,2039,1.0
REGION1,NALFRCPN1,2039,1.0
REGION1,NAHFGCPN1,2039,1.0
REGION1,NABMCHPN1,2039,1.0
REGION1,NAHYDMSN1,2039,1.0
REGION1,NAWINDPN1,2039,0.05
REGION1,NANGCCPN1,2039,1.0
REGION1,NANGCCSPN1,2039,1.0
REGION1,NABMCCSPN1,2039,1.0
REGION1,NACOCCSPN1,2039,1.0
REGION1,NABATTN1,2039,1.0
REGION1,NAELZAPH1,2039,1.0
REGION1,NABACKSTOP,2040,1.0
REGION1,NASOU1PH1,2040,0.0
REGION1,NACOSCPH1,2040,1.0
REGION1,NALFRCPH1,2040,1.0
REGION1,NAHFGCPH1,2040,1.0
REGION1,NABMCHPH1,2040,1.0
REGION1,NAHYDMSH1,2040,1.0
REGION1,NAWINDPH1,2040,0.05
REGION1,NASOU1PN1,2040,0.0
REGION1,NACOSCPN1,2040,1.0
REGION1,NALFRCPN1,2040,1.0
REGION1,NAHFGCPN1,2040,1.0
REGION1,NABMCHPN1,2040,1.0
REGION1,NAHYDMSN1,2040,1.0
REGION1,NAWINDPN1,2040,0.05
REGION1,NANGCCPN1,2040,1.0
REGION1,NANGCCSPN1,2040,1.0
REGION1,NABMCCSPN1,2040,1.0
REGION1,NACOCCSPN1,2040,1.0
REGION1,NABATTN1,2040,1.0
REGION1,NAELZAPH1,2040,1.0
REGION1,NABACKSTOP,2041,1.0
REGION1,NASOU1PH1,2041,0.0
REGION1,NACOSCPH1,2041,1.0
REGION1,NALFRCPH1,2041,1.0
REGION1,NAHFGCPH1,2041,1.0
REGION1,NABMCHPH1,2041,1.0
REGION1,NAHYDMSH1,2041,1.0
REGION1,NAWINDPH1,2041,0.05
REGION1,NASOU1PN1,2041,0.0
REGION1,NACOSCPN1,2041,1.0
REGION1,NALFRCPN1,2041,1.0
REGION1,NAHFGCPN1,2041,1.0
REGION1,NABMCHPN1,2041,1.0
REGION1,NAHYDMSN1,2041,1.0
REGION1,NAWINDPN1,2041,0.05
REGION1,NANGCCPN1,2041,1.0
REGION1,NANGCCSPN1,2041,1.0
REGION1,NABMCCSPN1,2041,1.0
REGION1,NACOCCSPN1,2041,1.0
REGION1,NABATTN1,2041,1.0
REGION1,NAELZAPH1,2041,1.0
REGION1,NABACKSTOP,2042,1.0
REGION1,NASOU1PH1,2042,0.0
REGION1,NACOSCPH1,2042,1.0
REGION1,NALFRCPH1,2042,1.0
REGION1,NAHFGCPH1,2042,1.0
REGION1,NABMCHPH1,2042,1.0
REGION1,NAHYDMSH1,2042,1.0
REGION1,NAWINDPH1,2042,0.05
REGION1,NASOU1PN1,2042,0.0
REGION1,NACOSCPN1,2042,1.0
REGION1,NALFRCPN1,2042,1.0
REGION1,NAHFGCPN1,2042,1.0
REGION1,NABMCHPN1,2042,1.0
REGION1,NAHYDMSN1,2042,1.0
REGION1,NAWINDPN1,2042,0.05
REGION1,NANGCCPN1,2042,1.0
REGION1,NANGCCSPN1,2042,1.0
REGION1,NABMCCSPN1,2042,1.0
REGION1,NACOCCSPN1,2042,1.0
REGION1,NABATTN1,2042,1.0
REGION1,NAELZAPH1,2042,1.0
REGION1,NABACKSTOP,2043,1.0
REGION1,NASOU1PH1,2043,0.0
REGION1,NACOSCPH1,2043,1.0
REGION1,NALFRCPH1,2043,1.0
REGION1,NAHFGCPH1,2043,1.0
REGION1,NABMCHPH1,2043,1.0
REGION1,NAHYDMSH1,2043,1.0
REGION1,NAWINDPH1,2043,0.05
REGION1,NASOU1PN1,2043,0.0
REGION1,NACOSCPN1,2043,1.0
REGION1,NALFRCPN1,2043,1.0
REGION1,NAHFGCPN1,2043,1.0
REGION1,NABMCHPN1,2043,1.0
REGION1,NAHYDMSN1,2043,1.0
REGION1,NAWINDPN1,2043,0.05
REGION1,NANGCCPN1,2043,1.0
REGION1,NANGCCSPN1,2043,1.0
REGION1,NABMCCSPN1,2043,1.0
REGION1,NACOCCSPN1,2043,1.0
REGION1,NABATTN1,2043,1.0
REGION1,NAELZAPH1,2043,1.0
REGION1,NABACKSTOP,2044,1.0
REGION1,NASOU1PH1,2044,0.0
REGION1,NACOSCPH1,2044,1.0
REGION1,NALFRCPH1,2044,1.0
REGION1,NAHFGCPH1,2044,1.0
REGION1,NABMCHPH1,2044,1.0
REGION1,NAHYDMSH1,2044,1.0
REGION1,NAWINDPH1,2044,0.05
REGION1,NASOU1PN1,2044,0.0
REGION1,NACOSCPN1,2044,1.0
REGION1,NALFRCPN1,2044,1.0
REGION1,NAHFGCPN1,2044,1.0
REGION1,NABMCHPN1,2044,1.0
REGION1,NAHYDMSN1,2044,1.0
REGION1,NAWINDPN1,2044,0.05
REGION1,NANGCCPN1,2044,1.0
REGION1,NANGCCSPN1,2044,1.0
REGION1,NABMCCSPN1,2044,1.0
REGION1,NACOCCSPN1,2044,1.0
REGION1,NABATTN1,2044,1.0
REGION1,NAELZAPH1,2044,1.0
REGION1,NABACKSTOP,2045,1.0
REGION1,NASOU1PH1,2045,0.0
REGION1,NACOSCPH1,2045,1.0
REGION1,NALFRCPH1,2045,1.0
REGION1,NAHFGCPH1,2045,1.0
REGION1,NABMCHPH1,2045,1.0
REGION1,NAHYDMSH1,2045,1.0
REGION1,NAWINDPH1,2045,0.05
REGION1,NASOU1PN1,2045,0.0
REGION1,NACOSCPN1,2045,1.0
REGION1,NALFRCPN1,2045,1.0
REGION1,NAHFGCPN1,2045,1.0
REGION1,NABMCHPN1,2045,1.0
REGION1,NAHYDMSN1,2045,1.0
REGION1,NAWINDPN1,2045,0.05
REGION1,NANGCCPN1,2045,1.0
