REGION,TECHNOLOGY,YEAR,VALUE
REGION1,NEBACKSTOP,2021,1.0
REGION1,NELFRCPH1,2021,1.0
REGION1,NEHFGCPH1,2021,1.0
REGION1,NESOU1PH1,2021,0.0
REGION1,NECOSCPH1,2021,1.0
REGION1,NENGCCPH1,2021,1.0
REGION1,NELFRCPN1,2021,1.0
REGION1,NEHFGCPN1,2021,1.0
REGION1,NESOU1PN1,2021,0.0
REGION1,NECOSCPN1,2021,1.0
REGION1,NENGCCPN1,2021,1.0
REGION1,NEWINDPN1,2021,0.05
REGION1,NENGCCSPN1,2021,1.0
REGION1,NECOCCSPN1,2021,1.0
REGION1,NEBATTN1,2021,1.0
REGION1,NGELNEPH1,2021,1.0
REGION1,NEBACKSTOP,2022,1.0
REGION1,NELFRCPH1,2022,1.0
REGION1,NEHFGCPH1,2022,1.0
REGION1,NESOU1PH1,2022,0.0
REGION1,NECOSCPH1,2022,1.0
REGION1,NENGCCPH1,2022,1.0
REGION1,NELFRCPN1,2022,1.0
REGION1,NEHFGCPN1,2022,1.0
REGION1,NESOU1PN1,2022,0.0
REGION1,NECOSCPN1,2022,1.0
REGION1,NENGCCPN1,2022,1.0
REGION1,NEWINDPN1,2022,0.05
REGION1,NENGCCSPN1,2022,1.0
REGION1,NECOCCSPN1,2022,1.0
REGION1,NEBATTN1,2022,1.0
REGION1,NGELNEPH1,2022,1.0
REGION1,NEBACKSTOP,2023,1.0
REGION1,NELFRCPH1,2023,1.0
REGION1,NEHFGCPH1,2023,1.0
REGION1,NESOU1PH1,2023,0.0
REGION1,NECOSCPH1,2023,1.0
REGION1,NENGCCPH1,2023,1.0
REGION1,NELFRCPN1,2023,1.0
REGION1,NEHFGCPN1,2023,1.0
REGION1,NESOU1PN1,2023,0.0
REGION1,NECOSCPN1,2023,1.0
REGION1,NENGCCPN1,2023,1.0
REGION1,NEWINDPN1,2023,0.05
REGION1,NENGCCSPN1,2023,1.0
REGION1,NECOCCSPN1,2023,1.0
REGION1,NEBATTN1,2023,1.0
REGION1,NGELNEPH1,2023,1.0
REGION1,NEBACKSTOP,2024,1.0
REGION1,NELFRCPH1,2024,1.0
REGION1,NEHFGCPH1,2024,1.0
REGION1,NESOU1PH1,2024,0.0
REGION1,NECOSCPH1,2024,1.0
REGION1,NENGCCPH1,2024,1.0
REGION1,NELFRCPN1,2024,1.0
REGION1,NEHFGCPN1,2024,1.0
REGION1,NESOU1PN1,2024,0.0
REGION1,NECOSCPN1,2024,1.0
REGION1,NENGCCPN1,2024,1.0
REGION1,NEWINDPN1,2024,0.05
REGION1,NENGCCSPN1,2024,1.0
REGION1,NECOCCSPN1,2024,1.0
REGION1,NEBATTN1,2024,1.0
REGION1,NGELNEPH1,2024,1.0
REGION1,NEBACKSTOP,2025,1.0
REGION1,NELFRCPH1,2025,1.0
REGION1,NEHFGCPH1,2025,1.0
REGION1,NESOU1PH1,2025,0.0
REGION1,NECOSCPH1,2025,1.0
REGION1,NENGCCPH1,2025,1.0
REGION1,NELFRCPN1,2025,1.0
REGION1,NEHFGCPN1,2025,1.0
REGION1,NESOU1PN1,2025,0.0
REGION1,NECOSCPN1,2025,1.0
REGION1,NENGCCPN1,2025,1.0
REGION1,NEWINDPN1,2025,0.05
REGION1,NENGCCSPN1,2025,1.0
REGION1,NECOCCSPN1,2025,1.0
REGION1,NEBATTN1,2025,1.0
REGION1,NGELNEPH1,2025,1.0
REGION1,NEBACKSTOP,2026,1.0
REGION1,NELFRCPH1,2026,1.0
REGION1,NEHFGCPH1,2026,1.0
REGION1,NESOU1PH1,2026,0.0
REGION1,NECOSCPH1,2026,1.0
REGION1,NENGCCPH1,2026,1.0
REGION1,NELFRCPN1,2026,1.0
REGION1,NEHFGCPN1,2026,1.0
REGION1,NESOU1PN1,2026,0.0
REGION1,NECOSCPN1,2026,1.0
REGION1,NENGCCPN1,2026,1.0
REGION1,NEWINDPN1,2026,0.05
REGION1,NENGCCSPN1,2026,1.0
REGION1,NECOCCSPN1,2026,1.0
REGION1,NEBATTN1,2026,1.0
REGION1,NGELNEPH1,2026,1.0
REGION1,NEBACKSTOP,2027,1.0
REGION1,NELFRCPH1,2027,1.0
REGION1,NEHFGCPH1,2027,1.0
REGION1,NESOU1PH1,2027,0.0
REGION1,NECOSCPH1,2027,1.0
REGION1,NENGCCPH1,2027,1.0
REGION1,NELFRCPN1,2027,1.0
REGION1,NEHFGCPN1,2027,1.0
REGION1,NESOU1PN1,2027,0.0
REGION1,NECOSCPN1,2027,1.0
REGION1,NENGCCPN1,2027,1.0
REGION1,NEWINDPN1,2027,0.05
REGION1,NENGCCSPN1,2027,1.0
REGION1,NECOCCSPN1,2027,1.0
REGION1,NEBATTN1,2027,1.0
REGION1,NGELNEPH1,2027,1.0
REGION1,NEBACKSTOP,2028,1.0
REGION1,NELFRCPH1,2028,1.0
REGION1,NEHFGCPH1,2028,1.0
REGION1,NESOU1PH1,2028,0.0
REGION1,NECOSCPH1,2028,1.0
REGION1,NENGCCPH1,2028,1.0
REGION1,NELFRCPN1,2028,1.0
REGION1,NEHFGCPN1,2028,1.0
REGION1,NESOU1PN1,2028,0.0
REGION1,NECOSCPN1,2028,1.0
REGION1,NENGCCPN1,2028,1.0
REGION1,NEWINDPN1,2028,0.05
REGION1,NENGCCSPN1,2028,1.0
REGION1,NECOCCSPN1,2028,1.0
REGION1,NEBATTN1,2028,1.0
REGION1,NGELNEPH1,2028,1.0
REGION1,NEBACKSTOP,2029,1.0
REGION1,NELFRCPH1,2029,1.0
REGION1,NEHFGCPH1,2029,1.0
REGION1,NESOU1PH1,2029,0.0
REGION1,NECOSCPH1,2029,1.0
REGION1,NENGCCPH1,2029,1.0
REGION1,NELFRCPN1,2029,1.0
REGION1,NEHFGCPN1,2029,1.0
REGION1,NESOU1PN1,2029,0.0
REGION1,NECOSCPN1,2029,1.0
REGION1,NENGCCPN1,2029,1.0
REGION1,NEWINDPN1,2029,0.05
REGION1,NENGCCSPN1,2029,1.0
REGION1,NECOCCSPN1,2029,1.0
REGION1,NEBATTN1,2029,1.0
REGION1,NGELNEPH1,2029,1.0
REGION1,NEBACKSTOP,2030,1.0
REGION1,NELFRCPH1,2030,1.0
REGION1,NEHFGCPH1,2030,1.0
REGION1,NESOU1PH1,2030,0.0
REGION1,NECOSCPH1,2030,1.0
REGION1,NENGCCPH1,2030,1.0
REGION1,NELFRCPN1,2030,1.0
REGION1,NEHFGCPN1,2030,1.0
REGION1,NESOU1PN1,2030,0.0
REGION1,NECOSCPN1,2030,1.0
REGION1,NENGCCPN1,2030,1.0
REGION1,NEWINDPN1,2030,0.05
REGION1,NENGCCSPN1,2030,1.0
REGION1,NECOCCSPN1,2030,1.0
REGION1,NEBATTN1,2030,1.0
REGION1,NGELNEPH1,2030,1.0
REGION1,NEBACKSTOP,2031,1.0
REGION1,NELFRCPH1,2031,1.0
REGION1,NEHFGCPH1,2031,1.0
REGION1,NESOU1PH1,2031,0.0
REGION1,NECOSCPH1,2031,1.0
REGION1,NENGCCPH1,2031,1.0
REGION1,NELFRCPN1,2031,1.0
REGION1,NEHFGCPN1,2031,1.0
REGION1,NESOU1PN1,2031,0.0
REGION1,NECOSCPN1,2031,1.0
