REGION,TECHNOLOGY,YEAR,VALUE
REGION1,NGBACKSTOP,2021,1.0
REGION1,NGNGCCPH1,2021,1.0
REGION1,NGNGGCPH1,2021,1.0
REGION1,NGLFRCPH1,2021,1.0
REGION1,NGHFGCPH1,2021,1.0
REGION1,NGHYDMSH1,2021,1.0
REGION1,NGSOU1PH1,2021,0.0
REGION1,NGBMCHPH1,2021,1.0
REGION1,NGNGCCPN1,2021,1.0
REGION1,NGNGGCPN1,2021,1.0
REGION1,NGLFRCPN1,2021,1.0
REGION1,NGHFGCPN1,2021,1.0
REGION1,NGHYDMSN1,2021,1.0
REGION1,NGSOU1PN1,2021,0.0
REGION1,NGBMCHPN1,2021,1.0
REGION1,NGWINDPN1,2021,0.05
REGION1,NGNGCCSPN1,2021,1.0
REGION1,NGBMCCSPN1,2021,1.0
REGION1,NGBATTN1,2021,1.0
REGION1,NGELBJPH1,2021,1.0
REGION1,NGELNEPH1,2021,1.0
REGION1,NGNGBJPI0,2021,1.0
REGION1,NGNGGHPI0,2021,1.0
REGION1,NGNGNEPI0,2021,1.0
REGION1,NGNGTGPI0,2021,1.0
REGION1,NGNGTNPI0,2021,1.0
REGION1,NGBACKSTOP,2022,1.0
REGION1,NGNGCCPH1,2022,1.0
REGION1,NGNGGCPH1,2022,1.0
REGION1,NGLFRCPH1,2022,1.0
REGION1,NGHFGCPH1,2022,1.0
REGION1,NGHYDMSH1,2022,1.0
REGION1,NGSOU1PH1,2022,0.0
REGION1,NGBMCHPH1,2022,1.0
REGION1,NGNGCCPN1,2022,1.0
REGION1,NGNGGCPN1,2022,1.0
REGION1,NGLFRCPN1,2022,1.0
REGION1,NGHFGCPN1,2022,1.0
REGION1,NGHYDMSN1,2022,1.0
REGION1,NGSOU1PN1,2022,0.0
REGION1,NGBMCHPN1,2022,1.0
REGION1,NGWINDPN1,2022,0.05
REGION1,NGNGCCSPN1,2022,1.0
REGION1,NGBMCCSPN1,2022,1.0
REGION1,NGBATTN1,2022,1.0
REGION1,NGELBJPH1,2022,1.0
REGION1,NGELNEPH1,2022,1.0
REGION1,NGNGBJPI0,2022,1.0
REGION1,NGNGGHPI0,2022,1.0
REGION1,NGNGNEPI0,2022,1.0
REGION1,NGNGTGPI0,2022,1.0
REGION1,NGNGTNPI0,2022,1.0
REGION1,NGBACKSTOP,2023,1.0
REGION1,NGNGCCPH1,2023,1.0
REGION1,NGNGGCPH1,2023,1.0
REGION1,NGLFRCPH1,2023,1.0
