REGION,TECHNOLOGY,YEAR,VALUE
REGION1,NLBACKSTOP,2021,1.0
REGION1,NLBFHPFH1,2021,1.0
REGION1,NLBMSTPH1,2021,1.0
REGION1,NLCOCHPH1,2021,1.0
REGION1,NLNGCCPH1,2021,1.0
REGION1,NLNGCHPH1,2021,1.0
REGION1,NLNUG2PH1,2021,1.0
REGION1,NLSOUTPH1,2021,0.0
REGION1,NLWIOFPH1,2021,1.0
REGION1,NLWIONPH1,2021,1.0
REGION1,NLWSCHPH1,2021,1.0
REGION1,NLCOSTPH1,2021,1.0
REGION1,NLBFCHPH1,2021,1.0
REGION1,NLDGCHPH1,2021,1.0
REGION1,NLDGELH1,2021,1.0
REGION1,NLRGCHPH1,2021,1.0
REGION1,NLRGELH1,2021,1.0
REGION1,NLDSCHPH1,2021,1.0
REGION1,NLDSELH1,2021,1.0
REGION1,NLHFCHPH1,2021,1.0
REGION1,NLBMCHPH1,2021,1.0
REGION1,NLHYDRPH1,2021,1.0
REGION1,NLBFHPFN1,2021,1.0
REGION1,NLBMSTPN1,2021,1.0
REGION1,NLCOCHPN1,2021,1.0
REGION1,NLNGCCPN1,2021,1.0
REGION1,NLNGCHPN1,2021,1.0
REGION1,NLNUG2PN1,2021,1.0
REGION1,NLSOUTPN1,2021,0.0
REGION1,NLWIOFPN1,2021,1.0
REGION1,NLWIONPN1,2021,1.0
REGION1,NLWSCHPN1,2021,1.0
REGION1,NLCOSTPN1,2021,1.0
REGION1,NLBFCHPN1,2021,1.0
REGION1,NLDGCHPN1,2021,1.0
REGION1,NLDGELN1,2021,1.0
REGION1,NLRGCHPN1,2021,1.0
REGION1,NLRGELN1,2021,1.0
REGION1,NLDSCHPN1,2021,1.0
REGION1,NLDSELN1,2021,1.0
REGION1,NLHFCHPN1,2021,1.0
REGION1,NLBMCHPN1,2021,1.0
REGION1,NLHYDRPN1,2021,1.0
REGION1,NLNGCCSN1,2021,1.0
REGION1,NLBMCCSN1,2021,1.0
REGION1,NLBATTH1,2021,1.0
REGION1,BEELNLPH1,2021,1.0
REGION1,DKELNLPH1,2021,1.0
REGION1,DEELNLPH1,2021,1.0
REGION1,NLELNOPH1,2021,1.0
REGION1,NLELUKPH1,2021,1.0
REGION1,NLNGUKPI0,2021,1.0
REGION1,NLBACKSTOP,2022,1.0
REGION1,NLBFHPFH1,2022,1.0
REGION1,NLBMSTPH1,2022,1.0
REGION1,NLCOCHPH1,2022,1.0
REGION1,NLNGCCPH1,2022,1.0
REGION1,NLNGCHPH1,2022,1.0
REGION1,NLNUG2PH1,2022,1.0
REGION1,NLSOUTPH1,2022,0.0
REGION1,NLWIOFPH1,2022,1.0
REGION1,NLWIONPH1,2022,1.0
REGION1,NLWSCHPH1,2022,1.0
REGION1,NLCOSTPH1,2022,1.0
REGION1,NLBFCHPH1,2022,1.0
REGION1,NLDGCHPH1,2022,1.0
REGION1,NLDGELH1,2022,1.0
REGION1,NLRGCHPH1,2022,1.0
REGION1,NLRGELH1,2022,1.0
REGION1,NLDSCHPH1,2022,1.0
REGION1,NLDSELH1,2022,1.0
REGION1,NLHFCHPH1,2022,1.0
REGION1,NLBMCHPH1,2022,1.0
REGION1,NLHYDRPH1,2022,1.0
REGION1,NLBFHPFN1,2022,1.0
REGION1,NLBMSTPN1,2022,1.0
REGION1,NLCOCHPN1,2022,1.0
REGION1,NLNGCCPN1,2022,1.0
REGION1,NLNGCHPN1,2022,1.0
REGION1,NLNUG2PN1,2022,1.0
REGION1,NLSOUTPN1,2022,0.0
REGION1,NLWIOFPN1,2022,1.0
REGION1,NLWIONPN1,2022,1.0
REGION1,NLWSCHPN1,2022,1.0
REGION1,NLCOSTPN1,2022,1.0
REGION1,NLBFCHPN1,2022,1.0
REGION1,NLDGCHPN1,2022,1.0
REGION1,NLDGELN1,2022,1.0
REGION1,NLRGCHPN1,2022,1.0
REGION1,NLRGELN1,2022,1.0
REGION1,NLDSCHPN1,2022,1.0
REGION1,NLDSELN1,2022,1.0
REGION1,NLHFCHPN1,2022,1.0
REGION1,NLBMCHPN1,2022,1.0
REGION1,NLHYDRPN1,2022,1.0
REGION1,NLNGCCSN1,2022,1.0
REGION1,NLBMCCSN1,2022,1.0
REGION1,NLBATTH1,2022,1.0
REGION1,BEELNLPH1,2022,1.0
REGION1,DKELNLPH1,2022,1.0
REGION1,DEELNLPH1,2022,1.0
REGION1,NLELNOPH1,2022,1.0
REGION1,NLELUKPH1,2022,1.0
REGION1,NLNGUKPI0,2022,1.0
REGION1,NLBACKSTOP,2023,1.0
REGION1,NLBFHPFH1,2023,1.0
REGION1,NLBMSTPH1,2023,1.0
REGION1,NLCOCHPH1,2023,1.0
REGION1,NLNGCCPH1,2023,1.0
REGION1,NLNGCHPH1,2023,1.0
REGION1,NLNUG2PH1,2023,1.0
REGION1,NLSOUTPH1,2023,0.0
REGION1,NLWIOFPH1,2023,1.0
REGION1,NLWIONPH1,2023,1.0
REGION1,NLWSCHPH1,2023,1.0
REGION1,NLCOSTPH1,2023,1.0
REGION1,NLBFCHPH1,2023,1.0
REGION1,NLDGCHPH1,2023,1.0
REGION1,NLDGELH1,2023,1.0
REGION1,NLRGCHPH1,2023,1.0
REGION1,NLRGELH1,2023,1.0
REGION1,NLDSCHPH1,2023,1.0
REGION1,NLDSELH1,2023,1.0
REGION1,NLHFCHPH1,2023,1.0
REGION1,NLBMCHPH1,2023,1.0
REGION1,NLHYDRPH1,2023,1.0
REGION1,NLBFHPFN1,2023,1.0
REGION1,NLBMSTPN1,2023,1.0
REGION1,NLCOCHPN1,2023,1.0
REGION1,NLNGCCPN1,2023,1.0
REGION1,NLNGCHPN1,2023,1.0
REGION1,NLNUG2PN1,2023,1.0
REGION1,NLSOUTPN1,2023,0.0
REGION1,NLWIOFPN1,2023,1.0
REGION1,NLWIONPN1,2023,1.0
REGION1,NLWSCHPN1,2023,1.0
REGION1,NLCOSTPN1,2023,1.0
REGION1,NLBFCHPN1,2023,1.0
REGION1,NLDGCHPN1,2023,1.0
REGION1,NLDGELN1,2023,1.0
REGION1,NLRGCHPN1,2023,1.0
REGION1,NLRGELN1,2023,1.0
REGION1,NLDSCHPN1,2023,1.0
REGION1,NLDSELN1,2023,1.0
REGION1,NLHFCHPN1,2023,1.0
REGION1,NLBMCHPN1,2023,1.0
REGION1,NLHYDRPN1,2023,1.0
REGION1,NLNGCCSN1,2023,1.0
REGION1,NLBMCCSN1,2023,1.0
REGION1,NLBATTH1,2023,1.0
REGION1,BEELNLPH1,2023,1.0
REGION1,DKELNLPH1,2023,1.0
