REGION,TECHNOLOGY,YEAR,VALUE
REGION1,NOBACKSTOP,2021,1.0
REGION1,NOBFHPFH1,2021,1.0
REGION1,NOHFCHPH1,2021,1.0
REGION1,NOHFSTPH1,2021,1.0
REGION1,NOHYDRPH1,2021,1.0
REGION1,NOHYDMPH1,2021,1.0
REGION1,NOSOUTPH1,2021,0.0
REGION1,NOWIOFPH1,2021,1.0
REGION1,NOWIONPH1,2021,1.0
REGION1,NOWSCHPH1,2021,1.0
REGION1,NOBMCHPH1,2021,1.0
REGION1,NOOCWVPH1,2021,1.0
REGION1,NOBFHPFN1,2021,1.0
REGION1,NOHFCHPN1,2021,1.0
REGION1,NOHFSTPN1,2021,1.0
REGION1,NOHYDRPN1,2021,1.0
REGION1,NOHYDMPN1,2021,1.0
REGION1,NOSOUTPN1,2021,0.0
REGION1,NOWIOFPN1,2021,1.0
REGION1,NOWIONPN1,2021,1.0
REGION1,NOWSCHPN1,2021,1.0
REGION1,NOBMCHPN1,2021,1.0
REGION1,NOOCWVPN1,2021,1.0
REGION1,NONGCCSN1,2021,1.0
REGION1,NOBMCCSN1,2021,1.0
REGION1,NOBATTH1,2021,1.0
REGION1,DKELNOPH1,2021,1.0
REGION1,FIELNOPH1,2021,1.0
REGION1,DEELNOPH1,2021,1.0
REGION1,NLELNOPH1,2021,1.0
REGION1,NOELSEPH1,2021,1.0
REGION1,NOELUKPH1,2021,1.0
REGION1,NONGBEPI0,2021,1.0
REGION1,NONGDEPI0,2021,1.0
REGION1,NONGDKPI0,2021,1.0
REGION1,NONGFRPI0,2021,1.0
REGION1,NONGUKPI0,2021,1.0
REGION1,NONGNLPI0,2021,1.0
REGION1,NOBACKSTOP,2022,1.0
REGION1,NOBFHPFH1,2022,1.0
REGION1,NOHFCHPH1,2022,1.0
REGION1,NOHFSTPH1,2022,1.0
REGION1,NOHYDRPH1,2022,1.0
REGION1,NOHYDMPH1,2022,1.0
REGION1,NOSOUTPH1,2022,0.0
REGION1,NOWIOFPH1,2022,1.0
REGION1,NOWIONPH1,2022,1.0
REGION1,NOWSCHPH1,2022,1.0
REGION1,NOBMCHPH1,2022,1.0
REGION1,NOOCWVPH1,2022,1.0
REGION1,NOBFHPFN1,2022,1.0
REGION1,NOHFCHPN1,2022,1.0
REGION1,NOHFSTPN1,2022,1.0
REGION1,NOHYDRPN1,2022,1.0
REGION1,NOHYDMPN1,2022,1.0
REGION1,NOSOUTPN1,2022,0.0
REGION1,NOWIOFPN1,2022,1.0
REGION1,NOWIONPN1,2022,1.0
REGION1,NOWSCHPN1,2022,1.0
REGION1,NOBMCHPN1,2022,1.0
REGION1,NOOCWVPN1,2022,1.0
REGION1,NONGCCSN1,2022,1.0
REGION1,NOBMCCSN1,2022,1.0
REGION1,NOBATTH1,2022,1.0
REGION1,DKELNOPH1,2022,1.0
REGION1,FIELNOPH1,2022,1.0
REGION1,DEELNOPH1,2022,1.0
REGION1,NLELNOPH1,2022,1.0
REGION1,NOELSEPH1,2022,1.0
REGION1,NOELUKPH1,2022,1.0
REGION1,NONGBEPI0,2022,1.0
REGION1,NONGDEPI0,2022,1.0
REGION1,NONGDKPI0,2022,1.0
REGION1,NONGFRPI0,2022,1.0
REGION1,NONGUKPI0,2022,1.0
REGION1,NONGNLPI0,2022,1.0
REGION1,NOBACKSTOP,2023,1.0
REGION1,NOBFHPFH1,2023,1.0
REGION1,NOHFCHPH1,2023,1.0
REGION1,NOHFSTPH1,2023,1.0
REGION1,NOHYDRPH1,2023,1.0
REGION1,NOHYDMPH1,2023,1.0
REGION1,NOSOUTPH1,2023,0.0
REGION1,NOWIOFPH1,2023,1.0
REGION1,NOWIONPH1,2023,1.0
REGION1,NOWSCHPH1,2023,1.0
REGION1,NOBMCHPH1,2023,1.0
REGION1,NOOCWVPH1,2023,1.0
REGION1,NOBFHPFN1,2023,1.0
REGION1,NOHFCHPN1,2023,1.0
REGION1,NOHFSTPN1,2023,1.0
REGION1,NOHYDRPN1,2023,1.0
REGION1,NOHYDMPN1,2023,1.0
REGION1,NOSOUTPN1,2023,0.0
REGION1,NOWIOFPN1,2023,1.0
REGION1,NOWIONPN1,2023,1.0
REGION1,NOWSCHPN1,2023,1.0
REGION1,NOBMCHPN1,2023,1.0
REGION1,NOOCWVPN1,2023,1.0
REGION1,NONGCCSN1,2023,1.0
REGION1,NOBMCCSN1,2023,1.0
REGION1,NOBATTH1,2023,1.0
REGION1,DKELNOPH1,2023,1.0
REGION1,FIELNOPH1,2023,1.0
REGION1,DEELNOPH1,2023,1.0
REGION1,NLELNOPH1,2023,1.0
REGION1,NOELSEPH1,2023,1.0
REGION1,NOELUKPH1,2023,1.0
REGION1,NONGBEPI0,2023,1.0
REGION1,NONGDEPI0,2023,1.0
REGION1,NONGDKPI0,2023,1.0
REGION1,NONGFRPI0,2023,1.0
REGION1,NONGUKPI0,2023,1.0
REGION1,NONGNLPI0,2023,1.0
REGION1,NOBACKSTOP,2024,1.0
REGION1,NOBFHPFH1,2024,1.0
REGION1,NOHFCHPH1,2024,1.0
REGION1,NOHFSTPH1,2024,1.0
REGION1,NOHYDRPH1,2024,1.0
REGION1,NOHYDMPH1,2024,1.0
REGION1,NOSOUTPH1,2024,0.0
REGION1,NOWIOFPH1,2024,1.0
REGION1,NOWIONPH1,2024,1.0
REGION1,NOWSCHPH1,2024,1.0
REGION1,NOBMCHPH1,2024,1.0
REGION1,NOOCWVPH1,2024,1.0
REGION1,NOBFHPFN1,2024,1.0
REGION1,NOHFCHPN1,2024,1.0
REGION1,NOHFSTPN1,2024,1.0
REGION1,NOHYDRPN1,2024,1.0
REGION1,NOHYDMPN1,2024,1.0
REGION1,NOSOUTPN1,2024,0.0
REGION1,NOWIOFPN1,2024,1.0
REGION1,NOWIONPN1,2024,1.0
REGION1,NOWSCHPN1,2024,1.0
REGION1,NOBMCHPN1,2024,1.0
REGION1,NOOCWVPN1,2024,1.0
REGION1,NONGCCSN1,2024,1.0
REGION1,NOBMCCSN1,2024,1.0
REGION1,NOBATTH1,2024,1.0
REGION1,DKELNOPH1,2024,1.0
REGION1,FIELNOPH1,2024,1.0
REGION1,DEELNOPH1,2024,1.0
REGION1,NLELNOPH1,2024,1.0
REGION1,NOELSEPH1,2024,1.0
REGION1,NOELUKPH1,2024,1.0
REGION1,NONGBEPI0,2024,1.0
REGION1,NONGDEPI0,2024,1.0
REGION1,NONGDKPI0,2024,1.0
REGION1,NONGFRPI0,2024,1.0
REGION1,NONGUKPI0,2024,1.0
REGION1,NONGNLPI0,2024,1.0
REGION1,NOBACKSTOP,2025,1.0
REGION1,NOBFHPFH1,2025,1.0
REGION1,NOHFCHPH1,2025,1.0
REGION1,NOHFSTPH1,2025,1.0
REGION1,NOHYDRPH1,2025,1.0
REGION1,NOHYDMPH1,2025,1.0
REGION1,NOSOUTPH1,2025,0.0
REGION1,NOWIOFPH1,2025,1.0
REGION1,NOWIONPH1,2025,1.0
REGION1,NOWSCHPH1,2025,1.0
REGION1,NOBMCHPH1,2025,1.0
REGION1,NOOCWVPH1,2025,1.0
REGION1,NOBFHPFN1,2025,1.0
REGION1,NOHFCHPN1,2025,1.0
REGION1,NOHFSTPN1,2025,1.0
REGION1,NOHYDRPN1,2025,1.0
REGION1,NOHYDMPN1,2025,1.0
REGION1,NOSOUTPN1,2025,0.0
REGION1,NOWIOFPN1,2025,1.0
REGION1,NOWIONPN1,2025,1.0
REGION1,NOWSCHPN1,2025,1.0
REGION1,NOBMCHPN1,2025,1.0
REGION1,NOOCWVPN1,2025,1.0
REGION1,NONGCCSN1,2025,1.0
REGION1,NOBMCCSN1,2025,1.0
REGION1,NOBATTH1,2025,1.0
REGION1,DKELNOPH1,2025,1.0
REGION1,FIELNOPH1,2025,1.0
REGION1,DEELNOPH1,2025,1.0
REGION1,NLELNOPH1,2025,1.0
REGION1,NOELSEPH1,2025,1.0
REGION1,NOELUKPH1,2025,1.0
REGION1,NONGBEPI0,2025,1.0
REGION1,NONGDEPI0,2025,1.0
REGION1,NONGDKPI0,2025,1.0
REGION1,NONGFRPI0,2025,1.0
REGION1,NONGUKPI0,2025,1.0
REGION1,NONGNLPI0,2025,1.0
REGION1,NOBACKSTOP,2026,1.0
REGION1,NOBFHPFH1,2026,1.0
REGION1,NOHFCHPH1,2026,1.0
REGION1,NOHFSTPH1,2026,1.0
REGION1,NOHYDRPH1,2026,1.0
REGION1,NOHYDMPH1,2026,1.0
REGION1,NOSOUTPH1,2026,0.0
REGION1,NOWIOFPH1,2026,1.0
REGION1,NOWIONPH1,2026,1.0
REGION1,NOWSCHPH1,2026,1.0
REGION1,NOBMCHPH1,2026,1.0
REGION1,NOOCWVPH1,2026,1.0
REGION1,NOBFHPFN1,2026,1.0
REGION1,NOHFCHPN1,2026,1.0
REGION1,NOHFSTPN1,2026,1.0
REGION1,NOHYDRPN1,2026,1.0
REGION1,NOHYDMPN1,2026,1.0
REGION1,NOSOUTPN1,2026,0.0
REGION1,NOWIOFPN1,2026,1.0
REGION1,NOWIONPN1,2026,1.0
REGION1,NOWSCHPN1,2026,1.0
REGION1,NOBMCHPN1,2026,1.0
REGION1,NOOCWVPN1,2026,1.0
REGION1,NONGCCSN1,2026,1.0
REGION1,NOBMCCSN1,2026,1.0
REGION1,NOBATTH1,2026,1.0
REGION1,DKELNOPH1,2026,1.0
REGION1,FIELNOPH1,2026,1.0
REGION1,DEELNOPH1,2026,1.0
REGION1,NLELNOPH1,2026,1.0
REGION1,NOELSEPH1,2026,1.0
REGION1,NOELUKPH1,2026,1.0
REGION1,NONGBEPI0,2026,1.0
REGION1,NONGDEPI0,2026,1.0
REGION1,NONGDKPI0,2026,1.0
REGION1,NONGFRPI0,2026,1.0
REGION1,NONGUKPI0,2026,1.0
REGION1,NONGNLPI0,2026,1.0
REGION1,NOBACKSTOP,2027,1.0
REGION1,NOBFHPFH1,2027,1.0
REGION1,NOHFCHPH1,2027,1.0
REGION1,NOHFSTPH1,2027,1.0
REGION1,NOHYDRPH1,2027,1.0
REGION1,NOHYDMPH1,2027,1.0
REGION1,NOSOUTPH1,2027,0.0
REGION1,NOWIOFPH1,2027,1.0
REGION1,NOWIONPH1,2027,1.0
REGION1,NOWSCHPH1,2027,1.0
REGION1,NOBMCHPH1,2027,1.0
REGION1,NOOCWVPH1,2027,1.0
REGION1,NOBFHPFN1,2027,1.0
REGION1,NOHFCHPN1,2027,1.0
REGION1,NOHFSTPN1,2027,1.0
REGION1,NOHYDRPN1,2027,1.0
REGION1,NOHYDMPN1,2027,1.0
REGION1,NOSOUTPN1,2027,0.0
REGION1,NOWIOFPN1,2027,1.0
REGION1,NOWIONPN1,2027,1.0
REGION1,NOWSCHPN1,2027,1.0
REGION1,NOBMCHPN1,2027,1.0
REGION1,NOOCWVPN1,2027,1.0
REGION1,NONGCCSN1,2027,1.0
REGION1,NOBMCCSN1,2027,1.0
REGION1,NOBATTH1,2027,1.0
REGION1,DKELNOPH1,2027,1.0
REGION1,FIELNOPH1,2027,1.0
REGION1,DEELNOPH1,2027,1.0
REGION1,NLELNOPH1,2027,1.0
REGION1,NOELSEPH1,2027,1.0
REGION1,NOELUKPH1,2027,1.0
REGION1,NONGBEPI0,2027,1.0
REGION1,NONGDEPI0,2027,1.0
REGION1,NONGDKPI0,2027,1.0
REGION1,NONGFRPI0,2027,1.0
REGION1,NONGUKPI0,2027,1.0
REGION1,NONGNLPI0,2027,1.0
REGION1,NOBACKSTOP,2028,1.0
REGION1,NOBFHPFH1,2028,1.0
REGION1,NOHFCHPH1,2028,1.0
REGION1,NOHFSTPH1,2028,1.0
REGION1,NOHYDRPH1,2028,1.0
REGION1,NOHYDMPH1,2028,1.0
REGION1,NOSOUTPH1,2028,0.0
REGION1,NOWIOFPH1,2028,1.0
REGION1,NOWIONPH1,2028,1.0
REGION1,NOWSCHPH1,2028,1.0
REGION1,NOBMCHPH1,2028,1.0
REGION1,NOOCWVPH1,2028,1.0
REGION1,NOBFHPFN1,2028,1.0
REGION1,NOHFCHPN1,2028,1.0
REGION1,NOHFSTPN1,2028,1.0
REGION1,NOHYDRPN1,2028,1.0
REGION1,NOHYDMPN1,2028,1.0
REGION1,NOSOUTPN1,2028,0.0
REGION1,NOWIOFPN1,2028,1.0
REGION1,NOWIONPN1,2028,1.0
REGION1,NOWSCHPN1,2028,1.0
REGION1,NOBMCHPN1,2028,1.0
REGION1,NOOCWVPN1,2028,1.0
REGION1,NONGCCSN1,2028,1.0
REGION1,NOBMCCSN1,2028,1.0
REGION1,NOBATTH1,2028,1.0
REGION1,DKELNOPH1,2028,1.0
REGION1,FIELNOPH1,2028,1.0
REGION1,DEELNOPH1,2028,1.0
REGION1,NLELNOPH1,2028,1.0
REGION1,NOELSEPH1,2028,1.0
REGION1,NOELUKPH1,2028,1.0
REGION1,NONGBEPI0,2028,1.0
REGION1,NONGDEPI0,2028,1.0
REGION1,NONGDKPI0,2028,1.0
REGION1,NONGFRPI0,2028,1.0
REGION1,NONGUKPI0,2028,1.0
REGION1,NONGNLPI0,2028,1.0
REGION1,NOBACKSTOP,2029,1.0
REGION1,NOBFHPFH1,2029,1.0
REGION1,NOHFCHPH1,2029,1.0
REGION1,NOHFSTPH1,2029,1.0
REGION1,NOHYDRPH1,2029,1.0
REGION1,NOHYDMPH1,2029,1.0
REGION1,NOSOUTPH1,2029,0.0
REGION1,NOWIOFPH1,2029,1.0
REGION1,NOWIONPH1,2029,1.0
REGION1,NOWSCHPH1,2029,1.0
REGION1,NOBMCHPH1,2029,1.0
REGION1,NOOCWVPH1,2029,1.0
REGION1,NOBFHPFN1,2029,1.0
REGION1,NOHFCHPN1,2029,1.0
REGION1,NOHFSTPN1,2029,1.0
REGION1,NOHYDRPN1,2029,1.0
REGION1,NOHYDMPN1,2029,1.0
REGION1,NOSOUTPN1,2029,0.0
REGION1,NOWIOFPN1,2029,1.0
REGION1,NOWIONPN1,2029,1.0
REGION1,NOWSCHPN1,2029,1.0
REGION1,NOBMCHPN1,2029,1.0
REGION1,NOOCWVPN1,2029,1.0
REGION1,NONGCCSN1,2029,1.0
REGION1,NOBMCCSN1,2029,1.0
REGION1,NOBATTH1,2029,1.0
