REGION,TECHNOLOGY,VALUE
REGION1,ATCOCHPH1,25.0
REGION1,ATNGCCPH1,30.0
REGION1,ATNGCHPH1,25.0
REGION1,ATNGGCPH1,25.0
REGION1,ATNGHPFH1,20.0
REGION1,ATNGSTPH1,30.0
REGION1,ATBFCHPH1,35.0
REGION1,ATBFHPFH1,25.0
REGION1,ATDGCHPH1,25.0
REGION1,ATDGELH1,30.0
REGION1,ATRGCHPH1,25.0
REGION1,ATDSCHPH1,25.0
REGION1,ATDSELH1,30.0
REGION1,ATHFCHPH1,25.0
REGION1,ATHFSTPH1,30.0
REGION1,ATBMSTPH1,40.0
REGION1,ATBMCHPH1,35.0
REGION1,ATWSCHPH1,35.0
REGION1,ATWSSTPH1,20.0
REGION1,ATWIONPH1,30.0
REGION1,ATSOUTPH1,30.0
REGION1,ATGOCVPH1,30.0
REGION1,ATHYDMPH1,60.0
REGION1,ATHYDSPH1,50.0
REGION1,ATHYDRPH1,50.0
REGION1,BENUG2PH1,35.0
REGION1,BECOCHPH1,25.0
REGION1,BECOSTPH1,40.0
REGION1,BENGCCPH1,30.0
REGION1,BENGCHPH1,25.0
REGION1,BEBFHPFH1,25.0
REGION1,BEBFCHPH1,35.0
REGION1,BEDGELH1,30.0
REGION1,BERGCHPH1,25.0
REGION1,BEDSCHPH1,25.0
REGION1,BEDSELH1,30.0
REGION1,BEHFCHPH1,25.0
REGION1,BEHFSTPH1,30.0
REGION1,BEWSCHPH1,35.0
REGION1,BEWSSTPH1,20.0
REGION1,BEWIOFPH1,30.0
REGION1,BEWIONPH1,30.0
REGION1,BESOUTPH1,30.0
REGION1,BEHYDMPH1,60.0
REGION1,BEHYDSPH1,50.0
REGION1,BEHYDRPH1,50.0
REGION1,BEBMCHPH1,35.0
REGION1,BEBMSTPH1,40.0
REGION1,BGBFHPFH1,25.0
REGION1,BGCOCHPH1,25.0
REGION1,BGCOSTPH1,40.0
REGION1,BGHFCHPH1,25.0
REGION1,BGHYDMPH1,60.0
REGION1,BGHYDSPH1,50.0
REGION1,BGNGCHPH1,25.0
REGION1,BGNGSTPH1,30.0
REGION1,BGNUG2PH1,35.0
REGION1,BGSOUTPH1,30.0
REGION1,BGWIONPH1,30.0
REGION1,BGLICHPH1,25.0
REGION1,BGLIELH1,40.0
REGION1,BGBFCHPH1,35.0
REGION1,BGRGCHPH1,25.0
REGION1,BGRGELH1,30.0
REGION1,BGDSCHPH1,25.0
REGION1,BGDSELH1,30.0
REGION1,BGHFSTPH1,30.0
REGION1,BGBMCHPH1,35.0
REGION1,BGBMSTPH1,40.0
REGION1,BGWSCHPH1,35.0
REGION1,BGHYDRPH1,50.0
REGION1,CYBFCHPH1,35.0
REGION1,CYHFSTPH1,30.0
REGION1,CYSOUTPH1,30.0
REGION1,CYWIONPH1,30.0
REGION1,CYDSCCPH1,30.0
REGION1,CYDSGCPH1,25.0
REGION1,CYDSSTPH1,30.0
REGION1,CYDSHPFH1,20.0
REGION1,CYHFCHPH1,25.0
REGION1,CZNUG2PH1,35.0
REGION1,CZCOCHPH1,25.0
REGION1,CZCOSTPH1,40.0
REGION1,CZLICHPH1,25.0
REGION1,CZLIELH1,40.0
REGION1,CZNGCCPH1,30.0
REGION1,CZNGCHPH1,25.0
REGION1,CZBFHPFH1,25.0
REGION1,CZBFCHPH1,35.0
REGION1,CZDGCHPH1,25.0
REGION1,CZRGCHPH1,25.0
REGION1,CZDSCHPH1,25.0
REGION1,CZDSGCPH1,25.0
REGION1,CZHFCHPH1,25.0
REGION1,CZHFSTPH1,30.0
REGION1,CZBMSTPH1,40.0
REGION1,CZBMCHPH1,35.0
REGION1,CZWSCHPH1,35.0
REGION1,CZWIONPH1,30.0
REGION1,CZSOUTPH1,30.0
REGION1,CZHYDRPH1,50.0
REGION1,CZHYDMPH1,60.0
REGION1,CZHYDSPH1,50.0
REGION1,DENUG2PH1,35.0
REGION1,DECOCHPH1,25.0
REGION1,DECOSTPH1,40.0
REGION1,DELICHPH1,25.0
REGION1,DELIELH1,40.0
REGION1,DENGCCPH1,30.0
REGION1,DENGCHPH1,25.0
REGION1,DEBFHPFH1,25.0
REGION1,DEBFCHPH1,35.0
REGION1,DEDGCHPH1,25.0
REGION1,DEDGELH1,30.0
REGION1,DERGCHPH1,25.0
REGION1,DERGELH1,30.0
REGION1,DEDSCHPH1,25.0
REGION1,DEDSELH1,30.0
REGION1,DEHFCHPH1,25.0
REGION1,DEHFSTPH1,30.0
REGION1,DEBMCHPH1,35.0
REGION1,DEBMSTPH1,40.0
REGION1,DEWSCHPH1,35.0
REGION1,DEWSSTPH1,20.0
REGION1,DEWIOFPH1,30.0
REGION1,DEWIONPH1,30.0
REGION1,DESOUTPH1,30.0
REGION1,DEGOCVPH1,30.0
REGION1,DEHYDMPH1,60.0
REGION1,DEHYDRPH1,50.0
REGION1,DEHYDSPH1,50.0
REGION1,DKBFHPFH1,25.0
REGION1,DKBMSTPH1,40.0
REGION1,DKCOCHPH1,25.0
REGION1,DKHFCHPH1,25.0
REGION1,DKHFSTPH1,30.0
REGION1,DKHYDRPH1,50.0
REGION1,DKNGCCPH1,30.0
REGION1,DKNGCHPH1,25.0
REGION1,DKSOUTPH1,30.0
REGION1,DKWIOFPH1,30.0
REGION1,DKWIONPH1,30.0
REGION1,DKWSCHPH1,35.0
REGION1,DKRGCHPH1,25.0
REGION1,DKDSCHPH1,25.0
REGION1,DKDSELH1,30.0
REGION1,DKBMCHPH1,35.0
REGION1,DKHYDMPH1,60.0
REGION1,EEHFSTPH1,30.0
REGION1,EEHYDRPH1,50.0
REGION1,EENGCHPH1,25.0
REGION1,EENGHPFH1,20.0
REGION1,EESOUTPH1,30.0
REGION1,EEWIONPH1,30.0
