REGION,STORAGE,VALUE
REGION1,ATHYDSSH1,50.0
REGION1,BEHYDSSH1,50.0
REGION1,BGHYDSSH1,50.0
REGION1,CZHYDSSH1,50.0
REGION1,DEHYDSSH1,50.0
REGION1,GRHYDSSH1,50.0
REGION1,ESHYDSSH1,50.0
REGION1,FRHYDSSH1,50.0
REGION1,HRHYDSSH1,50.0
REGION1,IEHYDSSH1,50.0
REGION1,ITHYDSSH1,50.0
REGION1,LTHYDSSH1,50.0
REGION1,LUHYDSSH1,50.0
REGION1,SLHYDSSH1,50.0
REGION1,STHYDSSH1,50.0
REGION1,ROHYDSSH1,50.0
REGION1,SEHYDSSH1,50.0
REGION1,SIHYDSSH1,50.0
REGION1,SKHYDSSH1,50.0
REGION1,CHHYDSSH1,50.0
REGION1,UKHYDSSH1,50.0
REGION1,ATHYDSSN1,50.0
REGION1,BEHYDSSN1,50.0
REGION1,BGHYDSSN1,50.0
REGION1,CZHYDSSN1,50.0
REGION1,DEHYDSSN1,50.0
REGION1,GRHYDSSN1,50.0
REGION1,ESHYDSSN1,50.0
REGION1,FRHYDSSN1,50.0
REGION1,HRHYDSSN1,50.0
REGION1,IEHYDSSN1,50.0
REGION1,ITHYDSSN1,50.0
REGION1,LTHYDSSN1,50.0
REGION1,LUHYDSSN1,50.0
REGION1,SLHYDSSN1,50.0
REGION1,STHYDSSN1,50.0
REGION1,ROHYDSSN1,50.0
REGION1,SEHYDSSN1,50.0
REGION1,SIHYDSSN1,50.0
REGION1,SKHYDSSN1,50.0
REGION1,CHHYDSSN1,50.0
REGION1,UKHYDSSN1,50.0
REGION1,ATBATSH1,25.0
REGION1,BEBATSH1,25.0
REGION1,BGBATSH1,25.0
REGION1,CHBATSH1,25.0
REGION1,CYBATSH1,25.0
REGION1,CZBATSH1,25.0
REGION1,DEBATSH1,25.0
REGION1,DKBATSH1,25.0
REGION1,EEBATSH1,25.0
REGION1,GRBATSH1,25.0
REGION1,ESBATSH1,25.0
REGION1,FIBATSH1,25.0
REGION1,FRBATSH1,25.0
REGION1,HRBATSH1,25.0
REGION1,HUBATSH1,25.0
REGION1,IEBATSH1,25.0
REGION1,ITBATSH1,25.0
REGION1,LTBATSH1,25.0
REGION1,LUBATSH1,25.0
REGION1,LVBATSH1,25.0
REGION1,MTBATSH1,25.0
REGION1,NLBATSH1,25.0
REGION1,NOBATSH1,25.0
REGION1,PLBATSH1,25.0
REGION1,PTBATSH1,25.0
REGION1,ROBATSH1,25.0
REGION1,SEBATSH1,25.0
REGION1,SIBATSH1,25.0
REGION1,SKBATSH1,25.0
REGION1,UKBATSH1,25.0
REGION1,DZBATSN1,25.0
REGION1,AOBATSN1,25.0
REGION1,BJBATSN1,25.0
REGION1,BWBATSN1,25.0
REGION1,BFBATSN1,25.0
REGION1,BIBATSN1,25.0
REGION1,CMBATSN1,25.0
REGION1,CFBATSN1,25.0
REGION1,TDBATSN1,25.0
REGION1,CIBATSN1,25.0
REGION1,DJBATSN1,25.0
REGION1,CDBATSN1,25.0
REGION1,EGBATSN1,25.0
REGION1,GQBATSN1,25.0
REGION1,ERBATSN1,25.0
REGION1,SZBATSN1,25.0
REGION1,ETBATSN1,25.0
REGION1,GABATSN1,25.0
REGION1,GMBATSN1,25.0
REGION1,GHBATSN1,25.0
REGION1,GNBATSN1,25.0
REGION1,GWBATSN1,25.0
REGION1,KEBATSN1,25.0
REGION1,LSBATSN1,25.0
REGION1,LRBATSN1,25.0
REGION1,LYBATSN1,25.0
REGION1,MWBATSN1,25.0
REGION1,MLBATSN1,25.0
REGION1,MRBATSN1,25.0
REGION1,MABATSN1,25.0
REGION1,MZBATSN1,25.0
REGION1,NABATSN1,25.0
REGION1,NEBATSN1,25.0
REGION1,NGBATSN1,25.0
REGION1,CGBATSN1,25.0
REGION1,RWBATSN1,25.0
REGION1,SNBATSN1,25.0
REGION1,SLBATSN1,25.0
REGION1,SOBATSN1,25.0
REGION1,ZABATSN1,25.0
REGION1,SSBATSN1,25.0
REGION1,SDBATSN1,25.0
REGION1,TZBATSN1,25.0
REGION1,TGBATSN1,25.0
REGION1,TNBATSN1,25.0
REGION1,UGBATSN1,25.0
REGION1,ZMBATSN1,25.0
REGION1,ZWBATSN1,25.0
REGION1,MAHYDSSH1,50.0
REGION1,ZAHYDSSH1,50.0
REGION1,MAHYDSSN1,50.0
REGION1,ZAHYDSSN1,50.0
REGION1,TNHYDSSN1,50.0
