REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,ATBACKSTOP,ATE1,1,2021,1.0
REGION1,BEBACKSTOP,BEE1,1,2021,1.0
REGION1,BGBACKSTOP,BGE1,1,2021,1.0
REGION1,CHBACKSTOP,CHE1,1,2021,1.0
REGION1,CYBACKSTOP,CYE1,1,2021,1.0
REGION1,CZBACKSTOP,CZE1,1,2021,1.0
REGION1,DEBACKSTOP,DEE1,1,2021,1.0
REGION1,DKBACKSTOP,DKE1,1,2021,1.0
REGION1,EEBACKSTOP,EEE1,1,2021,1.0
REGION1,GRBACKSTOP,GRE1,1,2021,1.0
REGION1,ESBACKSTOP,ESE1,1,2021,1.0
REGION1,FIBACKSTOP,FIE1,1,2021,1.0
REGION1,FRBACKSTOP,FRE1,1,2021,1.0
REGION1,HRBACKSTOP,HRE1,1,2021,1.0
REGION1,HUBACKSTOP,HUE1,1,2021,1.0
REGION1,IEBACKSTOP,IEE1,1,2021,1.0
REGION1,ITBACKSTOP,ITE1,1,2021,1.0
REGION1,LTBACKSTOP,LTE1,1,2021,1.0
REGION1,LUBACKSTOP,LUE1,1,2021,1.0
REGION1,LVBACKSTOP,LVE1,1,2021,1.0
REGION1,MTBACKSTOP,MTE1,1,2021,1.0
REGION1,NLBACKSTOP,NLE1,1,2021,1.0
REGION1,NOBACKSTOP,NOE1,1,2021,1.0
REGION1,PLBACKSTOP,PLE1,1,2021,1.0
REGION1,PTBACKSTOP,PTE1,1,2021,1.0
REGION1,ROBACKSTOP,ROE1,1,2021,1.0
REGION1,SEBACKSTOP,SEE1,1,2021,1.0
REGION1,SIBACKSTOP,SIE1,1,2021,1.0
REGION1,SKBACKSTOP,SKE1,1,2021,1.0
REGION1,UKBACKSTOP,UKE1,1,2021,1.0
REGION1,ATBACKSTOP,ATE1,2,2021,1.0
REGION1,ATCO00I00,ATCO,1,2021,1.0
REGION1,ATBF00I00,ATBF,1,2021,1.0
REGION1,ATDG00I00,ATDG,1,2021,1.0
REGION1,ATRG00I00,ATRG,1,2021,1.0
REGION1,ATDS00I00,ATDS,1,2021,1.0
REGION1,ATHF00I00,ATHF,1,2021,1.0
REGION1,ATBM00I00,ATBM,1,2021,1.0
REGION1,ATWS00I00,ATWS,1,2021,1.0
REGION1,ATGO00I00,ATGO,1,2021,1.0
REGION1,BENU00I00,BENU,1,2021,1.0
REGION1,BECO00I00,BECO,1,2021,1.0
REGION1,BEBF00I00,BEBF,1,2021,1.0
REGION1,BEDG00I00,BEDG,1,2021,1.0
REGION1,BERG00I00,BERG,1,2021,1.0
REGION1,BEDS00I00,BEDS,1,2021,1.0
REGION1,BEHF00I00,BEHF,1,2021,1.0
REGION1,BEWS00I00,BEWS,1,2021,1.0
REGION1,BEBM00I00,BEBM,1,2021,1.0
REGION1,BGBF00I00,BGBF,1,2021,1.0
REGION1,BGCO00I00,BGCO,1,2021,1.0
REGION1,BGHF00I00,BGHF,1,2021,1.0
REGION1,BGNU00I00,BGNU,1,2021,1.0
REGION1,BGLI00I00,BGLI,1,2021,1.0
REGION1,BGRG00I00,BGRG,1,2021,1.0
REGION1,BGDS00I00,BGDS,1,2021,1.0
REGION1,BGBM00I00,BGBM,1,2021,1.0
REGION1,BGWS00I00,BGWS,1,2021,1.0
REGION1,CYBF00I00,CYBF,1,2021,1.0
REGION1,CYHF00I00,CYHF,1,2021,1.0
REGION1,CYDS00I00,CYDS,1,2021,1.0
REGION1,CZNU00I00,CZNU,1,2021,1.0
REGION1,CZCO00I00,CZCO,1,2021,1.0
REGION1,CZLI00I00,CZLI,1,2021,1.0
REGION1,CZBF00I00,CZBF,1,2021,1.0
REGION1,CZDG00I00,CZDG,1,2021,1.0
REGION1,CZRG00I00,CZRG,1,2021,1.0
REGION1,CZDS00I00,CZDS,1,2021,1.0
REGION1,CZHF00I00,CZHF,1,2021,1.0
REGION1,CZBM00I00,CZBM,1,2021,1.0
REGION1,CZWS00I00,CZWS,1,2021,1.0
REGION1,DENU00I00,DENU,1,2021,1.0
REGION1,DECO00I00,DECO,1,2021,1.0
REGION1,DELI00I00,DELI,1,2021,1.0
REGION1,DEBF00I00,DEBF,1,2021,1.0
REGION1,DEDG00I00,DEDG,1,2021,1.0
REGION1,DERG00I00,DERG,1,2021,1.0
REGION1,DEDS00I00,DEDS,1,2021,1.0
REGION1,DEHF00I00,DEHF,1,2021,1.0
REGION1,DEBM00I00,DEBM,1,2021,1.0
REGION1,DEWS00I00,DEWS,1,2021,1.0
REGION1,DEGO00I00,DEGO,1,2021,1.0
REGION1,DKBF00I00,DKBF,1,2021,1.0
REGION1,DKBM00I00,DKBM,1,2021,1.0
REGION1,DKCO00I00,DKCO,1,2021,1.0
REGION1,DKHF00I00,DKHF,1,2021,1.0
REGION1,DKWS00I00,DKWS,1,2021,1.0
REGION1,DKRG00I00,DKRG,1,2021,1.0
REGION1,DKDS00I00,DKDS,1,2021,1.0
REGION1,EEHF00I00,EEHF,1,2021,1.0
REGION1,EEWS00I00,EEWS,1,2021,1.0
REGION1,EELI00I00,EELI,1,2021,1.0
REGION1,EEBF00I00,EEBF,1,2021,1.0
REGION1,EEDG00I00,EEDG,1,2021,1.0
REGION1,EEBM00I00,EEBM,1,2021,1.0
REGION1,GRBF00I00,GRBF,1,2021,1.0
REGION1,GRBM00I00,GRBM,1,2021,1.0
REGION1,GRHF00I00,GRHF,1,2021,1.0
REGION1,GRLI00I00,GRLI,1,2021,1.0
REGION1,GRRG00I00,GRRG,1,2021,1.0
REGION1,GRDS00I00,GRDS,1,2021,1.0
REGION1,ESCO00I00,ESCO,1,2021,1.0
REGION1,ESNU00I00,ESNU,1,2021,1.0
REGION1,ESLI00I00,ESLI,1,2021,1.0
