REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PLBACKSTOP,2021,1.0
REGION1,PLCOCHPH1,2021,1.0
REGION1,PLCOSTPH1,2021,1.0
REGION1,PLLICHPH1,2021,1.0
REGION1,PLLIELH1,2021,1.0
REGION1,PLNGCCPH1,2021,1.0
REGION1,PLNGCHPH1,2021,1.0
REGION1,PLBFCHPH1,2021,1.0
REGION1,PLDGCHPH1,2021,1.0
REGION1,PLRGCHPH1,2021,1.0
REGION1,PLDSCHPH1,2021,1.0
REGION1,PLDSELH1,2021,1.0
REGION1,PLHFCHPH1,2021,1.0
REGION1,PLBMSTPH1,2021,1.0
REGION1,PLBMCHPH1,2021,1.0
REGION1,PLWIONPH1,2021,1.0
REGION1,PLHYDMPH1,2021,1.0
REGION1,PLHYDSPH1,2021,1.0
REGION1,PLHYDRPH1,2021,1.0
REGION1,PLCOCHPN1,2021,1.0
REGION1,PLCOSTPN1,2021,1.0
REGION1,PLLICHPN1,2021,1.0
REGION1,PLLIELN1,2021,1.0
REGION1,PLNGCCPN1,2021,1.0
REGION1,PLNGCHPN1,2021,1.0
REGION1,PLBFCHPN1,2021,1.0
REGION1,PLDGCHPN1,2021,1.0
REGION1,PLRGCHPN1,2021,1.0
REGION1,PLDSCHPN1,2021,1.0
REGION1,PLDSELN1,2021,1.0
REGION1,PLHFCHPN1,2021,1.0
REGION1,PLBMSTPN1,2021,1.0
REGION1,PLBMCHPN1,2021,1.0
REGION1,PLWIONPN1,2021,1.0
REGION1,PLHYDMPN1,2021,1.0
REGION1,PLHYDSPN1,2021,1.0
REGION1,PLHYDRPN1,2021,1.0
REGION1,PLNGCCSN1,2021,1.0
REGION1,PLBMCCSN1,2021,1.0
REGION1,PLBATTH1,2021,1.0
REGION1,CZELPLPH1,2021,1.0
REGION1,DEELPLPH1,2021,1.0
REGION1,LTELPLPH1,2021,1.0
REGION1,PLELSKPH1,2021,1.0
REGION1,PLELSEPH1,2021,1.0
REGION1,PLELUAPH1,2021,1.0
REGION1,PLNGSKPI0,2021,1.0
REGION1,PLBACKSTOP,2022,1.0
REGION1,PLCOCHPH1,2022,1.0
REGION1,PLCOSTPH1,2022,1.0
REGION1,PLLICHPH1,2022,1.0
REGION1,PLLIELH1,2022,1.0
REGION1,PLNGCCPH1,2022,1.0
REGION1,PLNGCHPH1,2022,1.0
REGION1,PLBFCHPH1,2022,1.0
REGION1,PLDGCHPH1,2022,1.0
REGION1,PLRGCHPH1,2022,1.0
REGION1,PLDSCHPH1,2022,1.0
REGION1,PLDSELH1,2022,1.0
REGION1,PLHFCHPH1,2022,1.0
REGION1,PLBMSTPH1,2022,1.0
REGION1,PLBMCHPH1,2022,1.0
REGION1,PLWIONPH1,2022,1.0
REGION1,PLHYDMPH1,2022,1.0
REGION1,PLHYDSPH1,2022,1.0
REGION1,PLHYDRPH1,2022,1.0
REGION1,PLCOCHPN1,2022,1.0
REGION1,PLCOSTPN1,2022,1.0
REGION1,PLLICHPN1,2022,1.0
REGION1,PLLIELN1,2022,1.0
REGION1,PLNGCCPN1,2022,1.0
REGION1,PLNGCHPN1,2022,1.0
REGION1,PLBFCHPN1,2022,1.0
REGION1,PLDGCHPN1,2022,1.0
REGION1,PLRGCHPN1,2022,1.0
REGION1,PLDSCHPN1,2022,1.0
REGION1,PLDSELN1,2022,1.0
REGION1,PLHFCHPN1,2022,1.0
REGION1,PLBMSTPN1,2022,1.0
REGION1,PLBMCHPN1,2022,1.0
REGION1,PLWIONPN1,2022,1.0
REGION1,PLHYDMPN1,2022,1.0
REGION1,PLHYDSPN1,2022,1.0
REGION1,PLHYDRPN1,2022,1.0
REGION1,PLNGCCSN1,2022,1.0
REGION1,PLBMCCSN1,2022,1.0
REGION1,PLBATTH1,2022,1.0
REGION1,CZELPLPH1,2022,1.0
REGION1,DEELPLPH1,2022,1.0
REGION1,LTELPLPH1,2022,1.0
REGION1,PLELSKPH1,2022,1.0
REGION1,PLELSEPH1,2022,1.0
REGION1,PLELUAPH1,2022,1.0
REGION1,PLNGSKPI0,2022,1.0
REGION1,PLBACKSTOP,2023,1.0
REGION1,PLCOCHPH1,2023,1.0
REGION1,PLCOSTPH1,2023,1.0
REGION1,PLLICHPH1,2023,1.0
REGION1,PLLIELH1,2023,1.0
REGION1,PLNGCCPH1,2023,1.0
REGION1,PLNGCHPH1,2023,1.0
REGION1,PLBFCHPH1,2023,1.0
REGION1,PLDGCHPH1,2023,1.0
REGION1,PLRGCHPH1,2023,1.0
REGION1,PLDSCHPH1,2023,1.0
REGION1,PLDSELH1,2023,1.0
REGION1,PLHFCHPH1,2023,1.0
REGION1,PLBMSTPH1,2023,1.0
REGION1,PLBMCHPH1,2023,1.0
REGION1,PLWIONPH1,2023,1.0
REGION1,PLHYDMPH1,2023,1.0
REGION1,PLHYDSPH1,2023,1.0
REGION1,PLHYDRPH1,2023,1.0
REGION1,PLCOCHPN1,2023,1.0
REGION1,PLCOSTPN1,2023,1.0
REGION1,PLLICHPN1,2023,1.0
REGION1,PLLIELN1,2023,1.0
REGION1,PLNGCCPN1,2023,1.0
REGION1,PLNGCHPN1,2023,1.0
REGION1,PLBFCHPN1,2023,1.0
REGION1,PLDGCHPN1,2023,1.0
REGION1,PLRGCHPN1,2023,1.0
REGION1,PLDSCHPN1,2023,1.0
REGION1,PLDSELN1,2023,1.0
REGION1,PLHFCHPN1,2023,1.0
REGION1,PLBMSTPN1,2023,1.0
REGION1,PLBMCHPN1,2023,1.0
REGION1,PLWIONPN1,2023,1.0
REGION1,PLHYDMPN1,2023,1.0
REGION1,PLHYDSPN1,2023,1.0
REGION1,PLHYDRPN1,2023,1.0
REGION1,PLNGCCSN1,2023,1.0
REGION1,PLBMCCSN1,2023,1.0
REGION1,PLBATTH1,2023,1.0
REGION1,CZELPLPH1,2023,1.0
REGION1,DEELPLPH1,2023,1.0
REGION1,LTELPLPH1,2023,1.0
REGION1,PLELSKPH1,2023,1.0
REGION1,PLELSEPH1,2023,1.0
REGION1,PLELUAPH1,2023,1.0
REGION1,PLNGSKPI0,2023,1.0
REGION1,PLBACKSTOP,2024,1.0
REGION1,PLCOCHPH1,2024,1.0
REGION1,PLCOSTPH1,2024,1.0
REGION1,PLLICHPH1,2024,1.0
REGION1,PLLIELH1,2024,1.0
REGION1,PLNGCCPH1,2024,1.0
REGION1,PLNGCHPH1,2024,1.0
REGION1,PLBFCHPH1,2024,1.0
REGION1,PLDGCHPH1,2024,1.0
REGION1,PLRGCHPH1,2024,1.0
REGION1,PLDSCHPH1,2024,1.0
REGION1,PLDSELH1,2024,1.0
REGION1,PLHFCHPH1,2024,1.0
REGION1,PLBMSTPH1,2024,1.0
REGION1,PLBMCHPH1,2024,1.0
REGION1,PLWIONPH1,2024,1.0
REGION1,PLHYDMPH1,2024,1.0
REGION1,PLHYDSPH1,2024,1.0
REGION1,PLHYDRPH1,2024,1.0
REGION1,PLCOCHPN1,2024,1.0
REGION1,PLCOSTPN1,2024,1.0
REGION1,PLLICHPN1,2024,1.0
REGION1,PLLIELN1,2024,1.0
REGION1,PLNGCCPN1,2024,1.0
REGION1,PLNGCHPN1,2024,1.0
REGION1,PLBFCHPN1,2024,1.0
REGION1,PLDGCHPN1,2024,1.0
REGION1,PLRGCHPN1,2024,1.0
REGION1,PLDSCHPN1,2024,1.0
REGION1,PLDSELN1,2024,1.0
REGION1,PLHFCHPN1,2024,1.0
REGION1,PLBMSTPN1,2024,1.0
REGION1,PLBMCHPN1,2024,1.0
REGION1,PLWIONPN1,2024,1.0
REGION1,PLHYDMPN1,2024,1.0
REGION1,PLHYDSPN1,2024,1.0
REGION1,PLHYDRPN1,2024,1.0
REGION1,PLNGCCSN1,2024,1.0
REGION1,PLBMCCSN1,2024,1.0
REGION1,PLBATTH1,2024,1.0
REGION1,CZELPLPH1,2024,1.0
REGION1,DEELPLPH1,2024,1.0
REGION1,LTELPLPH1,2024,1.0
REGION1,PLELSKPH1,2024,1.0
REGION1,PLELSEPH1,2024,1.0
REGION1,PLELUAPH1,2024,1.0
REGION1,PLNGSKPI0,2024,1.0
REGION1,PLBACKSTOP,2025,1.0
REGION1,PLCOCHPH1,2025,1.0
REGION1,PLCOSTPH1,2025,1.0
REGION1,PLLICHPH1,2025,1.0
REGION1,PLLIELH1,2025,1.0
REGION1,PLNGCCPH1,2025,1.0
REGION1,PLNGCHPH1,2025,1.0
REGION1,PLBFCHPH1,2025,1.0
REGION1,PLDGCHPH1,2025,1.0
REGION1,PLRGCHPH1,2025,1.0
REGION1,PLDSCHPH1,2025,1.0
REGION1,PLDSELH1,2025,1.0
REGION1,PLHFCHPH1,2025,1.0
REGION1,PLBMSTPH1,2025,1.0
REGION1,PLBMCHPH1,2025,1.0
REGION1,PLWIONPH1,2025,1.0
REGION1,PLHYDMPH1,2025,1.0
REGION1,PLHYDSPH1,2025,1.0
REGION1,PLHYDRPH1,2025,1.0
REGION1,PLCOCHPN1,2025,1.0
REGION1,PLCOSTPN1,2025,1.0
REGION1,PLLICHPN1,2025,1.0
REGION1,PLLIELN1,2025,1.0
REGION1,PLNGCCPN1,2025,1.0
REGION1,PLNGCHPN1,2025,1.0
REGION1,PLBFCHPN1,2025,1.0
REGION1,PLDGCHPN1,2025,1.0
REGION1,PLRGCHPN1,2025,1.0
REGION1,PLDSCHPN1,2025,1.0
REGION1,PLDSELN1,2025,1.0
REGION1,PLHFCHPN1,2025,1.0
REGION1,PLBMSTPN1,2025,1.0
REGION1,PLBMCHPN1,2025,1.0
REGION1,PLWIONPN1,2025,1.0
REGION1,PLHYDMPN1,2025,1.0
REGION1,PLHYDSPN1,2025,1.0
REGION1,PLHYDRPN1,2025,1.0
REGION1,PLNGCCSN1,2025,1.0
REGION1,PLBMCCSN1,2025,1.0
REGION1,PLBATTH1,2025,1.0
REGION1,CZELPLPH1,2025,1.0
REGION1,DEELPLPH1,2025,1.0
REGION1,LTELPLPH1,2025,1.0
REGION1,PLELSKPH1,2025,1.0
REGION1,PLELSEPH1,2025,1.0
REGION1,PLELUAPH1,2025,1.0
REGION1,PLNGSKPI0,2025,1.0
REGION1,PLBACKSTOP,2026,1.0
REGION1,PLCOCHPH1,2026,1.0
REGION1,PLCOSTPH1,2026,1.0
REGION1,PLLICHPH1,2026,1.0
REGION1,PLLIELH1,2026,1.0
REGION1,PLNGCCPH1,2026,1.0
REGION1,PLNGCHPH1,2026,1.0
REGION1,PLBFCHPH1,2026,1.0
REGION1,PLDGCHPH1,2026,1.0
REGION1,PLRGCHPH1,2026,1.0
REGION1,PLDSCHPH1,2026,1.0
REGION1,PLDSELH1,2026,1.0
REGION1,PLHFCHPH1,2026,1.0
REGION1,PLBMSTPH1,2026,1.0
REGION1,PLBMCHPH1,2026,1.0
REGION1,PLWIONPH1,2026,1.0
REGION1,PLHYDMPH1,2026,1.0
REGION1,PLHYDSPH1,2026,1.0
REGION1,PLHYDRPH1,2026,1.0
REGION1,PLCOCHPN1,2026,1.0
REGION1,PLCOSTPN1,2026,1.0
REGION1,PLLICHPN1,2026,1.0
REGION1,PLLIELN1,2026,1.0
REGION1,PLNGCCPN1,2026,1.0
REGION1,PLNGCHPN1,2026,1.0
REGION1,PLBFCHPN1,2026,1.0
REGION1,PLDGCHPN1,2026,1.0
REGION1,PLRGCHPN1,2026,1.0
REGION1,PLDSCHPN1,2026,1.0
REGION1,PLDSELN1,2026,1.0
REGION1,PLHFCHPN1,2026,1.0
REGION1,PLBMSTPN1,2026,1.0
REGION1,PLBMCHPN1,2026,1.0
REGION1,PLWIONPN1,2026,1.0
REGION1,PLHYDMPN1,2026,1.0
REGION1,PLHYDSPN1,2026,1.0
REGION1,PLHYDRPN1,2026,1.0
REGION1,PLNGCCSN1,2026,1.0
REGION1,PLBMCCSN1,2026,1.0
REGION1,PLBATTH1,2026,1.0
REGION1,CZELPLPH1,2026,1.0
REGION1,DEELPLPH1,2026,1.0
REGION1,LTELPLPH1,2026,1.0
REGION1,PLELSKPH1,2026,1.0
REGION1,PLELSEPH1,2026,1.0
REGION1,PLELUAPH1,2026,1.0
REGION1,PLNGSKPI0,2026,1.0
REGION1,PLBACKSTOP,2027,1.0
REGION1,PLCOCHPH1,2027,1.0
REGION1,PLCOSTPH1,2027,1.0
REGION1,PLLICHPH1,2027,1.0
REGION1,PLLIELH1,2027,1.0
REGION1,PLNGCCPH1,2027,1.0
REGION1,PLNGCHPH1,2027,1.0
REGION1,PLBFCHPH1,2027,1.0
REGION1,PLDGCHPH1,2027,1.0
REGION1,PLRGCHPH1,2027,1.0
REGION1,PLDSCHPH1,2027,1.0
REGION1,PLDSELH1,2027,1.0
REGION1,PLHFCHPH1,2027,1.0
REGION1,PLBMSTPH1,2027,1.0
REGION1,PLBMCHPH1,2027,1.0
REGION1,PLWIONPH1,2027,1.0
REGION1,PLHYDMPH1,2027,1.0
REGION1,PLHYDSPH1,2027,1.0
REGION1,PLHYDRPH1,2027,1.0
REGION1,PLCOCHPN1,2027,1.0
REGION1,PLCOSTPN1,2027,1.0
REGION1,PLLICHPN1,2027,1.0
REGION1,PLLIELN1,2027,1.0
REGION1,PLNGCCPN1,2027,1.0
REGION1,PLNGCHPN1,2027,1.0
REGION1,PLBFCHPN1,2027,1.0
REGION1,PLDGCHPN1,2027,1.0
REGION1,PLRGCHPN1,2027,1.0
REGION1,PLDSCHPN1,2027,1.0
REGION1,PLDSELN1,2027,1.0
REGION1,PLHFCHPN1,2027,1.0
REGION1,PLBMSTPN1,2027,1.0
REGION1,PLBMCHPN1,2027,1.0
REGION1,PLWIONPN1,2027,1.0
REGION1,PLHYDMPN1,2027,1.0
REGION1,PLHYDSPN1,2027,1.0
REGION1,PLHYDRPN1,2027,1.0
REGION1,PLNGCCSN1,2027,1.0
REGION1,PLBMCCSN1,2027,1.0
REGION1,PLBATTH1,2027,1.0
REGION1,CZELPLPH1,2027,1.0
REGION1,DEELPLPH1,2027,1.0
REGION1,LTELPLPH1,2027,1.0
REGION1,PLELSKPH1,2027,1.0
REGION1,PLELSEPH1,2027,1.0
REGION1,PLELUAPH1,2027,1.0
REGION1,PLNGSKPI0,2027,1.0
REGION1,PLBACKSTOP,2028,1.0
REGION1,PLCOCHPH1,2028,1.0
REGION1,PLCOSTPH1,2028,1.0
REGION1,PLLICHPH1,2028,1.0
REGION1,PLLIELH1,2028,1.0
REGION1,PLNGCCPH1,2028,1.0
REGION1,PLNGCHPH1,2028,1.0
REGION1,PLBFCHPH1,2028,1.0
REGION1,PLDGCHPH1,2028,1.0
REGION1,PLRGCHPH1,2028,1.0
REGION1,PLDSCHPH1,2028,1.0
REGION1,PLDSELH1,2028,1.0
REGION1,PLHFCHPH1,2028,1.0
REGION1,PLBMSTPH1,2028,1.0
REGION1,PLBMCHPH1,2028,1.0
REGION1,PLWIONPH1,2028,1.0
REGION1,PLHYDMPH1,2028,1.0
REGION1,PLHYDSPH1,2028,1.0
REGION1,PLHYDRPH1,2028,1.0
REGION1,PLCOCHPN1,2028,1.0
REGION1,PLCOSTPN1,2028,1.0
REGION1,PLLICHPN1,2028,1.0
REGION1,PLLIELN1,2028,1.0
REGION1,PLNGCCPN1,2028,1.0
REGION1,PLNGCHPN1,2028,1.0
REGION1,PLBFCHPN1,2028,1.0
REGION1,PLDGCHPN1,2028,1.0
REGION1,PLRGCHPN1,2028,1.0
REGION1,PLDSCHPN1,2028,1.0
REGION1,PLDSELN1,2028,1.0
REGION1,PLHFCHPN1,2028,1.0
REGION1,PLBMSTPN1,2028,1.0
REGION1,PLBMCHPN1,2028,1.0
REGION1,PLWIONPN1,2028,1.0
REGION1,PLHYDMPN1,2028,1.0
